代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10640879.799999998882413
真實報酬,640879.799999998882413

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,30349.179272727258649
風險,44911.875783159804996
起點值,0.675749537143737
找到最佳解世代,2130
找到最佳解實驗#,2
找到最佳解次數,36

stock[index](rank)
投資組合檔數,8
HD[9](3),KO[14](8),MCD[15](15),MSFT[18](13),NKE[19](2),PFE[20](12),VZ[26](7),WMT[28](6),
Stock#,HD[9](3),KO[14](8),MCD[15](15),MSFT[18](13),NKE[19](2),PFE[20](12),VZ[26](7),WMT[28](6),
張數,17941,30902,12619,43691,42911,43342,25396,16571,
分配資金,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,
剩餘資金,50.530000000027940,14.099999999860302,88.050000000046566,0.489999999990687,2.570000000065193,16.719999999972060,8.880000000121072,49.469999999972060,
FS( 1 ),1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,10000000.000000000000000
FS( 2 ),1274220.349999999860302,1258343.539999999804422,1265268.990000000223517,1258301.290000000037253,1263731.520000000018626,1266903.379999999888241,1257110.880000000121072,1259776.889999999897555,10103656.839999999850988
FS( 3 ),1262379.290000000037253,1241347.439999999944121,1252523.800000000046566,1247815.449999999953434,1264160.630000000121072,1258234.979999999981374,1244158.920000000158325,1259445.469999999972060,10030065.980000000447035
FS( 4 ),1268299.820000000065193,1252781.179999999934807,1269938.020000000018626,1249563.090000000083819,1273171.940000000176951,1263869.439999999944121,1252031.679999999934807,1262759.669999999925494,10092414.839999999850988
FS( 5 ),1256996.989999999990687,1238566.259999999776483,1279907.030000000027940,1253932.189999999944121,1265447.959999999962747,1261268.919999999925494,1258634.640000000130385,1265908.159999999916181,10080662.150000000372529
FS( 6 ),1277808.550000000046566,1262669.819999999832362,1280916.550000000046566,1249126.179999999934807,1286474.350000000093132,1263869.439999999944121,1255333.160000000149012,1280822.060000000055879,10157020.109999999403954
FS( 7 ),1277449.729999999981374,1258034.519999999785796,1275364.190000000176951,1293691.000000000000000,1285187.020000000018626,1261702.339999999850988,1253555.440000000176951,1294575.989999999990687,10199560.230000000447035
FS( 8 ),1286240.820000000065193,1269159.239999999757856,1280790.359999999869615,1322963.969999999972060,1293769.219999999972060,1296809.360000000102445,1266253.440000000176951,1282147.739999999990687,10298134.150000000372529
FS( 9 ),1290008.430000000167638,1272558.459999999962747,1287099.859999999869615,1264418.030000000027940,1313079.170000000158325,1328015.600000000093132,1282760.840000000083819,1289107.560000000055879,10327047.950000001117587
FS( 10 ),1320866.950000000186265,1269468.259999999776483,1307290.260000000009313,1257864.379999999888241,1299776.760000000009313,1329315.860000000102445,1291649.440000000176951,1301867.229999999981374,10378099.140000000596046
FS( 11 ),1295928.960000000195578,1238875.280000000027940,1289118.900000000139698,1253495.280000000027940,1280466.810000000055879,1319780.619999999878928,1286062.320000000065193,1300375.839999999850988,10264104.009999999776483
FS( 12 ),1300055.389999999897555,1309331.839999999850988,1300349.810000000055879,1265728.760000000009313,1298060.320000000065193,1341018.199999999953434,1281491.040000000037253,1303855.750000000000000,10399891.109999999403954
FS( 13 ),1306155.330000000074506,1314894.199999999720603,1294040.310000000055879,1259612.020000000018626,1306642.520000000018626,1337984.260000000009313,1258126.720000000204891,1301038.680000000167638,10378494.039999999105930
FS( 14 ),1300414.210000000195578,1300988.299999999813735,1286090.340000000083819,1257864.379999999888241,1291194.560000000055879,1325848.500000000000000,1292919.239999999990687,1278667.829999999841675,10333987.359999999403954
FS( 15 ),1327684.530000000027940,1318293.419999999692664,1260978.530000000027940,1300681.560000000055879,1307071.630000000121072,1346219.239999999990687,1326949.880000000121072,1297393.060000000055879,10485271.849999999627471
FS( 16 ),1325172.790000000037253,1320147.539999999804422,1253407.129999999888241,1346994.020000000018626,1316512.050000000046566,1340584.780000000027940,1325426.120000000111759,1292090.339999999850988,10520334.769999999552965
FS( 17 ),1316561.109999999869615,1319529.500000000000000,1258959.490000000223517,1336945.090000000083819,1323377.810000000055879,1347086.079999999841675,1328727.600000000093132,1310649.860000000102445,10541836.539999999105930
FS( 18 ),1314767.010000000009313,1302533.399999999906868,1274859.429999999934807,1387626.650000000139698,1320374.040000000037253,1326281.919999999925494,1315521.679999999934807,1293084.600000000093132,10535048.730000000447035
FS( 19 ),1316381.700000000186265,1308713.799999999813735,1273849.909999999916181,1395491.030000000027940,1331960.010000000009313,1311545.640000000130385,1351584.000000000000000,1303358.620000000111759,10592884.710000000894070
FS( 20 ),1316022.879999999888241,1300988.299999999813735,1273218.959999999962747,1388937.379999999888241,1328098.020000000018626,1304177.500000000000000,1361996.360000000102445,1309821.310000000055879,10583260.709999999031425
FS( 21 ),1321764.000000000000000,1305314.579999999841675,1289497.470000000204891,1424764.000000000000000,1343975.090000000083819,1318913.780000000027940,1357679.040000000037253,1299050.159999999916181,10660958.120000001043081
FS( 22 ),1316022.879999999888241,1308095.759999999776483,1288992.709999999962747,1446172.590000000083819,1364572.370000000111759,1259968.659999999916181,1369107.239999999990687,1287947.589999999850988,10640879.799999998882413
