代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14410330.769999999552965
真實報酬,4410330.769999999552965

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,17265.734530672936671
風險,428781.881662187457550
起點值,0.040266940533359
找到最佳解世代,1809
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
AAPL[0](2),MCD[15](1),
Stock#,AAPL[0](2),MCD[15](1),
張數,193498,88121,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,11.679999999701977,14.459999999962747,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),5110293.859999999403954,4997356.370000000111759,10107650.230000000447035
FS( 3 ),5141253.540000000037253,4988544.269999999552965,10129797.809999998658895
FS( 4 ),5251547.399999999441206,5061684.700000000186265,10313232.099999999627471
FS( 5 ),5259287.319999999366701,5035248.400000000372529,10294535.719999998807907
FS( 6 ),5232197.599999999627471,5011455.729999999515712,10243653.329999998211861
FS( 7 ),5265092.259999999776483,4996475.160000000149012,10261567.419999999925494
FS( 8 ),5274767.160000000149012,4994712.740000000223517,10269479.900000000372529
FS( 9 ),5253482.379999999888241,5027317.509999999776483,10280799.890000000596046
FS( 10 ),5288312.019999999552965,5066971.959999999962747,10355283.980000000447035
FS( 11 ),5267027.239999999292195,5128656.660000000149012,10395683.899999998509884
FS( 12 ),5197367.959999999962747,5179766.839999999850988,10377134.800000000745058
FS( 13 ),5247677.439999999478459,5223827.339999999850988,10471504.779999999329448
FS( 14 ),5493419.899999999441206,5192103.780000000260770,10685523.679999999701977
FS( 15 ),5663698.139999999664724,5140112.389999999664724,10803810.529999999329448
FS( 16 ),5671438.059999999590218,5243213.959999999962747,10914652.019999999552965
FS( 17 ),5636608.419999999925494,5237045.490000000223517,10873653.910000000149012
FS( 18 ),5597908.819999999366701,5216777.660000000149012,10814686.480000000447035
FS( 19 ),5456655.279999999329448,5200915.879999999888241,10657571.160000000149012
FS( 20 ),5319271.699999999254942,5167429.900000000372529,10486701.599999999627471
FS( 21 ),5427630.580000000074506,5211490.400000000372529,10639120.980000000447035
FS( 22 ),5210912.819999999366701,5164786.269999999552965,10375699.089999999850988
FS( 23 ),5232197.599999999627471,5213252.819999999366701,10445450.419999998062849
FS( 24 ),5216717.759999999776483,5220302.500000000000000,10437020.259999999776483
FS( 25 ),5274767.160000000149012,5312829.549999999813735,10587596.710000000894070
FS( 26 ),5363776.239999999292195,5417693.540000000037253,10781469.779999999329448
FS( 27 ),5371516.160000000149012,5438842.580000000074506,10810358.740000000223517
FS( 28 ),5568884.120000000111759,5519913.900000000372529,11088798.019999999552965
FS( 29 ),5611453.679999999701977,5488190.339999999850988,11099644.019999999552965
FS( 30 ),5619193.599999999627471,5536656.889999999664724,11155850.489999998360872
FS( 31 ),5584363.959999999962747,5478497.030000000260770,11062860.990000000223517
FS( 32 ),5652088.259999999776483,5602747.639999999664724,11254835.899999998509884
FS( 33 ),5712072.639999999664724,5686462.589999999850988,11398535.230000000447035
FS( 34 ),5721747.540000000037253,5601866.429999999701977,11323613.969999998807907
FS( 35 ),5692722.839999999850988,5637996.040000000037253,11330718.879999998956919
FS( 36 ),5541794.399999999441206,5587767.069999999366701,11129561.469999998807907
FS( 37 ),5526314.559999999590218,5637114.830000000074506,11163429.390000000596046
FS( 38 ),5690787.859999999403954,5638877.250000000000000,11329665.109999999403954
FS( 39 ),5652088.259999999776483,5659145.080000000074506,11311233.339999999850988
FS( 40 ),5644348.339999999850988,5679412.910000000149012,11323761.250000000000000
FS( 41 ),5545664.359999999403954,5604510.060000000521541,11150174.419999999925494
FS( 42 ),5526314.559999999590218,5573667.709999999962747,11099982.269999999552965
FS( 43 ),5445045.399999999441206,5599222.799999999813735,11044268.199999999254942
FS( 44 ),5423760.620000000111759,5507576.959999999962747,10931337.580000000074506
FS( 45 ),5431500.540000000037253,5460872.830000000074506,10892373.370000001043081
FS( 46 ),5344426.439999999478459,5427386.850000000558794,10771813.289999999105930
FS( 47 ),5222522.699999999254942,5457347.990000000223517,10679870.689999999478459
FS( 48 ),5247677.439999999478459,5341028.269999999552965,10588705.709999999031425
FS( 49 ),5468265.160000000149012,5340147.060000000521541,10808412.220000000670552
FS( 50 ),5429565.559999999590218,5379801.509999999776483,10809367.070000000298023
FS( 51 ),5381191.059999999590218,5433555.319999999366701,10814746.379999998956919
FS( 52 ),5445045.399999999441206,5475853.400000000372529,10920898.800000000745058
FS( 53 ),5367646.199999999254942,5463516.459999999962747,10831162.660000000149012
FS( 54 ),5390865.959999999962747,5500527.280000000260770,10891393.240000000223517
FS( 55 ),5303791.859999999403954,5456466.780000000260770,10760258.640000000596046
FS( 56 ),5402475.839999999850988,5478497.030000000260770,10880972.870000001043081
FS( 57 ),5479875.040000000037253,5521676.319999999366701,11001551.359999999403954
FS( 58 ),5537924.439999999478459,5548993.830000000074506,11086918.269999999552965
FS( 59 ),5586298.939999999478459,5583361.019999999552965,11169659.959999999031425
FS( 60 ),5777861.959999999962747,5588648.280000000260770,11366510.240000000223517
FS( 61 ),5849456.219999999739230,5605391.269999999552965,11454847.489999998360872
FS( 62 ),5779796.939999999478459,5603628.850000000558794,11383425.789999999105930
FS( 63 ),5849456.219999999739230,5541944.150000000372529,11391400.370000001043081
FS( 64 ),5824301.479999999515712,5502289.700000000186265,11326591.179999999701977
FS( 65 ),5915245.540000000037253,5532250.839999999850988,11447496.379999998956919
FS( 66 ),5926855.419999999925494,5489952.759999999776483,11416808.179999999701977
FS( 67 ),5832041.399999999441206,5415049.910000000149012,11247091.309999998658895
FS( 68 ),5820431.519999999552965,5454704.359999999403954,11275135.879999998956919
FS( 69 ),5859131.120000000111759,5449417.100000000558794,11308548.220000000670552
FS( 70 ),5808821.639999999664724,5491715.179999999701977,11300536.820000000298023
FS( 71 ),5741097.339999999850988,5521676.319999999366701,11262773.660000000149012
FS( 72 ),5822366.500000000000000,5515507.850000000558794,11337874.350000001490116
FS( 73 ),5789471.839999999850988,5520795.109999999403954,11310266.949999999254942
FS( 74 ),5692722.839999999850988,5488190.339999999850988,11180913.179999999701977
FS( 75 ),5944270.239999999292195,5593935.540000000037253,11538205.779999999329448
FS( 76 ),5853326.179999999701977,5552518.669999999925494,11405844.849999999627471
FS( 77 ),5750772.239999999292195,5569261.660000000149012,11320033.899999998509884
FS( 78 ),5466330.179999999701977,5586004.650000000372529,11052334.830000000074506
FS( 79 ),5613388.660000000149012,5559568.350000000558794,11172957.010000001639128
FS( 80 ),5692722.839999999850988,5623015.469999999739230,11315738.309999998658895
FS( 81 ),5746902.279999999329448,5615965.790000000037253,11362868.070000000298023
FS( 82 ),5508899.739999999292195,5536656.889999999664724,11045556.629999998956919
FS( 83 ),5309596.799999999813735,5501408.490000000223517,10811005.289999999105930
FS( 84 ),5383126.040000000037253,5630065.150000000372529,11013191.190000001341105
FS( 85 ),5414085.719999999739230,5642402.089999999850988,11056487.809999998658895
FS( 86 ),5506964.759999999776483,5746384.869999999180436,11253349.629999998956919
FS( 87 ),5309596.799999999813735,5645045.719999999739230,10954642.519999999552965
