代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14522920.219999998807907
真實報酬,4522920.219999998807907

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,17084.953605346865515
風險,181754.966602021246217
起點值,0.093999927070806
找到最佳解世代,1502
找到最佳解實驗#,1
找到最佳解次數,47

stock[index](rank)
投資組合檔數,6
BA[2](4),MMM[16](1),MRK[17](15),NKE[19](3),UNH[23](10),UTX[24](2),
Stock#,BA[2](4),MMM[16](1),MRK[17](15),NKE[19](3),UNH[23](10),UTX[24](2),
張數,21625,17584,40316,64300,30558,19841,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,27.250000000232831,54.479999999981374,2.559999999823049,10.000000000000000,32.679999999934807,22.000000000000000,
FS( 1 ),1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,10000000.000000000000000
FS( 2 ),1675316.000000000232831,1664731.760000000009313,1706578.839999999850988,1684027.000000000000000,1588743.100000000093132,1672816.709999999962747,9992217.410000000149012
FS( 3 ),1680073.500000000232831,1677040.560000000055879,1692065.079999999841675,1700102.000000000000000,1591798.900000000139698,1686110.180000000167638,10027194.220000000670552
FS( 4 ),1646338.500000000232831,1679150.639999999897555,1698112.479999999748543,1702674.000000000000000,1591798.900000000139698,1677975.369999999878928,9996053.890000000596046
FS( 5 ),1603088.500000000232831,1679326.479999999981374,1700531.439999999711290,1684670.000000000000000,1570713.879999999888241,1657737.550000000046566,9896071.849999999627471
FS( 6 ),1659962.250000000232831,1695327.919999999925494,1717061.000000000000000,1686599.000000000000000,1600355.139999999897555,1677578.550000000046566,10036887.859999999403954
FS( 7 ),1667098.500000000232831,1703768.239999999990687,1724721.039999999804422,1689814.000000000000000,1622968.059999999823049,1685911.770000000018626,10094285.609999999403954
FS( 8 ),1625362.250000000232831,1693042.000000000000000,1742863.239999999757856,1707175.000000000000000,1614106.239999999990687,1690078.380000000121072,10072631.110000001266599
FS( 9 ),1655421.000000000232831,1707109.199999999953434,1747298.000000000000000,1710390.000000000000000,1630607.559999999823049,1702379.800000000046566,10153209.560000000521541
FS( 10 ),1663854.750000000232831,1710801.840000000083819,1728349.479999999748543,1724536.000000000000000,1638552.639999999897555,1705554.359999999869615,10171653.070000000298023
FS( 11 ),1607629.750000000232831,1716252.879999999888241,1715045.199999999720603,1727751.000000000000000,1639774.959999999729916,1697816.369999999878928,10104274.159999998286366
FS( 12 ),1627524.750000000232831,1724693.199999999953434,1723511.559999999823049,1719392.000000000000000,1662387.879999999888241,1714284.400000000139698,10171797.790000000968575
FS( 13 ),1622767.250000000465661,1736298.639999999897555,1732784.239999999757856,1713605.000000000000000,1667277.159999999916181,1725196.949999999953434,10197933.240000000223517
FS( 14 ),1603737.250000000232831,1746673.199999999953434,1741653.760000000009313,1719392.000000000000000,1711891.840000000083819,1735514.270000000018626,10258866.320000000298023
FS( 15 ),1606548.500000000465661,1749486.639999999897555,1726333.679999999934807,1707175.000000000000000,1708530.459999999729916,1747418.869999999878928,10245497.149999998509884
FS( 16 ),1628822.250000000000000,1752651.760000000009313,1733590.559999999823049,1731609.000000000000000,1718003.439999999944121,1764283.719999999972060,10328964.730000000447035
FS( 17 ),1622551.000000000232831,1768829.040000000037253,1752135.919999999925494,1786264.000000000000000,1712503.000000000000000,1781545.390000000130385,10423832.350000001490116
FS( 18 ),1600277.250000000232831,1769884.080000000074506,1730768.439999999711290,1752185.000000000000000,1705474.659999999916181,1781743.800000000046566,10340337.230000000447035
FS( 19 ),1592708.500000000465661,1790281.520000000018626,1760199.119999999646097,1733538.000000000000000,1719836.919999999925494,1780950.160000000149012,10377518.220000000670552
FS( 20 ),1613036.000000000232831,1772521.679999999934807,1753748.559999999823049,1723893.000000000000000,1713725.319999999832362,1767855.099999999860302,10344783.660000000149012
FS( 21 ),1597466.000000000232831,1768125.679999999934807,1743669.559999999823049,1738039.000000000000000,1687139.859999999869615,1737498.369999999878928,10271942.469999998807907
FS( 22 ),1619091.000000000232831,1785885.520000000018626,1686420.839999999850988,1726465.000000000000000,1704252.340000000083819,1782537.440000000176951,10304656.140000000596046
FS( 23 ),1626443.500000000000000,1771994.159999999916181,1646911.159999999916181,1725179.000000000000000,1703641.179999999934807,1776585.140000000130385,10250758.140000000596046
FS( 24 ),1641148.500000000232831,1784654.639999999897555,1670294.439999999711290,1732895.000000000000000,1765368.340000000083819,1771029.660000000149012,10365394.580000000074506
FS( 25 ),1649798.500000000465661,1805755.439999999944121,1656587.000000000000000,1741254.000000000000000,1753450.719999999972060,1773212.170000000158325,10380061.830000000074506
FS( 26 ),1674451.000000000465661,1797490.959999999962747,1652958.559999999823049,1757972.000000000000000,1743366.579999999841675,1784719.949999999953434,10410963.049999998882413
FS( 27 ),1655637.250000000232831,1805227.919999999925494,1660215.439999999711290,1755400.000000000000000,1764451.600000000093132,1787497.690000000176951,10428433.899999998509884
FS( 28 ),1640716.000000000232831,1804524.560000000055879,1668278.639999999897555,1775333.000000000000000,1745505.639999999897555,1777974.010000000009313,10412335.849999999627471
FS( 29 ),1643311.000000000232831,1819295.119999999878928,1671100.760000000009313,1771475.000000000000000,1742144.259999999776483,1785315.180000000167638,10432645.320000000298023
FS( 30 ),1617144.750000000232831,1808744.719999999972060,1659005.959999999729916,1754114.000000000000000,1748867.019999999785796,1775791.500000000000000,10363671.949999999254942
FS( 31 ),1620388.500000000465661,1807338.000000000000000,1660618.599999999627471,1756043.000000000000000,1743366.579999999841675,1779561.290000000037253,10367319.969999998807907
FS( 32 ),1622551.000000000232831,1815250.800000000046566,1669891.279999999795109,1766974.000000000000000,1751617.239999999990687,1801187.979999999981374,10427476.300000000745058
