代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13609051.330000001937151
真實報酬,3609051.330000001937151

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,14844.201757355867812
風險,216695.344517342629842
起點值,0.068502633457212
找到最佳解世代,2178
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
DIS[6](6),GS[8](5),HD[9](3),NKE[19](4),UNH[23](1),
Stock#,DIS[6](6),GS[8](5),HD[9](3),NKE[19](4),UNH[23](1),
張數,23129,11989,24443,51282,24423,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,35.370000000111759,114.909999999916181,73.740000000223517,2.000000000000000,0.530000000027940,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),1999306.130000000121072,2000959.119999999646097,2003910.880000000353903,1994871.799999999813735,2014653.799999999813735,10013701.730000000447035
FS( 3 ),2008557.730000000214204,2031770.850000000093132,2005621.890000000130385,2011794.859999999869615,2035657.579999999841675,10093402.910000000149012
FS( 4 ),2002775.480000000214204,2011629.329999999841675,1990222.800000000279397,2016923.059999999823049,2008059.590000000083819,10029610.259999999776483
FS( 5 ),1985891.310000000055879,1977220.899999999906868,1974090.420000000391155,1991794.880000000121072,2000976.920000000158325,9929974.430000001564622
FS( 6 ),2017346.750000000000000,1974343.539999999804422,1973357.130000000353903,2017948.700000000186265,2020759.549999999813735,10003755.669999999925494
FS( 7 ),2009020.310000000055879,1959357.289999999804422,1940847.940000000409782,1987179.500000000000000,2004640.369999999878928,9901045.410000000149012
FS( 8 ),2009714.180000000167638,1975902.110000000102445,1945980.970000000204891,1982051.299999999813735,2023934.540000000037253,9937583.099999999627471
FS( 9 ),2006707.410000000149012,2002277.909999999916181,1942314.520000000018626,1998974.359999999869615,2058126.739999999990687,10008400.939999999478459
FS( 10 ),1992598.720000000204891,2028294.039999999804422,1952091.720000000204891,2001025.640000000130385,2049090.230000000214204,10023100.350000001490116
FS( 11 ),1974095.520000000018626,2043879.739999999990687,1947203.120000000111759,1972307.719999999972060,2045671.010000000242144,9983157.109999999403954
FS( 12 ),1966694.240000000223517,2039923.369999999646097,1944514.390000000130385,1962564.140000000130385,2078642.060000000055879,9992338.200000001117587
FS( 13 ),1984734.860000000102445,2055868.739999999990687,1957469.180000000167638,1987692.319999999832362,2088655.489999999990687,10074420.589999999850988
FS( 14 ),1983115.830000000074506,2058865.989999999990687,1948425.270000000018626,1969743.619999999878928,2077420.910000000149012,10037571.620000001043081
FS( 15 ),1993986.459999999962747,2098429.690000000409782,1968712.960000000428408,1975384.640000000130385,2101599.679999999701977,10138113.430000001564622
