代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13597043.980000000447035
真實報酬,3597043.980000000447035

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,15585.671641128708870
風險,226710.514892167149810
起點值,0.068747017087151
找到最佳解世代,1972
找到最佳解實驗#,1
找到最佳解次數,34

stock[index](rank)
投資組合檔數,6
AAPL[0](1),DIS[6](6),HD[9](3),INTC[11](8),NKE[19](4),TRV[22](2),
Stock#,AAPL[0](1),DIS[6](6),HD[9](3),INTC[11](8),NKE[19](4),TRV[22](2),
張數,21538,20432,20996,64127,44802,19749,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,55.560000000055879,27.760000000242144,3.520000000018626,5.270000000018626,31.599999999860302,47.889999999897555,
FS( 1 ),1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,10000000.000000000000000
FS( 2 ),1669465.940000000176951,1668709.200000000186265,1678633.719999999972060,1660253.300000000046566,1669802.139999999897555,1671800.739999999990687,10018669.039999999105930
FS( 3 ),1657835.419999999925494,1669117.840000000083819,1667085.920000000158325,1693599.340000000083819,1657257.579999999841675,1678317.909999999916181,10023218.009999999776483
FS( 4 ),1636297.419999999925494,1643373.520000000484288,1652808.639999999897555,1677567.590000000083819,1631720.439999999944121,1682662.689999999944121,9924434.299999998882413
FS( 5 ),1610667.200000000186265,1616811.920000000158325,1619425.000000000000000,1698729.500000000000000,1586918.439999999944121,1678712.889999999897555,9811268.950000001117587
FS( 6 ),1610667.200000000186265,1625802.000000000000000,1619005.080000000074506,1725662.840000000083819,1633512.519999999785796,1673380.659999999916181,9888034.299999998882413
FS( 7 ),1631774.440000000176951,1644190.800000000279397,1632652.480000000214204,1730151.729999999981374,1647849.159999999916181,1694907.069999999832362,9981529.680000001564622
FS( 8 ),1610667.200000000186265,1583712.080000000307336,1612076.400000000139698,1694881.879999999888241,1623208.059999999823049,1678515.399999999906868,9803065.019999999552965
FS( 9 ),1598821.300000000046566,1573496.080000000307336,1589400.719999999972060,1678850.129999999888241,1596326.859999999869615,1684637.589999999850988,9721536.679999999701977
FS( 10 ),1605282.700000000186265,1585959.600000000325963,1595069.639999999897555,1703218.389999999897555,1621415.979999999748543,1688587.389999999897555,9799537.699999999254942
FS( 11 ),1593652.179999999934807,1586776.880000000121072,1593389.959999999962747,1716685.060000000055879,1619175.879999999888241,1696289.500000000000000,9805973.460000000894070
FS( 12 ),1596882.880000000121072,1613134.160000000381842,1607877.199999999953434,1726945.379999999888241,1637544.699999999720603,1713866.109999999869615,9896254.429999999701977
FS( 13 ),1615190.179999999934807,1634383.440000000176951,1618585.160000000149012,1733999.349999999860302,1658601.639999999897555,1711891.209999999962747,9972654.980000000447035
FS( 14 ),1634359.000000000000000,1616403.280000000260770,1636851.679999999934807,1728227.919999999925494,1655465.500000000000000,1706361.489999999990687,9977672.869999999180436
FS( 15 ),1636082.040000000037253,1623350.160000000381842,1672754.840000000083819,1721173.949999999953434,1665321.939999999944121,1716038.500000000000000,10034725.429999999701977
FS( 16 ),1614544.040000000037253,1624780.400000000139698,1648609.439999999944121,1715402.520000000018626,1659945.699999999720603,1740527.259999999776483,10003813.359999999403954
FS( 17 ),1747002.739999999990687,1626210.640000000363216,1674854.439999999944121,1715402.520000000018626,1644265.000000000000000,1749611.800000000046566,10157351.140000000596046
FS( 18 ),1759925.540000000037253,1598423.120000000344589,1666666.000000000000000,1683980.290000000037253,1628584.299999999813735,1744082.079999999841675,10081665.330000000074506
FS( 19 ),1827985.620000000111759,1589228.720000000204891,1683252.840000000083819,1688469.179999999934807,1605735.280000000027940,1770348.250000000000000,10165023.890000000596046
FS( 20 ),1822601.120000000111759,1606800.240000000223517,1669605.439999999944121,1698088.229999999981374,1623656.079999999841675,1795231.989999999990687,10215987.100000001490116
FS( 21 ),1815708.959999999962747,1621102.640000000363216,1669395.480000000214204,1711554.900000000139698,1634408.559999999823049,1788912.309999999823049,10241086.850000001490116
FS( 22 ),1820016.560000000055879,1625597.680000000400469,1665616.199999999953434,1696164.419999999925494,1633512.519999999785796,1793849.559999999823049,10234760.940000001341105
FS( 23 ),1823247.260000000242144,1640921.680000000400469,1667085.920000000158325,1693599.340000000083819,1634856.579999999841675,1797206.889999999897555,10256921.669999999925494
FS( 24 ),1849092.859999999869615,1659514.800000000279397,1652178.760000000009313,1678208.860000000102445,1642024.899999999906868,1790294.739999999990687,10271318.919999999925494
FS( 25 ),1829062.520000000018626,1655632.720000000204891,1625513.840000000083819,1680132.669999999925494,1618727.859999999869615,1775088.009999999776483,10184161.619999999180436
FS( 26 ),1822601.120000000111759,1640513.040000000270084,1618375.199999999953434,1691034.260000000009313,1616935.780000000027940,1798589.319999999832362,10188052.720000000670552
FS( 27 ),1809247.560000000055879,1667278.960000000195578,1617745.320000000065193,1689110.449999999953434,1636648.659999999916181,1801946.649999999906868,10221981.600000001490116
FS( 28 ),1801709.260000000242144,1674430.160000000381842,1631602.679999999934807,1686545.370000000111759,1645609.059999999823049,1803131.589999999850988,10243032.120000001043081
FS( 29 ),1824108.780000000027940,1684033.200000000186265,1643360.439999999944121,1691034.260000000009313,1672042.239999999757856,1817745.850000000093132,10332328.769999999552965
FS( 30 ),1826908.719999999972060,1677086.320000000298023,1622364.439999999944121,1696164.419999999925494,1671146.199999999720603,1834927.479999999748543,10328601.580000000074506
