代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10725744.389999998733401
真實報酬,725744.389999998733401

夏普值報酬,0.063874439000000
夏普值風險,0.025785572805771
夏普值,2.477138649629090

二次趨勢線,276.952130124038149 x^2 + -5135.858523240588511 x + 10000000.000000000000000
二次加權預期報酬,18682.024667426689120
風險,112010.667106578912353
二次加權趨勢值,0.166787906455825
一次趨勢線,8260.895678108228822 x + 10000000.000000000000000
一次預期報酬,8260.895678108228822
一次風險,171061.194650420977268
一次趨勢值,0.048292049491354
找到最佳解世代,2391
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
AAPL[0](3),BA[2](4),MRK[17](18),PG[21](2),VZ[26](1),
Stock#,AAPL[0](3),BA[2](4),MRK[17](18),PG[21](2),VZ[26](1),
張數,9923,5610,23598,18101,35298,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,19.349999999860302,259.400000000139698,69.500000000000000,20.510000000009313,15.320000000065193,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),2011709.139999999664724,1987097.000000000232831,2017934.480000000214204,2017919.989999999990687,2051888.060000000055879,10086548.669999999925494
FS( 3 ),2028379.779999999795109,1988836.100000000325963,2050735.700000000186265,2064982.590000000083819,2051888.060000000055879,10184822.230000000447035
FS( 4 ),2026593.639999999664724,1996634.000000000232831,2020058.299999999813735,2048148.660000000149012,2058241.700000000186265,10149676.300000000745058
FS( 5 ),1984817.810000000055879,1970042.600000000093132,1983245.420000000158325,2064439.560000000055879,2043416.540000000037253,10045961.929999999701977
FS( 6 ),1996923.869999999878928,1981094.300000000046566,2002595.780000000027940,2043804.419999999925494,1991175.500000000000000,10015593.870000001043081
FS( 7 ),2016670.639999999664724,1976662.400000000139698,2001651.859999999869615,2059009.260000000009313,2012001.320000000065193,10065995.480000000447035
FS( 8 ),2001984.599999999860302,2014249.400000000139698,1911507.500000000000000,2070412.889999999897555,2009177.480000000214204,10007331.869999999180436
FS( 9 ),2017365.250000000000000,2049760.699999999953434,1881538.040000000037253,2081454.500000000000000,2018707.939999999944121,10048826.429999999701977
FS( 10 ),2036318.179999999934807,2028891.500000000232831,1910563.579999999841675,2090323.989999999990687,2032474.159999999916181,10098571.410000000149012
FS( 11 ),2029272.849999999860302,2035286.900000000139698,1925430.320000000065193,2097745.400000000372529,2026473.500000000000000,10114208.970000000670552
FS( 12 ),2017861.399999999906868,2073266.600000000093132,1933217.660000000149012,2098650.450000000186265,2019766.880000000121072,10142762.990000000223517
FS( 13 ),2040783.529999999795109,2026086.500000000232831,1951388.119999999878928,2089599.949999999953434,2019413.900000000139698,10127272.000000000000000
FS( 14 ),2010319.919999999925494,2117249.000000000000000,1920710.719999999972060,2081816.520000000018626,1997529.140000000130385,10127625.300000000745058
FS( 15 ),2056263.409999999916181,2095145.600000000325963,1916463.079999999841675,2087065.810000000055879,1959054.320000000065193,10113992.220000000670552
FS( 16 ),2072338.669999999925494,2093182.100000000093132,1935813.439999999944121,2060819.359999999869615,1958348.359999999869615,10120501.929999999701977
FS( 17 ),2070651.759999999776483,2027881.700000000186265,1929206.000000000000000,2038193.109999999869615,1975644.380000000121072,10041576.950000001117587
FS( 18 ),2054278.810000000055879,1953044.300000000046566,1929206.000000000000000,2041270.280000000027940,1989410.600000000093132,9967209.990000000223517
FS( 19 ),2061423.369999999878928,1935709.400000000139698,1921654.640000000130385,2076748.239999999990687,2014825.159999999916181,10010360.810000000521541
FS( 20 ),2080673.989999999990687,1908837.500000000000000,1946668.519999999785796,2099736.509999999776483,2025061.580000000074506,10060978.099999999627471
FS( 21 ),2071743.289999999804422,1949510.000000000000000,1965074.959999999962747,2179561.919999999925494,1998941.060000000055879,10164831.230000000447035
FS( 22 ),2114015.269999999552965,1914279.200000000186265,1958467.519999999785796,2136662.549999999813735,1950935.780000000260770,10074360.320000000298023
FS( 23 ),2068270.239999999990687,1875626.300000000279397,1974986.119999999878928,2112950.240000000223517,1950582.800000000046566,9982415.700000001117587
FS( 24 ),2024509.810000000055879,1905191.000000000232831,1993392.560000000055879,2107700.950000000186265,1962231.140000000130385,9993025.460000000894070
FS( 25 ),1918532.169999999925494,1857506.000000000232831,1961535.260000000009313,2046881.590000000083819,1949170.880000000121072,9733625.900000000372529
FS( 26 ),1954850.349999999860302,1865303.900000000139698,1990560.799999999813735,2068602.790000000037253,1943170.219999999972060,9822488.060000000521541
FS( 27 ),1975093.269999999785796,1859301.200000000186265,1988201.000000000000000,2091048.030000000027940,1944582.140000000130385,9858225.640000000596046
FS( 28 ),2018655.239999999990687,1887182.900000000372529,1999528.040000000037253,2125801.950000000186265,1970349.680000000167638,10001517.810000000521541
FS( 29 ),1994443.119999999878928,1893914.900000000139698,2018170.459999999962747,2113855.290000000037253,1968937.760000000009313,9989321.530000001192093
FS( 30 ),1989382.389999999664724,1868052.800000000046566,2006371.459999999962747,2100279.540000000037253,1965760.939999999944121,9929847.129999998956919
FS( 31 ),2073628.659999999916181,1867604.000000000232831,2031385.339999999850988,2122362.759999999776483,1989763.580000000074506,10084744.339999999850988
FS( 32 ),2011907.599999999860302,1797815.600000000325963,1968142.700000000186265,2095935.300000000046566,1966819.880000000121072,9840621.080000000074506
FS( 33 ),2001885.369999999878928,1840339.400000000139698,1969558.579999999841675,2124896.900000000372529,1987292.719999999972060,9923972.970000000670552
FS( 34 ),2049118.849999999860302,1854083.900000000139698,2007315.380000000121072,2157297.690000000409782,1999647.020000000018626,10067462.839999999850988
FS( 35 ),2087322.399999999906868,1872765.199999999953434,2033981.119999999878928,2176484.750000000000000,2012001.320000000065193,10182554.789999999105930
FS( 36 ),2087421.629999999888241,1861376.900000000139698,2021238.200000000186265,2152229.410000000149012,1986233.780000000260770,10108499.920000001788139
FS( 37 ),2110046.069999999366701,1907603.300000000279397,2050971.679999999934807,2157659.709999999962747,1997529.140000000130385,10223809.900000000372529
FS( 38 ),2108259.929999999701977,1988499.500000000232831,2046488.060000000055879,2161641.929999999701977,2004235.760000000009313,10309125.179999999701977
FS( 39 ),2010816.069999999832362,1997475.500000000000000,2004483.619999999878928,2123629.830000000074506,1973879.480000000214204,10110284.500000000000000
FS( 40 ),2049019.619999999878928,2014473.800000000279397,2026665.739999999990687,2159831.830000000074506,2001764.900000000139698,10251755.890000000596046
FS( 41 ),2025899.029999999795109,1990294.700000000186265,2018170.459999999962747,2182096.059999999590218,2018354.959999999962747,10234815.209999999031425
FS( 42 ),2039493.539999999804422,2019691.100000000325963,2040824.540000000037253,2197481.910000000149012,2045534.420000000158325,10343025.509999999776483
FS( 43 ),2074025.579999999841675,2035230.800000000279397,2046488.060000000055879,2193499.690000000409782,2045181.439999999944121,10394425.570000000298023
FS( 44 ),2071346.369999999878928,2042804.300000000046566,2040588.560000000055879,2176303.740000000223517,2052947.000000000000000,10383989.970000000670552
FS( 45 ),2041180.449999999720603,1988555.600000000325963,2044836.200000000186265,2196757.870000000111759,2048711.239999999990687,10320041.359999999403954
FS( 46 ),2075811.719999999739230,2000392.699999999953434,2030677.399999999906868,2230244.719999999739230,2053652.959999999962747,10390779.500000000000000
FS( 47 ),2116396.790000000037253,2021542.400000000139698,2031857.299999999813735,2222099.270000000484288,2068125.140000000130385,10460020.900000002235174
FS( 48 ),2116198.330000000074506,2036689.400000000139698,2042948.359999999869615,2224090.379999999888241,2084715.200000000186265,10504641.669999998062849
FS( 49 ),2125228.259999999776483,2013015.199999999953434,1969794.560000000055879,2211419.679999999701977,2070596.000000000000000,10390053.699999999254942
FS( 50 ),2150333.450000000186265,2073098.300000000279397,1927790.119999999878928,2169968.389999999664724,2107658.900000000372529,10428849.160000000149012
FS( 51 ),2218702.919999999925494,2148552.799999999813735,1956815.660000000149012,2195128.780000000260770,2122484.060000000521541,10641684.220000000670552
FS( 52 ),2213741.419999999925494,2107543.700000000186265,1966018.880000000121072,2222280.280000000260770,2133073.459999999962747,10642657.740000002086163
FS( 53 ),2170675.599999999627471,2130713.000000000000000,1949500.280000000027940,2210514.629999999888241,2116483.400000000372529,10577886.910000000149012
FS( 54 ),2182087.049999999813735,2125607.900000000372529,1935813.439999999944121,2167615.259999999776483,2100246.320000000298023,10511369.970000000670552
FS( 55 ),2190025.450000000186265,2155621.400000000372529,1947140.480000000214204,2193137.669999999925494,2113306.580000000074506,10599231.580000000074506
FS( 56 ),2210566.059999999590218,2168019.500000000000000,1959175.459999999962747,2197662.919999999925494,2115424.459999999962747,10650848.399999998509884
FS( 57 ),2192605.429999999701977,2156967.799999999813735,1981593.560000000055879,2206532.410000000149012,2117189.360000000335276,10654888.559999998658895
FS( 58 ),2160554.139999999664724,2128637.299999999813735,2009675.179999999934807,2212686.750000000000000,2128131.740000000223517,10639685.109999999403954
FS( 59 ),2170377.910000000149012,2115397.700000000186265,1990796.780000000027940,2230425.730000000447035,2125307.900000000372529,10632306.020000001415610
FS( 60 ),2160057.990000000223517,2141315.900000000372529,1972862.299999999813735,2237485.120000000111759,2135897.299999999813735,10647618.609999999403954
FS( 61 ),2193300.040000000037253,2166841.400000000372529,1961063.299999999813735,2226805.530000000260770,2127425.780000000260770,10675436.050000000745058
FS( 62 ),2181987.819999999366701,2170712.299999999813735,1979469.739999999990687,2250155.820000000298023,2133426.440000000409782,10715752.120000001043081
FS( 63 ),2171370.209999999962747,2148104.000000000000000,1956579.679999999934807,2254862.080000000074506,2128484.719999999739230,10659400.689999997615814
FS( 64 ),2222473.660000000149012,2134696.100000000558794,1986549.140000000130385,2251422.889999999664724,2130602.599999999627471,10725744.389999998733401
