代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11616376.219999998807907
真實報酬,1616376.219999998807907

夏普值報酬,0.152937622000000
夏普值風險,0.048499858131213
夏普值,3.153362254921221

二次趨勢線,-179.877502544924283 x^2 + 39551.214421627460979 x + 10000000.000000000000000
二次加權預期報酬,24081.749202763970970
風險,111614.951403705825214
二次加權趨勢值,0.215757377483071
一次趨勢線,30850.163135733448144 x + 10000000.000000000000000
一次預期報酬,30850.163135733448144
一次風險,139675.070940282894298
一次趨勢值,0.220870932286286
找到最佳解世代,2314
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
AAPL[0](10),BA[2](2),DD[7](1),
Stock#,AAPL[0](10),BA[2](2),DD[7](1),
張數,57019,32287,72025,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,2.259999999776483,23.120000000111759,16.000000000000000,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3408598.079999999608845,3276185.010000000242144,3327571.000000000000000,10012355.089999999850988
FS( 3 ),3427414.349999999627471,3322032.550000000279397,3326130.500000000000000,10075578.400000000372529
FS( 4 ),3400045.229999999981374,3364328.520000000018626,3352779.750000000000000,10117154.500000000000000
FS( 5 ),3380658.769999999552965,3369817.310000000055879,3393834.000000000000000,10144311.080000000074506
FS( 6 ),3440528.719999999739230,3379826.280000000260770,3489627.250000000000000,10309983.250000000000000
FS( 7 ),3426844.159999999683350,3406301.620000000111759,3465859.000000000000000,10299005.779999999329448
FS( 8 ),3480442.019999999552965,3450857.680000000167638,3507633.500000000000000,10438934.199999999254942
FS( 9 ),3474169.929999999701977,3289099.810000000055879,3499710.750000000465661,10262981.490000000223517
FS( 10 ),3481582.399999999906868,3411467.540000000037253,3528520.750000000000000,10421571.689999999478459
FS( 11 ),3504390.000000000000000,3365297.130000000353903,3484585.500000000000000,10354273.630000000819564
FS( 12 ),3504960.189999999944121,3383377.850000000093132,3562372.500000000000000,10450711.539999999105930
FS( 13 ),3516934.179999999701977,3475072.930000000167638,3547247.250000000000000,10539255.359999999403954
FS( 14 ),3461625.750000000000000,3453440.640000000130385,3555890.250000000000000,10470957.640000000596046
FS( 15 ),3472459.359999999869615,3450211.939999999944121,3547967.500000000000000,10470639.800000000745058
FS( 16 ),3413159.599999999627471,3480238.850000000093132,3543646.000000000000000,10437045.449999999254942
FS( 17 ),3588207.929999999701977,3453117.770000000018626,3525639.750000000000000,10566966.449999999254942
FS( 18 ),3571672.419999999925494,3445046.020000000018626,3589021.750000000000000,10605741.189999999478459
FS( 19 ),3592199.259999999776483,3409530.319999999832362,3559491.500000000000000,10561222.080000000074506
FS( 20 ),3647507.689999999944121,3384023.590000000316650,3589742.000000000465661,10621274.280000001192093
FS( 21 ),3692552.700000000186265,3413727.630000000353903,3596224.250000000000000,10702505.580000000074506
FS( 22 ),3686280.609999999869615,3393386.819999999832362,3594063.500000000000000,10673731.929999999701977
FS( 23 ),3719921.819999999366701,3445046.020000000018626,3630796.249999999534339,10795765.089999999850988
FS( 24 ),3767817.779999999795109,3483790.420000000391155,3715065.500000000000000,10966674.699999999254942
