代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11571080.939999999478459
真實報酬,1571080.939999999478459

夏普值報酬,0.148408094000000
夏普值風險,0.048585314970794
夏普值,3.054587463088653

二次趨勢線,84.242829051448922 x^2 + 3201.608330738196400 x + 10000000.000000000000000
二次平均預期報酬,13731.961962169316394
風險,93417.399964808704681
二次平均趨勢值,0.146995762752360
一次趨勢線,11067.655621686742961 x + 10000000.000000000000000
一次預期報酬,11067.655621686742961
一次風險,173560.662377223750809
一次趨勢值,0.063768226452327
找到最佳解世代,2164
找到最佳解實驗#,1
找到最佳解次數,49

stock[index](rank)
投資組合檔數,7
AAPL[0](3),CAT[3](1),CSCO[4](5),DD[7](6),INTC[11](7),MCD[15](11),MRK[17](8),
Stock#,AAPL[0](3),CAT[3](1),CSCO[4](5),DD[7](6),INTC[11](7),MCD[15](11),MRK[17](8),
張數,18078,15895,64935,22868,55392,14817,28865,
分配資金,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,
剩餘資金,47.440000000176951,87.349999999860302,1.000000000000000,7.040000000037253,11.320000000065193,64.030000000027940,42.149999999906868,
FS( 1 ),1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,10000000.000000000000000
FS( 2 ),1397115.280000000260770,1427776.249999999767169,1427272.300000000046566,1422167.959999999962747,1428017.080000000074506,1430497.210000000195578,1435498.599999999860302,9968347.679999999701977
FS( 3 ),1404708.040000000270084,1409020.149999999906868,1429220.350000000093132,1419652.479999999981374,1410291.640000000130385,1420273.479999999981374,1435787.250000000000000,9928956.390000002458692
FS( 4 ),1394765.140000000363216,1413629.699999999953434,1448700.849999999860302,1403873.560000000055879,1417492.600000000093132,1428126.489999999990687,1446467.299999999813735,9953058.640000000596046
FS( 5 ),1403623.360000000102445,1416967.649999999906868,1447402.149999999906868,1405474.320000000065193,1408629.880000000121072,1413754.000000000000000,1437230.499999999767169,9933084.859999999403954
FS( 6 ),1385726.140000000363216,1426027.799999999813735,1434415.149999999906868,1387408.600000000093132,1401982.840000000083819,1414494.849999999860302,1429436.949999999953434,9879495.329999998211861
FS( 7 ),1376325.580000000074506,1438743.800000000046566,1442856.699999999953434,1390838.800000000046566,1414169.080000000074506,1419532.629999999888241,1439828.350000000093132,9922297.939999999478459
FS( 8 ),1383556.780000000260770,1428888.899999999906868,1440908.650000000139698,1364311.919999999925494,1412507.320000000065193,1405160.139999999897555,1533350.949999999720603,9968687.660000000149012
FS( 9 ),1411216.120000000111759,1439538.549999999813735,1455194.350000000093132,1389009.360000000102445,1468453.240000000223517,1410938.770000000018626,1529887.149999999906868,10104240.540000000968575
FS( 10 ),1439417.800000000279397,1468944.299999999813735,1479220.300000000046566,1402044.120000000111759,1477315.960000000195578,1414494.849999999860302,1516031.949999999953434,10197472.279999999329448
FS( 11 ),1431463.480000000214204,1462586.300000000046566,1479220.300000000046566,1403187.520000000018626,1470115.000000000000000,1423385.050000000046566,1515454.649999999906868,10185415.300000000745058
FS( 12 ),1396392.160000000149012,1453526.149999999906868,1476622.899999999906868,1402730.160000000149012,1431894.520000000251457,1406641.840000000083819,1499578.899999999906868,10067389.630000000819564
FS( 13 ),1418085.760000000242144,1440174.349999999860302,1482467.049999999813735,1495802.919999999925494,1417492.600000000093132,1408864.389999999897555,1496115.099999999860302,10159005.169999999925494
FS( 14 ),1424413.060000000288710,1424915.149999999906868,1483116.399999999906868,1487570.439999999944121,1401982.840000000083819,1405900.989999999990687,1482259.899999999906868,10110161.779999999329448
FS( 15 ),1436344.540000000270084,1406476.949999999953434,1464934.599999999860302,1456469.959999999962747,1392012.280000000027940,1412420.469999999972060,1489476.149999999906868,10058137.950000001117587
FS( 16 ),1410312.220000000204891,1369759.500000000000000,1441558.000000000000000,1413706.800000000046566,1374286.840000000083819,1399233.340000000083819,1500444.849999999860302,9909304.550000000745058
