代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13301992.710000000894070
真實報酬,3301992.710000000894070

夏普值報酬,0.321499271000000
夏普值風險,0.081984381276438
夏普值,3.921469748194558

二次趨勢線,-19.985659129271401 x^2 + 28463.266660558962030 x + 10000000.000000000000000
二次平均預期報酬,25885.116632882953127
風險,130536.031112527023652
二次平均趨勢值,0.198298633812215
一次趨勢線,26537.177923929404642 x + 10000000.000000000000000
一次預期報酬,26537.177923929404642
一次風險,135669.150092500902247
一次趨勢值,0.195602153517112
找到最佳解世代,2592
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](4),BA[2](1),DD[7](7),NKE[19](2),
Stock#,AAPL[0](4),BA[2](1),DD[7](7),NKE[19](2),
張數,42764,24215,54019,80205,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,16.560000000055879,43.399999999906868,0.680000000167638,10.149999999906868,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2556448.479999999981374,2457139.449999999720603,2495678.480000000447035,2511228.699999999720603,10020495.109999999403954
FS( 3 ),2570560.600000000093132,2491524.750000000000000,2494598.100000000093132,2520853.299999999813735,10077536.750000000000000
FS( 4 ),2550033.880000000353903,2523246.399999999906868,2514585.129999999888241,2552133.250000000000000,10139998.660000000149012
FS( 5 ),2535494.120000000111759,2527362.950000000186265,2545375.959999999962747,2555341.449999999720603,10163574.480000000447035
FS( 6 ),2580396.320000000298023,2534869.600000000093132,2617221.230000000447035,2564164.000000000000000,10296651.150000000372529
FS( 7 ),2570132.959999999962747,2554725.899999999906868,2599394.959999999962747,2550529.149999999906868,10274782.969999998807907
FS( 8 ),2610331.120000000111759,2588142.599999999627471,2630725.980000000447035,2555341.449999999720603,10384541.150000000372529
FS( 9 ),2605627.080000000074506,2466825.450000000186265,2624783.890000000130385,2553737.350000000093132,10250973.769999999552965
FS( 10 ),2611186.400000000372529,2558600.299999999813735,2646391.490000000223517,2540904.549999999813735,10357082.740000000223517
FS( 11 ),2628292.000000000000000,2523972.850000000093132,2613439.900000000372529,2514436.899999999906868,10280141.650000000372529
FS( 12 ),2628719.640000000130385,2537533.250000000000000,2671780.420000000391155,2540102.500000000000000,10378135.810000000521541
FS( 13 ),2637700.080000000074506,2606303.849999999627471,2660436.430000000167638,2539300.449999999720603,10443740.809999998658895
FS( 14 ),2596219.000000000000000,2590079.799999999813735,2666918.709999999962747,2540904.549999999813735,10394122.059999998658895
FS( 15 ),2604344.160000000149012,2587658.299999999813735,2660976.620000000111759,2538498.399999999906868,10391477.480000000447035
FS( 16 ),2559869.600000000093132,2610178.250000000000000,2657735.480000000447035,2534488.149999999906868,10362271.480000000447035
FS( 17 ),2691155.080000000074506,2589837.649999999906868,2644230.730000000447035,2512030.750000000000000,10437254.210000000894070
FS( 18 ),2678753.520000000018626,2583783.899999999906868,2691767.450000000186265,2506416.399999999906868,10460721.269999999552965
FS( 19 ),2694148.560000000055879,2557147.399999999906868,2669619.660000000149012,2508020.500000000000000,10428936.120000001043081
FS( 20 ),2735629.640000000130385,2538017.549999999813735,2692307.640000000130385,2515238.949999999720603,10481193.779999999329448
FS( 21 ),2769413.200000000186265,2560295.350000000093132,2697169.350000000093132,2520853.299999999813735,10547731.199999999254942
FS( 22 ),2764709.160000000149012,2545039.899999999906868,2695548.780000000260770,2523259.450000000186265,10528557.290000000968575
FS( 23 ),2789939.919999999925494,2583783.899999999906868,2723098.470000000204891,2645973.100000000093132,10742795.390000000596046
FS( 24 ),2825861.680000000167638,2612841.899999999906868,2786300.700000000186265,2658805.899999999906868,10883810.179999999701977
FS( 25 ),2867770.400000000372529,2603155.899999999906868,2806287.730000000447035,2662816.149999999906868,10940030.180000001564622
FS( 26 ),2842112.000000000000000,2592017.000000000000000,2773876.330000000074506,2668430.500000000000000,10876435.830000000074506
FS( 27 ),2840829.080000000540167,2577003.699999999720603,2791702.600000000093132,2632338.250000000000000,10841873.630000000819564
FS( 28 ),2816453.600000000093132,2562959.000000000000000,2839239.320000000298023,2649181.299999999813735,10867833.219999998807907
FS( 29 ),2776255.439999999944121,2550609.350000000093132,2926209.910000000149012,2659607.949999999720603,10912682.650000000372529
FS( 30 ),2855368.839999999850988,2524215.000000000000000,2882994.709999999962747,2667628.449999999720603,10930207.000000000000000
FS( 31 ),2990930.719999999739230,2572402.850000000093132,2913785.540000000037253,2639556.699999999720603,11116675.809999998658895
FS( 32 ),3045241.000000000000000,2522277.799999999813735,2904062.120000000111759,2580205.000000000000000,11051785.919999999925494
FS( 33 ),3041819.879999999888241,2487650.350000000093132,2858145.970000000204891,2546518.899999999906868,10934135.100000001490116
FS( 34 ),3068761.200000000186265,2505569.449999999720603,2837618.750000000000000,2552935.299999999813735,10964884.699999999254942
FS( 35 ),3101689.479999999981374,2535838.199999999720603,2817631.720000000204891,2594641.899999999906868,11049801.300000000745058
FS( 36 ),3061063.680000000167638,2533658.849999999627471,2842480.459999999962747,2592235.750000000000000,11029438.739999998360872
FS( 37 ),3069188.839999999850988,2516224.049999999813735,2857065.590000000316650,2572184.500000000000000,11014662.980000000447035
FS( 38 ),3072609.959999999962747,2546008.500000000000000,2860846.920000000391155,2601058.299999999813735,11080523.679999999701977
FS( 39 ),3060636.039999999571592,2554241.600000000093132,2980228.910000000149012,2574590.649999999906868,11169697.200000001117587
FS( 40 ),3072609.959999999962747,2555452.350000000093132,2973206.439999999944121,2563361.950000000186265,11164630.699999999254942
FS( 41 ),2984943.759999999776483,2499273.549999999813735,2889476.990000000223517,2519249.199999999720603,10892943.500000000000000
FS( 42 ),2999055.879999999888241,2500726.449999999720603,2880833.950000000186265,2541706.600000000093132,10922322.880000000819564
FS( 43 ),3003759.919999999925494,2540923.350000000093132,2886235.850000000093132,2545716.849999999627471,10976635.969999998807907
FS( 44 ),2976390.959999999962747,2516466.199999999720603,2877052.620000000111759,2519249.199999999720603,10889158.980000000447035
FS( 45 ),2984943.759999999776483,2542860.549999999813735,2880293.760000000242144,2578600.899999999906868,10986698.970000000670552
FS( 46 ),3046523.919999999925494,2575792.950000000186265,2906222.879999999888241,2612287.000000000000000,11140826.750000000000000
FS( 47 ),3025569.560000000055879,2582573.149999999906868,2954839.980000000447035,2621911.599999999627471,11184894.290000000968575
FS( 48 ),3043530.439999999944121,2568528.449999999720603,2966183.970000000204891,2605870.600000000093132,11184113.459999999031425
FS( 49 ),3092281.400000000372529,2595649.250000000000000,2985630.810000000521541,2622713.649999999906868,11296275.110000001266599
FS( 50 ),3021720.799999999813735,2619379.949999999720603,3075842.540000000037253,2679659.199999999720603,11396602.489999998360872
FS( 51 ),2857507.039999999571592,2645047.850000000093132,3065578.930000000167638,2710939.149999999906868,11279072.970000000670552
FS( 52 ),2887869.479999999981374,2658850.399999999906868,2989412.140000000130385,2730188.349999999627471,11266320.369999999180436
FS( 53 ),2839973.799999999813735,2695899.350000000093132,3067199.500000000000000,2723771.950000000186265,11326844.600000001490116
FS( 54 ),2749741.759999999776483,2800992.449999999720603,3061797.600000000093132,2735000.649999999906868,11347532.459999999031425
FS( 55 ),2781814.759999999776483,2835862.049999999813735,3054775.129999999888241,2739812.949999999720603,11412264.889999998733401
FS( 56 ),2838690.879999999888241,2867099.399999999906868,3143366.290000000037253,2786331.850000000093132,11635488.419999999925494
FS( 57 ),2885303.640000000130385,2882597.000000000000000,3123919.450000000186265,2787133.899999999906868,11678953.990000000223517
FS( 58 ),2855368.839999999850988,2824238.849999999627471,3054234.939999999944121,2782321.599999999627471,11516164.229999998584390
FS( 59 ),2997345.320000000298023,2845548.049999999813735,3018582.400000000372529,2766280.600000000093132,11627756.369999999180436
FS( 60 ),2987937.240000000223517,2881628.399999999906868,3008858.980000000447035,2784727.750000000000000,11663152.370000001043081
FS( 61 ),2941752.120000000111759,2869763.049999999813735,3066119.120000000111759,2763874.450000000186265,11641508.739999998360872
FS( 62 ),2970404.000000000000000,2890830.099999999627471,3076382.730000000447035,2820820.000000000000000,11758436.830000000074506
FS( 63 ),2949022.000000000000000,2875332.500000000000000,3001836.510000000242144,2953158.250000000000000,11779349.259999999776483
FS( 64 ),2912672.600000000093132,2845305.899999999906868,2954299.790000000037253,2913055.750000000000000,11625334.039999999105930
FS( 65 ),2981095.000000000000000,2851359.649999999906868,2947277.320000000298023,2904233.200000000186265,11683965.170000001788139
FS( 66 ),2990930.719999999739230,2853539.000000000000000,2976987.770000000018626,2883379.899999999906868,11704837.390000000596046
FS( 67 ),2953298.400000000372529,2790580.000000000000000,2982389.670000000391155,2872953.250000000000000,11599221.320000000298023
FS( 68 ),2950732.560000000055879,2838041.399999999906868,3076382.730000000447035,2893004.500000000000000,11758161.190000001341105
FS( 69 ),2979812.080000000540167,2825691.750000000000000,3027225.439999999944121,2860922.500000000000000,11693651.769999999552965
FS( 70 ),2938331.000000000000000,2795423.000000000000000,2963483.020000000018626,2818413.850000000093132,11515650.869999999180436
FS( 71 ),2972542.200000000186265,2771934.449999999720603,2994273.850000000093132,2843277.399999999906868,11582027.900000000372529
FS( 72 ),2991358.360000000335276,2879206.899999999906868,3107713.750000000000000,2945137.750000000000000,11923416.759999999776483
FS( 73 ),3010602.160000000149012,2856929.100000000093132,3159571.990000000223517,2945939.799999999813735,11973043.050000000745058
