代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12079958.679999999701977
真實報酬,2079958.679999999701977

夏普值報酬,0.199295868000000
夏普值風險,0.066670591036906
夏普值,2.989262055434261

二次趨勢線,112.045668615288704 x^2 + 4032.328331747324228 x + 10000000.000000000000000
二次平均預期報酬,18486.219583119567687
風險,159112.932048949529417
二次平均趨勢值,0.116183011305658
一次趨勢線,14830.566153784167909 x + 10000000.000000000000000
一次預期報酬,14830.566153784167909
一次風險,261277.103004654200049
一次趨勢值,0.056761828660968
找到最佳解世代,1834
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
HD[9](3),NKE[19](4),PG[21](1),UNH[23](2),WMT[28](7),
Stock#,HD[9](3),NKE[19](4),PG[21](1),UNH[23](2),WMT[28](7),
張數,24443,51282,25227,24423,26567,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,73.740000000223517,2.000000000000000,3.439999999944121,0.530000000027940,36.239999999990687,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),2003910.880000000353903,1994871.799999999813735,2007063.560000000055879,2014653.799999999813735,2009032.780000000027940,10029532.820000000298023
FS( 3 ),2005621.890000000130385,2011794.859999999869615,2017658.900000000139698,2035657.579999999841675,2012486.489999999990687,10083219.720000000670552
FS( 4 ),1990222.800000000279397,2016923.059999999823049,2022956.569999999832362,2008059.590000000083819,2020987.929999999701977,10059149.949999999254942
FS( 5 ),1974090.420000000391155,1991794.880000000121072,2032290.560000000055879,2000976.920000000158325,2036396.790000000037253,10035549.570000000298023
FS( 6 ),1973357.130000000353903,2017948.700000000186265,2060292.530000000027940,2020759.549999999813735,2051274.309999999823049,10123632.220000000670552
FS( 7 ),1940847.940000000409782,1987179.500000000000000,2058778.909999999916181,2004640.369999999878928,2047289.260000000009313,10038735.980000000447035
FS( 8 ),1945980.970000000204891,1982051.299999999813735,2047426.759999999776483,2023934.540000000037253,2040913.179999999701977,10040306.750000000000000
FS( 9 ),1942314.520000000018626,1998974.359999999869615,2051463.079999999841675,2058126.739999999990687,2033740.089999999850988,10084618.789999999105930
FS( 10 ),1952091.720000000204891,2001025.640000000130385,2049949.459999999962747,2049090.230000000214204,2041444.520000000018626,10093601.570000000298023
FS( 11 ),1947203.120000000111759,1972307.719999999972060,2041876.819999999832362,2045671.010000000242144,2041975.859999999869615,10049034.529999999329448
FS( 12 ),1944514.390000000130385,1962564.140000000130385,2028254.239999999990687,2078642.060000000055879,2035334.109999999869615,10049308.939999999478459
FS( 13 ),1957469.180000000167638,1987692.319999999832362,2032038.289999999804422,2088655.489999999990687,2048086.270000000018626,10113941.550000000745058
FS( 14 ),1948425.270000000018626,1969743.619999999878928,2025227.000000000000000,2077420.910000000149012,2039584.829999999841675,10060401.629999998956919
FS( 15 ),1968712.960000000428408,1975384.640000000130385,2020686.139999999897555,2101599.679999999701977,2036131.120000000111759,10102514.539999999105930
FS( 16 ),1980445.600000000093132,1984102.579999999841675,2017911.169999999925494,2098913.150000000372529,2045429.569999999832362,10126802.070000000298023
FS( 17 ),1984845.340000000316650,2015384.599999999860302,2024722.459999999962747,2092563.170000000158325,2028426.689999999944121,10145942.259999999776483
FS( 18 ),1980690.030000000260770,1992820.520000000018626,2007063.560000000055879,2068140.170000000158325,2018331.229999999981374,10067045.509999999776483
FS( 19 ),1981667.750000000000000,2010256.400000000139698,1999495.459999999962747,2094272.780000000027940,2011423.809999999823049,10097116.200000001117587
FS( 20 ),1979467.880000000353903,2002564.099999999860302,1984106.989999999990687,2058126.739999999990687,2004250.719999999972060,10028516.430000001564622
FS( 21 ),1998533.420000000391155,2041538.420000000158325,1971745.759999999776483,2025888.380000000121072,1986716.500000000000000,10024422.480000000447035
FS( 22 ),1976290.290000000037253,1977948.739999999990687,1950555.079999999841675,1979484.679999999934807,1954836.099999999860302,9839114.890000000596046
FS( 23 ),1949402.990000000223517,1968717.979999999981374,2009333.989999999990687,1990230.799999999813735,1953773.420000000158325,9871459.179999999701977
FS( 24 ),1956247.030000000260770,1978461.559999999823049,1998486.379999999888241,2009280.739999999990687,1953773.420000000158325,9896249.130000000819564
FS( 25 ),1956247.030000000260770,1972307.719999999972060,2003279.509999999776483,1978019.299999999813735,1948460.020000000018626,9858313.580000000074506
FS( 26 ),1968224.100000000093132,1977948.739999999990687,2045660.870000000111759,1990475.030000000027940,1971307.640000000130385,9953616.380000000819564
FS( 27 ),1967001.950000000186265,1957435.940000000176951,2021695.219999999972060,1935767.510000000242144,1964665.890000000130385,9846566.510000001639128
FS( 28 ),2014910.230000000447035,1975897.459999999962747,2042129.090000000083819,1956771.290000000037253,1983794.130000000121072,9973502.200000001117587
FS( 29 ),2025909.580000000074506,1975897.459999999962747,2055499.400000000139698,1950665.540000000037253,1975558.359999999869615,9983530.339999999850988
FS( 30 ),2026887.300000000279397,1967692.339999999850988,2053985.780000000027940,1959213.590000000083819,1971838.979999999981374,9979617.990000000223517
FS( 31 ),2031775.900000000372529,1981025.660000000149012,2055499.400000000139698,1990719.260000000242144,1966791.250000000000000,10025811.470000000670552
FS( 32 ),2049863.720000000204891,1982051.299999999813735,2067356.090000000083819,1998290.389999999897555,1976355.370000000111759,10073916.870000001043081
FS( 33 ),2045708.410000000149012,1977948.739999999990687,2063067.500000000000000,1989742.340000000083819,1963337.540000000037253,10039804.530000001192093
FS( 34 ),2043264.110000000335276,2014358.959999999962747,2079717.319999999832362,2010990.350000000093132,1979012.069999999832362,10127342.810000000521541
