代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10624823.559999998658895
真實報酬,624823.559999998658895

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,35324.977457489854714
風險,28615.573964494502434
起點值,1.234466850160693
找到最佳解世代,3112
找到最佳解實驗#,1
找到最佳解次數,45

stock[index](rank)
投資組合檔數,8
AAPL[0](6),BA[2](17),JNJ[12](27),JPM[13](1),NKE[19](21),UTX[24](5),VZ[26](16),WBA[27](14),
Stock#,AAPL[0](6),BA[2](17),JNJ[12](27),JPM[13](1),NKE[19](21),UTX[24](5),VZ[26](16),WBA[27](14),
張數,10536,8546,12397,22534,27197,10722,26607,16691,
分配資金,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,
剩餘資金,114.320000000065193,62.040000000037253,10.489999999990687,39.020000000018626,25.879999999888241,29.239999999990687,3.140000000130385,11.010000000009313,
FS( 1 ),1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,10000000.000000000000000
FS( 2 ),1250210.720000000204891,1259229.680000000167638,1270207.109999999869615,1278167.500000000000000,1269581.839999999850988,1274767.820000000065193,1272615.950000000186265,1248330.900000000139698,10123111.520000001415610
FS( 3 ),1259798.479999999981374,1258204.159999999916181,1256570.409999999916181,1270505.940000000176951,1258431.070000000065193,1262973.620000000111759,1271817.739999999990687,1246327.979999999981374,10084629.400000000372529
FS( 4 ),1263802.160000000149012,1269997.639999999897555,1270207.109999999869615,1279294.200000000186265,1269309.869999999878928,1287848.659999999916181,1273414.160000000149012,1248330.900000000139698,10162204.700000001117587
FS( 5 ),1253160.800000000046566,1264870.040000000037253,1253347.189999999944121,1304532.280000000027940,1248368.179999999934807,1284632.060000000055879,1312526.450000000186265,1271030.660000000149012,10192467.660000000149012
FS( 6 ),1261484.239999999990687,1261280.720000000204891,1236983.149999999906868,1302954.900000000139698,1239937.109999999869615,1279378.280000000027940,1306140.770000000251457,1275203.410000000149012,10163362.580000000074506
FS( 7 ),1285717.040000000037253,1265211.879999999888241,1244049.439999999944121,1317376.660000000149012,1261422.739999999990687,1280236.040000000037253,1317315.709999999962747,1280043.800000000046566,10251373.310000000521541
FS( 8 ),1315850.000000000000000,1264186.359999999869615,1244421.349999999860302,1315348.599999999860302,1241840.899999999906868,1272623.419999999925494,1325297.810000000288710,1327446.239999999990687,10307014.679999999701977
FS( 9 ),1332496.879999999888241,1265639.180000000167638,1220371.169999999925494,1342389.400000000139698,1251087.879999999888241,1282273.219999999972060,1317581.780000000260770,1334623.369999999878928,10346462.879999998956919
FS( 10 ),1339029.199999999953434,1279654.619999999878928,1234999.630000000121072,1344642.800000000046566,1251631.820000000065193,1300071.739999999990687,1311994.310000000288710,1314093.440000000176951,10376117.560000000521541
FS( 11 ),1346931.199999999953434,1281278.359999999869615,1245165.169999999925494,1354332.420000000158325,1249184.089999999850988,1300822.280000000027940,1308535.400000000139698,1301909.010000000009313,10388157.929999999701977
FS( 12 ),1356308.239999999990687,1291960.859999999869615,1239214.609999999869615,1337882.599999999860302,1273117.449999999953434,1308006.020000000018626,1302149.719999999972060,1298403.900000000139698,10407043.400000000372529
FS( 13 ),1353463.520000000018626,1314009.540000000037253,1248388.390000000130385,1334727.839999999850988,1274205.329999999841675,1317870.260000000009313,1301351.510000000009313,1286887.109999999869615,10430903.500000000000000
FS( 14 ),1364526.320000000065193,1352979.300000000046566,1242933.709999999962747,1347572.219999999972060,1291067.469999999972060,1330736.659999999916181,1302947.930000000167638,1287387.839999999850988,10520151.449999999254942
FS( 15 ),1401402.320000000065193,1322470.080000000074506,1241941.950000000186265,1337431.920000000158325,1292155.349999999860302,1326555.080000000074506,1297626.530000000260770,1311756.699999999953434,10531339.929999999701977
FS( 16 ),1392657.439999999944121,1319393.520000000018626,1248388.390000000130385,1370556.900000000139698,1297594.750000000000000,1327305.620000000111759,1309599.680000000167638,1341800.500000000000000,10607296.800000000745058
FS( 17 ),1357045.760000000009313,1307685.500000000000000,1254710.859999999869615,1377767.780000000027940,1316632.649999999906868,1322802.380000000121072,1309067.540000000270084,1335457.920000000158325,10581170.389999998733401
FS( 18 ),1374219.439999999944121,1296746.619999999878928,1274422.089999999850988,1387682.739999999990687,1319080.379999999888241,1315296.979999999981374,1313590.729999999981374,1362831.160000000149012,10643870.140000000596046
FS( 19 ),1353568.880000000121072,1289226.139999999897555,1270826.959999999962747,1380922.540000000037253,1320712.199999999953434,1307148.260000000009313,1315719.290000000270084,1386699.290000000037253,10624823.559999998658895
