代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10413297.890000000596046
真實報酬,413297.890000000596046

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,22861.296540069721232
風險,19513.474905077597214
起點值,1.171564606062090
找到最佳解世代,2315
找到最佳解實驗#,1
找到最佳解次數,49

stock[index](rank)
投資組合檔數,7
AXP[1](13),BA[2](2),CVX[5](11),HD[9](4),KO[14](26),UTX[24](1),V[25](12),
Stock#,AXP[1](13),BA[2](2),CVX[5](11),HD[9](4),KO[14](26),UTX[24](1),V[25](12),
張數,14598,5264,11953,7918,31076,11892,12901,
分配資金,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,
剩餘資金,10.719999999972060,26.679999999934807,67.969999999972060,5.440000000176951,7.280000000027940,103.959999999962747,43.270000000018626,
FS( 1 ),1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,10000000.000000000000000
FS( 2 ),1439227.540000000037253,1463260.760000000009313,1444468.489999999990687,1464043.640000000130385,1436650.760000000009313,1427619.640000000130385,1385997.700000000186265,10061271.530000001192093
FS( 3 ),1440979.299999999813735,1450469.239999999990687,1439089.639999999897555,1447811.740000000223517,1437583.040000000037253,1430592.640000000130385,1400833.850000000093132,10047362.449999999254942
FS( 4 ),1433680.299999999813735,1464839.959999999729916,1429766.300000000046566,1431579.840000000316650,1443487.480000000214204,1441414.360000000102445,1415799.010000000009313,10060570.250000000000000
FS( 5 ),1439081.560000000055879,1484316.760000000009313,1430005.359999999869615,1441081.440000000176951,1422666.560000000055879,1455684.760000000009313,1437214.670000000158325,10110054.109999999403954
FS( 6 ),1438643.619999999878928,1505004.279999999795109,1433471.729999999981374,1452245.820000000065193,1408060.840000000083819,1460560.479999999981374,1452695.869999999878928,10150685.639999998733401
FS( 7 ),1445212.719999999972060,1490580.920000000158325,1439448.229999999981374,1443060.940000000176951,1408682.359999999869615,1466387.559999999823049,1449728.640000000130385,10143104.370000001043081
FS( 8 ),1450613.979999999981374,1526270.839999999850988,1430603.010000000009313,1439497.840000000316650,1407439.320000000065193,1468528.120000000111759,1463790.729999999981374,10186746.839999999850988
FS( 9 ),1427403.159999999916181,1536272.439999999711290,1433591.260000000009313,1449236.980000000214204,1426395.679999999934807,1478279.559999999823049,1461855.580000000074506,10213037.660000000149012
FS( 10 ),1418206.420000000158325,1547011.000000000000000,1428810.060000000055879,1442110.780000000027940,1430435.560000000055879,1471857.880000000121072,1456824.189999999944121,10195258.890000000596046
FS( 11 ),1438205.679999999934807,1547326.839999999850988,1431200.659999999916181,1445673.880000000353903,1435407.719999999972060,1500517.600000000093132,1468435.089999999850988,10266770.470000000670552
FS( 12 ),1455139.360000000102445,1558907.639999999897555,1430842.070000000065193,1462697.580000000074506,1427327.959999999962747,1506939.279999999795109,1464951.820000000065193,10306808.710000000894070
FS( 13 ),1447402.420000000158325,1564750.679999999934807,1432515.489999999990687,1472595.080000000074506,1433543.160000000149012,1507771.719999999972060,1446761.409999999916181,10305342.960000000894070
FS( 14 ),1438059.699999999953434,1568172.279999999795109,1445066.139999999897555,1483126.020000000251457,1431989.359999999869615,1510387.959999999962747,1446503.390000000130385,10323307.850000001490116
FS( 15 ),1437913.719999999972060,1553064.599999999860302,1492041.429999999934807,1489222.880000000353903,1417072.880000000121072,1514074.479999999981374,1450244.679999999934807,10353637.669999999925494
FS( 16 ),1441417.239999999990687,1553433.080000000074506,1493953.909999999916181,1489618.780000000027940,1416762.120000000111759,1513123.120000000111759,1453856.959999999962747,10362168.210000000894070
FS( 17 ),1438935.579999999841675,1554801.719999999972060,1505906.909999999916181,1507275.920000000391155,1423598.840000000083819,1512052.840000000083819,1457727.260000000009313,10400302.070000000298023
FS( 18 ),1447110.459999999962747,1556170.359999999869615,1500767.119999999878928,1505929.860000000102445,1427327.959999999962747,1517285.319999999832362,1471015.290000000037253,10425609.370000001043081
FS( 19 ),1455431.320000000065193,1560013.080000000074506,1501125.709999999962747,1502683.480000000214204,1420802.000000000000000,1523707.000000000000000,1475272.619999999878928,10439038.209999999031425
FS( 20 ),1449738.100000000093132,1552432.920000000158325,1496464.040000000037253,1500703.980000000214204,1425774.160000000149012,1517166.399999999906868,1471015.290000000037253,10413297.890000000596046
