代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10295645.209999999031425
真實報酬,295645.209999999031425

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,17107.334871080096491
風險,21677.985236738619278
起點值,0.789157049617672
找到最佳解世代,2641
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
AAPL[0](1),AXP[1](5),HD[9](4),MCD[15](3),PG[21](7),
Stock#,AAPL[0](1),AXP[1](5),HD[9](4),MCD[15](3),PG[21](7),
張數,17219,26542,14890,16719,23752,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,13.149999999906868,60.300000000046566,124.099999999860302,73.219999999972060,81.599999999860302,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),1997761.529999999795109,2024153.220000000204891,2017719.099999999860302,1997659.340000000083819,2007125.599999999860302,10044418.789999999105930
FS( 3 ),2007920.739999999990687,1999203.739999999757856,1993895.099999999860302,2001337.520000000018626,2020426.719999999972060,10022783.820000000298023
FS( 4 ),2030305.439999999944121,2003185.040000000037253,1988385.799999999813735,2019059.660000000149012,2019714.159999999916181,10060650.099999999627471
FS( 5 ),2048901.959999999729916,2013536.419999999925494,2000000.000000000000000,2013542.390000000130385,2004750.399999999906868,10080731.169999999925494
FS( 6 ),2050968.239999999990687,2034504.600000000093132,2026653.099999999860302,2010532.969999999972060,1983136.079999999841675,10105794.989999998360872
FS( 7 ),2061988.399999999906868,2041405.520000000018626,2020697.099999999627471,2021065.939999999944121,1989311.599999999860302,10134468.559999998658895
FS( 8 ),2053378.899999999906868,2040609.260000000009313,2011316.399999999674037,2041463.119999999878928,1991449.280000000027940,10138216.959999999031425
FS( 9 ),2049762.909999999916181,2033708.340000000083819,2010869.699999999720603,2031431.719999999972060,1995487.119999999878928,10121259.789999999105930
FS( 10 ),2066293.149999999906868,2033177.500000000000000,2024121.800000000046566,2052330.469999999972060,2023989.519999999785796,10199912.439999999478459
FS( 11 ),2066120.959999999729916,2056799.879999999888241,2027546.499999999767169,2051661.709999999962747,2017338.959999999962747,10219468.009999999776483
FS( 12 ),2062504.969999999972060,2035566.280000000027940,2016081.199999999720603,2042800.640000000130385,2011876.000000000000000,10168829.089999999850988
FS( 13 ),2066293.149999999906868,2022560.700000000186265,2019208.099999999860302,2044138.160000000149012,2077194.000000000000000,10229394.109999999403954
FS( 14 ),2067670.669999999925494,2016456.040000000037253,2055986.399999999674037,2029425.439999999944121,2065555.519999999785796,10235094.069999998435378
FS( 15 ),2065776.579999999841675,2055207.360000000335276,2055837.500000000000000,2023908.169999999925494,2086932.319999999832362,10287661.929999999701977
FS( 16 ),2098664.869999999646097,2040874.680000000167638,2047201.299999999813735,2036280.229999999981374,2070305.919999999692664,10293327.000000000000000
FS( 17 ),2099698.009999999776483,2041936.360000000335276,2061793.500000000000000,2037784.939999999944121,2057004.799999999813735,10298217.609999999403954
FS( 18 ),2099870.200000000186265,2039813.000000000000000,2059857.800000000046566,2054169.560000000055879,2059855.039999999804422,10313565.599999999627471
FS( 19 ),2094360.119999999878928,2051226.060000000055879,2061942.399999999906868,2056844.599999999860302,2060567.599999999860302,10324940.779999999329448
FS( 20 ),2089538.799999999813735,2027338.260000000009313,2048690.300000000046566,2049321.049999999813735,2080756.799999999813735,10295645.209999999031425
