代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13333416.179999997839332
真實報酬,3333416.179999997839332

夏普值報酬,0.324641618000000
夏普值風險,0.111002365623494
夏普值,2.924636931623092

二次趨勢線,60.520322531157277 x^2 + 508.093582414512866 x + 10000000.000000000000000
二次平均預期報酬,15880.255505328459549
風險,316032.789565602084622
二次平均趨勢值,0.050248759083374
一次趨勢線,12014.475140098624252 x + 10000000.000000000000000
一次預期報酬,12014.475140098624252
一次風險,537880.084195106057450
一次趨勢值,0.022336716850332
找到最佳解世代,1894
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
AAPL[0](4),HD[9](3),KO[14](9),V[25](1),VZ[26](11),WMT[28](13),
Stock#,AAPL[0](4),HD[9](3),KO[14](9),V[25](1),VZ[26](11),WMT[28](13),
張數,33765,47080,49930,84175,45951,30693,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,25.600000000093132,34.000000000000000,2.599999999860302,1.000000000000000,23.229999999748543,36.100000000093132,
FS( 1 ),1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,10000000.000000000000000
FS( 2 ),1669367.199999999953434,1652071.200000000186265,1648691.199999999953434,1698652.500000000000000,1662070.899999999906868,1643646.250000000000000,9974503.250000000000000
FS( 3 ),1656536.500000000232831,1630414.400000000139698,1636208.699999999953434,1664982.500000000000000,1637257.359999999869615,1647022.479999999981374,9872425.940000001341105
FS( 4 ),1630537.449999999953434,1614407.199999999953434,1633212.899999999906868,1645622.250000000000000,1617957.939999999711290,1650091.780000000027940,9791833.519999999552965
FS( 5 ),1601499.550000000046566,1616290.399999999906868,1627720.599999999860302,1679292.250000000000000,1625769.609999999869615,1652240.290000000037253,9802816.699999999254942
FS( 6 ),1602512.500000000232831,1605462.000000000000000,1632713.600000000093132,1614477.500000000000000,1649664.129999999655411,1647943.270000000018626,9752777.000000000000000
FS( 7 ),1599136.000000000000000,1616290.399999999906868,1645196.100000000093132,1608585.250000000000000,1639095.399999999906868,1645794.760000000009313,9754101.910000000149012
FS( 8 ),1572124.000000000232831,1575801.599999999860302,1632713.600000000093132,1571548.250000000232831,1617038.919999999692664,1618171.060000000055879,9587401.429999999701977
FS( 9 ),1575500.500000000000000,1577684.799999999813735,1625723.399999999906868,1575757.000000000000000,1637257.359999999869615,1615101.760000000009313,9607028.819999998435378
FS( 10 ),1603525.450000000186265,1636064.000000000000000,1638205.899999999906868,1597642.500000000000000,1634959.809999999590218,1624002.729999999981374,9734404.389999998733401
FS( 11 ),1576175.800000000046566,1595104.400000000139698,1622228.300000000046566,1574915.250000000000000,1613822.349999999627471,1605893.860000000102445,9588143.959999999031425
FS( 12 ),1568409.850000000093132,1624294.000000000000000,1634710.800000000046566,1575757.000000000000000,1619336.469999999739230,1621547.290000000037253,9644059.410000000149012
FS( 13 ),1544774.350000000093132,1625706.400000000139698,1638205.899999999906868,1566497.750000000000000,1631743.239999999757856,1621240.360000000102445,9628172.000000000000000
FS( 14 ),1521138.850000000093132,1637005.600000000093132,1643698.199999999953434,1558080.250000000232831,1638176.379999999655411,1627992.820000000065193,9626096.099999999627471
FS( 15 ),1569085.150000000139698,1668078.399999999906868,1654183.500000000000000,1578282.250000000000000,1653799.719999999739230,1635666.070000000065193,9759099.089999999850988
FS( 16 ),1556254.450000000186265,1644538.399999999906868,1657678.600000000093132,1571548.250000000232831,1651502.169999999692664,1627072.030000000027940,9708597.900000000372529
FS( 17 ),1597785.400000000139698,1678436.000000000000000,1622228.300000000046566,1585016.249999999767169,1656556.779999999562278,1635666.070000000065193,9775692.799999998882413
FS( 18 ),1574149.899999999906868,1651600.399999999906868,1621229.699999999720603,1543770.500000000000000,1654259.229999999748543,1608656.229999999981374,9653669.959999999031425
FS( 19 ),1601499.550000000046566,1657250.000000000232831,1627720.599999999860302,1554713.250000000000000,1672639.629999999655411,1604973.070000000065193,9718800.099999999627471
FS( 20 ),1617031.450000000186265,1697738.800000000046566,1648691.199999999953434,1584174.500000000000000,1680451.299999999813735,1612339.390000000130385,9840430.640000000596046
FS( 21 ),1611291.400000000139698,1693972.399999999906868,1665168.099999999860302,1821548.000000000000000,1687343.949999999720603,1615715.620000000111759,10095043.469999998807907
FS( 22 ),1619057.350000000093132,1705271.599999999860302,1680147.099999999860302,1773568.250000000000000,1710778.959999999497086,1631062.120000000111759,10119889.379999998956919
FS( 23 ),1655861.199999999953434,1729282.399999999906868,1700119.099999999627471,1851009.249999999767169,1736971.029999999562278,1642418.530000000027940,10315665.509999997913837
FS( 24 ),1685574.400000000139698,1722691.200000000186265,1705112.099999999860302,1858584.999999999767169,1737890.049999999813735,1638735.370000000111759,10348592.120000001043081
FS( 25 ),1696716.850000000093132,1721749.600000000093132,1711103.699999999953434,1856059.750000000000000,1725023.769999999785796,1648864.060000000055879,10359521.730000000447035
