代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12925674.099999999627471
真實報酬,2925674.099999999627471

夏普值報酬,0.283867410000000
夏普值風險,0.085668674428981
夏普值,3.313549694705800

二次趨勢線,28.210262214618304 x^2 + 6079.862349151025228 x + 10000000.000000000000000
二次平均預期報酬,13217.058689449457233
風險,112423.638091099914163
二次平均趨勢值,0.117564765861245
一次趨勢線,11422.159807829852070 x + 10000000.000000000000000
一次預期報酬,11422.159807829852070
一次風險,230551.794543107156642
一次趨勢值,0.049542706143171
找到最佳解世代,1568
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,7
AAPL[0](8),CAT[3](2),DD[7](1),INTC[11](7),MCD[15](21),MRK[17](9),MSFT[18](3),
Stock#,AAPL[0](8),CAT[3](2),DD[7](1),INTC[11](7),MCD[15](21),MRK[17](9),MSFT[18](3),
張數,21897,16918,28339,61576,14430,29406,45108,
分配資金,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,
剩餘資金,10.720000000204891,15.080000000074506,2.010000000009313,7.800000000046566,1.000000000000000,27.520000000018626,0.639999999897555,
FS( 1 ),1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,10000000.000000000000000
FS( 2 ),1446964.480000000214204,1426202.479999999981374,1461727.629999999888241,1429802.520000000018626,1431457.000000000000000,1427394.760000000009313,1438494.760000000009313,10062046.629999998956919
FS( 3 ),1468423.540000000270084,1413683.160000000149012,1472213.060000000055879,1411329.720000000204891,1433044.300000000046566,1427100.699999999953434,1429924.239999999757856,10055721.720000000670552
FS( 4 ),1455285.340000000083819,1396257.620000000111759,1455209.660000000149012,1403940.600000000093132,1424097.699999999953434,1424454.159999999916181,1424511.279999999795109,9983759.359999999403954
FS( 5 ),1454628.430000000400469,1394565.820000000298023,1464561.530000000027940,1397783.000000000000000,1418902.899999999906868,1427688.819999999832362,1446163.120000000111759,10004296.620000001043081
FS( 6 ),1442147.140000000130385,1420450.359999999869615,1489499.850000000093132,1382389.000000000000000,1414718.200000000186265,1425336.340000000083819,1483602.760000000009313,10058146.650000000372529
FS( 7 ),1421563.960000000195578,1429755.260000000242144,1535125.640000000130385,1386083.560000000055879,1408657.600000000093132,1422983.860000000102445,1475032.239999999990687,10079205.120000001043081
FS( 8 ),1462073.410000000149012,1460376.839999999850988,1512454.439999999944121,1394088.440000000176951,1400288.200000000186265,1425336.340000000083819,1482700.599999999860302,10137321.269999999552965
FS( 9 ),1531486.900000000139698,1464606.339999999850988,1528607.669999999925494,1386699.320000000065193,1391774.500000000000000,1424160.100000000093132,1453831.479999999748543,10181169.310000000521541
FS( 10 ),1559296.090000000083819,1451917.839999999850988,1523506.649999999906868,1389778.120000000111759,1386868.300000000046566,1428276.939999999944121,1459244.439999999944121,10198891.379999998956919
FS( 11 ),1557544.330000000074506,1452594.560000000055879,1499418.500000000000000,1356527.080000000074506,1376478.699999999953434,1410633.340000000083819,1433983.959999999962747,10087183.470000002533197
FS( 12 ),1571339.440000000409782,1440751.959999999962747,1488649.679999999934807,1349753.720000000204891,1371283.899999999906868,1402693.720000000204891,1434435.040000000037253,10058910.460000000894070
FS( 13 ),1588200.130000000121072,1424510.680000000167638,1478164.250000000000000,1371921.080000000074506,1377777.400000000139698,1399165.000000000000000,1415940.760000000009313,10055682.300000000745058
FS( 14 ),1567397.980000000214204,1418758.560000000055879,1491200.189999999944121,1386699.320000000065193,1378066.000000000000000,1398576.880000000121072,1426315.599999999860302,10067017.530000001192093
FS( 15 ),1571558.410000000149012,1403194.000000000000000,1498851.719999999972060,1365147.720000000204891,1372438.300000000046566,1395636.280000000027940,1425864.519999999785796,10032693.949999999254942
FS( 16 ),1573310.170000000158325,1424003.140000000130385,1500835.449999999953434,1370689.560000000055879,1377488.799999999813735,1405928.380000000121072,1461048.760000000009313,10113307.259999999776483
FS( 17 ),1567179.010000000009313,1419266.100000000093132,1563464.640000000130385,1381773.240000000223517,1372726.899999999906868,1403575.899999999906868,1567503.639999999897555,10275492.430000001564622
FS( 18 ),1573310.170000000158325,1413683.160000000149012,1559780.570000000065193,1371921.080000000074506,1375324.300000000046566,1400341.239999999990687,1540438.839999999850988,10234802.359999999403954
FS( 19 ),1528421.320000000065193,1399133.680000000167638,1515855.120000000111759,1366379.240000000223517,1368542.199999999953434,1385344.179999999934807,1500292.719999999739230,10063971.460000000894070
FS( 20 ),1535647.330000000074506,1394904.180000000167638,1511320.879999999888241,1372536.840000000083819,1386435.399999999906868,1384756.060000000055879,1489466.800000000046566,10075070.490000002086163
FS( 21 ),1538056.000000000000000,1396257.620000000111759,1514154.780000000027940,1358374.359999999869615,1368830.800000000046566,1385050.120000000111759,1513374.039999999804422,10074100.719999998807907
FS( 22 ),1524041.920000000158325,1396426.800000000279397,1509337.149999999906868,1353448.280000000027940,1361615.800000000046566,1390637.260000000009313,1506607.839999999850988,10042118.050000000745058
FS( 23 ),1528421.320000000065193,1395919.260000000242144,1511037.489999999990687,1358990.120000000111759,1363924.599999999860302,1388284.780000000027940,1438043.679999999934807,9984624.250000000000000
FS( 24 ),1559953.000000000000000,1413344.800000000279397,1524640.209999999962747,1394088.440000000176951,1373159.800000000046566,1402105.600000000093132,1407370.239999999757856,10074665.089999999850988
FS( 25 ),1549223.470000000204891,1403363.180000000167638,1550145.310000000055879,1391625.400000000139698,1380374.800000000046566,1397106.580000000074506,1409174.559999999823049,10081016.300000002607703
FS( 26 ),1558420.210000000195578,1410807.100000000093132,1556096.500000000000000,1395935.720000000204891,1389032.800000000046566,1396518.459999999962747,1405114.839999999850988,10111928.630000000819564
FS( 27 ),1583382.790000000270084,1448026.700000000186265,1566298.540000000037253,1410713.959999999962747,1391774.500000000000000,1403869.959999999962747,1428119.919999999925494,10232189.369999999180436
FS( 28 ),1547252.740000000223517,1465283.060000000055879,1613624.669999999925494,1415640.040000000037253,1398123.699999999953434,1410927.399999999906868,1461048.760000000009313,10311903.370000001043081
FS( 29 ),1463168.260000000009313,1474080.419999999925494,1608240.260000000009313,1404556.359999999869615,1406348.799999999813735,1415632.360000000102445,1476836.560000000055879,10248866.019999999552965
FS( 30 ),1478715.130000000121072,1469174.200000000186265,1568282.270000000018626,1393472.679999999934807,1402308.400000000139698,1407104.620000000111759,1474581.159999999683350,10193641.460000000894070
FS( 31 ),1454190.490000000223517,1472050.260000000242144,1609090.429999999934807,1443349.240000000223517,1404761.500000000000000,1405340.260000000009313,1489917.879999999888241,10278703.060000002384186
FS( 32 ),1407987.820000000065193,1474926.320000000298023,1606256.530000000027940,1440270.440000000176951,1409956.299999999813735,1417102.659999999916181,1479543.039999999804422,10236046.109999999403954
FS( 33 ),1424410.570000000065193,1473065.339999999850988,1602572.459999999962747,1461822.040000000037253,1412986.600000000093132,1411809.580000000074506,1485407.079999999841675,10272076.669999999925494
FS( 34 ),1453533.580000000074506,1486092.200000000186265,1649048.419999999925494,1471674.199999999953434,1424242.000000000000000,1423277.919999999925494,1502999.199999999953434,10410870.519999999552965
