代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,15712091.510000001639128
真實報酬,5712091.510000001639128

夏普值報酬,0.562509151000000
夏普值風險,0.148427374146480
夏普值,3.789793858677793

二次趨勢線,107.953541125841298 x^2 + -4881.377276847027133 x + 10000000.000000000000000
二次平均預期報酬,22430.868627990821551
風險,216853.389629867684562
二次平均趨勢值,0.103437943332482
一次趨勢線,15562.244410338551461 x + 10000000.000000000000000
一次預期報酬,15562.244410338551461
一次風險,800204.736064122524112
一次趨勢值,0.019447828423114
找到最佳解世代,2346
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
BA[2](2),CSCO[4](6),MSFT[18](3),
Stock#,BA[2](2),CSCO[4](6),MSFT[18](3),
張數,18124,96786,51329,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,148.160000000149012,23.160000000149012,27.740000000223517,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3316658.920000000391155,3328493.700000000186265,3285597.030000000260770,9930750.650000002235174
FS( 3 ),3301978.480000000447035,3318815.100000000093132,3297915.990000000223517,9918710.570000000298023
FS( 4 ),3279323.480000000447035,3309136.500000000000000,3298942.569999999832362,9887403.550000000745058
FS( 5 ),3299078.640000000130385,3310104.360000000335276,3305615.340000000316650,9914799.339999999850988
FS( 6 ),3294003.920000000391155,3292682.880000000353903,3335899.450000000186265,9922587.250000000000000
FS( 7 ),3272798.839999999850988,3297522.180000000167638,3322553.910000000614673,9892875.929999999701977
FS( 8 ),3238906.959999999962747,3315911.520000000018626,3332819.710000000428408,9887639.190000001341105
FS( 9 ),3245250.360000000335276,3300425.760000000242144,3321527.330000000074506,9867204.450000001117587
FS( 10 ),3239450.680000000167638,3302361.479999999981374,3306128.629999999888241,9847941.789999999105930
FS( 11 ),3239088.200000000186265,3313975.800000000279397,3323580.490000000223517,9876645.490000000223517
FS( 12 ),3229663.720000000204891,3313007.939999999944121,3317934.300000000279397,9860606.960000000894070
FS( 13 ),3264280.560000000055879,3313007.939999999944121,3329739.970000000670552,9907029.470000000670552
FS( 14 ),3251412.520000000018626,3317847.240000000223517,3332819.710000000428408,9902080.470000000670552
FS( 15 ),3189247.200000000186265,3279132.840000000316650,3295862.830000000074506,9764243.870000001043081
FS( 16 ),3207733.680000000167638,3300425.760000000242144,3337952.610000000335276,9846113.050000000745058
FS( 17 ),3212808.399999999906868,3286875.720000000204891,3329739.970000000670552,9829425.089999999850988
FS( 18 ),3186709.839999999850988,3298490.040000000037253,3335386.160000000614673,9820587.040000000968575
FS( 19 ),3191784.560000000055879,3289779.300000000279397,3341545.640000000130385,9823110.500000000000000
FS( 20 ),3214620.800000000279397,3292682.880000000353903,3351298.150000000372529,9858602.830000001937151
FS( 21 ),3219514.280000000260770,3265582.800000000279397,3360537.370000000111759,9845635.449999999254942
FS( 22 ),3225857.680000000167638,3265582.800000000279397,3372856.330000000074506,9864297.810000000521541
FS( 23 ),3205558.800000000279397,3271389.959999999962747,3380555.680000000167638,9857505.439999999478459
FS( 24 ),3201752.760000000242144,3250097.040000000037253,3364643.689999999944121,9816494.490000000223517
FS( 25 ),3238906.959999999962747,3233643.419999999925494,3373882.910000000614673,9846434.290000000968575
FS( 26 ),3209546.080000000540167,3193961.160000000149012,3365156.980000000447035,9768665.220000000670552
FS( 27 ),3214802.040000000037253,3201704.040000000037253,3373882.910000000614673,9790389.990000000223517
FS( 28 ),3241625.560000000055879,3190089.720000000204891,3371316.460000000428408,9803032.740000000223517
FS( 29 ),3218245.600000000093132,3194929.020000000018626,3363617.110000000335276,9776792.730000000447035
FS( 30 ),3236550.839999999850988,3186218.280000000260770,3361050.660000000614673,9783820.780000001192093
FS( 31 ),3190878.360000000335276,3157182.479999999981374,3348218.410000000614673,9696280.250000000000000
FS( 32 ),3183085.040000000037253,3137825.280000000260770,3333846.290000000502914,9654757.610000001266599
FS( 33 ),3244706.640000000130385,3156214.620000000111759,3361050.660000000614673,9761972.919999999925494
FS( 34 ),3223501.560000000055879,3162021.780000000260770,3356431.050000000279397,9741955.390000000596046
FS( 35 ),3233469.760000000242144,3160086.060000000055879,3338465.900000000372529,9732022.720000000670552
FS( 36 ),3249781.360000000335276,3177507.540000000037253,3362077.240000000223517,9789367.140000000596046
FS( 37 ),3269355.280000000260770,3176539.680000000167638,3408273.340000000316650,9854169.300000000745058
FS( 38 ),3299803.600000000093132,3221061.240000000223517,3466275.110000000335276,9987140.949999999254942
FS( 39 ),3326083.399999999906868,3234611.280000000260770,3486293.420000000391155,10046989.099999999627471
FS( 40 ),3293460.200000000186265,3232675.560000000055879,3481673.810000000055879,10007810.570000000298023
FS( 41 ),3320827.439999999944121,3266550.660000000149012,3504258.569999999832362,10091637.669999999925494
FS( 42 ),3350007.080000000540167,3297522.180000000167638,3514011.080000000074506,10161541.339999999850988
FS( 43 ),3305784.520000000018626,3287843.580000000074506,3562773.629999999888241,10156402.730000000447035
FS( 44 ),3324814.720000000204891,3313975.800000000279397,3557127.439999999944121,10195918.960000000894070
FS( 45 ),3323908.520000000018626,3314943.660000000149012,3545835.060000000055879,10184688.240000000223517
FS( 46 ),3318108.839999999850988,3308168.640000000130385,3531976.230000000447035,10158254.710000000894070
FS( 47 ),3353269.399999999906868,3328493.700000000186265,3541728.740000000223517,10223492.839999999850988
FS( 48 ),3371574.640000000130385,3318815.100000000093132,3538649.000000000000000,10229039.740000000223517
FS( 49 ),3387705.000000000000000,3281068.560000000055879,3543781.900000000372529,10212556.460000000894070
FS( 50 ),3320102.480000000447035,3265582.800000000279397,3557640.730000000447035,10143327.010000001639128
FS( 51 ),3333876.720000000204891,3254936.340000000316650,3514011.080000000074506,10102825.140000000596046
FS( 52 ),3321371.160000000149012,3237514.860000000335276,3509904.759999999776483,10068791.780000001192093
FS( 53 ),3305784.520000000018626,3313007.939999999944121,3512471.210000000428408,10131264.669999999925494
FS( 54 ),3311402.959999999962747,3319782.959999999962747,3562773.629999999888241,10193960.550000000745058
FS( 55 ),3240356.880000000353903,3273325.680000000167638,3463708.660000000614673,9977392.220000000670552
FS( 56 ),3215345.760000000242144,3037167.839999999850988,3475514.330000000074506,9728028.929999999701977
FS( 57 ),3276242.399999999906868,3020714.220000000204891,3474487.750000000000000,9771445.370000001043081
FS( 58 ),3328983.239999999757856,3057492.899999999906868,3513497.790000000502914,9899974.929999999701977
FS( 59 ),3325720.920000000391155,3073946.520000000484288,3525303.460000000428408,9924971.900000002235174
FS( 60 ),3357619.160000000149012,3047814.299999999813735,3529923.069999999832362,9935357.529999999329448
FS( 61 ),3390604.839999999850988,3042975.000000000465661,3573552.720000000670552,10007133.560000000521541
FS( 62 ),3381905.320000000298023,3048782.160000000149012,3591004.580000000074506,10021693.060000000521541
FS( 63 ),3387161.280000000260770,3066203.640000000130385,3614102.629999999888241,10067468.550000000745058
FS( 64 ),3400754.280000000260770,3051685.740000000223517,3584845.100000000558794,10037286.120000001043081
FS( 65 ),3395135.839999999850988,3079753.680000000167638,3598190.640000000130385,10073081.160000000149012
FS( 66 ),3447876.680000000167638,3095239.440000000409782,3683396.780000000260770,10226513.900000002235174
FS( 67 ),3424677.959999999962747,3073946.520000000484288,3710087.860000000335276,10208713.339999999850988
FS( 68 ),3384805.160000000149012,3054589.319999999832362,3722406.819999999832362,10161802.300000000745058
FS( 69 ),3409272.560000000055879,3059428.620000000111759,3715734.050000000279397,10184436.230000000447035
FS( 70 ),3442439.480000000447035,3059428.620000000111759,3693149.290000000502914,10195018.390000000596046
FS( 71 ),3444251.880000000353903,3036199.980000000447035,3609483.020000000018626,10089935.880000000819564
FS( 72 ),3443708.160000000149012,3024585.660000000149012,3581765.360000000335276,10050060.179999999701977
FS( 73 ),3463463.320000000298023,3068139.359999999869615,3626421.590000000316650,10158025.269999999552965
FS( 74 ),3486843.280000000260770,3058460.760000000242144,3606916.569999999832362,10152221.610000001266599
FS( 75 ),3542483.959999999962747,3056525.040000000037253,3587924.840000000316650,10186934.839999999850988
FS( 76 ),3560426.720000000204891,3061364.339999999850988,3593057.740000000223517,10214849.800000000745058
FS( 77 ),3608274.080000000540167,3096207.299999999813735,3637713.970000000670552,10342196.350000001490116
FS( 78 ),3594681.080000000540167,3082657.260000000242144,3588438.129999999888241,10265777.470000000670552
FS( 79 ),3609905.239999999757856,3081689.399999999906868,3606916.569999999832362,10298512.209999999031425
FS( 80 ),3614798.720000000204891,3082657.260000000242144,3606403.280000000260770,10303860.260000001639128
FS( 81 ),3665364.680000000167638,3105885.900000000372529,3655165.830000000074506,10426417.410000000149012
FS( 82 ),3624585.680000000167638,3120403.800000000279397,3620262.110000000335276,10365252.589999999850988
FS( 83 ),3604830.520000000018626,3073946.520000000484288,3552507.830000000074506,10231285.870000001043081
FS( 84 ),3618061.040000000037253,3104918.040000000037253,3582791.939999999944121,10305772.019999999552965
FS( 85 ),3578913.200000000186265,3040071.420000000391155,3515550.950000000186265,10134536.570000000298023
FS( 86 ),3584169.160000000149012,3029424.960000000428408,3538135.710000000428408,10151730.830000001937151
