代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13613453.230000000447035
真實報酬,3613453.230000000447035

夏普值報酬,0.352645323000000
夏普值風險,0.090507451386455
夏普值,3.896312597448456

二次趨勢線,-67.581988916315595 x^2 + 31624.707317469321424 x + 10000000.000000000000000
二次平均預期報酬,14526.464121641474776
風險,277647.194092164398171
二次平均趨勢值,0.052319866473491
一次趨勢線,18826.418351087289921 x + 10000000.000000000000000
一次預期報酬,18826.418351087289921
一次風險,556426.102552331984043
一次趨勢值,0.033834534837116
找到最佳解世代,2189
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
HD[9](4),NKE[19](3),UNH[23](1),WBA[27](2),
Stock#,HD[9](4),NKE[19](3),UNH[23](1),WBA[27](2),
張數,27466,57012,29453,42344,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,44.680000000167638,23.799999999813735,29.360000000335276,10.240000000223517,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2533508.520000000018626,2545609.599999999627471,2500589.060000000521541,2530487.680000000167638,10110194.859999999403954
FS( 3 ),2569214.320000000298023,2574115.599999999627471,2533576.420000000391155,2573255.120000000577420,10250161.460000000894070
FS( 4 ),2561523.840000000316650,2543329.119999999646097,2506185.130000000353903,2568173.840000000316650,10179211.929999999701977
FS( 5 ),2539825.700000000186265,2510832.279999999795109,2479677.430000000167638,2533875.200000000186265,10064210.609999999403954
FS( 6 ),2584320.620000000111759,2532496.839999999850988,2551248.220000000670552,2602472.480000000447035,10270538.160000000149012
FS( 7 ),2556305.299999999813735,2486887.239999999757856,2501767.180000000167638,2606283.439999999944121,10151243.159999998286366
FS( 8 ),2542022.979999999981374,2485747.000000000000000,2515021.030000000260770,2667258.800000000279397,10210049.810000000521541
FS( 9 ),2488464.279999999795109,2434436.200000000186265,2472608.710000000428408,2569867.600000000093132,9965376.790000000968575
FS( 10 ),2474731.279999999795109,2425884.399999999441206,2439326.820000000298023,2569867.600000000093132,9909810.099999999627471
FS( 11 ),2412932.779999999795109,2428164.879999999888241,2419887.840000000316650,2580877.040000000502914,9841862.540000000968575
FS( 12 ),2441222.760000000242144,2481186.040000000037253,2515021.030000000260770,2557164.400000000372529,9994594.230000000447035
FS( 13 ),2478576.520000000018626,2485176.879999999888241,2597194.900000000372529,2552083.120000000577420,10113031.420000001788139
FS( 14 ),2522796.779999999795109,2534207.200000000186265,2607797.980000000447035,2549119.040000000502914,10213921.000000001862645
FS( 15 ),2587341.880000000353903,2583807.639999999664724,2678779.710000000428408,2606283.439999999944121,10456212.669999999925494
FS( 16 ),2563721.120000000111759,2561572.959999999962747,2644025.170000000391155,2604166.240000000223517,10373485.490000000223517
FS( 17 ),2603821.479999999981374,2576396.079999999608845,2670238.340000000316650,2628302.320000000298023,10478758.220000000670552
FS( 18 ),2609040.020000000018626,2591219.200000000186265,2699102.280000000260770,2652861.840000000316650,10552223.340000001713634
FS( 19 ),2622223.700000000186265,2612313.639999999664724,2713534.250000000000000,2672340.080000000074506,10620411.669999999925494
FS( 20 ),2652985.620000000111759,2635688.559999999590218,2728555.280000000260770,2697323.040000000502914,10714552.500000000000000
FS( 21 ),2648316.400000000372529,2621435.559999999590218,2737980.240000000223517,2660483.760000000242144,10668215.960000000894070
FS( 22 ),2678529.000000000000000,2651081.799999999813735,2765077.000000000000000,2665988.480000000447035,10760676.280000001192093
FS( 23 ),2678529.000000000000000,2650511.679999999701977,2798358.890000000596046,2719341.920000000391155,10846741.490000000223517
FS( 24 ),2639252.620000000111759,2664194.559999999590218,2793940.940000000409782,2751523.360000000335276,10848911.480000000447035
FS( 25 ),2635682.040000000037253,2678447.559999999590218,2797475.300000000279397,2762532.799999999813735,10874137.699999999254942
FS( 26 ),2630738.160000000149012,2698971.879999999888241,2821626.760000000242144,2780317.280000000260770,10931654.080000001937151
FS( 27 ),2672211.820000000298023,2696691.399999999441206,2833702.490000000223517,2822237.840000000316650,11024843.550000000745058
FS( 28 ),2682099.580000000540167,2673316.479999999981374,2757124.690000000409782,2833670.720000000204891,10946211.470000000670552
FS( 29 ),2696107.240000000223517,2706953.559999999590218,2790701.110000000335276,2870086.560000000055879,11063848.470000000670552
FS( 30 ),2695557.920000000391155,2704673.079999999608845,2818386.930000000167638,2858230.240000000223517,11076848.169999999925494
FS( 31 ),2705171.020000000018626,2731468.719999999739230,2818092.400000000372529,2855689.600000000093132,11110421.740000000223517
FS( 32 ),2719178.680000000167638,2740020.520000000018626,2824572.060000000521541,2835364.479999999981374,11119135.740000000223517
FS( 33 ),2698304.520000000018626,2722346.799999999813735,2801304.190000000409782,2834094.160000000614673,11056049.670000001788139
FS( 34 ),2692536.660000000149012,2738310.159999999683350,2841360.270000000484288,2818003.439999999944121,11090210.530000001192093
FS( 35 ),2636231.360000000335276,2750282.679999999701977,2892019.430000000167638,2881942.880000000353903,11160476.350000001490116
FS( 36 ),2656006.880000000353903,2763965.559999999590218,2852846.940000000409782,2870510.000000000465661,11143329.380000000819564
