代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14983246.910000000149012
真實報酬,4983246.910000000149012

夏普值報酬,0.489624691000000
夏普值風險,0.120026474594406
夏普值,4.079305775284501

二次趨勢線,28.514614738822999 x^2 + 12250.240566147327627 x + 10000000.000000000000000
二次平均預期報酬,19464.438095069548581
風險,192620.351021156035131
二次平均趨勢值,0.101050787166989
一次趨勢線,17650.174558093080122 x + 10000000.000000000000000
一次預期報酬,17650.174558093080122
一次風險,280172.414603423443623
一次趨勢值,0.062997545932837
找到最佳解世代,1845
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
BA[2](1),DD[7](10),MMM[16](2),NKE[19](3),UNH[23](11),
Stock#,BA[2](1),DD[7](10),MMM[16](2),NKE[19](3),UNH[23](11),
張數,25950,42489,21101,77160,36670,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,33.500000000232831,42.770000000018626,47.219999999972060,12.799999999813735,18.199999999953434,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),2010380.000000000232831,2005948.459999999962747,1997678.889999999897555,2020833.199999999953434,1906491.500000000000000,9941332.050000000745058
FS( 3 ),2016089.000000000232831,2034840.979999999981374,2012449.590000000083819,2040123.199999999953434,1910158.500000000000000,10013661.269999999552965
FS( 4 ),1975607.000000000000000,2032716.530000000260770,2014981.709999999962747,2043209.599999999860302,1910158.500000000000000,9976673.339999999850988
FS( 5 ),1923707.000000000000000,2002974.229999999981374,2015192.719999999972060,2021604.799999999813735,1884856.199999999953434,9848334.949999999254942
FS( 6 ),1991955.500000000465661,2027192.959999999962747,2034394.629999999888241,2023919.599999999860302,1920426.099999999860302,9997888.789999999105930
FS( 7 ),2000519.000000000232831,2047587.679999999934807,2044523.109999999869615,2027777.599999999860302,1947561.899999999906868,10067969.289999999105930
FS( 8 ),1950435.500000000232831,2048862.349999999860302,2031651.500000000000000,2048610.799999999813735,1936927.599999999860302,10016487.750000000000000
FS( 9 ),1986506.000000000232831,2074355.750000000000000,2048532.300000000046566,2052468.799999999813735,1956729.399999999906868,10118592.250000000000000
FS( 10 ),1996626.500000000232831,2062883.719999999972060,2052963.510000000009313,2069443.999999999767169,1966263.599999999860302,10148181.330000000074506
FS( 11 ),1929156.500000000232831,2036540.540000000037253,2059504.819999999832362,2073302.000000000000000,1967730.399999999906868,10066234.259999999776483
FS( 12 ),1953030.500000000465661,2045888.119999999878928,2069633.300000000046566,2063271.199999999720603,1994866.199999999953434,10126689.319999998435378
FS( 13 ),1947321.500000000465661,2045038.340000000083819,2083559.959999999962747,2056326.799999999813735,2000733.400000000139698,10132980.000000000000000
FS( 14 ),1924485.500000000232831,2054385.920000000158325,2096009.550000000046566,2063271.199999999720603,2054271.600000000093132,10192423.769999999552965
FS( 15 ),1927859.000000000465661,2062033.940000000176951,2099385.709999999962747,2048610.799999999813735,2050237.899999999906868,10188127.349999999627471
FS( 16 ),1954587.500000000000000,2083278.440000000176951,2103183.889999999664724,2077931.599999999860302,2061605.599999999860302,10280587.029999999329448
FS( 17 ),1947062.000000000232831,2092626.020000000018626,2122596.809999999590218,2143517.600000000093132,2055005.000000000000000,10360807.429999999701977
FS( 18 ),1920333.500000000232831,2082853.550000000046566,2123862.870000000111759,2102622.799999999813735,2046570.900000000139698,10276243.619999999180436
FS( 19 ),1911251.000000000465661,2101548.709999999962747,2148340.030000000260770,2080246.399999999906868,2063805.800000000046566,10305191.940000001341105
FS( 20 ),1935644.000000000232831,2094325.580000000074506,2127028.019999999552965,2068672.399999999674037,2056471.799999999813735,10282141.799999998882413
FS( 21 ),1916960.000000000465661,1948588.310000000055879,2121752.769999999552965,2085647.599999999860302,2024568.899999999906868,10097517.580000000074506
FS( 22 ),1942910.000000000465661,1971957.259999999776483,2143064.780000000260770,2071758.799999999813735,2045104.100000000093132,10174794.940000001341105
FS( 23 ),1951733.000000000000000,1944339.409999999916181,2126394.990000000223517,2070215.599999999627471,2044370.699999999953434,10137053.699999999254942
FS( 24 ),1969379.000000000232831,1954961.659999999916181,2141587.709999999962747,2079474.799999999813735,2118444.099999999627471,10263847.269999999552965
FS( 25 ),1979759.000000000465661,1968558.139999999897555,2166908.910000000149012,2089505.599999999627471,2104142.799999999813735,10308874.449999999254942
FS( 26 ),2009342.000000000465661,1948588.310000000055879,2156991.440000000409782,2109567.199999999720603,2092041.699999999953434,10316530.650000000372529
FS( 27 ),1986765.500000000232831,1961759.900000000139698,2166275.879999999888241,2106480.799999999813735,2117344.000000000000000,10338626.080000000074506
FS( 28 ),1968860.000000000465661,1965159.020000000018626,2165431.839999999850988,2130400.399999999906868,2094608.599999999860302,10324459.859999999403954
FS( 29 ),1971974.000000000000000,1982154.619999999878928,2183156.679999999701977,2125770.799999999813735,2090574.899999999906868,10353631.000000000000000
FS( 30 ),1940574.500000000232831,1997025.770000000018626,2170496.080000000074506,2104937.600000000093132,2098642.299999999813735,10311676.250000000000000
FS( 31 ),1944467.000000000465661,1966008.800000000046566,2168808.000000000000000,2107252.399999999906868,2092041.699999999953434,10278577.900000000372529
FS( 32 ),1947062.000000000232831,1946038.969999999972060,2178303.450000000186265,2120369.599999999627471,2101942.599999999627471,10293716.619999999180436
FS( 33 ),1937201.000000000465661,1948588.310000000055879,2198349.400000000372529,2101851.199999999720603,2077740.399999999906868,10263730.310000000521541
FS( 34 ),1940574.500000000232831,1914597.110000000102445,2176615.370000000111759,2084104.399999999906868,2024568.899999999906868,10140460.280000001192093
FS( 35 ),1972493.000000000465661,1866159.650000000139698,2167541.940000000409782,2104166.000000000000000,2025669.000000000000000,10136029.589999999850988
FS( 36 ),1989360.500000000232831,1898876.179999999934807,2184844.759999999776483,2101851.199999999720603,1997433.099999999860302,10172365.739999998360872
FS( 37 ),1947062.000000000232831,1853837.840000000083819,2147073.969999999739230,2084875.999999999767169,1954529.199999999953434,9987379.009999999776483
FS( 38 ),1963151.000000000465661,1869133.880000000121072,2158890.530000000260770,2094135.199999999953434,1945361.699999999953434,10030672.310000000521541
FS( 39 ),2007525.500000000232831,1924794.469999999972060,2185477.790000000037253,2096450.000000000000000,1975431.099999999860302,10189678.859999999403954
FS( 40 ),1995588.500000000465661,1919270.900000000139698,2194551.219999999739230,2101079.599999999627471,1960029.699999999953434,10170519.919999999925494
FS( 41 ),2005449.500000000232831,1924794.469999999972060,2189697.990000000223517,2114968.399999999906868,1962596.600000000093132,10197506.960000000894070
FS( 42 ),2000519.000000000232831,1931592.709999999962747,2179358.500000000000000,2111882.000000000000000,1955262.599999999860302,10178614.810000000521541
FS( 43 ),2041260.500000000232831,1948588.310000000055879,2204046.669999999925494,2118054.799999999813735,1961863.199999999953434,10273813.480000000447035
FS( 44 ),2052159.500000000232831,1979180.389999999897555,2208477.879999999888241,2133486.799999999813735,1965896.899999999906868,10339201.469999998807907
FS( 45 ),2103281.000000000000000,1966433.690000000176951,2205945.759999999776483,2130400.399999999906868,1972864.199999999953434,10378925.049999998882413
FS( 46 ),2107952.000000000000000,1983004.400000000139698,2230633.929999999701977,2110338.799999999813735,1973230.900000000139698,10405160.029999999329448
FS( 47 ),2152326.500000000000000,1996175.989999999990687,2232744.030000000260770,2104166.000000000000000,1987898.899999999906868,10473311.419999999925494
FS( 48 ),2183985.500000000000000,2011472.030000000260770,2218395.349999999627471,2064042.799999999813735,2010634.299999999813735,10488529.980000000447035
FS( 49 ),2199296.000000000000000,2009347.580000000074506,2217551.309999999590218,2116511.599999999627471,1997799.799999999813735,10540506.289999999105930
FS( 50 ),2195922.500000000000000,2037390.320000000065193,2237175.240000000223517,2110338.799999999813735,2006967.299999999813735,10587794.160000000149012
FS( 51 ),2242892.000000000000000,2045888.119999999878928,2245193.620000000111759,2113425.199999999720603,2006967.299999999813735,10654366.239999998360872
FS( 52 ),2210454.500000000000000,2013171.590000000083819,2224303.629999999888241,2089505.599999999627471,2016868.199999999953434,10554303.519999999552965
FS( 53 ),2219018.000000000000000,2008497.800000000046566,2219450.400000000372529,2077160.000000000000000,2023102.100000000093132,10547228.299999998882413
FS( 54 ),2215385.000000000000000,2023368.949999999953434,2229578.879999999888241,2115740.000000000000000,2012467.800000000046566,10596540.630000000819564
FS( 55 ),2188397.000000000000000,1965159.020000000018626,2214386.160000000149012,2067900.799999999813735,2019068.400000000139698,10454911.380000000819564
FS( 56 ),2201112.500000000000000,1983429.290000000037253,2245615.639999999664724,2297066.000000000000000,1997066.399999999906868,10724289.830000000074506
FS( 57 ),2201891.000000000000000,1953686.989999999990687,2219239.389999999664724,2297837.600000000093132,2011734.399999999906868,10684389.380000000819564
FS( 58 ),2247822.500000000000000,1936266.500000000000000,2238230.290000000037253,2294751.199999999720603,2040703.699999999953434,10757774.189999999478459
FS( 59 ),2236923.500000000000000,1923094.909999999916181,2221771.509999999776483,2255399.599999999627471,2076273.599999999860302,10713463.119999999180436
FS( 60 ),2227841.000000000000000,1926494.030000000260770,2243294.530000000260770,2277004.399999999906868,2097908.900000000372529,10772542.860000001266599
FS( 61 ),2212271.000000000000000,1898026.400000000139698,2229367.870000000111759,2247683.599999999627471,2162448.099999999627471,10749796.970000000670552
FS( 62 ),2182169.000000000000000,1872957.889999999897555,2247725.740000000223517,2272374.799999999813735,2264024.000000000000000,10839251.429999999701977
FS( 63 ),2189175.500000000000000,1875932.119999999878928,2230000.900000000372529,2273146.399999999906868,2261457.099999999627471,10829712.019999999552965
FS( 64 ),2204486.000000000000000,1901850.409999999916181,2232955.040000000037253,2289350.000000000000000,2274658.299999999813735,10903299.750000000000000
FS( 65 ),2236145.000000000000000,1869558.770000000018626,2232111.000000000000000,2275461.199999999720603,2277225.200000000186265,10890501.169999998062849
FS( 66 ),2251196.000000000000000,1856387.179999999934807,2231477.969999999739230,2313269.599999999627471,2269524.500000000000000,10921855.250000000000000
FS( 67 ),2263133.000000000000000,1902275.300000000046566,2235698.169999999925494,2310954.799999999813735,2280158.799999999813735,10992220.070000000298023
FS( 68 ),2278962.500000000000000,1926069.139999999897555,2272413.910000000149012,2326386.799999999813735,2288592.899999999441206,11092425.250000000000000
FS( 69 ),2297387.000000000000000,1927768.699999999953434,2284230.469999999739230,2361108.799999999813735,2309494.799999999813735,11179989.769999999552965
FS( 70 ),2306729.000000000000000,1920970.459999999962747,2272202.900000000372529,2337189.199999999720603,2311328.299999999813735,11148419.859999999403954
FS( 71 ),2251715.000000000000000,1826219.989999999990687,2231688.980000000447035,2302467.199999999720603,2258523.500000000000000,10870614.669999999925494
FS( 72 ),2254829.000000000000000,1831743.560000000055879,2239918.370000000111759,2334102.799999999813735,2303260.900000000372529,10963854.630000000819564
FS( 73 ),2249639.000000000000000,1833443.119999999878928,2225780.700000000186265,2349534.799999999813735,2274658.299999999813735,10933055.920000001788139
FS( 74 ),2234847.500000000000000,1826219.989999999990687,2215230.200000000186265,2321757.199999999720603,2188850.500000000000000,10786905.390000000596046
FS( 75 ),2282595.500000000000000,1848739.159999999916181,2230633.929999999701977,2350306.399999999906868,2201685.000000000000000,10913959.990000000223517
FS( 76 ),2256126.500000000000000,1875082.340000000083819,2232533.019999999552965,2367281.599999999627471,2171615.599999999627471,10902639.059999998658895
FS( 77 ),2288304.500000000000000,1915871.780000000260770,2266083.610000000335276,2379627.199999999720603,2146680.000000000000000,10996567.089999999850988
FS( 78 ),2357072.000000000000000,1946463.860000000102445,2276212.089999999850988,2374226.000000000000000,2155847.500000000000000,11109821.449999999254942
FS( 79 ),2378870.000000000000000,2055660.590000000083819,2213120.099999999627471,2395059.199999999720603,2176016.000000000000000,11218725.889999998733401
FS( 80 ),2409491.000000000000000,2022094.280000000260770,2190120.009999999776483,2388114.799999999813735,2181149.799999999813735,11190969.890000000596046
FS( 81 ),2384838.500000000000000,2049287.239999999990687,2190964.049999999813735,2416664.000000000000000,2200584.899999999441206,11242338.689999997615814
FS( 82 ),2372123.000000000000000,2051836.580000000074506,2209532.929999999701977,2453700.799999999813735,2197651.299999999813735,11284844.609999999403954
FS( 83 ),2366154.500000000000000,2005948.459999999962747,2206156.769999999552965,2444441.599999999627471,2189950.599999999627471,11212651.929999997839332
FS( 84 ),2392883.000000000000000,2004248.900000000139698,2237597.259999999776483,2442898.399999999906868,2181149.799999999813735,11258777.359999999403954
FS( 85 ),2432586.500000000000000,2054810.810000000055879,2275368.049999999813735,2490737.600000000093132,2160614.599999999627471,11414117.560000000521541
FS( 86 ),2444264.000000000000000,2057785.040000000037253,2275579.059999999590218,2467589.599999999627471,2207552.200000000186265,11452769.899999998509884
FS( 87 ),2459834.000000000000000,2090076.679999999934807,2279166.230000000447035,2466046.399999999906868,2218553.200000000186265,11513676.510000001639128
FS( 88 ),2440371.500000000000000,2088377.119999999878928,2283175.419999999925494,2465274.799999999813735,2292259.899999999441206,11569458.739999998360872
FS( 89 ),2455163.000000000000000,2113020.739999999757856,2319469.139999999664724,2459102.000000000000000,2273924.899999999441206,11620679.779999997466803
FS( 90 ),2445561.500000000000000,2084978.000000000000000,2331285.700000000186265,2498453.600000000093132,2306927.899999999441206,11667206.699999999254942
