代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13592033.839999999850988
真實報酬,3592033.839999999850988

夏普值報酬,0.350503384000000
夏普值風險,0.090816369592072
夏普值,3.859473634262071

二次趨勢線,43.575917748102214 x^2 + 2805.455848599143792 x + 10000000.000000000000000
二次平均預期報酬,13655.859367876590113
風險,155836.836579481285298
二次平均趨勢值,0.087629213141218
一次趨勢線,10926.884639688105381 x + 10000000.000000000000000
一次預期報酬,10926.884639688105381
一次風險,339082.685583766491618
一次趨勢值,0.032224838083007
找到最佳解世代,2350
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
JNJ[12](5),TRV[22](1),V[25](2),
Stock#,JNJ[12](5),TRV[22](1),V[25](2),
張數,50344,56182,112044,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,56.760000000242144,54.939999999944121,24.000000000000000,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3316719.479999999981374,3330523.899999999906868,3371427.959999999962747,10018672.339999999850988
FS( 3 ),3292050.920000000391155,3327152.979999999981374,3333333.000000000000000,9952537.900000000372529
FS( 4 ),3289533.720000000204891,3308051.100000000093132,3389355.000000000000000,9986940.820000000298023
FS( 5 ),3268389.240000000223517,3261420.039999999571592,3347898.719999999739230,9877709.000000000000000
FS( 6 ),3232141.560000000521541,3244565.439999999944121,3270588.360000000335276,9747296.359999999403954
FS( 7 ),3228617.479999999981374,3268161.879999999888241,3288515.400000000372529,9785295.759999999776483
FS( 8 ),3229624.360000000335276,3320411.140000000130385,3390475.439999999944121,9940511.939999999478459
FS( 9 ),3198914.520000000018626,3265352.779999999795109,3449858.759999999776483,9914127.059999998658895
FS( 10 ),3221065.879999999888241,3323782.059999999590218,3384873.240000000223517,9929722.179999999701977
FS( 11 ),3233148.440000000409782,3370413.120000000111759,3419606.879999999888241,10023169.440000001341105
FS( 12 ),3184818.200000000186265,3341198.479999999981374,3411763.799999999813735,9937781.480000000447035
FS( 13 ),3173239.080000000074506,3466484.340000000316650,3394957.200000000186265,10034681.620000001043081
FS( 14 ),3207473.000000000465661,3525475.439999999944121,3389355.000000000000000,10122304.440000001341105
FS( 15 ),3190356.040000000037253,3534464.559999999590218,3308683.320000000298023,10033504.919999999925494
FS( 16 ),3210493.640000000596046,3560308.279999999795109,3331092.120000000111759,10101895.039999999105930
FS( 17 ),3243720.680000000633299,3583342.899999999906868,3411763.799999999813735,10238828.379999998956919
FS( 18 ),3259830.760000000242144,3638963.079999999608845,3450979.200000000186265,10349774.039999999105930
FS( 19 ),3264361.720000000204891,3596264.760000000242144,3459942.719999999739230,10320570.199999999254942
FS( 20 ),3277451.160000000149012,3613681.179999999701977,3445377.000000000000000,10336510.339999999850988
FS( 21 ),3283492.440000000409782,3629412.139999999664724,3447617.879999999888241,10360523.460000000894070
