代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13871443.099999997764826
真實報酬,3871443.099999997764826

夏普值報酬,0.378444310000000
夏普值風險,0.098680560625793
夏普值,3.835044182968305

二次趨勢線,-64.076740995807768 x^2 + 32418.249975925860781 x + 10000000.000000000000000
二次平均預期報酬,16206.834503986496202
風險,274741.030119547445793
二次平均趨勢值,0.058989494568519
一次趨勢線,20283.764731583098182 x + 10000000.000000000000000
一次預期報酬,20283.764731583098182
一次風險,533394.731401267927140
一次趨勢值,0.038027681072695
找到最佳解世代,2699
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
AAPL[0](1),MRK[17](18),PG[21](9),
FS( 66 ),4315354.980000000447035,3761139.000000000000000,3637817.500000000000000,11714312.480000000447035
FS( 67 ),4341498.660000000149012,3775399.199999999720603,3633330.359999999869615,11750229.219999998807907
FS( 68 ),4434635.519999999552965,3863337.099999999627471,3655766.060000000055879,11953739.679999999701977
FS( 69 ),4441171.439999999478459,3825309.899999999906868,3650637.900000000372529,11917120.240000000223517
FS( 70 ),4418295.720000000670552,3853830.299999999813735,3695509.299999999813735,11967636.320000000298023
FS( 71 ),4446073.380000000819564,3869278.850000000093132,3689740.120000000111759,12005093.350000001490116
FS( 72 ),4454243.280000001192093,3904929.350000000093132,3685894.000000000000000,12045067.630000000819564
FS( 73 ),4436269.500000000000000,3852641.950000000186265,3670509.520000000018626,11959421.970000000670552
FS( 74 ),4465681.140000000596046,3909682.750000000000000,3673714.620000000111759,12049079.510000001639128
FS( 75 ),4447707.359999999403954,3957216.749999999534339,3669227.479999999981374,12074152.589999999850988
FS( 76 ),4388884.080000000074506,3946521.600000000093132,3682047.879999999888241,12017454.559999998658895
FS( 77 ),4431367.560000000521541,4008315.799999999813735,3704483.580000000074506,12144167.939999999478459
FS( 78 ),4638883.019999999552965,4007127.449999999720603,3726278.260000000242144,12372289.729999998584390
FS( 79 ),4782673.259999999776483,3883539.049999999813735,3685252.979999999981374,12351466.289999999105930
FS( 80 ),4789209.179999999701977,3906117.699999999720603,3726278.260000000242144,12421606.139999998733401
FS( 81 ),4759797.540000000968575,3853830.299999999813735,3694868.280000000260770,12308497.120000001043081
FS( 82 ),4727117.939999999478459,3805107.950000000186265,3647432.799999999813735,12179659.690000001341105
FS( 83 ),4607837.400000000372529,3853830.299999999813735,3665381.359999999869615,12127050.059999998658895
FS( 84 ),4491824.820000000298023,3808672.999999999534339,3668586.459999999962747,11969085.280000001192093
FS( 85 ),4583327.700000001117587,3720735.099999999627471,3816662.080000000074506,12120725.880000000819564
FS( 86 ),4400321.939999999478459,3675577.799999999813735,3717945.000000000000000,11793845.739999998360872
FS( 87 ),4418295.720000000670552,3714793.350000000093132,3778841.900000000372529,11911931.970000000670552
FS( 88 ),4405223.880000000819564,3644680.700000000186265,3755124.159999999683350,11805029.740000000223517
FS( 89 ),4454243.280000001192093,3878785.649999999906868,3783970.060000000055879,12116999.990000002086163
FS( 90 ),4529406.359999999403954,3887104.100000000093132,3876276.939999999944121,12292788.399999998509884
FS( 91 ),4535942.280000001192093,3872843.900000000372529,3912815.080000000074506,12321602.260000001639128
FS( 92 ),4702608.240000000223517,3972665.299999999813735,3964737.700000000186265,12640012.239999998360872
FS( 93 ),4738555.800000000745058,3994055.600000000093132,3965378.719999999739230,12697991.120000001043081
FS( 94 ),4745091.720000000670552,3947709.949999999720603,3989096.459999999962747,12681899.129999998956919
FS( 95 ),4715680.080000000074506,3919189.549999999813735,3929481.599999999627471,12564352.229999998584390
FS( 96 ),4772869.380000000819564,3933449.750000000000000,3949353.219999999739230,12655673.350000001490116
FS( 97 ),4823522.759999999776483,4017822.600000000093132,3991660.540000000037253,12833006.899999998509884
FS( 98 ),4831692.660000000149012,4074863.399999999906868,3994224.620000000111759,12900781.679999999701977
FS( 99 ),4807182.960000000894070,4175873.149999999906868,4000634.819999999832362,12983691.930000001564622
FS( 100 ),4679732.519999999552965,4198451.799999999813735,3983968.299999999813735,12862153.620000001043081
FS( 101 ),4666660.679999999701977,4332735.350000000558794,3961532.599999999627471,12960929.630000000819564
FS( 102 ),4805548.980000000447035,4327981.950000000186265,4021147.459999999962747,13154679.390000000596046
FS( 103 ),4772869.380000000819564,4304214.950000000186265,4025634.599999999627471,13102719.930000001564622
FS( 104 ),4766333.460000000894070,4345807.200000000186265,4030121.739999999757856,13142263.400000000372529
FS( 105 ),4683000.480000000447035,4312533.399999999441206,4005121.959999999962747,13000656.839999999850988
FS( 106 ),4666660.679999999701977,4303026.600000000558794,3996788.700000000186265,12966476.980000000447035
FS( 107 ),4598033.519999999552965,4382646.050000000745058,4032685.819999999832362,13013366.390000000596046
FS( 108 ),4580059.740000000223517,4373139.250000000000000,4050634.379999999888241,13003834.370000001043081
FS( 109 ),4586595.660000000149012,4369574.200000000186265,4010250.120000000111759,12966420.980000000447035
FS( 110 ),4513066.560000000521541,4361255.750000000000000,4012814.200000000186265,12887137.510000001639128
FS( 111 ),4410125.820000000298023,4361255.750000000000000,4004480.939999999944121,12775863.509999999776483
FS( 112 ),4431367.560000000521541,4319663.500000000000000,3966019.739999999757856,12717051.800000000745058
FS( 113 ),4617641.280000001192093,4414731.500000000000000,3989737.479999999981374,13022111.260000001639128
FS( 114 ),4584961.679999999701977,4461077.149999999441206,3989737.479999999981374,13035777.309999998658895
FS( 115 ),4544112.179999999701977,4405224.700000000186265,3996147.680000000167638,12945485.559999998658895
FS( 116 ),4598033.519999999552965,4488409.200000000186265,4039096.020000000018626,13125539.739999998360872
FS( 117 ),4532674.320000000298023,4515741.250000000000000,3982045.239999999757856,13030461.810000000521541
FS( 118 ),4552282.080000000074506,4486032.500000000000000,3984609.319999999832362,13022924.900000000372529
FS( 119 ),4478752.980000000447035,4430180.049999999813735,3948071.180000000167638,12857005.210000000894070
FS( 120 ),4562085.960000000894070,4444440.250000000000000,3945507.099999999627471,12952034.310000000521541
FS( 121 ),4627445.160000000149012,4478902.399999999441206,3929481.599999999627471,13035830.159999998286366
FS( 122 ),4676464.560000000521541,4486032.500000000000000,3929481.599999999627471,13091979.660000000149012
FS( 123 ),4717314.060000000521541,4426615.000000000000000,3930122.620000000111759,13074052.679999999701977
FS( 124 ),4879078.080000000074506,4395717.900000000372529,3928199.560000000055879,13202996.540000000968575
FS( 125 ),4939535.339999999850988,4431368.399999999441206,3926276.500000000000000,13297181.239999998360872
FS( 126 ),4880712.060000000521541,4408789.750000000000000,3947430.159999999683350,13236932.970000000670552
FS( 127 ),4939535.339999999850988,4404036.350000000558794,3933968.739999999757856,13277541.430000001564622
FS( 128 ),4918293.599999999627471,4342242.149999999441206,3886533.260000000242144,13147070.009999999776483
FS( 129 ),4995090.660000000149012,4398094.599999999627471,3917943.239999999757856,13311129.500000000000000
FS( 130 ),5004894.540000000968575,4415919.849999999627471,3919225.280000000260770,13340040.670000001788139
FS( 131 ),4924829.519999999552965,4475337.349999999627471,3900635.700000000186265,13300803.570000000298023
FS( 132 ),4915025.640000000596046,4482467.450000000186265,3879482.040000000037253,13276976.129999998956919
FS( 133 ),4947705.240000000223517,4480090.750000000000000,3874353.879999999888241,13302150.870000001043081
FS( 134 ),4905221.759999999776483,4497916.000000000000000,3858969.400000000372529,13262108.160000000149012
FS( 135 ),4848032.460000000894070,4462265.500000000000000,3903199.780000000260770,13213498.740000002086163
FS( 136 ),4916659.620000001043081,4626257.799999999813735,3943584.040000000037253,13486502.460000000894070
FS( 137 ),4888881.960000000894070,4752222.900000000372529,3947430.159999999683350,13588536.020000001415610
FS( 138 ),4807182.960000000894070,4690428.700000000186265,3898712.640000000130385,13396325.300000000745058
FS( 139 ),5019600.359999999403954,4827088.949999999254942,3956404.439999999944121,13803094.749999998137355
FS( 140 ),4942803.300000000745058,4875811.299999999813735,3874994.900000000372529,13693610.500000001862645
FS( 141 ),4856202.359999999403954,4762918.049999999813735,3835892.680000000167638,13455014.089999999850988
FS( 142 ),4616007.300000000745058,4619127.699999999254942,3866020.620000000111759,13101156.620000001043081
FS( 143 ),4740189.780000001192093,4606055.849999999627471,3886533.260000000242144,13232779.890000000596046
FS( 144 ),4807182.960000000894070,4584665.549999999813735,3890379.379999999888241,13282228.890000000596046
FS( 145 ),4852934.400000000372529,4591795.650000000372529,3898071.620000000111759,13342802.670000001788139
FS( 146 ),4651954.859999999403954,4512176.200000000186265,3953840.359999999869615,13117972.419999998062849
FS( 147 ),4483654.919999999925494,4537131.549999999813735,3945507.099999999627471,12966294.569999998435378
FS( 148 ),4545746.160000000149012,4551391.750000000000000,3973711.979999999981374,13070850.890000000596046
FS( 149 ),4571889.839999999850988,4698747.149999999441206,4032044.799999999813735,13302682.789999999105930
FS( 150 ),4650320.880000000819564,4601302.450000000186265,4016019.299999999813735,13267643.630000002682209
FS( 151 ),4483654.919999999925494,4408789.750000000000000,3935891.799999999813735,12828337.469999998807907
FS( 152 ),4562085.960000000894070,4364820.799999999813735,3929481.599999999627471,12856389.360000001266599
FS( 153 ),4531040.339999999850988,4348183.900000000372529,3910892.020000000018626,12790117.259999999776483
FS( 154 ),4580059.740000000223517,4333923.700000000186265,3958968.520000000018626,12872952.960000000894070
FS( 155 ),4553916.060000000521541,4301838.250000000000000,3953199.340000000316650,12808954.650000000372529
FS( 156 ),4637249.040000000968575,4382646.050000000745058,3971788.919999999925494,12991685.010000001639128
FS( 157 ),4678098.540000000968575,4387399.450000000186265,3958968.520000000018626,13024467.510000001639128
FS( 158 ),4748359.679999999701977,4475337.349999999627471,4027557.659999999683350,13251255.689999999478459
FS( 159 ),4728751.919999999925494,4437310.150000000372529,4028839.700000000186265,13194902.769999999552965
FS( 160 ),4736921.820000000298023,4431368.399999999441206,4063454.780000000260770,13231746.000000000000000
FS( 161 ),4707510.179999999701977,4455135.400000000372529,4067300.900000000372529,13229947.480000000447035
FS( 162 ),4678098.540000000968575,4411166.449999999254942,4065377.840000000316650,13154643.830000000074506
FS( 163 ),4599667.500000000000000,4338677.099999999627471,4051916.419999999925494,12990262.019999999552965
FS( 164 ),4684634.460000000894070,4388587.799999999813735,4095505.780000000260770,13168729.040000002831221
FS( 165 ),4715680.080000000074506,4345807.200000000186265,4083326.400000000372529,13144814.680000001564622
FS( 166 ),4776137.339999999850988,4382646.050000000745058,4056403.560000000055879,13215187.950000001117587
FS( 167 ),4879078.080000000074506,4428991.700000000186265,4071147.020000000018626,13379217.800000000745058
FS( 168 ),4875810.120000001043081,4443251.900000000372529,4083967.419999999925494,13403030.440000001341105
FS( 169 ),4885614.000000000000000,4421861.600000000558794,4073711.099999999627471,13381187.700000001117587
FS( 170 ),4918293.599999999627471,4413543.150000000372529,4081403.340000000316650,13413241.089999999850988
FS( 171 ),5111103.240000000223517,4455135.400000000372529,4082685.379999999888241,13648925.019999999552965
FS( 172 ),5114371.200000001117587,4438498.500000000000000,4050634.379999999888241,13603505.080000001937151
FS( 173 ),5205874.080000000074506,4401659.649999999441206,4057685.599999999627471,13665220.330000000074506
FS( 174 ),5248357.560000000521541,4357690.700000000186265,4039096.020000000018626,13645145.280000001192093
FS( 175 ),5263063.380000000819564,4382646.050000000745058,4049352.340000000316650,13695062.770000001415610
FS( 176 ),5289207.060000000521541,4415919.849999999627471,4058967.640000000130385,13764095.550000000745058
FS( 177 ),5225481.839999999850988,4486032.500000000000000,4083326.400000000372529,13794841.740000000223517
FS( 178 ),5238553.680000001564622,4508611.149999999441206,4072429.060000000055879,13819594.890000002458692
FS( 179 ),5232017.760000001639128,4525248.049999999813735,4103198.020000000484288,13860464.830000001937151
FS( 180 ),5243455.620000001043081,4569217.000000000000000,4085249.459999999962747,13897923.080000001937151
FS( 181 ),5187900.300000000745058,4522871.350000000558794,4092300.680000000167638,13803073.330000001937151
FS( 182 ),5246723.580000000074506,4551391.750000000000000,4094864.760000000242144,13892981.089999999850988
FS( 183 ),5330056.560000000521541,4575158.750000000000000,4136531.060000000055879,14041747.370000001043081
FS( 184 ),5354566.260000001639128,4516929.599999999627471,4077557.219999999739230,13949054.080000001937151
FS( 185 ),5290841.040000000968575,4489597.549999999813735,4078198.239999999757856,13858637.830000000074506
FS( 186 ),5390513.820000000298023,4448005.299999999813735,4082685.379999999888241,13921205.500000000000000
FS( 187 ),5424827.400000000372529,4502669.400000000372529,4085249.459999999962747,14012747.260000001639128
FS( 188 ),5504892.419999999925494,4475337.349999999627471,4080762.319999999832362,14060993.089999999850988
FS( 189 ),5485284.660000000149012,4438498.500000000000000,4055762.540000000037253,13979546.699999999254942
FS( 190 ),5508160.380000000819564,4481279.100000000558794,4061531.719999999739230,14050972.199999999254942
FS( 191 ),5566983.660000000149012,4443251.900000000372529,4087172.520000000018626,14097409.080000000074506
FS( 192 ),5591493.359999999403954,4426615.000000000000000,4045506.219999999739230,14063615.579999998211861
FS( 193 ),5616003.060000000521541,4371950.899999999441206,4006404.000000000000000,13994358.960000000894070
FS( 194 ),5601297.240000000223517,4370762.549999999813735,4010250.120000000111759,13982310.910000000149012
FS( 195 ),5643780.720000000670552,4393341.200000000186265,4021147.459999999962747,14058270.380000002682209
FS( 196 ),5655218.580000000074506,4379081.000000000000000,4019224.400000000372529,14053524.980000000447035
FS( 197 ),5658486.540000000968575,4361255.750000000000000,4038455.000000000000000,14058198.290000000968575
FS( 198 ),5735283.599999999627471,4303026.600000000558794,4050634.379999999888241,14088945.579999998211861
FS( 199 ),5810446.680000001564622,4282824.649999999441206,4038455.000000000000000,14131727.330000001937151
FS( 200 ),5774499.120000001043081,4243609.100000000558794,4028839.700000000186265,14046948.920000001788139
FS( 201 ),5767963.199999999254942,4266187.750000000000000,4052557.439999999944121,14086709.389999998733401
FS( 202 ),5709139.919999999925494,4285201.350000000558794,4050634.379999999888241,14044976.649999998509884
FS( 203 ),6050641.740000000223517,4128339.150000000372529,4078839.260000000242144,14257821.150000000372529
FS( 204 ),6220575.660000000149012,4013069.200000000186265,4076275.180000000167638,14309921.039999999105930
FS( 205 ),6321882.419999999925494,4213900.350000000558794,4073070.080000000074506,14608853.849999999627471
FS( 206 ),6290836.800000000745058,4159236.250000000000000,4098710.879999999888241,14548784.929999999701977
FS( 207 ),6116000.939999999478459,4097442.049999999813735,4045506.219999999739230,14258950.209999997168779
FS( 208 ),6106197.060000000521541,4106948.850000000093132,4049352.340000000316650,14262499.250000000000000
FS( 209 ),6271229.040000000968575,4188945.000000000000000,3987173.400000000372529,14447348.440000001341105
FS( 210 ),6094759.199999999254942,4163989.649999999906868,3984609.319999999832362,14243359.169999999925494
FS( 211 ),6217307.699999999254942,4191321.700000000186265,4017942.359999999869615,14426572.759999997913837
FS( 212 ),6037569.900000000372529,4255492.600000000558794,3955763.419999999925494,14248826.919999999925494
FS( 213 ),5975478.660000000149012,4229348.900000000372529,3984609.319999999832362,14189437.880000000819564
FS( 214 ),5748355.439999999478459,4072486.700000000186265,3894225.500000000000000,13715068.640000000596046
FS( 215 ),5504892.419999999925494,3979795.400000000372529,3866020.620000000111759,13350709.440000001341105
FS( 216 ),5928093.240000000223517,4070110.000000000000000,4001275.840000000316650,13999480.080000000074506
FS( 217 ),5988550.500000000000000,3982172.099999999627471,3998070.739999999757856,13968794.339999999850988
FS( 218 ),6117634.919999999925494,3997620.649999999906868,4039737.040000000037253,14154993.609999999403954
FS( 219 ),6031033.980000000447035,3958405.100000000093132,4022429.500000000000000,14011869.580000000074506
FS( 220 ),5924825.279999999329448,3907306.050000000279397,4008968.080000000074506,13841100.410000000149012
FS( 221 ),5934629.160000000149012,3895422.550000000279397,4062813.760000000242144,13892866.470000000670552
FS( 222 ),5890511.699999999254942,3844323.500000000000000,4051916.419999999925494,13786752.619999999180436
FS( 223 ),5797374.839999999850988,3876408.949999999720603,4052557.439999999944121,13726342.229999998584390
FS( 224 ),5550643.859999999403954,3781340.950000000186265,3949353.219999999739230,13281339.029999997466803
FS( 225 ),5656852.560000000521541,3807484.649999999906868,3964737.700000000186265,13429075.910000000149012
FS( 226 ),5759793.300000000745058,3786094.350000000093132,3935891.799999999813735,13481780.449999999254942
FS( 227 ),5723845.740000000223517,3809861.350000000093132,3913456.099999999627471,13447164.189999999478459
FS( 228 ),5697702.060000000521541,3852641.950000000186265,3874353.879999999888241,13424698.890000000596046
FS( 229 ),5913387.419999999925494,3995243.949999999720603,3907045.900000000372529,13815678.269999999552965
FS( 230 ),5996720.400000000372529,4003562.399999999906868,3916020.180000000167638,13916303.980000000447035
FS( 231 ),6088223.279999999329448,3984548.800000000279397,3920507.319999999832362,13993280.400000000372529
FS( 232 ),6161752.380000000819564,4083181.850000000093132,3957686.479999999981374,14202621.710000000894070
FS( 233 ),6142144.620000001043081,4074863.399999999906868,3961532.599999999627471,14178541.620000001043081
FS( 234 ),5975478.660000000149012,3941768.200000000186265,3897430.599999999627471,13814678.459999999031425
FS( 235 ),5857832.099999999627471,3958405.100000000093132,3885892.239999999757856,13702130.439999999478459
FS( 236 ),5820250.560000000521541,4017822.600000000093132,3983327.280000000260770,13821401.440000001341105
FS( 237 ),5676460.320000000298023,4005939.100000000093132,3940378.939999999944121,13622779.359999999403954
FS( 238 ),5848028.220000000670552,4117644.000000000000000,3968583.819999999832362,13934257.040000000968575
FS( 239 ),5918289.359999999403954,4142599.350000000093132,3910892.020000000018626,13971781.729999998584390
FS( 240 ),5936263.140000000596046,4161612.950000000186265,3926276.500000000000000,14024153.589999999850988
FS( 241 ),6062079.599999999627471,4280447.950000000186265,3968583.819999999832362,14311112.370000001043081
FS( 242 ),6238549.439999999478459,4279259.599999999627471,3922430.379999999888241,14440240.419999998062849
FS( 243 ),6346392.120000001043081,4261434.349999999627471,3958968.520000000018626,14566795.990000000223517
FS( 244 ),6397045.500000000000000,4238855.700000000186265,3929481.599999999627471,14565383.799999998882413
FS( 245 ),6307176.599999999627471,4173496.449999999720603,3916661.200000000186265,14397335.250000000000000
FS( 246 ),6392143.560000000521541,4174684.800000000279397,3892302.439999999944121,14459131.800000000745058
FS( 247 ),6325150.380000000819564,4209146.950000000186265,3934609.760000000242144,14468908.090000001713634
FS( 248 ),6279398.939999999478459,4231725.599999999627471,3901917.739999999757856,14413043.279999999329448
FS( 249 ),6225477.599999999627471,4269752.799999999813735,3832687.580000000074506,14327918.979999998584390
FS( 250 ),6263059.140000000596046,4270941.149999999441206,3885892.239999999757856,14419893.529999999329448
FS( 251 ),5980380.599999999627471,4210335.299999999813735,3866661.640000000130385,14057378.539999999105930
FS( 252 ),5870903.939999999478459,4155671.199999999720603,3844866.959999999962747,13871443.099999997764826
