代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13734822.359999999403954
真實報酬,3734822.359999999403954

夏普值報酬,0.364782236000000
夏普值風險,0.090272439986290
夏普值,4.040903691707014

二次趨勢線,6.728005134235144 x^2 + 12959.529312474676772 x + 10000000.000000000000000
二次平均預期報酬,14654.986606301932625
風險,187719.031687845359556
二次平均趨勢值,0.078068731095265
一次趨勢線,14228.594265011342941 x + 10000000.000000000000000
一次預期報酬,14228.594265011342941
一次風險,193666.341048605245305
一次趨勢值,0.073469629198191
找到最佳解世代,2193
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
HD[9](1),TRV[22](2),V[25](3),WMT[28](16),
Stock#,HD[9](1),TRV[22](2),V[25](3),WMT[28](16),
張數,56217,42179,97541,40205,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,30.010000000242144,50.669999999925494,24.169999999925494,53.100000000093132,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2499437.830000000074506,2505061.479999999981374,2586811.489999999757856,2490350.799999999813735,10081661.600000001490116
FS( 3 ),2539351.900000000372529,2535852.149999999906868,2610221.330000000074506,2493969.250000000000000,10179394.630000000819564
FS( 4 ),2541038.410000000614673,2502530.739999999757856,2618024.609999999869615,2487938.500000000000000,10149532.259999999776483
FS( 5 ),2555654.830000000074506,2519824.129999999888241,2609245.919999999925494,2480299.549999999813735,10165024.429999999701977
FS( 6 ),2539351.900000000372529,2524463.819999999832362,2642409.859999999869615,2477485.200000000186265,10183710.780000001192093
FS( 7 ),2544973.600000000558794,2526150.979999999981374,2741901.679999999701977,2491154.899999999906868,10304181.160000000149012
FS( 8 ),2548346.620000000111759,2504639.689999999944121,2777991.850000000093132,2488742.600000000093132,10319720.759999999776483
FS( 9 ),2582076.820000000298023,2488189.879999999888241,2748729.549999999813735,2484320.050000000279397,10303316.300000000745058
FS( 10 ),2589385.030000000260770,2495360.309999999590218,2810180.379999999888241,2501608.200000000186265,10396533.919999999925494
FS( 11 ),2569709.080000000074506,2500843.580000000074506,2807254.149999999906868,2483113.899999999906868,10360920.710000000894070
FS( 12 ),2582076.820000000298023,2507170.429999999701977,2775065.619999999646097,2494371.300000000279397,10358684.169999999925494
FS( 13 ),2625926.080000000074506,2524463.819999999832362,2804327.919999999925494,2512061.500000000000000,10466779.320000000298023
FS( 14 ),2637731.650000000372529,2500000.000000000000000,2784819.720000000204891,2415167.450000000186265,10337718.820000000298023
FS( 15 ),2618055.700000000186265,2486080.929999999701977,2837491.859999999869615,2356066.100000000093132,10297694.589999999850988
FS( 16 ),2639418.160000000614673,2486924.509999999776483,2840418.089999999850988,2353653.800000000279397,10320414.560000000521541
FS( 17 ),2641104.669999999925494,2471740.069999999832362,2866754.160000000149012,2363705.050000000279397,10343303.950000001117587
