代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14665052.839999997988343
真實報酬,4665052.839999997988343

夏普值報酬,0.457805284000000
夏普值風險,0.104731265517368
夏普值,4.371237965458172

二次趨勢線,-37.557084642037807 x^2 + 26542.341761947547639 x + 10000000.000000000000000
二次平均預期報酬,17040.399347511985980
風險,238859.247413304256042
二次平均趨勢值,0.071340756248916
一次趨勢線,19429.996746785862342 x + 10000000.000000000000000
一次預期報酬,19429.996746785862342
一次風險,358976.193391746317502
一次趨勢值,0.054126142915506
找到最佳解世代,1814
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
CSCO[4](5),INTC[11](7),MSFT[18](1),NKE[19](3),V[25](2),
Stock#,CSCO[4](5),INTC[11](7),MSFT[18](1),NKE[19](3),V[25](2),
張數,61919,56996,27048,37481,19249,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,16.300000000279397,10.359999999869615,70.880000000121072,13.840000000083819,28.899999999906868,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),1957895.080000000307336,1996010.280000000027940,1991074.160000000149012,1986881.649999999906868,1982868.389999999897555,9914729.560000000521541
FS( 3 ),1973374.830000000307336,2038187.319999999832362,1985394.080000000307336,1977511.399999999906868,1986140.719999999972060,9960608.350000001490116
FS( 4 ),1966563.740000000456348,2025648.199999999720603,2010819.200000000186265,1963643.430000000167638,2012704.339999999850988,9979378.910000000149012
FS( 5 ),1949226.420000000391155,2005699.599999999627471,2001081.920000000158325,1956522.040000000270084,2010201.969999999972060,9922731.950000001117587
FS( 6 ),1993188.910000000149012,2038757.280000000027940,2022179.360000000335276,1987631.270000000018626,2043310.250000000000000,10085067.070000000298023
FS( 7 ),2006811.090000000083819,2056996.000000000000000,2020015.520000000251457,2001499.239999999990687,2044465.189999999711290,10129787.040000000968575
FS( 8 ),1992569.720000000204891,2070675.039999999804422,2034350.959999999962747,2005996.960000000195578,2037150.569999999832362,10140743.250000000000000
FS( 9 ),1993188.910000000149012,2079224.439999999711290,2022449.840000000083819,2013867.969999999972060,2041962.819999999832362,10150693.979999998584390
FS( 10 ),2008668.660000000149012,2108862.359999999869615,2037055.760000000242144,2019115.310000000055879,2026948.599999999860302,10200650.689999999478459
FS( 11 ),2013622.180000000400469,2108862.359999999869615,2032998.560000000055879,2005247.340000000083819,2017901.569999999832362,10178632.009999999776483
FS( 12 ),2011764.610000000335276,2121971.439999999478459,2040572.000000000000000,1998875.570000000065193,2029065.989999999757856,10202249.609999999403954
FS( 13 ),2018575.700000000419095,2112852.080000000074506,2027048.000000000000000,2007496.200000000186265,2029065.989999999757856,10195037.970000000670552
FS( 14 ),2024767.600000000558794,2120261.560000000055879,2007302.959999999962747,1993628.229999999981374,2027141.089999999850988,10173101.440000001341105
FS( 15 ),2066253.330000000074506,2119121.639999999664724,2012712.560000000055879,1995502.280000000260770,2031953.339999999850988,10225543.149999998509884
FS( 16 ),2087924.980000000214204,2117981.719999999739230,1981607.360000000335276,1995127.469999999972060,1983060.879999999888241,10165702.410000000149012
FS( 17 ),2090401.740000000223517,2135650.479999999981374,1981607.360000000335276,2012743.540000000270084,1981520.959999999962747,10201924.080000001937151
FS( 18 ),2073064.420000000158325,2139640.199999999720603,1997565.679999999934807,1974138.110000000102445,1999807.510000000009313,10184215.919999999925494
FS( 19 ),2065014.950000000419095,2156169.039999999571592,1998106.640000000130385,1972638.870000000111759,2013089.319999999832362,10205018.820000000298023
FS( 20 ),2082352.270000000484288,2170418.039999999571592,2014876.399999999906868,1943403.690000000176951,2013089.319999999832362,10224139.720000000670552
FS( 21 ),2089782.550000000279397,2225134.199999999720603,2018122.160000000149012,1944153.310000000055879,2029643.459999999962747,10306835.679999999701977
FS( 22 ),2095974.450000000419095,2244512.839999999850988,2008655.360000000335276,1929160.910000000149012,2032530.810000000055879,10310834.370000001043081
FS( 23 ),2070587.660000000149012,2242233.000000000000000,2020286.000000000000000,1952024.320000000065193,2027141.089999999850988,10312272.070000000298023
FS( 24 ),2079875.510000000474975,2253062.239999999757856,2054907.440000000176951,1955772.420000000158325,2045042.659999999916181,10388660.269999999552965
FS( 25 ),2089782.550000000279397,2258761.839999999850988,2055718.880000000121072,1964767.860000000102445,2054474.669999999925494,10423505.800000000745058
FS( 26 ),2090401.740000000223517,2271870.919999999925494,2063562.800000000279397,1931034.960000000195578,2059864.389999999897555,10416734.810000000521541
FS( 27 ),2077398.750000000000000,2259901.759999999776483,2063562.800000000279397,1931409.770000000018626,2065639.089999999850988,10397912.169999999925494
FS( 28 ),2079875.510000000474975,2239953.159999999683350,2067079.040000000270084,1912669.270000000018626,2087390.459999999962747,10386967.440000001341105
FS( 29 ),2059442.240000000223517,2233683.599999999627471,2086012.640000000130385,1905173.070000000065193,2081038.289999999804422,10365349.839999999850988
FS( 30 ),2072445.230000000214204,2261041.680000000167638,2096020.399999999906868,1910795.219999999972060,2091625.239999999757856,10431927.769999999552965
FS( 31 ),2076779.560000000288710,2266171.319999999832362,2100348.080000000074506,1925412.810000000055879,2084695.599999999860302,10453407.369999999180436
FS( 32 ),2080494.700000000419095,2267881.199999999720603,2098725.200000000186265,1949025.840000000083819,2070066.360000000102445,10466193.300000000745058
