代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13615770.730000000447035
真實報酬,3615770.730000000447035

夏普值報酬,0.352877073000000
夏普值風險,0.094562397615046
夏普值,3.731684918105888

二次趨勢線,9.393534816617485 x^2 + 12150.385329969567465 x + 10000000.000000000000000
二次平均預期報酬,14526.949638573792981
風險,201606.904716393473791
二次平均趨勢值,0.072055814055621
一次趨勢線,13929.279010469372224 x + 10000000.000000000000000
一次預期報酬,13929.279010469372224
一次風險,212456.010805119789438
一次趨勢值,0.065563120373404
找到最佳解世代,2351
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
DIS[6](1),GS[8](6),NKE[19](5),UNH[23](2),
Stock#,DIS[6](1),GS[8](6),NKE[19](5),UNH[23](2),
張數,28911,14987,64102,30528,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,65.830000000074506,18.529999999795109,22.000000000000000,62.080000000074506,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2499132.669999999925494,2501198.959999999497086,2493589.799999999813735,2518316.799999999813735,10012238.229999998584390
FS( 3 ),2510697.070000000298023,2539715.549999999813735,2514743.459999999962747,2544570.879999999888241,10109726.960000000894070
FS( 4 ),2503469.320000000298023,2514537.389999999664724,2521153.659999999683350,2510074.240000000223517,10049234.609999999403954
FS( 5 ),2482364.290000000037253,2471524.699999999720603,2489743.680000000167638,2501221.120000000111759,9944853.789999999105930
FS( 6 ),2521683.250000000000000,2467927.819999999832362,2522435.700000000186265,2525948.799999999813735,10037995.570000000298023
FS( 7 ),2511275.290000000037253,2449194.069999999832362,2483974.500000000000000,2505800.319999999832362,9950244.179999999701977
FS( 8 ),2512142.620000000111759,2469876.129999999888241,2477564.299999999813735,2529917.440000000409782,9989500.490000000223517
FS( 9 ),2508384.190000000409782,2502847.529999999795109,2498717.959999999962747,2572656.640000000130385,10082606.320000000298023
FS( 10 ),2490748.480000000447035,2535369.319999999832362,2501282.040000000037253,2561361.280000000260770,10088761.120000001043081
FS( 11 ),2467619.679999999701977,2554852.419999999925494,2465384.919999999925494,2557087.360000000335276,10044944.379999998956919
FS( 12 ),2458368.160000000149012,2549906.709999999497086,2453205.540000000037253,2598300.160000000149012,10059780.570000000298023
FS( 13 ),2480918.740000000223517,2569839.419999999925494,2484615.520000000018626,2610816.640000000130385,10146190.320000000298023
