代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,15085458.000000000000000
真實報酬,5085458.000000000000000

夏普值報酬,0.499845800000000
夏普值風險,0.126977346922885
夏普值,3.936495856253507

二次趨勢線,-8.614709755930829 x^2 + 22887.984610590665397 x + 10000000.000000000000000
二次平均預期報酬,20708.463042340172251
風險,312129.248508814140223
二次平均趨勢值,0.066345794702913
一次趨勢線,21256.580347622966656 x + 10000000.000000000000000
一次預期報酬,21256.580347622966656
一次風險,318123.961927839962300
一次趨勢值,0.066818545257665
找到最佳解世代,1519
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AXP[1](8),BA[2](3),INTC[11](4),V[25](1),
Stock#,AXP[1](8),BA[2](3),INTC[11](4),V[25](1),
張數,31936,13346,69213,26205,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,49.919999999925494,27.280000000260770,26.440000000409782,43.000000000000000,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2506706.559999999590218,2538836.860000000335276,2513842.600000000558794,2519653.750000000000000,10079039.769999999552965
FS( 3 ),2522035.839999999850988,2521753.979999999981374,2515226.860000000800937,2530135.750000000000000,10089152.430000001564622
FS( 4 ),2518203.519999999552965,2492392.780000000260770,2500692.130000000819564,2510219.950000000186265,10021508.380000000819564
FS( 5 ),2548862.080000000074506,2510409.880000000353903,2509689.820000000298023,2518081.450000000186265,10087043.230000000447035
FS( 6 ),2553333.120000000111759,2534833.060000000521541,2524916.680000000167638,2518081.450000000186265,10131164.310000002384186
FS( 7 ),2564830.080000000074506,2536167.660000000149012,2471622.670000000391155,2477987.800000000279397,10050608.210000000894070
FS( 8 ),2560359.040000000037253,2535767.280000000260770,2473006.930000000167638,2450210.500000000000000,10019343.750000000000000
FS( 9 ),2573772.160000000149012,2550314.420000000391155,2483388.880000000819564,2491614.399999999906868,10099089.860000001266599
FS( 10 ),2581756.160000000149012,2567530.760000000242144,2459164.330000000540167,2497903.599999999627471,10106354.849999999627471
FS( 11 ),2577285.120000000111759,2608502.979999999981374,2443937.470000000670552,2467767.850000000093132,10097493.419999999925494
FS( 12 ),2601237.120000000111759,2621715.520000000018626,2437016.170000000391155,2467767.850000000093132,10127736.660000000149012
FS( 13 ),2614969.599999999627471,2656948.960000000428408,2457780.070000000298023,2484014.950000000186265,10213713.580000001937151
FS( 14 ),2635089.280000000260770,2646939.460000000428408,2412791.620000000577420,2473270.899999999906868,10168091.260000001639128
FS( 15 ),2625508.479999999515712,2658150.100000000093132,2393411.980000000447035,2477463.700000000186265,10154534.260000001639128
FS( 16 ),2626785.919999999925494,2661753.520000000018626,2378185.120000000577420,2462002.750000000000000,10128727.310000000521541
FS( 17 ),2625827.839999999850988,2698988.860000000335276,2366418.910000000149012,2504716.899999999906868,10195952.509999999776483
