代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14070926.269999999552965
真實報酬,4070926.269999999552965

夏普值報酬,0.398392627000000
夏普值風險,0.106484778129569
夏普值,3.741310579764204

二次趨勢線,27.115246550189738 x^2 + 10889.359555460465344 x + 10000000.000000000000000
二次平均預期報酬,17695.286439558083657
風險,152667.315819780022139
二次平均趨勢值,0.115907496929120
一次趨勢線,15983.616205234156951 x + 10000000.000000000000000
一次預期報酬,15983.616205234156951
一次風險,244063.047106581361732
一次趨勢值,0.065489701922201
找到最佳解世代,1991
找到最佳解實驗#,1
找到最佳解次數,43

stock[index](rank)
投資組合檔數,5
HD[9](3),NKE[19](12),PG[21](7),TRV[22](1),V[25](2),
Stock#,HD[9](3),NKE[19](12),PG[21](7),TRV[22](1),V[25](2),
張數,41701,76481,32493,33014,71275,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,20.040000000037253,21.850000000093132,55.850000000093132,11.880000000121072,23.500000000000000,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),2033360.800000000046566,2002294.430000000167638,1995126.050000000046566,1993397.200000000186265,2034212.000000000000000,10058390.480000000447035
FS( 3 ),2040032.960000000195578,2017590.630000000121072,1987652.660000000149012,2007263.080000000074506,2027797.250000000000000,10080336.580000000074506
FS( 4 ),2110090.640000000130385,2047418.219999999972060,2008123.250000000000000,2034994.840000000083819,2073413.250000000000000,10274040.199999999254942
FS( 5 ),2136779.280000000260770,2052771.890000000130385,2039316.530000000027940,2043908.620000000111759,2081253.500000000000000,10354029.820000000298023
FS( 6 ),2183067.390000000130385,2077245.810000000055879,2038991.600000000093132,2051501.840000000083819,2077689.750000000000000,10428496.390000000596046
FS( 7 ),2141366.390000000130385,2055066.320000000065193,2032168.070000000065193,2032353.720000000204891,2073413.250000000000000,10334367.750000000000000
FS( 8 ),2178480.280000000260770,2057360.750000000000000,2039316.530000000027940,2044899.040000000037253,2087668.250000000000000,10407724.850000001490116
FS( 9 ),2125520.009999999776483,1954876.209999999962747,2033142.860000000102445,2035324.979999999981374,2047754.250000000000000,10196618.310000000521541
FS( 10 ),2175144.199999999720603,1912811.660000000149012,2052963.590000000083819,2083855.560000000055879,2075551.500000000000000,10300326.509999999776483
FS( 11 ),2163050.910000000149012,1945698.490000000223517,2043215.690000000176951,2093429.620000000111759,2109763.500000000000000,10355158.210000000894070
FS( 12 ),2181816.359999999869615,1938815.200000000186265,2024044.820000000065193,2082204.860000000102445,2140411.750000000000000,10367292.990000000223517
FS( 13 ),2208922.009999999776483,1941874.440000000176951,2021445.380000000121072,2094750.180000000167638,2162507.000000000000000,10429499.009999999776483
FS( 14 ),2203083.870000000111759,1934991.150000000139698,1962308.120000000111759,2107955.780000000260770,2184602.250000000000000,10392941.170000001788139
FS( 15 ),2137613.299999999813735,1886808.120000000111759,1941512.600000000093132,2066028.000000000000000,2129007.750000000000000,10160969.769999999552965
FS( 16 ),2169306.060000000055879,1900574.700000000186265,1944112.040000000037253,2091448.780000000260770,2226654.500000000000000,10332096.080000001937151
FS( 17 ),2148455.560000000055879,1863863.820000000065193,1927215.680000000167638,2051831.979999999981374,2161081.500000000000000,10152448.540000000968575
FS( 18 ),2163467.919999999925494,1882219.260000000009313,1925915.960000000195578,2051831.979999999981374,2194580.750000000000000,10218015.869999999180436
FS( 19 ),2149706.589999999850988,1876100.780000000260770,1948985.989999999990687,2074281.500000000000000,2199570.000000000000000,10248644.859999999403954
FS( 20 ),2155544.729999999981374,1852391.669999999925494,1959058.820000000065193,2074941.780000000260770,2165358.000000000000000,10207295.000000000000000
FS( 21 ),2209756.030000000260770,1678779.800000000046566,1990252.100000000093132,2107625.640000000596046,2203133.750000000000000,10189547.320000000298023
FS( 22 ),2210590.049999999813735,1698664.860000000102445,1988302.520000000018626,2110266.759999999776483,2256590.000000000000000,10264414.189999999478459
FS( 23 ),2153876.689999999944121,1730022.070000000065193,1993826.330000000074506,2117199.700000000186265,2251600.750000000000000,10246525.539999999105930
FS( 24 ),2173059.149999999906868,1762908.900000000139698,1993501.400000000139698,2111587.320000000298023,2263004.750000000000000,10304061.519999999552965
FS( 25 ),2174727.189999999944121,1747612.700000000186265,1991226.890000000130385,2088477.520000000018626,2232356.500000000000000,10234400.800000000745058
