代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12532664.140000000596046
真實報酬,2532664.140000000596046

夏普值報酬,0.244566414000000
夏普值風險,0.068585803269609
夏普值,3.565846025577848

二次趨勢線,17.095927378362948 x^2 + 4980.196272343388955 x + 10000000.000000000000000
二次平均預期報酬,9322.561826447579733
風險,238663.837545089336345
二次平均趨勢值,0.039061476268630
一次趨勢線,8230.546820237936117 x + 10000000.000000000000000
一次預期報酬,8230.546820237936117
一次風險,268471.420001611055341
一次趨勢值,0.030657068898390
找到最佳解世代,2452
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
IBM[10](2),MCD[15](1),
Stock#,IBM[10](2),MCD[15](1),
張數,34623,63059,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,92.570000000298023,51.889999999664724,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),5026659.710000000894070,5005675.309999999590218,10032335.019999999552965
FS( 3 ),5033584.310000000521541,5029637.730000000447035,10063222.040000000968575
FS( 4 ),5020081.340000000782311,5018287.109999999403954,10038368.449999999254942
FS( 5 ),4986497.030000000260770,5066211.950000000186265,10052708.980000000447035
FS( 6 ),5019735.110000000335276,4965317.549999998882413,9985052.660000000149012
FS( 7 ),4996191.470000000670552,4894060.879999999888241,9890252.350000001490116
FS( 8 ),5014195.429999999701977,4890907.929999999701977,9905103.359999999403954
FS( 9 ),4995499.010000000707805,4862531.379999999888241,9858030.390000000596046
FS( 10 ),5048818.429999999701977,4862531.379999999888241,9911349.809999998658895
FS( 11 ),5010733.129999999888241,4854333.709999999962747,9865066.839999999850988
FS( 12 ),5004847.220000000670552,4837307.779999999329448,9842155.000000000000000
FS( 13 ),5020427.570000000298023,4843613.679999999701977,9864041.250000000000000
FS( 14 ),5003462.299999999813735,4850550.169999999925494,9854012.469999998807907
FS( 15 ),5046048.590000000782311,4846766.629999999888241,9892815.220000000670552
FS( 16 ),5053319.419999999925494,4856225.480000000447035,9909544.900000000372529
FS( 17 ),5051242.040000000037253,4853072.529999999329448,9904314.570000000298023
FS( 18 ),5032199.390000000596046,4819651.259999999776483,9851850.650000000372529
FS( 19 ),5045009.900000000372529,4819651.259999999776483,9864661.160000000149012
