代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,15118293.879999997094274
真實報酬,5118293.879999997094274

夏普值報酬,0.503129388000000
夏普值風險,0.120815561109429
夏普值,4.164441926022167

二次趨勢線,23.243431307444759 x^2 + 14562.747073567608822 x + 10000000.000000000000000
二次平均預期報酬,20443.335194351133396
風險,137717.598471623437945
二次平均趨勢值,0.148443883869812
一次趨勢線,18964.454617441246228 x + 10000000.000000000000000
一次預期報酬,18964.454617441246228
一次風險,215570.333257429098012
一次趨勢值,0.087973397502681
找到最佳解世代,2701
找到最佳解實驗#,7
找到最佳解次數,16

stock[index](rank)
投資組合檔數,4
BA[2](1),MCD[15](3),MMM[16](6),V[25](4),
Stock#,BA[2](1),MCD[15](3),MMM[16](6),V[25](4),
張數,17554,22271,15220,30629,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,134.859999999869615,80.250000000000000,115.000000000000000,61.020000000018626,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2470860.359999999869615,2503117.939999999944121,2522525.599999999627471,2468145.839999999850988,9964649.739999998360872
FS( 3 ),2458045.939999999944121,2488196.370000000111759,2539267.600000000093132,2470289.870000000111759,9955799.780000001192093
FS( 4 ),2449620.019999999552965,2473052.090000000316650,2533940.599999999627471,2461407.459999999962747,9918020.169999998062849
FS( 5 ),2510883.479999999981374,2512694.469999999739230,2583557.800000000279397,2527259.810000000055879,10134395.560000000521541
FS( 6 ),2496313.659999999683350,2541424.060000000055879,2603191.600000000093132,2538592.540000000037253,10179521.859999999403954
FS( 7 ),2547044.719999999739230,2560799.830000000074506,2593450.799999999813735,2549618.979999999981374,10250914.330000000074506
FS( 8 ),2592685.119999999646097,2550332.459999999962747,2652656.600000000093132,2507657.250000000000000,10303331.429999999701977
FS( 9 ),2607254.939999999944121,2543873.870000000111759,2664832.600000000093132,2507963.540000000037253,10323924.949999999254942
FS( 10 ),2633059.319999999832362,2624940.310000000055879,2631805.199999999720603,2400762.040000000037253,10290566.870000001043081
FS( 11 ),2600057.800000000279397,2635184.969999999739230,2652047.800000000279397,2406581.549999999813735,10293872.120000001043081
FS( 12 ),2570742.619999999646097,2655006.159999999683350,2618107.199999999720603,2452831.339999999850988,10296687.319999998435378
FS( 13 ),2551257.680000000167638,2660351.200000000186265,2629674.400000000372529,2483154.049999999813735,10324437.330000001937151
FS( 14 ),2569162.759999999776483,2672600.250000000000000,2632566.200000000186265,2475496.799999999813735,10349826.009999999776483
FS( 15 ),2580923.939999999944121,2661464.750000000000000,2610649.400000000372529,2502144.029999999795109,10355182.119999999180436
FS( 16 ),2624808.939999999944121,2665696.239999999757856,2616585.199999999720603,2448236.990000000223517,10355327.369999999180436
FS( 17 ),2628670.819999999832362,2675718.189999999944121,2621760.000000000000000,2437210.549999999813735,10363359.559999998658895
FS( 18 ),2633937.019999999552965,2687299.109999999869615,2640632.800000000279397,2454362.790000000037253,10416231.719999998807907
FS( 19 ),2629197.439999999944121,2713133.469999999739230,2625565.000000000000000,2422202.339999999850988,10390098.250000000000000
FS( 20 ),2662023.419999999459833,2687744.530000000260770,2629674.400000000372529,2424346.370000000111759,10403788.719999998807907
FS( 21 ),2643065.100000000093132,2656342.419999999925494,2613997.800000000279397,2368295.299999999813735,10281700.620000001043081
FS( 22 ),2675188.919999999459833,2638525.620000000111759,2627543.600000000093132,2310406.490000000223517,10251664.629999998956919
FS( 23 ),2672731.359999999869615,2633403.290000000037253,2624499.600000000093132,2319288.899999999906868,10249923.150000000372529
FS( 24 ),2671151.500000000000000,2656787.840000000316650,2612171.399999999906868,2367989.010000000242144,10308099.750000000000000
FS( 25 ),2672555.819999999832362,2655897.000000000000000,2614911.000000000000000,2361863.209999999962747,10305227.030000001192093
FS( 26 ),2705908.419999999459833,2670818.569999999832362,2679596.000000000000000,2429247.010000000242144,10485570.000000000000000
FS( 27 ),2727850.919999999459833,2682622.200000000186265,2677008.600000000093132,2428328.140000000130385,10515809.859999999403954
FS( 28 ),2747160.319999999832362,2700661.709999999962747,2716732.800000000279397,2424040.080000000074506,10588594.910000000149012
FS( 29 ),2758921.500000000000000,2711351.790000000037253,2734235.799999999813735,2404437.520000000018626,10608946.609999999403954
