代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13974512.019999999552965
真實報酬,3974512.019999999552965

夏普值報酬,0.388751202000000
夏普值風險,0.105470261671436
夏普值,3.685884493309109

二次趨勢線,42.788741402639424 x^2 + 5501.450999108468750 x + 10000000.000000000000000
二次平均預期報酬,16284.213832573605032
風險,187155.687295682990225
二次平均趨勢值,0.087008917911463
一次趨勢線,13572.445446026180434 x + 10000000.000000000000000
一次預期報酬,13572.445446026180434
一次風險,356047.515379543707240
一次趨勢值,0.038119758907903
找到最佳解世代,1769
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](3),BA[2](1),MSFT[18](2),UNH[23](5),
Stock#,AAPL[0](3),BA[2](1),MSFT[18](2),UNH[23](5),
張數,26697,18655,49397,18925,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,92.919999999925494,43.450000000186265,17.830000000074506,7.500000000000000,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2541113.379999999888241,2471644.400000000372529,2459000.490000000223517,2506813.000000000000000,9978571.269999999552965
FS( 3 ),2514683.350000000093132,2441796.399999999906868,2463446.219999999739230,2498675.250000000000000,9918601.219999998807907
FS( 4 ),2489321.199999999720603,2463995.850000000558794,2466904.009999999776483,2503974.250000000000000,9924195.310000000521541
FS( 5 ),2475438.759999999776483,2486008.750000000000000,2489132.660000000149012,2498864.500000000000000,9949444.669999999925494
FS( 6 ),2477307.550000000279397,2464368.950000000186265,2473325.620000000111759,2510787.249999999534339,9925789.369999999180436
FS( 7 ),2494126.660000000149012,2513245.050000000279397,2520252.770000000018626,2527819.750000000000000,10055444.230000000447035
FS( 8 ),2469832.390000000130385,2481158.450000000186265,2521734.679999999701977,2473315.750000000000000,9946041.269999999552965
FS( 9 ),2411899.899999999906868,2507648.549999999813735,2544457.299999999813735,2455337.000000000000000,9919342.750000000000000
FS( 10 ),2416705.359999999869615,2464742.050000000279397,2523216.589999999850988,2441332.500000000000000,9845996.500000000000000
FS( 11 ),2506407.279999999795109,2502425.149999999906868,2560264.339999999850988,2472369.499999999534339,10041466.269999999552965
FS( 12 ),2495995.449999999720603,2472950.250000000000000,2495060.299999999813735,2451930.500000000000000,9915936.500000000000000
FS( 13 ),2524561.239999999757856,2443661.900000000372529,2509879.400000000372529,2469909.250000000000000,9948011.790000000968575
