代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12901415.980000000447035
真實報酬,2901415.980000000447035

夏普值報酬,0.281441598000000
夏普值風險,0.091976943941280
夏普值,3.059914647519459

二次趨勢線,51.407244319119471 x^2 + -97.623111463774990 x + 10000000.000000000000000
二次平均預期報酬,12908.409701273450992
風險,307276.138028751942329
二次平均趨勢值,0.042009151065501
一次趨勢線,9637.585607773200536 x + 10000000.000000000000000
一次預期報酬,9637.585607773200536
一次風險,478496.023700510093477
一次趨勢值,0.020141412112978
找到最佳解世代,2124
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
AAPL[0](2),MCD[15](1),VZ[26](7),
Stock#,AAPL[0](2),MCD[15](1),VZ[26](7),
張數,118455,52460,110229,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,9.299999999813735,24.600000000093132,8.040000000037253,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3320302.949999999720603,3278774.600000000093132,3365299.410000000149012,9964377.960000000894070
FS( 3 ),3325041.149999999906868,3250970.799999999813735,3368606.279999999795109,9944619.229999998584390
FS( 4 ),3271736.399999999906868,3231036.000000000465661,3369708.570000000298023,9872481.970000000670552
FS( 5 ),3197109.749999999534339,3248872.399999999906868,3427027.649999999906868,9873010.799999998882413
FS( 6 ),3212508.899999999906868,3179625.200000000186265,3441357.419999999925494,9833492.519999999552965
FS( 7 ),3347547.600000000093132,3179100.600000000093132,3431436.810000000055879,9958086.009999999776483
FS( 8 ),3323856.599999999627471,3202707.600000000093132,3468914.669999999925494,9995479.869999999180436
FS( 9 ),3294242.849999999627471,3234708.199999999720603,3476630.699999999720603,10005582.749999998137355
FS( 10 ),3333333.000000000000000,3259889.000000000000000,3457891.770000000018626,10051114.769999999552965
FS( 11 ),3285950.999999999534339,3252544.600000000093132,3401674.979999999981374,9940171.580000000074506
FS( 12 ),3300165.599999999627471,3274577.800000000279397,3370810.859999999869615,9945555.259999999776483
FS( 13 ),3246860.849999999627471,3248347.800000000279397,3381833.759999999776483,9877043.410000000149012
FS( 14 ),3307272.899999999906868,3261462.800000000279397,3380731.470000000204891,9949468.169999999925494
FS( 15 ),3354654.899999999906868,3287168.199999999720603,3402777.270000000018626,10044601.369999999180436
FS( 16 ),3390191.399999999906868,3303430.799999999813735,3421516.199999999720603,10115139.399999998509884
FS( 17 ),3419805.149999999906868,3323890.200000000186265,3424823.070000000298023,10168519.419999999925494
FS( 18 ),3537075.599999999627471,3327037.800000000279397,3438050.550000000279397,10302164.950000001117587
FS( 19 ),3580903.949999999720603,3337005.200000000186265,3451278.029999999795109,10369188.179999999701977
FS( 20 ),3538260.149999999906868,3335956.000000000465661,3444664.290000000037253,10318881.440000001341105
FS( 21 ),3580903.949999999720603,3299234.000000000000000,3444664.290000000037253,10324803.239999998360872
FS( 22 ),3565504.799999999813735,3275627.000000000000000,3413800.169999999925494,10254932.969999998807907
FS( 23 ),3621178.649999999906868,3293463.400000000372529,3429232.229999999981374,10343875.280000001192093
FS( 24 ),3628285.949999999720603,3268282.600000000093132,3435845.970000000204891,10332415.519999999552965
FS( 25 ),3570243.000000000000000,3223691.600000000093132,3289241.399999999906868,10083177.000000000000000
FS( 26 ),3563135.699999999720603,3247298.600000000093132,3270502.470000000204891,10080937.769999999552965
FS( 27 ),3586826.699999999720603,3244151.000000000465661,3271604.759999999776483,10102583.460000000894070
FS( 28 ),3556028.399999999906868,3269331.800000000279397,3285934.529999999795109,10111295.730000000447035
FS( 29 ),3514569.149999999906868,3287168.199999999720603,3288139.109999999869615,10089877.459999999031425
FS( 30 ),3564320.250000000000000,3283496.000000000465661,3284832.240000000223517,10132649.490000000223517
FS( 31 ),3544182.899999999906868,3286643.600000000093132,3217592.550000000279397,10048420.050000000745058
FS( 32 ),3484955.399999999906868,3267233.400000000372529,3151455.149999999906868,9903644.950000001117587
FS( 33 ),3638946.899999999906868,3330185.399999999906868,3218694.839999999850988,10187828.140000000596046
FS( 34 ),3583273.049999999813735,3305529.200000000186265,3164682.630000000353903,10053485.880000000819564
FS( 35 ),3520491.899999999906868,3315496.600000000093132,3156966.600000000093132,9992956.099999999627471
FS( 36 ),3346363.049999999813735,3325464.000000000000000,3127204.770000000018626,9799032.820000000298023
FS( 37 ),3436388.850000000093132,3309726.000000000465661,3161375.759999999776483,9907491.609999999403954
FS( 38 ),3484955.399999999906868,3347497.200000000186265,3109568.130000000353903,9942021.730000000447035
FS( 39 ),3518122.799999999813735,3343300.399999999906868,3078704.009999999776483,9940128.209999999031425
FS( 40 ),3372423.149999999906868,3296086.399999999906868,3022487.220000000204891,9690997.769999999552965
FS( 41 ),3250414.500000000000000,3275102.399999999906868,3032407.830000000074506,9557925.730000000447035
FS( 42 ),3295427.399999999906868,3351694.000000000000000,3051146.759999999776483,9698269.160000000149012
FS( 43 ),3314380.199999999720603,3359038.400000000372529,3064374.240000000223517,9737793.839999999850988
FS( 44 ),3371238.600000000093132,3420941.199999999720603,3008157.449999999720603,9800338.250000000000000
FS( 45 ),3250414.500000000000000,3360612.200000000186265,2950838.370000000111759,9561866.070000000298023
FS( 46 ),3307272.899999999906868,3324414.799999999813735,2961861.270000000018626,9593549.969999998807907
FS( 47 ),3284766.449999999720603,3300807.800000000279397,2923281.120000000111759,9508856.370000001043081
FS( 48 ),3320302.949999999720603,3334906.800000000279397,2962963.560000000055879,9618174.310000000521541
FS( 49 ),3301350.149999999906868,3318119.600000000093132,2975088.750000000000000,9594559.500000000000000
FS( 50 ),3361762.199999999720603,3346448.000000000000000,2992725.389999999664724,9700936.589999999850988
FS( 51 ),3391375.949999999720603,3335956.000000000465661,2981702.490000000223517,9709035.440000001341105
FS( 52 ),3442311.599999999627471,3357989.200000000186265,3007055.160000000149012,9807356.960000000894070
FS( 53 ),3428097.000000000000000,3371104.200000000186265,3002646.000000000000000,9801848.199999999254942
FS( 54 ),3434019.749999999534339,3382645.400000000372529,3003748.290000000037253,9820414.440000001341105
FS( 55 ),3412697.849999999627471,3396285.000000000000000,2990520.810000000055879,9799504.660000000149012
FS( 56 ),3391375.949999999720603,3397858.799999999813735,2988316.229999999981374,9777551.980000000447035
FS( 57 ),3334517.549999999813735,3403104.800000000279397,2961861.270000000018626,9699484.619999999180436
FS( 58 ),3396114.149999999906868,3423564.200000000186265,2985009.359999999869615,9804688.709999999031425
FS( 59 ),3418620.599999999627471,3377399.399999999906868,2976191.040000000037253,9772212.039999999105930
FS( 60 ),3462448.949999999720603,3349595.600000000093132,2981702.490000000223517,9793748.039999999105930
FS( 61 ),3537075.599999999627471,3356415.399999999906868,2987213.940000000409782,9880705.940000001341105
FS( 62 ),3534706.500000000000000,3361136.799999999813735,3015873.479999999981374,9911717.779999999329448
FS( 63 ),3541813.799999999813735,3338054.400000000372529,3001543.709999999962747,9881412.910000000149012
FS( 64 ),3565504.799999999813735,3327562.399999999906868,3016975.770000000018626,9910043.969999998807907
FS( 65 ),3705281.699999999720603,3340152.800000000279397,3012566.609999999869615,10058002.109999999403954
FS( 66 ),3707650.799999999813735,3416219.800000000279397,3053351.339999999850988,10177222.939999999478459
FS( 67 ),3773985.599999999627471,3415170.599999999627471,3082010.880000000353903,10271168.080000000074506
FS( 68 ),3804783.899999999441206,3406777.000000000000000,3065476.529999999795109,10277038.429999999701977
FS( 69 ),3815444.850000000093132,3420941.199999999720603,3075397.139999999664724,10311784.189999999478459
FS( 70 ),3834397.649999999441206,3437728.400000000372529,3064374.240000000223517,10336501.289999999105930
FS( 71 ),3788200.199999999720603,3458712.400000000372529,3077601.720000000204891,10324515.320000000298023
FS( 72 ),3797676.600000000093132,3466056.799999999813735,3084215.459999999962747,10347949.859999999403954
FS( 73 ),3792938.400000000372529,3482319.399999999906868,3107363.550000000279397,10382622.350000001490116
FS( 74 ),3801230.250000000000000,3498057.400000000372529,3122795.609999999869615,10422084.259999999776483
FS( 75 ),3760955.549999999813735,3490188.400000000372529,3133818.509999999776483,10384963.460000000894070
FS( 76 ),3803599.349999999627471,3515369.200000000186265,3159171.180000000167638,10478140.730000000447035
FS( 77 ),3864011.399999999441206,3533205.599999999627471,3192239.880000000353903,10589457.879999998956919
FS( 78 ),3881779.650000000372529,3504352.600000000093132,3139329.959999999962747,10525463.210000000894070
FS( 79 ),3835582.200000000186265,3509598.600000000558794,3123897.899999999906868,10469079.700000001117587
FS( 80 ),3907839.750000000000000,3528484.200000000186265,3129409.350000000093132,10565734.300000000745058
FS( 81 ),3932715.300000000279397,3518516.799999999813735,3138227.669999999925494,10589460.769999999552965
FS( 82 ),3990758.249999999534339,3527435.000000000000000,3218694.839999999850988,10736889.089999999850988
FS( 83 ),3976543.649999999906868,3500155.799999999813735,3196649.040000000037253,10673349.489999998360872
FS( 84 ),3993127.350000000093132,3545271.399999999906868,3223104.000000000000000,10761503.750000000000000
FS( 85 ),4035771.149999999906868,3568878.400000000372529,3241842.930000000167638,10846493.480000000447035
FS( 86 ),4053539.399999999906868,3557337.200000000186265,3215387.970000000204891,10826265.570000000298023
FS( 87 ),4071307.649999999441206,3551566.600000000093132,3116181.870000000111759,10739057.120000001043081
FS( 88 ),4060646.699999999720603,3607174.200000000186265,3108465.839999999850988,10776287.740000000223517
FS( 89 ),4091444.999999999534339,3602977.400000000372529,3099647.520000000018626,10794070.919999999925494
FS( 90 ),4099736.849999999627471,3595108.400000000372529,3085317.750000000000000,10780164.000000000000000
FS( 91 ),4102105.950000000186265,3615567.800000000279397,3098545.229999999981374,10816219.980000000447035
FS( 92 ),4157779.799999999813735,3641797.800000000279397,3076499.430000000167638,10876078.029999999329448
FS( 93 ),4212269.099999999627471,3628158.199999999720603,3044533.020000000018626,10884961.319999998435378
FS( 94 ),4186209.000000000000000,3621338.400000000372529,3048942.180000000167638,10856490.580000000074506
FS( 95 ),4181470.799999999348074,3668027.800000000279397,3064374.240000000223517,10913873.839999999850988
FS( 96 ),4138826.999999999534339,3690061.000000000465661,3066578.820000000298023,10895467.820000000298023
