代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13256323.570000000298023
真實報酬,3256323.570000000298023

夏普值報酬,0.316932357000000
夏普值風險,0.098869908567769
夏普值,3.205549206943613

二次趨勢線,61.893776801492436 x^2 + -1584.241855988615725 x + 10000000.000000000000000
二次平均預期報酬,14074.883674788976350
風險,305952.358708730200306
二次平均趨勢值,0.046003514188261
一次趨勢線,10136.846165068680421 x + 10000000.000000000000000
一次預期報酬,10136.846165068680421
一次風險,537247.135120271123014
一次趨勢值,0.018868125118619
找到最佳解世代,1976
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
AAPL[0](4),CAT[3](2),KO[14](3),MCD[15](1),UNH[23](8),
Stock#,AAPL[0](4),CAT[3](2),KO[14](3),MCD[15](1),UNH[23](8),
張數,65423,34158,70126,31857,63431,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,18.889999999897555,49.100000000093132,6.479999999981374,17.540000000037253,20.569999999832362,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),2003925.379999999888241,2023910.600000000093132,1976157.159999999916181,1984708.639999999897555,1996828.449999999953434,9985530.229999998584390
FS( 3 ),1971868.109999999869615,2030059.040000000037253,1975455.900000000139698,1957630.190000000176951,2016492.059999999823049,9951505.300000000745058
FS( 4 ),1967942.729999999748543,2038256.960000000195578,1970547.080000000074506,1971965.840000000083819,2093877.879999999655411,10042590.489999998360872
FS( 5 ),1981027.330000000074506,2061142.820000000298023,1934081.559999999823049,1970054.420000000158325,2074214.270000000018626,10020520.400000000372529
FS( 6 ),1964017.349999999860302,2190601.640000000130385,1973352.120000000111759,1985345.780000000027940,2088169.089999999850988,10201485.980000000447035
FS( 7 ),1941119.300000000046566,2126043.020000000018626,1994389.920000000158325,1996177.159999999916181,2032984.119999999646097,10090713.519999999552965
FS( 8 ),1968596.959999999962747,2129117.240000000223517,2000000.000000000000000,1993947.170000000158325,2064065.309999999823049,10155726.679999999701977
FS( 9 ),1957475.050000000046566,2117161.939999999944121,2003506.300000000046566,1995858.590000000083819,2113541.489999999757856,10187543.369999999180436
FS( 10 ),1924763.550000000046566,2053628.060000000055879,1974053.379999999888241,1984071.500000000000000,2140816.819999999832362,10077333.310000000521541
FS( 11 ),2009813.449999999720603,2081296.040000000037253,1978260.939999999944121,2022299.899999999906868,2228351.600000000093132,10320021.929999999701977
FS( 12 ),1979064.639999999897555,2041331.179999999934807,1946002.979999999981374,2007327.109999999869615,2191561.619999999646097,10165287.529999999329448
FS( 13 ),1944390.449999999720603,1941931.400000000139698,1906732.420000000158325,2013379.940000000176951,2099586.669999999925494,9906020.879999998956919
FS( 14 ),1848218.639999999897555,1853120.600000000093132,1901823.600000000093132,2019432.770000000018626,2103392.529999999795109,9725988.139999998733401
FS( 15 ),1897940.120000000111759,1883521.220000000204891,1906031.159999999916181,2009875.670000000158325,2093243.569999999832362,9790611.740000000223517
FS( 16 ),1924763.550000000046566,1907773.400000000139698,1898317.300000000046566,2032812.710000000195578,2057722.209999999729916,9821389.169999999925494
FS( 17 ),1943081.989999999757856,1825452.620000000111759,1911641.239999999990687,2030264.149999999906868,2108467.009999999776483,9818907.009999999776483
FS( 18 ),1862611.699999999720603,1771482.979999999981374,1899719.820000000065193,2001592.850000000093132,2120518.899999999906868,9655926.250000000000000
FS( 19 ),1795226.010000000009313,1784463.020000000251457,1902524.859999999869615,1988850.050000000046566,2093243.569999999832362,9564307.509999999776483
FS( 20 ),1820086.750000000000000,1808373.620000000111759,1906732.420000000158325,2035361.270000000018626,2101489.600000000093132,9672043.660000000149012
FS( 21 ),1830554.429999999934807,1829210.000000000000000,1930575.260000000009313,2039821.250000000000000,2159846.119999999646097,9790007.059999998658895
FS( 22 ),1861957.469999999972060,1823744.720000000204891,1924263.920000000158325,2077412.509999999776483,2113541.489999999757856,9800920.109999999403954
FS( 23 ),1795226.010000000009313,1755770.300000000046566,1873773.199999999953434,2040776.960000000195578,2058990.829999999841675,9524537.299999998882413
FS( 24 ),1826629.050000000046566,1767725.600000000093132,1861851.780000000027940,2018795.629999999888241,2064065.309999999823049,9539067.370000001043081
FS( 25 ),1814198.679999999934807,1734592.340000000083819,1846424.059999999823049,2004459.979999999981374,2055819.279999999562278,9455494.339999999850988
FS( 26 ),1833825.580000000074506,1828526.840000000083819,1894109.739999999990687,2025167.030000000027940,2093243.569999999832362,9674872.759999999776483
FS( 27 ),1823357.899999999906868,1815546.800000000046566,1886395.879999999888241,2014972.790000000037253,2074848.579999999841675,9615121.949999999254942
FS( 28 ),1856723.629999999888241,1918020.800000000046566,1901122.339999999850988,2032175.570000000065193,2100855.289999999571592,9808897.629999998956919
FS( 29 ),1873079.379999999888241,1919728.700000000186265,1892707.219999999972060,2025804.170000000158325,2041230.149999999906868,9752549.619999999180436
FS( 30 ),1901211.269999999785796,1951154.060000000055879,1922160.139999999897555,2039184.110000000102445,2006343.099999999860302,9820052.679999999701977
FS( 31 ),1893360.510000000009313,1964134.100000000093132,1940392.900000000139698,2047148.360000000102445,2064699.619999999646097,9909735.490000000223517
FS( 32 ),1896631.659999999683350,1974723.080000000074506,1960729.439999999944121,2054156.900000000139698,2073579.959999999729916,9959821.039999999105930
