代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13689187.869999997317791
真實報酬,3689187.869999997317791

夏普值報酬,0.360218787000000
夏普值風險,0.108824945816899
夏普值,3.310075500575753

二次趨勢線,6.384159093700230 x^2 + 15108.643190519112977 x + 10000000.000000000000000
二次平均預期報酬,16723.835441225270188
風險,313243.295249783433974
二次平均趨勢值,0.053389284606681
一次趨勢線,16317.638578176452938 x + 10000000.000000000000000
一次預期報酬,16317.638578176452938
一次風險,316538.025171870947815
一次趨勢值,0.051550326597623
找到最佳解世代,1930
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
AAPL[0](1),HD[9](3),MCD[15](9),MMM[16](2),PG[21](15),
Stock#,AAPL[0](1),HD[9](3),MCD[15](9),MMM[16](2),PG[21](15),
張數,100452,82781,33416,33732,37481,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,0.679999999934807,11.040000000037253,52.399999999906868,29.719999999972060,13.840000000083819,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),2002009.039999999804422,2028145.540000000037253,2017710.479999999981374,2022600.439999999944121,2013118.350000000093132,10083583.849999999627471
FS( 3 ),2023103.959999999962747,2017384.010000000009313,2038094.239999999990687,2007083.719999999972060,2016866.450000000186265,10102532.379999998956919
FS( 4 ),2062280.239999999990687,2033940.209999999962747,2013032.239999999990687,2018889.919999999925494,1999625.190000000176951,10127767.800000000745058
FS( 5 ),2076343.520000000018626,2000827.810000000288710,2000668.319999999832362,2055657.799999999813735,1993253.420000000158325,10126750.870000001043081
FS( 6 ),2064289.280000000027940,2033112.399999999906868,1962239.919999999925494,2047224.799999999813735,1991754.180000000167638,10098620.580000000074506
FS( 7 ),2048216.959999999962747,2015728.390000000130385,1974269.679999999934807,2035418.600000000093132,1964393.050000000046566,10038026.680000001564622
FS( 8 ),2013058.759999999776483,2019039.630000000121072,1950210.159999999916181,2039466.439999999944121,1952024.320000000065193,9973799.310000000521541
FS( 9 ),2008036.159999999683350,2005794.670000000158325,1927153.119999999878928,2043514.280000000027940,1949400.649999999906868,9933898.880000000819564
FS( 10 ),1965846.320000000065193,1999172.189999999944121,1950210.159999999916181,2057681.719999999972060,1969640.389999999897555,9942550.779999999329448
FS( 11 ),1952787.560000000055879,1974337.890000000130385,1930828.879999999888241,2000674.640000000130385,1923913.570000000065193,9782542.540000000968575
FS( 12 ),1956805.639999999897555,1920530.239999999990687,1907103.520000000018626,1970315.839999999850988,1877811.940000000176951,9632567.179999999701977
FS( 13 ),1945755.919999999925494,1957781.689999999944121,1917128.319999999832362,1991567.000000000000000,1874438.649999999906868,9686671.580000000074506
FS( 14 ),1949774.000000000000000,1932947.390000000130385,1943526.959999999729916,2000674.640000000130385,1917916.610000000102445,9744839.599999999627471
FS( 15 ),2002009.039999999804422,1947020.159999999916181,1943861.119999999878928,2002698.559999999823049,1898051.680000000167638,9793640.559999998658895
FS( 16 ),1970868.919999999925494,1924669.290000000037253,1911447.600000000093132,1938607.760000000009313,1895053.200000000186265,9640646.769999999552965
FS( 17 ),1922651.959999999962747,1894040.320000000065193,1896744.559999999823049,1924777.640000000130385,1894678.389999999897555,9532892.870000001043081
FS( 18 ),1954796.600000000093132,1877484.120000000111759,1881373.199999999720603,1938945.079999999841675,1894678.389999999897555,9547277.390000000596046
FS( 19 ),2007031.639999999897555,1951159.209999999962747,1920135.760000000009313,1986844.520000000018626,1937031.920000000158325,9802203.049999998882413
FS( 20 ),2044198.880000000121072,1954470.449999999953434,1904764.399999999906868,1998988.039999999804422,1939655.590000000083819,9842077.360000001266599
FS( 21 ),2037167.239999999990687,1975993.510000000009313,1912450.079999999841675,2022600.439999999944121,1957646.469999999972060,9905857.740000000223517
FS( 22 ),2044198.880000000121072,1956126.070000000065193,1921138.239999999990687,2027322.919999999925494,1915292.940000000176951,9864079.050000000745058
FS( 23 ),2049221.479999999748543,1962748.550000000046566,1945531.919999999925494,2048911.400000000139698,1949025.840000000083819,9955439.189999999478459
FS( 24 ),2009040.679999999934807,1888245.649999999906868,1919801.600000000093132,2032382.719999999972060,1915667.750000000000000,9765138.399999998509884
FS( 25 ),1988950.280000000027940,1894040.320000000065193,1937846.239999999990687,2046550.159999999916181,1955397.610000000102445,9822784.609999999403954
FS( 26 ),1942742.359999999869615,1854305.439999999944121,1898081.199999999720603,1982122.039999999804422,1945652.550000000046566,9622903.589999999850988
FS( 27 ),1968859.880000000121072,1875828.500000000000000,1906101.039999999804422,1990892.360000000102445,1973013.680000000167638,9714695.460000000894070
FS( 28 ),1956805.639999999897555,1877484.120000000111759,1897078.719999999972060,1993253.600000000093132,1964393.050000000046566,9689015.130000000819564
