代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13645970.780000001192093
真實報酬,3645970.780000001192093

夏普值報酬,0.355897078000000
夏普值風險,0.088740595078336
夏普值,4.010532921103694

二次趨勢線,-16.613270173741451 x^2 + 18985.314858746991376 x + 10000000.000000000000000
二次平均預期報酬,14782.157504790402527
風險,184500.413572452496737
二次平均趨勢值,0.080119915281304
一次趨勢線,15839.189156181457292 x + 10000000.000000000000000
一次預期報酬,15839.189156181457292
一次風險,219297.905440189642832
一次趨勢值,0.072226814589898
找到最佳解世代,2254
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
BA[2](9),DD[7](1),MRK[17](6),UNH[23](12),
Stock#,BA[2](9),DD[7](1),MRK[17](6),UNH[23](12),
張數,27418,52954,54716,41862,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,26.759999999776483,41.660000000149012,25.959999999962747,1.359999999869615,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2528240.539999999571592,2497881.840000000316650,2502188.639999999664724,2489953.119999999646097,10018264.139999998733401
FS( 3 ),2570190.079999999608845,2560897.100000000093132,2498905.680000000167638,2466510.399999999906868,10096503.259999999776483
FS( 4 ),2582528.179999999701977,2564603.880000000353903,2461151.639999999664724,2520093.759999999776483,10128377.460000000894070
FS( 5 ),2598978.979999999981374,2604848.919999999925494,2477019.280000000260770,2532652.359999999869615,10213499.540000000968575
FS( 6 ),2578415.479999999981374,2602730.760000000242144,2461698.800000000279397,2616794.979999999981374,10259640.020000001415610
FS( 7 ),2594043.739999999757856,2633444.080000000074506,2489056.800000000279397,2595863.979999999981374,10312408.600000001490116
FS( 8 ),2583899.079999999608845,2598494.439999999944121,2514226.160000000149012,2633539.779999999795109,10330159.459999999031425
FS( 9 ),2598156.439999999944121,2590551.340000000316650,2526263.680000000167638,2611771.540000000037253,10326743.000000000000000
FS( 10 ),2635170.739999999757856,2633973.620000000111759,2552527.359999999869615,2584142.619999999646097,10405814.339999997988343
FS( 11 ),2660121.119999999646097,2665216.479999999981374,2556904.639999999664724,2579119.179999999701977,10461361.419999998062849
FS( 12 ),2648057.199999999720603,2647212.120000000111759,2537206.879999999888241,2601306.040000000037253,10433782.240000000223517
FS( 13 ),2712215.319999999832362,2701225.200000000186265,2516414.800000000279397,2630609.439999999944121,10560464.759999999776483
FS( 14 ),2706731.719999999739230,2685339.000000000000000,2473736.319999999832362,2618888.080000000074506,10484695.119999999180436
FS( 15 ),2707554.259999999776483,2698047.960000000428408,2589734.239999999757856,2631865.299999999813735,10627201.760000001639128
FS( 16 ),2685071.500000000000000,2648271.200000000186265,2555810.319999999832362,2607166.719999999739230,10496319.739999998360872
FS( 17 ),2734972.259999999776483,2647212.120000000111759,2589734.239999999757856,2610515.679999999701977,10582434.299999998882413
FS( 18 ),2741826.759999999776483,2645623.500000000000000,2580432.519999999552965,2597957.080000000074506,10565839.859999999403954
FS( 19 ),2744842.739999999757856,2642446.260000000242144,2605601.879999999888241,2651540.439999999944121,10644431.320000000298023
FS( 20 ),2716876.379999999888241,2635032.700000000186265,2564564.879999999888241,2651959.060000000055879,10568433.019999999552965
FS( 21 ),2756632.479999999981374,2624441.900000000372529,2575508.080000000074506,2706798.279999999795109,10663380.740000000223517
FS( 22 ),2714957.119999999646097,2598494.439999999944121,2555263.160000000149012,2621818.419999999925494,10490533.140000000596046
FS( 23 ),2762116.079999999608845,2589492.260000000242144,2651016.160000000149012,2628934.959999999962747,10631559.460000000894070
FS( 24 ),2731133.739999999757856,2610673.859999999869615,2705185.000000000000000,2610515.679999999701977,10657508.279999999329448
FS( 25 ),2700425.579999999608845,2538126.880000000353903,2666336.639999999664724,2584979.859999999869615,10489868.959999999031425
FS( 26 ),2735246.439999999944121,2555601.700000000186265,2659223.560000000055879,2592096.399999999906868,10542168.100000001490116
FS( 27 ),2810097.579999999608845,2590551.340000000316650,2636790.000000000000000,2619306.699999999720603,10656745.619999999180436
FS( 28 ),2803243.079999999608845,2588962.720000000204891,2651563.319999999832362,2665773.520000000018626,10709542.639999998733401
FS( 29 ),2789808.259999999776483,2564074.340000000316650,2602318.919999999925494,2676239.020000000018626,10632440.539999999105930
FS( 30 ),2765954.599999999627471,2548188.140000000130385,2585356.959999999962747,2672052.819999999832362,10571552.519999999552965
FS( 31 ),2801049.639999999664724,2612792.020000000484288,2620922.359999999869615,2685448.660000000149012,10720212.679999999701977
FS( 32 ),2792001.699999999720603,2564603.880000000353903,2623658.160000000149012,2670796.959999999962747,10651060.699999999254942
FS( 33 ),2824903.299999999813735,2574665.140000000130385,2615450.759999999776483,2694658.300000000279397,10709677.500000000000000
FS( 34 ),2853692.199999999720603,2610673.859999999869615,2612714.959999999962747,2749497.520000000018626,10826578.539999999105930
FS( 35 ),2803517.259999999776483,2571487.900000000372529,2603413.239999999757856,2731915.479999999981374,10710333.880000000819564
FS( 36 ),2731956.279999999795109,2503177.240000000223517,2533923.919999999925494,2670796.959999999962747,10439854.399999998509884
FS( 37 ),2741278.399999999906868,2460814.040000000037253,2571677.959999999962747,2674983.159999999683350,10448753.559999998658895
FS( 38 ),2682878.059999999590218,2439632.439999999944121,2539395.519999999552965,2706379.660000000149012,10368285.679999999701977
FS( 39 ),2705360.819999999832362,2450752.780000000260770,2529546.639999999664724,2667866.619999999646097,10353526.859999999403954
FS( 40 ),2762390.259999999776483,2428512.100000000093132,2554716.000000000000000,2711821.719999999739230,10457440.079999998211861
FS( 41 ),2828193.459999999962747,2439632.439999999944121,2586998.439999999944121,2766660.939999999944121,10621485.279999999329448
FS( 42 ),2808726.679999999701977,2425864.400000000372529,2541584.160000000149012,2741125.120000000111759,10517300.359999999403954
FS( 43 ),2830661.079999999608845,2450752.780000000260770,2534471.080000000074506,2747404.419999999459833,10563289.359999999403954
FS( 44 ),2782131.219999999739230,2446516.460000000428408,2547055.759999999776483,2732334.099999999627471,10508037.539999999105930
FS( 45 ),2821064.779999999795109,2445457.380000000353903,2547055.759999999776483,2743636.840000000316650,10557214.759999999776483
FS( 46 ),2856982.359999999869615,2465050.359999999869615,2580432.519999999552965,2770009.899999999906868,10672475.139999998733401
FS( 47 ),2861643.419999999925494,2495234.140000000130385,2594111.519999999552965,2828198.080000000074506,10779187.160000000149012
FS( 48 ),2870143.000000000000000,2565662.960000000428408,2605601.879999999888241,2845361.500000000000000,10886769.339999999850988
FS( 49 ),2892625.759999999776483,2548188.140000000130385,2624205.319999999832362,2833640.139999999664724,10898659.359999999403954
FS( 50 ),2930462.599999999627471,2578901.460000000428408,2643355.919999999925494,2861687.679999999701977,11014407.660000000149012
FS( 51 ),2793098.419999999925494,2573076.520000000484288,2655940.600000000093132,2846617.359999999869615,10868732.900000000372529
FS( 52 ),2897012.639999999664724,2594258.120000000111759,2654846.280000000260770,2830709.800000000279397,10976826.839999999850988
FS( 53 ),2857804.899999999906868,2561956.180000000167638,2638978.639999999664724,2800987.779999999795109,10859727.500000000000000
