代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14842742.070000000298023
真實報酬,4842742.070000000298023

夏普值報酬,0.475574207000000
夏普值風險,0.114224189850897
夏普值,4.163515693311502

二次趨勢線,-16.984402567456645 x^2 + 24228.725464557635860 x + 10000000.000000000000000
二次平均預期報酬,19931.671614991100796
風險,236437.884315319330199
二次平均趨勢值,0.084299822224808
一次趨勢線,21012.316840525669249 x + 10000000.000000000000000
一次預期報酬,21012.316840525669249
一次風險,265685.616346771246754
一次趨勢值,0.079087144910022
找到最佳解世代,1888
找到最佳解實驗#,1
找到最佳解次數,40

stock[index](rank)
投資組合檔數,9
AAPL[0](1),BA[2](3),INTC[11](16),MCD[15](14),MRK[17](9),MSFT[18](11),PG[21](8),TRV[22](22),UNH[23](23),
Stock#,AAPL[0](1),BA[2](3),INTC[11](16),MCD[15](14),MRK[17](9),MSFT[18](11),PG[21](8),TRV[22](22),UNH[23](23),
張數,61117,26962,70279,21204,45724,54896,22446,26962,48372,
分配資金,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,
剩餘資金,3.939999999944121,6.979999999981374,0.010000000009313,21.400000000139698,17.800000000046566,15.960000000195578,34.000000000000000,6.979999999981374,6.160000000149012,
FS( 1 ),1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,10000000.000000000000000
FS( 2 ),1153281.729999999981374,1137264.139999999897555,1170848.149999999906868,1118956.480000000214204,1125742.680000000167638,1108366.200000000186265,1144555.540000000037253,1135646.419999999925494,1147390.000000000000000,10242052.339999999850988
FS( 3 ),1158782.260000000009313,1163417.280000000027940,1135708.649999999906868,1127226.040000000037253,1124370.959999999962747,1086407.800000000046566,1117620.340000000083819,1075790.780000000027940,1236394.479999999981374,10225719.589999999850988
FS( 4 ),1156948.750000000000000,1191727.380000000121072,1132897.489999999990687,1138464.160000000149012,1125285.439999999944121,1086407.800000000046566,1141188.640000000130385,1043166.759999999892898,1254292.120000000111759,10270379.539999999105930
FS( 5 ),1127001.419999999925494,1173662.840000000083819,1108299.840000000083819,1132102.960000000195578,1152719.840000000083819,1060606.680000000167638,1152411.640000000130385,1010542.739999999874271,1373287.240000000223517,10290636.200000001117587
FS( 6 ),1128223.760000000009313,1235675.439999999944121,1074565.919999999925494,1164545.080000000074506,1134887.479999999981374,1066096.280000000260770,1157574.219999999972060,1046671.819999999948777,1396505.800000000279397,10404746.800000000745058
FS( 7 ),1131279.610000000102445,1205747.619999999878928,1080188.239999999990687,1153519.000000000000000,1115683.399999999906868,1060606.680000000167638,1130639.020000000018626,1010812.359999999986030,1334589.640000000130385,10223066.569999998435378
FS( 8 ),1086053.030000000027940,1189031.179999999934807,1068943.600000000093132,1144401.280000000027940,1142203.320000000065193,1091897.400000000139698,1143433.239999999990687,1045054.099999999976717,1321529.200000000186265,10232547.350000001490116
FS( 9 ),1043271.130000000004657,1158024.880000000121072,1063321.280000000027940,1134223.360000000102445,1173752.880000000121072,1084211.960000000195578,1143882.159999999916181,1049637.639999999897555,1337975.680000000167638,10188301.970000000670552
