代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14374222.070000000298023
真實報酬,4374222.070000000298023

夏普值報酬,0.428722207000000
夏普值風險,0.136108350413905
夏普值,3.149859694105886

二次趨勢線,100.471715903698922 x^2 + -5177.320828043897563 x + 10000000.000000000000000
二次平均預期報酬,20242.023295591923670
風險,283304.315846839512233
二次平均趨勢值,0.071449752662911
一次趨勢線,13849.435763509263779 x + 10000000.000000000000000
一次預期報酬,13849.435763509263779
一次風險,770827.221361772390082
一次趨勢值,0.017966978046056
找到最佳解世代,1690
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
AAPL[0](4),HD[9](2),MCD[15](5),
Stock#,AAPL[0](4),HD[9](2),MCD[15](5),
張數,67380,89245,42387,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,44.399999999906868,32.250000000000000,19.319999999832362,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3351525.600000000093132,3333333.000000000000000,3346049.099999999627471,10030908.699999999254942
FS( 3 ),3365001.599999999627471,3319053.799999999813735,3351559.409999999683350,10035615.809999998658895
FS( 4 ),3338049.599999999627471,3302989.699999999720603,3331637.519999999552965,9972677.819999998435378
FS( 5 ),3336702.000000000000000,3301204.800000000279397,3335876.219999999739230,9973784.019999999552965
FS( 6 ),3346135.199999999720603,3298527.450000000186265,3361732.290000000037253,10006395.940000001341105
FS( 7 ),3363654.000000000000000,3326193.400000000372529,3378687.089999999385327,10068535.490000000223517
FS( 8 ),3342092.399999999906868,3322623.599999999627471,3370209.689999999944121,10034926.689999999478459
FS( 9 ),3336028.199999999720603,3327978.299999999813735,3418954.739999999757856,10082962.240000000223517
FS( 10 ),3277407.600000000093132,3302989.699999999720603,3422345.699999999720603,10002744.000000000000000
FS( 11 ),3208006.199999999720603,3300312.349999999627471,3439300.500000000000000,9947620.049999998882413
FS( 12 ),3235632.000000000000000,3337795.250000000000000,3430399.229999999981374,10003827.480000000447035
FS( 13 ),3271343.399999999906868,3343149.950000000186265,3454559.819999999832362,10069054.169999999925494
