代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14409792.120000001043081
真實報酬,4409792.120000001043081

夏普值報酬,0.432279212000000
夏普值風險,0.121559576869864
夏普值,3.556109877404213

二次趨勢線,52.327740247813757 x^2 + 4272.199969027541556 x + 10000000.000000000000000
二次平均預期報酬,17511.118251724412403
風險,313140.892940840043593
二次平均趨勢值,0.055920892628459
一次趨勢線,14181.726921224424586 x + 10000000.000000000000000
一次預期報酬,14181.726921224424586
一次風險,487296.935861047357321
一次趨勢值,0.029102844441584
找到最佳解世代,2070
找到最佳解實驗#,1
找到最佳解次數,43

stock[index](rank)
投資組合檔數,3
IBM[10](3),UNH[23](1),VZ[26](4),
Stock#,IBM[10](3),UNH[23](1),VZ[26](4),
張數,25720,110156,121743,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,21.000000000000000,12.439999999944121,9.660000000149012,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3295267.399999999906868,3248512.879999999888241,3272461.500000000000000,9816242.779999999329448
FS( 3 ),3278292.199999999720603,3304692.439999999944121,3263939.490000000223517,9846925.129999998956919
FS( 4 ),3187243.399999999906868,3220973.879999999888241,3188458.830000000074506,9596677.109999999403954
FS( 5 ),3140433.000000000000000,3196739.560000000055879,3209155.140000000130385,9546328.700000001117587
FS( 6 ),3247685.399999999906868,3291473.719999999739230,3256634.910000000149012,9795795.029999999329448
FS( 7 ),3263631.799999999813735,3288169.040000000037253,3232286.310000000055879,9784088.150000000372529
FS( 8 ),3412550.600000000093132,3339942.359999999869615,3266374.350000000093132,10018868.310000000521541
FS( 9 ),3381686.599999999627471,3324520.520000000018626,3265156.920000000391155,9971365.039999999105930
FS( 10 ),3374227.799999999813735,3347653.279999999795109,3245678.040000000037253,9967560.120000001043081
FS( 11 ),3354937.799999999813735,3353161.080000000074506,3262722.060000000055879,9970821.939999999478459
FS( 12 ),3342334.999999999534339,3324520.520000000018626,3234721.170000000391155,9901577.689999999478459
FS( 13 ),3314300.200000000186265,3303590.879999999888241,3245678.040000000037253,9863570.120000001043081
FS( 14 ),3184157.000000000000000,3190130.200000000186265,3159240.510000000242144,9533528.710000000894070
FS( 15 ),3225823.399999999906868,3161489.639999999664724,3182371.680000000167638,9569685.719999998807907
FS( 16 ),3200875.000000000000000,3175809.919999999925494,3128804.760000000242144,9505490.679999999701977
FS( 17 ),3202675.399999999906868,3180216.160000000149012,3119065.320000000298023,9501957.880000000819564
FS( 18 ),3169496.600000000093132,3171403.679999999701977,3065498.399999999906868,9406399.679999999701977
FS( 19 ),3250771.799999999813735,3229786.359999999869615,3139761.629999999888241,9620320.789999999105930
FS( 20 ),3221708.200000000186265,3202247.359999999869615,3132457.050000000279397,9556413.610000001266599
FS( 21 ),3198045.800000000279397,3192333.319999999832362,3097151.580000000074506,9487531.699999999254942
FS( 22 ),3277006.199999999720603,3294778.399999999906868,3139761.629999999888241,9711547.230000000447035
FS( 23 ),3291152.199999999720603,3355364.200000000186265,3145848.780000000260770,9792366.179999999701977
FS( 24 ),3222222.600000000093132,3342145.479999999981374,3097151.580000000074506,9661520.660000000149012
FS( 25 ),3192644.600000000093132,3355364.200000000186265,3082542.420000000391155,9630552.220000000670552
FS( 26 ),3182099.399999999906868,3402731.279999999795109,3150718.500000000000000,9735550.179999999701977
FS( 27 ),3186729.000000000000000,3363075.120000000111759,3161675.370000000111759,9711480.490000000223517
FS( 28 ),3283950.600000000093132,3381801.639999999664724,3226199.160000000149012,9891952.400000000372529
FS( 29 ),3303754.999999999534339,3378496.959999999962747,3250547.760000000242144,9932800.719999998807907
FS( 30 ),3305041.000000000000000,3369684.479999999981374,3259069.770000000018626,9933796.250000000000000
FS( 31 ),3338219.799999999813735,3435778.080000000074506,3313854.120000000111759,10087853.000000000000000
FS( 32 ),3352623.000000000000000,3457809.279999999795109,3321158.700000000186265,10131591.980000000447035
FS( 33 ),3368826.599999999627471,3469926.439999999944121,3311419.260000000242144,10150173.299999998882413
FS( 34 ),3347479.000000000000000,3451199.919999999925494,3315071.550000000279397,10113751.470000000670552
FS( 35 ),3360339.000000000000000,3431371.839999999850988,3307766.970000000204891,10099478.810000000521541
FS( 36 ),3325617.000000000465661,3375192.279999999795109,3307766.970000000204891,10008577.250000000000000
FS( 37 ),3346450.200000000186265,3327825.200000000186265,3338202.720000000204891,10012479.120000001043081
FS( 38 ),3297067.799999999813735,3278255.000000000000000,3296810.100000000093132,9872133.900000000372529
FS( 39 ),3269547.399999999906868,3291473.719999999739230,3249330.330000000074506,9810352.449999999254942
FS( 40 ),3317386.599999999627471,3215466.080000000074506,3267591.780000000260770,9800445.460000000894070
FS( 41 ),3217335.800000000279397,3153778.719999999739230,3257852.340000000316650,9628967.859999999403954
FS( 42 ),3175926.600000000093132,3128442.839999999850988,3189676.260000000242144,9494046.699999999254942
FS( 43 ),3152521.399999999906868,3067857.040000000037253,3201850.560000000055879,9422230.000000000000000
FS( 44 ),3134260.200000000186265,3117427.240000000223517,3263939.490000000223517,9515627.929999999701977
FS( 45 ),3175412.199999999720603,3182419.279999999795109,3239590.890000000130385,9597423.369999999180436
FS( 46 ),3266461.000000000000000,3216567.639999999664724,3228634.020000000018626,9711663.660000000149012
FS( 47 ),3291409.399999999906868,3269442.520000000018626,3260287.200000000186265,9821140.120000001043081
FS( 48 ),3291152.199999999720603,3301387.759999999776483,3244460.609999999869615,9837001.569999998435378
FS( 49 ),3309413.399999999906868,3309098.679999999701977,3224981.729999999981374,9843494.810000000521541
FS( 50 ),3355966.599999999627471,3320114.279999999795109,3273678.930000000167638,9949760.809999998658895
FS( 51 ),3362139.399999999906868,3339942.359999999869615,3267591.780000000260770,9969674.539999999105930
FS( 52 ),3362139.399999999906868,3401629.719999999739230,3262722.060000000055879,10026492.179999999701977
FS( 53 ),3292952.600000000093132,3342145.479999999981374,3249330.330000000074506,9884429.410000000149012
FS( 54 ),3338219.799999999813735,3395020.359999999869615,3252982.620000000111759,9986223.780000001192093
FS( 55 ),3254887.000000000000000,3396121.919999999925494,3246895.470000000204891,9897905.390000000596046
FS( 56 ),3221965.399999999906868,3381801.639999999664724,3228634.020000000018626,9832402.059999998658895
FS( 57 ),3278549.399999999906868,3414848.439999999944121,3287070.660000000149012,9980469.500000000000000
FS( 58 ),3301954.600000000093132,3406035.959999999962747,3411248.520000000018626,10119240.080000000074506
FS( 59 ),3302726.199999999720603,3466621.759999999776483,3442901.700000000186265,10212250.660000000149012
FS( 60 ),3308384.600000000093132,3390614.120000000111759,3480642.030000000260770,10179641.750000000000000
FS( 61 ),3303240.600000000093132,3341043.919999999925494,3519599.790000000037253,10163885.309999998658895
FS( 62 ),3292695.400000000372529,3353161.080000000074506,3515947.500000000000000,10161804.980000000447035
FS( 63 ),3302469.000000000000000,3354262.639999999664724,3537861.240000000223517,10194593.879999998956919
FS( 64 ),3363168.199999999720603,3463317.080000000074506,3598732.740000000223517,10425219.019999999552965
FS( 65 ),3353137.399999999906868,3571269.959999999962747,3596297.879999999888241,10520706.239999998360872
FS( 66 ),3376285.400000000372529,3625246.399999999441206,3579253.859999999869615,10580786.660000000149012
FS( 67 ),3390688.600000000093132,3681425.959999999962747,3597515.310000000055879,10669630.870000001043081
FS( 68 ),3347221.799999999813735,3684730.640000000130385,3597515.310000000055879,10629468.750000000000000
FS( 69 ),3395061.000000000000000,3689136.880000000353903,3635255.640000000130385,10719454.520000001415610
FS( 70 ),3390945.800000000279397,3671511.919999999925494,3654734.520000000018626,10717193.240000000223517
FS( 71 ),3339248.600000000093132,3523902.879999999888241,3598732.740000000223517,10461885.220000000670552
FS( 72 ),3299897.000000000465661,3539324.720000000204891,3691257.420000000391155,10530480.140000000596046
FS( 73 ),3288837.399999999906868,3528309.120000000111759,3655951.950000000186265,10473099.469999998807907
FS( 74 ),3286265.399999999906868,3513988.839999999850988,3647429.940000000409782,10447685.179999999701977
FS( 75 ),3303754.999999999534339,3563559.040000000037253,3672995.970000000204891,10540311.009999999776483
FS( 76 ),3327931.799999999813735,3584488.679999999701977,3670561.109999999869615,10582982.589999999850988
FS( 77 ),3315329.000000000000000,3501871.679999999701977,3606037.320000000298023,10423239.000000000000000
FS( 78 ),3279321.000000000000000,3482043.600000000093132,3575601.570000000298023,10336967.169999999925494
FS( 79 ),3252829.399999999906868,3469926.439999999944121,3580471.290000000037253,10303228.129999998956919
FS( 80 ),3212449.000000000000000,3419254.679999999701977,3587775.870000000111759,10219480.550000000745058
FS( 81 ),3221965.399999999906868,3520598.200000000186265,3610907.040000000037253,10353471.640000000596046
FS( 82 ),3157922.600000000093132,3508481.040000000037253,3591428.160000000149012,10257832.800000000745058
FS( 83 ),3208076.600000000093132,3565762.159999999683350,3632820.780000000260770,10406660.539999999105930
FS( 84 ),3173869.000000000000000,3515090.399999999906868,3584123.580000000074506,10273083.980000000447035
FS( 85 ),3166924.600000000093132,3494160.759999999776483,3595080.450000000186265,10256166.809999998658895
FS( 86 ),3234825.399999999906868,3589996.480000000447035,3683952.840000000316650,10508775.720000000670552
FS( 87 ),3216049.800000000279397,3619738.600000000093132,3665691.390000000130385,10501480.790000000968575
FS( 88 ),3281378.600000000093132,3735402.399999999441206,3676648.260000000242144,10693430.259999999776483
FS( 89 ),3239455.000000000000000,3721082.120000000111759,3679083.120000000111759,10639621.240000000223517
FS( 90 ),3242798.600000000093132,3728793.040000000037253,3708301.440000000409782,10679894.080000001937151
FS( 91 ),3250000.200000000186265,3747519.560000000055879,3754563.780000000260770,10752084.539999999105930
FS( 92 ),3291923.799999999813735,3799292.880000000353903,3752128.920000000391155,10843346.599999999627471
FS( 93 ),3333590.200000000186265,3824628.759999999776483,3761868.359999999869615,10920088.320000000298023
FS( 94 ),3314043.000000000000000,3812511.600000000093132,3763085.790000000037253,10889641.390000000596046
FS( 95 ),3328960.600000000093132,3775058.560000000055879,3797173.830000000074506,10901193.990000000223517
FS( 96 ),3335133.399999999906868,3771753.880000000353903,3825174.720000000204891,10932063.000000000000000
FS( 97 ),3348507.799999999813735,3759636.720000000204891,3856827.899999999906868,10964973.419999999925494
FS( 98 ),3389659.799999999813735,3847761.520000000018626,3906742.530000000726432,11144164.850000001490116
FS( 99 ),3394546.599999999627471,3884112.999999999534339,3934743.420000000391155,11213404.019999999552965
FS( 100 ),3409721.399999999906868,3930378.520000000018626,3943265.430000000167638,11283366.349999999627471
FS( 101 ),3386573.399999999906868,3903941.079999999608845,3916481.970000000204891,11206997.449999999254942
FS( 102 ),3449330.200000000186265,3935886.319999999832362,3973701.180000000167638,11358918.699999999254942
FS( 103 ),3463219.000000000000000,3894027.040000000037253,4000484.640000000130385,11357731.679999999701977
FS( 104 ),3469391.799999999813735,3859878.679999999701977,3983440.620000000111759,11312712.099999999627471
FS( 105 ),3484566.599999999627471,3877503.640000000130385,3976136.039999999571592,11338207.279999999329448
FS( 106 ),3450101.799999999813735,3867589.600000000093132,3967614.030000000726432,11285306.430000001564622
FS( 107 ),3488681.799999999813735,3902839.520000000018626,4004136.930000000167638,11395659.250000000000000
FS( 108 ),3478651.000000000000000,3804800.679999999701977,4021180.950000000186265,11304633.629999998956919
FS( 109 ),3540636.199999999720603,3863183.359999999869615,4086922.170000000391155,11490742.730000000447035
FS( 110 ),3537035.400000000372529,3750824.239999999757856,4047964.410000000149012,11335825.050000000745058
FS( 111 ),3567899.399999999906868,3782769.480000000447035,4009006.649999999906868,11359676.530000001192093
FS( 112 ),3571243.000000000000000,3783871.040000000037253,3996832.350000000093132,11351947.390000000596046
FS( 113 ),3592076.199999999720603,3816917.839999999850988,4021180.950000000186265,11430175.989999998360872
FS( 114 ),3596963.000000000000000,3857675.560000000055879,3961526.879999999888241,11416166.440000001341105
FS( 115 ),3610337.399999999906868,3890722.359999999869615,3921351.690000000409782,11422412.449999999254942
FS( 116 ),3639401.000000000000000,3941394.120000000111759,3949352.580000000074506,11530148.699999999254942
FS( 117 ),3628084.200000000186265,3963425.319999999832362,3948135.149999999906868,11539645.669999999925494
FS( 118 ),3673608.600000000093132,3993167.439999999944121,3967614.030000000726432,11634391.070000000298023
FS( 119 ),3550152.600000000093132,3888519.239999999757856,3915264.539999999571592,11353937.379999998956919
FS( 120 ),3576901.399999999906868,4046042.319999999832362,3973701.180000000167638,11596645.900000000372529
FS( 121 ),3596448.600000000093132,4019604.880000000353903,3959092.020000000484288,11575146.500000000000000
FS( 122 ),3592333.399999999906868,4104424.999999999534339,3906742.530000000726432,11603501.929999999701977
FS( 123 ),3596705.800000000279397,4137471.800000000279397,3938395.710000000428408,11672574.310000000521541
FS( 124 ),3618053.399999999906868,4138573.359999999869615,3956657.160000000149012,11713284.919999999925494
FS( 125 ),3637600.600000000093132,3957917.520000000018626,3957874.589999999850988,11553393.710000000894070
FS( 126 ),3623969.000000000000000,3993167.439999999944121,3945700.289999999571592,11562837.729999998584390
FS( 127 ),3693413.000000000000000,3971136.239999999757856,3954222.299999999813735,11618772.539999999105930
FS( 128 ),3686211.399999999906868,3977745.600000000093132,3944482.859999999869615,11608440.859999999403954
FS( 129 ),3699585.800000000279397,4075784.439999999944121,3993180.059999999590218,11768551.300000000745058
FS( 130 ),3708073.399999999906868,4038331.399999999441206,4016311.230000000447035,11762717.029999999329448
FS( 131 ),3775459.799999999813735,4053753.239999999757856,4080835.020000000484288,11910049.059999998658895
FS( 132 ),3778803.399999999906868,4060362.600000000093132,4069878.149999999906868,11909045.150000000372529
FS( 133 ),3766972.200000000186265,4089003.159999999683350,4038224.970000000204891,11894201.330000000074506
FS( 134 ),3758741.799999999813735,4073581.319999999832362,4018746.089999999850988,11851070.209999999031425
FS( 135 ),3769287.000000000465661,4093409.399999999441206,3999267.210000000428408,11861964.610000001266599
FS( 136 ),3740480.600000000093132,4127557.759999999776483,3972483.750000000465661,11840523.109999999403954
FS( 137 ),3697013.800000000279397,4039432.959999999962747,3963961.740000000223517,11700409.500000000000000
FS( 138 ),3694441.799999999813735,3907245.759999999776483,3989527.770000000484288,11591216.330000000074506
FS( 139 ),3658433.800000000279397,3856573.999999999534339,3918916.830000000074506,11433925.629999998956919
FS( 140 ),3650974.999999999534339,3891823.919999999925494,3937178.280000000726432,11479978.200000001117587
FS( 141 ),3712960.200000000186265,3924870.720000000204891,3974918.609999999869615,11612750.529999999329448
FS( 142 ),3730707.000000000465661,3965628.439999999944121,3967614.030000000726432,11663950.470000000670552
FS( 143 ),3739451.799999999813735,4016300.200000000186265,3956657.160000000149012,11712410.160000000149012
FS( 144 ),3682610.600000000093132,3971136.239999999757856,3943265.430000000167638,11597013.269999999552965
FS( 145 ),3750254.200000000186265,3985456.520000000018626,3938395.710000000428408,11674107.430000001564622
FS( 146 ),3701129.000000000000000,3952409.720000000204891,3921351.690000000409782,11574891.410000000149012
FS( 147 ),3675151.799999999813735,4030620.480000000447035,3883611.359999999869615,11589384.640000000596046
FS( 148 ),3638372.200000000186265,4022909.560000000055879,3897003.089999999850988,11558285.849999999627471
FS( 149 ),3714246.199999999720603,4149588.959999999962747,3938395.710000000428408,11802231.870000001043081
FS( 150 ),3734050.600000000093132,4191448.239999999757856,3985875.480000000447035,11911375.320000000298023
FS( 151 ),3739194.600000000093132,4166112.359999999869615,4005354.359999999869615,11910662.320000000298023
FS( 152 ),3729163.800000000279397,4107729.679999999701977,4004136.930000000167638,11841031.410000000149012
FS( 153 ),3704215.400000000372529,4050448.560000000055879,4011441.510000000707805,11766106.470000002533197
FS( 154 ),3728906.599999999627471,4058159.480000000447035,4015093.799999999813735,11802160.879999998956919
FS( 155 ),3711417.000000000465661,4037229.839999999850988,4085704.740000000223517,11834352.580000000074506
FS( 156 ),3724791.399999999906868,4039432.959999999962747,4144141.379999999888241,11908366.739999998360872
FS( 157 ),3710902.600000000093132,4064768.839999999850988,4152663.390000000130385,11928335.830000000074506
FS( 158 ),3750511.399999999906868,4020706.439999999944121,4220839.470000000670552,11992058.310000000521541
FS( 159 ),3722219.399999999906868,3905042.640000000130385,4215969.750000000000000,11843232.789999999105930
FS( 160 ),3717847.000000000465661,3922667.600000000093132,4231796.339999999850988,11872311.940000001341105
FS( 161 ),3729421.000000000000000,3860980.239999999757856,4217187.180000000633299,11807589.420000001788139
FS( 162 ),3716818.199999999720603,3875300.520000000018626,4229361.480000000447035,11821481.199999999254942
FS( 163 ),3748453.800000000279397,3891823.919999999925494,4253710.080000000074506,11893988.800000000745058
FS( 164 ),3753854.999999999534339,3948003.480000000447035,4282928.400000000372529,11984787.880000000819564
FS( 165 ),3752311.799999999813735,3940292.560000000055879,4314581.580000000074506,12007186.939999999478459
FS( 166 ),3738165.800000000279397,3914956.679999999701977,4321886.160000000149012,11975009.640000000596046
FS( 167 ),3747682.200000000186265,3934784.759999999776483,4336495.320000000298023,12018963.280000001192093
FS( 168 ),3768515.400000000372529,3955714.399999999441206,4331625.599999999627471,12055856.399999998509884
FS( 169 ),3772373.399999999906868,3959019.079999999608845,4329190.740000000223517,12060584.219999998807907
FS( 170 ),3774688.199999999720603,3977745.600000000093132,4355974.200000000186265,12108409.000000000000000
FS( 171 ),3793206.599999999627471,4090104.720000000204891,4435107.150000000372529,12318419.470000000670552
FS( 172 ),3797321.799999999813735,4127557.759999999776483,4523979.540000000037253,12448860.099999999627471
FS( 173 ),3782147.000000000465661,4140776.480000000447035,4586068.470000000670552,12508992.950000001117587
FS( 174 ),3823556.199999999720603,4226698.160000000149012,4410758.549999999813735,12461013.910000000149012
FS( 175 ),3804780.600000000093132,4235510.640000000596046,4374235.650000000372529,12414527.890000000596046
FS( 176 ),3797321.799999999813735,4235510.640000000596046,4373018.220000000670552,12405851.660000000149012
FS( 177 ),3788062.600000000093132,4304908.919999999925494,4304842.139999999664724,12397814.660000000149012
FS( 178 ),3834873.000000000000000,4280674.599999999627471,4318233.870000000111759,12433782.469999998807907
FS( 179 ),3827671.399999999906868,4362190.040000000968575,4358409.059999999590218,12548271.500000000000000
FS( 180 ),3858021.000000000000000,4491072.560000000521541,4317016.440000000409782,12666111.000000000000000
FS( 181 ),3874739.000000000000000,4503189.720000000670552,4183099.140000000130385,12561028.860000001266599
FS( 182 ),4004367.799999999813735,4467939.800000000745058,4212317.459999999962747,12684626.060000002384186
FS( 183 ),4007197.000000000465661,4440400.800000000745058,4213534.889999999664724,12661133.690000001341105
FS( 184 ),3999481.000000000000000,4451416.400000000372529,4254927.510000000707805,12705825.910000000149012
FS( 185 ),4105704.600000000093132,4385322.800000000745058,4290232.980000000447035,12781261.380000000819564
FS( 186 ),4152257.799999999813735,4474549.160000000149012,4357191.629999999888241,12983999.589999999850988
FS( 187 ),4141969.799999999813735,4433791.439999999478459,4431454.860000000335276,13007217.099999997764826
FS( 188 ),4142741.399999999906868,4658509.679999999701977,4442411.730000000447035,13243663.810000000521541
FS( 189 ),4094902.200000000186265,4508697.519999999552965,4337712.750000000000000,12941313.469999998807907
FS( 190 ),4166661.000000000000000,4521916.240000000223517,4336495.320000000298023,13025073.560000000521541
FS( 191 ),4206784.200000000186265,4634275.359999999403954,4415628.270000000484288,13256688.829999998211861
FS( 192 ),4200097.000000000000000,4621056.640000000596046,4402236.540000000037253,13223391.179999999701977
FS( 193 ),4206012.599999999627471,4741126.679999999701977,4429020.000000000000000,13376160.279999999329448
FS( 194 ),4218101.000000000000000,4680540.880000000819564,4420497.990000000223517,13319140.870000001043081
FS( 195 ),4239191.399999999441206,4605634.800000000745058,4385192.520000000484288,13230019.719999998807907
FS( 196 ),4270827.000000000000000,4623259.759999999776483,4424150.280000000260770,13318238.039999999105930
FS( 197 ),4234819.000000000000000,4634275.359999999403954,4465542.900000000372529,13334638.259999999776483
FS( 198 ),4220415.799999999813735,4673931.519999999552965,4433889.720000000670552,13328238.040000000968575
FS( 199 ),4214243.000000000000000,4668423.720000000670552,4430237.430000000633299,13312905.150000002235174
FS( 200 ),4198039.400000000372529,4677236.199999999254942,4370583.360000000335276,13245859.960000000894070
FS( 201 ),4188265.800000000279397,4629869.119999999180436,4438759.440000000409782,13256895.359999999403954
FS( 202 ),4202669.000000000000000,4681642.439999999478459,4403453.970000000670552,13287766.410000000149012
FS( 203 ),4224273.799999999813735,4691556.480000000447035,4427802.570000000298023,13343633.850000001490116
FS( 204 ),4239705.799999999813735,4719095.480000000447035,4458238.320000000298023,13417040.600000001490116
FS( 205 ),4165374.999999999534339,4732314.199999999254942,4382757.660000000149012,13280447.859999999403954
FS( 206 ),4119850.600000000093132,4726806.400000000372529,4359626.490000000223517,13206284.490000000223517
FS( 207 ),4135025.400000000372529,4709181.439999999478459,4331625.599999999627471,13175833.439999999478459
