代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13529394.040000000968575
真實報酬,3529394.040000000968575

夏普值報酬,0.344239404000000
夏普值風險,0.079707878360994
夏普值,4.318762600115297

二次趨勢線,-8.081601196838974 x^2 + 14912.558081529963601 x + 10000000.000000000000000
二次平均預期報酬,12867.912978729704264
風險,224721.045673086191528
二次平均趨勢值,0.057261717255665
一次趨勢線,13382.110856067602072 x + 10000000.000000000000000
一次預期報酬,13382.110856067602072
一次風險,232001.270502725616097
一次趨勢值,0.057681196430820
找到最佳解世代,1725
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
AAPL[0](3),DIS[6](2),MRK[17](4),MSFT[18](1),UNH[23](5),
Stock#,AAPL[0](3),DIS[6](2),MRK[17](4),MSFT[18](1),UNH[23](5),
張數,26921,28981,44218,56290,29141,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,38.909999999916181,21.189999999944121,19.860000000102445,16.300000000046566,53.170000000158325,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),2025844.159999999916181,1994203.800000000046566,2021666.820000000065193,2023078.899999999906868,2009325.120000000344589,10074118.800000000745058
FS( 3 ),2020729.169999999925494,1995363.039999999804422,2005748.340000000083819,2062481.900000000139698,2002622.690000000176951,10086945.140000000596046
FS( 4 ),2003499.729999999981374,1999710.189999999944121,2032279.140000000130385,2149168.500000000000000,2048374.060000000288710,10233031.620000001043081
FS( 5 ),1970925.319999999832362,1946095.340000000083819,2026088.620000000111759,2110891.299999999813735,2032929.330000000307336,10086929.910000000149012
FS( 6 ),2002153.679999999934807,1987538.169999999925494,2069422.260000000009313,2126652.500000000000000,2054493.670000000158325,10240260.279999999329448
FS( 7 ),1996231.060000000055879,1980582.729999999981374,2078265.860000000102445,2115957.400000000372529,2054493.670000000158325,10225530.720000000670552
FS( 8 ),2000000.000000000000000,1964063.559999999823049,2104354.480000000447035,2103010.700000000186265,2038466.120000000344589,10209894.860000001266599
FS( 9 ),2002422.889999999897555,1998840.760000000009313,2093299.980000000214204,2148042.700000000186265,2069355.580000000307336,10311961.910000000149012
FS( 10 ),2031228.360000000102445,2029270.809999999823049,2114524.620000000111759,2140162.100000000558794,2081886.210000000195578,10397072.100000001490116
FS( 11 ),2019113.909999999916181,2028691.189999999944121,2125579.120000000111759,2130029.900000000372529,2094416.840000000316650,10397830.960000000894070
FS( 12 ),1994615.800000000046566,2014200.689999999944121,2122926.040000000037253,2094004.300000000279397,2088880.050000000279397,10314626.880000000819564
FS( 13 ),1998115.529999999795109,2003187.910000000149012,2125579.120000000111759,2068110.900000000139698,2086840.180000000167638,10281833.640000000596046
FS( 14 ),1980616.879999999655411,2006375.820000000065193,2128232.200000000186265,2087249.500000000000000,2097622.350000000558794,10300096.750000000000000
FS( 15 ),2004307.360000000102445,2026952.329999999841675,2149899.019999999552965,2105262.299999999813735,2124723.480000000447035,10411144.489999998360872
FS( 16 ),1999192.370000000111759,2034487.390000000130385,2164048.780000000260770,2114831.599999999627471,2148910.509999999776483,10461470.650000000372529
FS( 17 ),2014268.129999999655411,2021156.129999999888241,2195885.740000000223517,2118771.900000000372529,2158527.040000000037253,10508608.940000001341105
FS( 18 ),2051419.110000000102445,2062888.770000000251457,2192348.299999999813735,2102447.799999999813735,2171640.490000000223517,10580744.470000000670552
FS( 19 ),2099607.700000000186265,2051006.559999999823049,2203402.799999999813735,2116520.299999999813735,2166977.929999999701977,10637515.289999999105930
FS( 20 ),2138643.149999999441206,2044340.930000000167638,2203402.799999999813735,2146354.000000000000000,2170474.850000000558794,10703215.730000000447035
FS( 21 ),2120067.660000000149012,2055063.899999999906868,2218879.099999999627471,2164366.799999999813735,2161149.730000000447035,10719527.190000001341105
FS( 22 ),2177947.810000000521541,2025793.090000000083819,2200307.540000000037253,2156486.200000000186265,2148619.100000000558794,10709153.740000002086163
FS( 23 ),2172832.819999999366701,2027821.760000000009313,2180409.440000000409782,2191948.900000000372529,2146287.820000000298023,10719300.740000000223517
FS( 24 ),2184139.639999999664724,2035356.820000000065193,2158300.440000000409782,2139036.299999999813735,2120060.919999999925494,10636894.119999999180436
FS( 25 ),2153718.910000000149012,2071003.449999999720603,2183946.879999999888241,2159300.700000000186265,2141916.669999999925494,10709886.609999999403954
FS( 26 ),2178486.229999999515712,2060860.099999999860302,2191463.940000000409782,2179002.200000000186265,2148327.690000000409782,10758140.160000000149012
FS( 27 ),2174986.500000000000000,2074191.359999999636784,2185715.599999999627471,2145228.200000000186265,2157944.219999999739230,10738065.879999998956919
FS( 28 ),2158833.899999999441206,2043761.309999999823049,2164490.959999999962747,2117083.200000000186265,2102284.910000000149012,10586454.279999999329448
FS( 29 ),2155872.589999999850988,2017968.219999999739230,2136633.620000000111759,2095130.100000000093132,2069355.580000000307336,10474960.109999999403954
FS( 30 ),2132182.110000000335276,2017678.410000000149012,2139286.700000000186265,2065296.399999999906868,2053910.850000000325963,10408354.470000000670552
FS( 31 ),2144027.349999999627471,2043471.500000000000000,2126463.480000000447035,2075991.500000000232831,2070812.630000000121072,10460766.460000000894070
FS( 32 ),2134335.790000000037253,2047818.649999999906868,2118062.059999999590218,2055727.100000000325963,2061196.100000000325963,10417139.700000001117587
FS( 33 ),2118183.190000000409782,2092449.390000000130385,2162280.059999999590218,2059104.500000000000000,2109278.750000000000000,10541295.890000000596046
FS( 34 ),2093954.290000000037253,2114764.759999999776483,2157416.080000000074506,2040528.800000000046566,2109570.160000000149012,10516234.089999999850988
FS( 35 ),2111452.940000000409782,2098245.590000000316650,2180851.620000000111759,2071488.299999999813735,2137545.519999999552965,10599583.970000000670552
FS( 36 ),2192485.149999999441206,2123748.870000000111759,2182620.339999999850988,2061356.099999999860302,2166686.519999999552965,10726896.979999998584390
FS( 37 ),2183332.009999999776483,2140268.039999999571592,2184831.240000000223517,2087249.500000000000000,2160275.500000000000000,10755956.289999999105930
FS( 38 ),2168794.669999999925494,2162583.410000000149012,2198538.820000000298023,2107513.900000000372529,2181257.019999999552965,10818687.820000000298023
FS( 39 ),2153988.120000000111759,2154758.539999999571592,2201634.080000000074506,2099070.400000000372529,2176594.459999999962747,10786045.600000001490116
FS( 40 ),2132720.530000000260770,2209242.819999999832362,2208266.780000000260770,2099070.400000000372529,2179217.150000000372529,10828517.680000001564622
FS( 41 ),2157757.060000000521541,2214169.590000000316650,2213130.759999999776483,2105825.200000000186265,2194370.469999999739230,10885253.079999998211861
FS( 42 ),2127336.330000000074506,2210402.060000000055879,2188368.680000000633299,2091752.699999999953434,2173097.540000000037253,10790957.310000002384186
FS( 43 ),2080493.790000000037253,2205765.100000000093132,2198981.000000000000000,2077680.199999999953434,2188542.269999999552965,10751462.359999999403954
FS( 44 ),2091800.610000000102445,2197360.609999999869615,2199423.180000000633299,2033774.000000000232831,2163481.009999999776483,10685839.410000000149012
FS( 45 ),2076994.060000000055879,2212430.729999999981374,2215783.839999999850988,2049535.199999999953434,2229631.080000000074506,10784374.910000000149012
FS( 46 ),2090185.349999999860302,2179972.009999999776483,2201634.080000000074506,2012946.699999999953434,2203695.589999999850988,10688433.729999998584390
FS( 47 ),2063533.560000000055879,2170698.090000000316650,2189695.220000000670552,2000000.000000000000000,2217100.450000000186265,10641027.320000000298023
FS( 48 ),2049534.639999999897555,2184898.779999999795109,2205613.700000000186265,2028707.899999999906868,2176885.870000000111759,10645640.890000000596046
FS( 49 ),2060303.040000000037253,2123459.060000000055879,2348880.019999999552965,1969040.499999999767169,2154738.709999999962747,10656421.329999998211861
FS( 50 ),2101492.169999999925494,2157656.640000000130385,2343573.860000000335276,2014072.500000000000000,2157069.990000000223517,10773865.160000002011657
FS( 51 ),2143488.929999999701977,2152729.870000000111759,2322349.220000000670552,2069236.699999999953434,2180965.610000000335276,10868770.330000001937151
FS( 52 ),2131643.690000000409782,2150701.199999999720603,2321464.860000000335276,2076554.400000000139698,2120352.330000000074506,10800716.480000000447035
FS( 53 ),2079416.949999999720603,2144035.569999999832362,2297144.959999999962747,2047846.500000000232831,2113358.490000000223517,10681802.470000000670552
FS( 54 ),2111722.149999999441206,2150411.390000000130385,2291838.799999999813735,2036025.600000000093132,2132008.730000000447035,10722006.669999999925494
FS( 55 ),2121144.500000000000000,2182580.299999999813735,2270614.160000000149012,2022516.000000000000000,2139002.570000000298023,10735857.530000001192093
FS( 56 ),2138912.360000000335276,2167510.180000000167638,2281668.660000000149012,2029833.700000000186265,2133174.370000000111759,10751099.270000003278255
FS( 57 ),2100146.120000000111759,2107519.509999999776483,2298471.500000000000000,2072051.200000000186265,2086548.770000000018626,10664737.099999999627471
FS( 58 ),2117106.349999999627471,2093898.439999999944121,2322791.400000000372529,2028145.000000000000000,2088005.820000000298023,10649947.009999999776483
FS( 59 ),1948042.469999999972060,2112156.469999999739230,2337825.519999999552965,2041654.600000000325963,2089754.280000000027940,10529433.339999997988343
FS( 60 ),1925967.250000000000000,2067235.919999999925494,2308641.640000000596046,2063607.699999999953434,2076640.830000000307336,10442093.340000001713634
FS( 61 ),1922198.310000000055879,2122010.009999999776483,2366125.040000000037253,2074865.699999999953434,2121517.969999999739230,10606717.029999997466803
FS( 62 ),1925159.620000000111759,2104331.600000000093132,2342247.320000000298023,2130029.900000000372529,2106364.650000000372529,10608133.090000001713634
FS( 63 ),1928928.560000000055879,2028401.379999999888241,2302893.299999999813735,2053475.499999999767169,2061487.510000000009313,10375186.250000000000000
FS( 64 ),1956657.190000000176951,2059121.239999999757856,2366125.040000000037253,2046157.800000000046566,2054785.080000000307336,10482846.349999999627471
FS( 65 ),1971463.739999999990687,2079697.750000000000000,2367009.400000000372529,2016324.100000000093132,2063818.790000000037253,10498313.780000001192093
FS( 66 ),1971194.529999999795109,2189825.549999999813735,2377621.720000000670552,2036588.500000000000000,2065275.840000000316650,10640506.140000000596046
FS( 67 ),1998653.949999999720603,2193013.459999999962747,2421839.720000000670552,2057978.700000000186265,2079554.930000000167638,10751040.760000001639128
FS( 68 ),2034458.879999999655411,2233297.049999999813735,2427145.879999999888241,2071488.299999999813735,2032346.510000000009313,10798736.619999999180436
FS( 69 ),2061379.879999999655411,2254453.180000000167638,2462962.459999999962747,2092315.600000000093132,2057990.590000000316650,10929101.709999999031425
