代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12194518.489999998360872
真實報酬,2194518.489999998360872

夏普值報酬,0.210751849000000
夏普值風險,0.065823747709496
夏普值,3.201760099259680

二次趨勢線,20.328980833666616 x^2 + 4558.999140216466913 x + 10000000.000000000000000
二次平均預期報酬,9722.560271967788140
風險,145175.173037989065051
二次平均趨勢值,0.066971232535908
一次趨勢線,8424.031584988893883 x + 10000000.000000000000000
一次預期報酬,8424.031584988893883
一次風險,206034.837916452961508
一次趨勢值,0.040886442652989
找到最佳解世代,2223
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
JNJ[12](1),MRK[17](6),PG[21](2),WMT[28](11),
Stock#,JNJ[12](1),MRK[17](6),PG[21](2),WMT[28](11),
張數,27147,47591,36284,39172,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,32.770000000018626,44.770000000018626,32.399999999906868,42.959999999962747,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2534205.219999999739230,2521415.949999999720603,2533018.439999999944121,2524286.639999999664724,10112926.250000000000000
FS( 3 ),2514930.850000000093132,2505710.919999999925494,2537372.520000000018626,2540738.879999999888241,10098753.169999998062849
FS( 4 ),2478825.339999999850988,2455264.459999999962747,2494920.240000000223517,2502742.040000000037253,9931752.080000000074506
FS( 5 ),2550221.950000000186265,2507614.560000000055879,2539186.720000000204891,2600280.319999999832362,10197303.550000000745058
FS( 6 ),2503529.109999999869615,2471445.399999999906868,2484760.720000000204891,2550923.600000000093132,10010658.830000000074506
FS( 7 ),2517102.609999999869615,2509042.290000000037253,2478955.279999999795109,2511751.600000000093132,10016851.779999999329448
FS( 8 ),2522803.479999999981374,2479059.959999999962747,2482583.680000000167638,2532512.760000000242144,10016959.879999998956919
FS( 9 ),2533390.810000000055879,2490957.709999999962747,2469521.439999999944121,2518019.120000000111759,10011889.079999998211861
FS( 10 ),2562709.570000000298023,2548542.819999999832362,2519956.200000000186265,2519585.999999999534339,10150794.589999999850988
FS( 11 ),2568410.439999999944121,2563771.939999999944121,2543540.799999999813735,2534079.639999999664724,10209802.820000000298023
FS( 12 ),2574654.250000000000000,2568055.129999999888241,2548620.559999999590218,2525461.799999999813735,10216791.739999998360872
FS( 13 ),2535291.100000000093132,2480963.600000000093132,2537735.359999999869615,2481197.439999999944121,10035187.500000000000000
FS( 14 ),2528232.879999999888241,2426233.949999999720603,2563497.000000000000000,2496082.799999999813735,10014046.629999998956919
FS( 15 ),2531219.049999999813735,2414812.110000000335276,2546806.359999999869615,2490990.439999999944121,9983827.959999999031425
FS( 16 ),2524432.299999999813735,2428613.500000000000000,2549346.240000000223517,2496082.799999999813735,9998474.839999999850988
FS( 17 ),2510587.330000000074506,2407673.459999999962747,2589258.639999999664724,2500391.719999999739230,10007911.149999998509884
FS( 18 ),2470409.770000000018626,2360558.370000000111759,2636790.680000000167638,2498433.120000000111759,9966191.940000001341105
FS( 19 ),2480454.160000000149012,2304400.990000000223517,2604135.079999999608845,2493732.479999999981374,9882722.710000000894070
FS( 20 ),2525789.650000000372529,2315346.919999999925494,2622639.919999999925494,2498433.120000000111759,9962209.609999999403954
FS( 21 ),2534205.219999999739230,2350564.260000000242144,2610303.359999999869615,2539955.439999999944121,10035028.279999999329448
FS( 22 ),2529318.760000000242144,2349612.439999999944121,2610666.200000000186265,2517627.399999999906868,10007224.800000000745058
FS( 23 ),2549950.479999999981374,2386257.510000000242144,2627719.680000000167638,2545439.520000000018626,10109367.189999999478459
FS( 24 ),2572482.490000000223517,2438131.699999999720603,2656746.879999999888241,2580302.600000000093132,10247663.669999999925494
FS( 25 ),2536105.510000000242144,2370076.569999999832362,2663278.000000000000000,2572859.920000000391155,10142320.000000000000000
FS( 26 ),2578454.830000000074506,2424806.220000000204891,2674888.879999999888241,2599496.879999999888241,10277646.810000000521541
FS( 27 ),2581169.529999999795109,2428137.590000000316650,2699562.000000000000000,2619866.319999999832362,10328735.439999999478459
