代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13950178.229999998584390
真實報酬,3950178.229999998584390

夏普值報酬,0.386317823000000
夏普值風險,0.109162807640146
夏普值,3.538914318450780

二次趨勢線,45.094239390174486 x^2 + 5803.879021513442240 x + 10000000.000000000000000
二次平均預期報酬,17257.815826617763378
風險,323994.465847985062283
二次平均趨勢值,0.053265773479955
一次趨勢線,14377.387931842991748 x + 10000000.000000000000000
一次預期報酬,14377.387931842991748
一次風險,458417.020535013696644
一次趨勢值,0.031363119796606
找到最佳解世代,1829
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
AAPL[0](2),KO[14](5),VZ[26](3),
Stock#,AAPL[0](2),KO[14](5),VZ[26](3),
張數,119817,122594,120423,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,24.060000000055879,2.139999999664724,24.359999999869615,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3352503.720000000204891,3375014.959999999962747,3347783.759999999776483,10075303.439999999478459
FS( 3 ),3410015.880000000353903,3363981.500000000000000,3286368.029999999795109,10060366.410000000149012
FS( 4 ),3287802.540000000037253,3275713.819999999366701,3223748.069999999832362,9787265.429999999701977
FS( 5 ),3345314.700000000186265,3254872.839999999850988,3235790.370000000111759,9835978.910000000149012
FS( 6 ),3322549.470000000204891,3227902.159999999683350,3193642.319999999832362,9744094.949999999254942
FS( 7 ),3358494.570000000298023,3311266.080000000074506,3236994.599999999627471,9906756.250000000000000
FS( 8 ),3339323.850000000093132,3297780.739999999292195,3250241.129999999888241,9887346.719999998807907
FS( 9 ),3400430.520000000018626,3323525.479999999515712,3269508.809999999590218,9993465.809999998658895
FS( 10 ),3430384.770000000018626,3308814.199999999254942,3257466.509999999776483,9996666.479999998584390
FS( 11 ),3481906.080000000074506,3360303.679999999701977,3285163.799999999813735,10127374.559999998658895
FS( 12 ),3467528.040000000037253,3392178.119999999646097,3280346.879999999888241,10140054.039999999105930
FS( 13 ),3473518.889999999664724,3427730.379999999888241,3281551.109999999869615,10182801.379999998956919
FS( 14 ),3451951.830000000074506,3415470.979999999515712,3267100.349999999627471,10134524.160000000149012
FS( 15 ),3430384.770000000018626,3394630.000000000000000,3264691.889999999664724,10089707.660000000149012
