代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13859664.469999998807907
真實報酬,3859664.469999998807907

夏普值報酬,0.377266447000000
夏普值風險,0.113351973506791
夏普值,3.328274182869863

二次趨勢線,58.384589542769689 x^2 + 2305.469633153324594 x + 10000000.000000000000000
二次平均預期報酬,17076.770787474055396
風險,203994.332431039685616
二次平均趨勢值,0.083711986426127
一次趨勢線,13362.007922922106445 x + 10000000.000000000000000
一次預期報酬,13362.007922922106445
一次風險,463846.217063462187070
一次趨勢值,0.028806978328971
找到最佳解世代,1937
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
HD[9](1),TRV[22](5),UNH[23](2),
Stock#,HD[9](1),TRV[22](5),UNH[23](2),
張數,41992,39499,40729,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,8.040000000037253,12.390000000130385,71.639999999664724,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3357268.439999999944121,3343602.740000000223517,3323965.329999999608845,10024837.509999999776483
FS( 3 ),3334172.840000000316650,3356637.410000000149012,3350031.889999999664724,10040843.140000000596046
FS( 4 ),3305618.279999999795109,3365327.190000000409782,3320707.009999999776483,9991653.480000000447035
FS( 5 ),3238851.000000000000000,3357427.390000000130385,3302378.959999999497086,9898658.349999999627471
FS( 6 ),3238011.160000000149012,3346762.660000000149012,3285272.779999999329448,9870047.599999999627471
FS( 7 ),3265305.960000000428408,3389816.569999999832362,3315004.949999999720603,9970128.480000000447035
FS( 8 ),3224153.800000000279397,3357032.399999999906868,3257984.349999999627471,9839171.550000000745058
FS( 9 ),3178802.439999999944121,3369277.089999999850988,3215626.189999999944121,9763706.719999998807907
FS( 10 ),3190140.279999999795109,3377176.890000000130385,3224993.859999999869615,9792312.029999999329448
FS( 11 ),3186780.919999999925494,3392581.500000000000000,3238434.429999999701977,9817797.849999999627471
FS( 12 ),3215755.399999999906868,3427735.610000000335276,3184672.149999999441206,9828164.160000000149012
FS( 13 ),3237171.320000000298023,3423785.710000000428408,3086515.259999999776483,9747473.290000000968575
FS( 14 ),3273704.359999999869615,3412725.990000000223517,3052710.189999999944121,9739141.539999999105930
FS( 15 ),3345510.680000000167638,3432080.500000000000000,3085700.679999999701977,9863292.859999999403954
FS( 16 ),3297219.879999999888241,3481059.259999999776483,3068187.209999999497086,9846467.349999999627471
FS( 17 ),3349709.879999999888241,3499228.800000000279397,3119505.750000000000000,9968445.429999999701977
FS( 18 ),3333333.000000000000000,3488169.080000000074506,3081627.779999999329448,9903130.859999999403954
FS( 19 ),3366506.680000000167638,3540702.750000000000000,3084886.099999999627471,9992096.529999999329448
FS( 20 ),3339211.879999999888241,3590471.490000000223517,3062892.439999999944121,9992576.810000000521541
FS( 21 ),3338791.960000000428408,3577831.810000000055879,3056375.799999999813735,9973000.570000000298023
FS( 22 ),3331233.399999999906868,3587706.560000000055879,3052710.189999999944121,9971651.150000000372529
FS( 23 ),3334172.840000000316650,3594421.390000000130385,3055968.509999999776483,9984563.740000000223517
FS( 24 ),3304358.520000000018626,3580596.740000000223517,3064114.310000000055879,9949070.570000000298023
FS( 25 ),3251028.680000000167638,3550182.509999999776483,3065336.179999999701977,9866548.369999999180436
FS( 26 ),3236751.399999999906868,3597186.319999999832362,3173268.029999999329448,10007206.750000000000000
FS( 27 ),3235491.640000000130385,3603901.149999999906868,3131724.449999999720603,9971118.240000000223517
FS( 28 ),3263206.359999999869615,3606271.089999999850988,3134168.189999999944121,10003646.639999998733401
FS( 29 ),3286721.879999999888241,3635500.350000000558794,3166344.099999999627471,10088567.330000000074506
FS( 30 ),3244729.879999999888241,3669864.479999999981374,3178562.799999999813735,10093158.160000000149012
FS( 31 ),3204417.560000000055879,3659594.740000000223517,3143128.569999999832362,10007141.870000001043081
FS( 32 ),3201478.119999999646097,3648535.020000000484288,3115025.560000000055879,9965039.700000001117587
FS( 33 ),3248509.160000000149012,3656829.810000000055879,3121949.489999999757856,10027289.460000000894070
FS( 34 ),3212396.040000000037253,3664334.620000000111759,3144350.439999999944121,10021082.099999999627471
FS( 35 ),3273704.359999999869615,3660384.720000000204891,3122356.779999999329448,10056446.859999999403954
