代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14198214.009999997913837
真實報酬,4198214.009999997913837

夏普值報酬,0.411121401000000
夏普值風險,0.104464198796999
夏普值,3.935524378059071

二次趨勢線,31.364829740605906 x^2 + 8635.009860795062195 x + 10000000.000000000000000
二次平均預期報酬,16570.311785168352799
風險,125756.688858890716801
二次平均趨勢值,0.131764854303389
一次趨勢線,14574.701202207175811 x + 10000000.000000000000000
一次預期報酬,14574.701202207175811
一次風險,256705.049785221024649
一次趨勢值,0.056776059584342
找到最佳解世代,2066
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,8
AAPL[0](6),BA[2](4),CAT[3](7),JNJ[12](11),MCD[15](3),MSFT[18](1),UNH[23](2),V[25](5),
Stock#,AAPL[0](6),BA[2](4),CAT[3](7),JNJ[12](11),MCD[15](3),MSFT[18](1),UNH[23](2),V[25](5),
張數,11711,9622,15346,10497,10831,21705,9208,15375,
分配資金,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,
剩餘資金,84.969999999972060,102.199999999953434,68.300000000046566,17.239999999990687,102.599999999860302,9.049999999813735,106.079999999841675,12.500000000000000,
FS( 1 ),1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,10000000.000000000000000
FS( 2 ),1261711.000000000000000,1262123.719999999972060,1253683.040000000037253,1252519.280000000027940,1254657.329999999841675,1251736.399999999906868,1258010.959999999962747,1260762.500000000000000,10055204.230000000447035
FS( 3 ),1261359.669999999925494,1279731.979999999981374,1259667.979999999981374,1257032.989999999990687,1270037.349999999860302,1250434.099999999860302,1252117.839999999850988,1268911.250000000000000,10099293.160000000149012
FS( 4 ),1269088.929999999934807,1276364.279999999795109,1284835.419999999925494,1255563.409999999916181,1266463.119999999878928,1251519.349999999627471,1243094.000000000000000,1279827.500000000000000,10126756.009999999776483
FS( 5 ),1235829.689999999944121,1278866.000000000000000,1282073.140000000130385,1254093.830000000074506,1258339.869999999878928,1246527.199999999720603,1247237.599999999860302,1275676.250000000000000,10078643.580000000074506
FS( 6 ),1207840.399999999906868,1236817.859999999869615,1239871.640000000130385,1241077.550000000046566,1241118.579999999841675,1220047.099999999860302,1230479.039999999804422,1250461.250000000000000,9867713.419999999925494
FS( 7 ),1234892.810000000055879,1252116.840000000083819,1257212.620000000111759,1250839.760000000009313,1255957.049999999813735,1238279.299999999813735,1248066.319999999832362,1275676.250000000000000,10013040.949999999254942
