代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12675293.119999999180436
真實報酬,2675293.119999999180436

夏普值報酬,0.258829312000000
夏普值風險,0.071177005289735
夏普值,3.636417561351502

二次趨勢線,-54.588353859073777 x^2 + 24559.993598145949363 x + 10000000.000000000000000
二次平均預期報酬,10749.140071800286023
風險,224976.836941135261441
二次平均趨勢值,0.047778874563041
一次趨勢線,14222.364621990152955 x + 10000000.000000000000000
一次預期報酬,14222.364621990152955
一次風險,449800.376426082162652
一次趨勢值,0.031619281279831
找到最佳解世代,2178
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](2),MCD[15](1),PG[21](8),UNH[23](12),
Stock#,AAPL[0](2),MCD[15](1),PG[21](8),UNH[23](12),
張數,105887,44931,47152,91474,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,7.930000000167638,39.160000000149012,0.959999999962747,15.580000000074506,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2498941.130000000353903,2487868.629999999888241,2489626.560000000055879,2621660.419999999925494,10098096.740000000223517
FS( 3 ),2519059.660000000149012,2496854.830000000074506,2492927.199999999720603,2640869.959999999962747,10149711.649999998509884
FS( 4 ),2576238.640000000130385,2522465.500000000000000,2492455.680000000167638,2641784.700000000186265,10232944.519999999552965
FS( 5 ),2615416.830000000074506,2526059.979999999981374,2555639.359999999869615,2546651.740000000223517,10243767.910000000149012
FS( 6 ),2588945.080000000074506,2475287.950000000186265,2534892.479999999981374,2597877.180000000167638,10197002.689999999478459
FS( 7 ),2610122.479999999981374,2464504.510000000242144,2642399.040000000037253,2662823.720000000204891,10379849.750000000000000
FS( 8 ),2603769.260000000242144,2443836.250000000000000,2623538.239999999757856,2659164.760000000242144,10330308.509999999776483
FS( 9 ),2628123.270000000018626,2436647.290000000037253,2607506.560000000055879,2630807.820000000298023,10303084.940000001341105
FS( 10 ),2649300.669999999925494,2470345.540000000037253,2594775.520000000018626,2533845.379999999888241,10248267.109999999403954
FS( 11 ),2750952.190000000409782,2537292.729999999981374,2607978.080000000074506,2679289.040000000037253,10575512.039999999105930
FS( 12 ),2791189.250000000000000,2536843.420000000391155,2618351.520000000018626,2683862.740000000223517,10630246.929999999701977
FS( 13 ),2798601.340000000316650,2561106.160000000149012,2702753.600000000093132,2614342.500000000000000,10676803.599999999627471
FS( 14 ),2783777.160000000149012,2522465.500000000000000,2692380.160000000149012,2615257.240000000223517,10613880.060000000521541
FS( 15 ),2790130.380000000353903,2507638.270000000018626,2698981.439999999944121,2522868.500000000000000,10519618.589999999850988
FS( 16 ),2806013.430000000167638,2495506.899999999906868,2699452.959999999962747,2440541.899999999906868,10441515.189999999478459
FS( 17 ),2780600.550000000279397,2521566.879999999888241,2727272.640000000130385,2381083.800000000279397,10410523.870000001043081
FS( 18 ),2758364.280000000260770,2558859.610000000335276,2735288.479999999981374,2317966.740000000223517,10370479.110000001266599
FS( 19 ),2815543.260000000242144,2568744.430000000167638,2742361.279999999795109,2360044.780000000260770,10486693.750000000000000
FS( 20 ),2803895.690000000409782,2568744.430000000167638,2730573.279999999795109,2349067.899999999906868,10452281.300000000745058
FS( 21 ),2803895.690000000409782,2564251.330000000074506,2731044.799999999813735,2290524.540000000037253,10389716.359999999403954
FS( 22 ),2736128.010000000242144,2549424.100000000093132,2669747.199999999720603,2267656.040000000037253,10222955.350000001490116
FS( 23 ),2796483.600000000093132,2548076.170000000391155,2675876.959999999962747,2221004.300000000279397,10241441.030000001192093
FS( 24 ),2813425.520000000018626,2543583.070000000298023,2672576.319999999832362,2199050.540000000037253,10228635.449999999254942
FS( 25 ),2873781.110000000335276,2580875.800000000279397,2689079.520000000018626,2230151.700000000186265,10373888.129999998956919
FS( 26 ),2878016.590000000316650,2567396.500000000000000,2685307.359999999869615,2291439.280000000260770,10422159.730000000447035
FS( 27 ),2863192.410000000149012,2555265.129999999888241,2718313.759999999776483,2210027.419999999925494,10346798.719999998807907
FS( 28 ),2881193.200000000186265,2547626.860000000335276,2714070.080000000074506,2256679.160000000149012,10399569.300000000745058
FS( 29 ),2886487.550000000279397,2546728.240000000223517,2711240.959999999962747,2307904.600000000093132,10452361.350000001490116
FS( 30 ),2874839.979999999981374,2563352.709999999962747,2699924.479999999981374,2221919.040000000037253,10360036.210000000894070
FS( 31 ),2893899.640000000130385,2583571.660000000149012,2702282.080000000074506,2274973.959999999962747,10454727.339999999850988
FS( 32 ),2882252.069999999832362,2615023.360000000335276,2698981.439999999944121,2245702.280000000260770,10441959.149999998509884
FS( 33 ),2844132.750000000000000,2641083.340000000316650,2708411.839999999850988,2236554.879999999888241,10430182.809999998658895
FS( 34 ),2871663.370000000111759,2663548.840000000316650,2724915.040000000037253,2279547.660000000149012,10539674.910000000149012
FS( 35 ),3006139.860000000335276,2647373.680000000167638,2740946.720000000204891,2374680.620000000111759,10769140.880000002682209
FS( 36 ),3099320.419999999925494,2620864.390000000130385,2710769.439999999944121,2297842.459999999962747,10728796.710000000894070
FS( 37 ),3103555.899999999906868,2673433.660000000149012,2740946.720000000204891,2351812.120000000111759,10869748.400000002235174
FS( 38 ),3084496.240000000223517,2670288.490000000223517,2717842.239999999757856,2364618.479999999981374,10837245.450000001117587
FS( 39 ),3063318.840000000316650,2659954.360000000335276,2682949.759999999776483,2315222.520000000018626,10721445.480000000447035
FS( 40 ),2986021.330000000074506,2651866.780000000260770,2696152.319999999832362,2424076.580000000074506,10758117.009999999776483
FS( 41 ),2910841.560000000055879,2634793.000000000000000,2698509.919999999925494,2367362.700000000186265,10611507.179999999701977
FS( 42 ),2970138.280000000260770,2657258.500000000000000,2807431.040000000037253,2421332.359999999869615,10856160.179999999701977
FS( 43 ),2851544.840000000316650,2633445.070000000298023,2734816.959999999962747,2373765.879999999888241,10593572.750000000000000
FS( 44 ),2863192.410000000149012,2658157.120000000111759,2779611.359999999869615,2416758.660000000149012,10717719.550000000745058
FS( 45 ),2854721.450000000186265,2661751.600000000093132,2762165.120000000111759,2461580.919999999925494,10740219.089999999850988
FS( 46 ),2886487.550000000279397,2708929.149999999906868,2783383.520000000018626,2549395.959999999962747,10928196.179999999701977
FS( 47 ),2935195.569999999832362,2762397.040000000037253,2851282.399999999906868,2580497.120000000111759,11129372.129999998956919
FS( 48 ),2939431.050000000279397,2773180.479999999981374,2878159.040000000037253,2622575.160000000149012,11213345.730000000447035
FS( 49 ),3047435.790000000502914,2814517.000000000000000,2916352.160000000149012,2664653.200000000186265,11442958.150000002235174
FS( 50 ),3070730.930000000167638,2798341.840000000316650,2916823.680000000167638,2650017.359999999869615,11435913.810000000521541
FS( 51 ),3074966.410000000149012,2823053.890000000130385,2934269.919999999925494,2686606.959999999962747,11518897.179999999701977
FS( 52 ),3055906.750000000000000,2793399.430000000167638,2890418.560000000055879,2630807.820000000298023,11370532.560000000521541
FS( 53 ),3092967.200000000186265,2856752.140000000130385,2905035.680000000167638,2660079.500000000000000,11514834.519999999552965
FS( 54 ),3125792.169999999925494,2899436.590000000316650,2936156.000000000000000,2666482.680000000167638,11627867.439999999478459
FS( 55 ),3131086.520000000018626,2856302.830000000074506,2938042.080000000074506,2650017.359999999869615,11575448.789999999105930
FS( 56 ),3115203.470000000204891,2874724.540000000037253,2942757.279999999795109,2640869.959999999962747,11573555.250000000000000
FS( 57 ),3032611.610000000335276,2849113.870000000111759,2930497.759999999776483,2618916.200000000186265,11431139.440000001341105
FS( 58 ),3024140.649999999906868,2874275.229999999981374,2913994.560000000055879,2612513.020000000018626,11424923.459999999031425
FS( 59 ),3114144.600000000093132,2875173.850000000093132,2957845.919999999925494,2660079.500000000000000,11607243.870000001043081
FS( 60 ),3092967.200000000186265,2885507.979999999981374,2961146.560000000055879,2703987.020000000018626,11643608.759999999776483
