代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,16173396.760000001639128
真實報酬,6173396.760000001639128

夏普值報酬,0.608639676000000
夏普值風險,0.163634732880485
夏普值,3.719501754218257

二次趨勢線,4.248184641661666 x^2 + 29300.245566429999599 x + 10000000.000000000000000
二次平均預期報酬,30370.788096128741017
風險,376806.990791930875275
二次平均趨勢值,0.080600383852483
一次趨勢線,30101.556227327753732 x + 10000000.000000000000000
一次預期報酬,30101.556227327753732
一次風險,378005.054412516125012
一次趨勢值,0.079632681827788
找到最佳解世代,1976
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](1),MSFT[18](2),V[25](4),WMT[28](24),
Stock#,AAPL[0](1),MSFT[18](2),V[25](4),WMT[28](24),
張數,191277,140213,200160,53682,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,9.609999999869615,2.210000000428408,1.600000000093132,29.259999999776483,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2540168.169999999925494,2593942.710000000428408,2421937.600000000093132,2566565.679999999701977,10122614.160000000149012
FS( 3 ),2555470.329999999608845,2612170.400000000372529,2457966.399999999906868,2491947.699999999720603,10117554.830000000074506
FS( 4 ),2635806.669999999925494,2669657.730000000447035,2690152.000000000000000,2606827.179999999701977,10602443.580000000074506
FS( 5 ),2725706.859999999869615,2756589.790000000502914,2772217.600000000093132,2664266.919999999925494,10918781.169999999925494
FS( 6 ),2800304.890000000130385,2725742.930000000633299,2768214.399999999906868,2645478.219999999739230,10939740.440000001341105
FS( 7 ),2674062.069999999832362,2636006.610000000335276,2694155.200000000186265,2561734.299999999813735,10565958.179999999701977
FS( 8 ),2645370.520000000018626,2693493.940000000409782,2750200.000000000000000,2589112.119999999646097,10678176.580000000074506
FS( 9 ),2712317.469999999739230,2700504.590000000782311,2822257.600000000093132,2583743.919999999925494,10818823.580000000074506
FS( 10 ),2710404.699999999720603,2676668.380000000353903,2800240.000000000000000,2497852.719999999739230,10685165.800000000745058
FS( 11 ),2582249.109999999869615,2536455.380000000353903,2714171.200000000186265,2589648.939999999944121,10422524.630000000819564
FS( 12 ),2578423.569999999832362,2540661.770000000484288,2810248.000000000000000,2684129.259999999776483,10613462.599999999627471
FS( 13 ),2477046.759999999776483,2511217.040000000502914,2784227.200000000186265,2708286.160000000149012,10480777.160000000149012
FS( 14 ),2492348.919999999925494,2523836.210000000428408,2786228.800000000279397,2685202.899999999906868,10487616.830000001937151
FS( 15 ),2375669.949999999720603,2413067.940000000409782,2714171.200000000186265,2624005.419999999925494,10126914.510000001639128
FS( 16 ),2465570.140000000130385,2407459.420000000856817,2820256.000000000000000,2684666.079999999608845,10377951.640000000596046
FS( 17 ),2490436.149999999906868,2378014.690000000409782,2774219.200000000186265,2641720.479999999981374,10284390.519999999552965
FS( 18 ),2436878.589999999850988,2302299.670000000856817,2806244.799999999813735,2590185.759999999776483,10135608.820000000298023
FS( 19 ),2440704.129999999888241,2264442.160000000149012,2838270.399999999906868,2643330.939999999944121,10186747.629999998956919
FS( 20 ),2402448.729999999981374,2213965.480000000447035,2710168.000000000000000,2578912.539999999571592,9905494.750000000000000
FS( 21 ),2413925.349999999627471,2226584.650000000372529,2720176.000000000000000,2543482.419999999925494,9904168.419999999925494
