代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12939165.970000000670552
真實報酬,2939165.970000000670552

夏普值報酬,0.285216597000000
夏普值風險,0.081344132828560
夏普值,3.506295870178127

二次趨勢線,60.862253688809545 x^2 + -4159.220314311771290 x + 10000000.000000000000000
二次平均預期報酬,11117.205361579424789
風險,138201.018313437176403
二次平均趨勢值,0.080442282533446
一次趨勢線,7275.230041894223177 x + 10000000.000000000000000
一次預期報酬,7275.230041894223177
一次風險,449198.424077857227530
一次趨勢值,0.016196027527989
找到最佳解世代,1625
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
JNJ[12](4),NKE[19](13),TRV[22](1),V[25](3),VZ[26](15),
Stock#,JNJ[12](4),NKE[19](13),TRV[22](1),V[25](3),VZ[26](15),
張數,30665,71864,30959,64998,49309,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,28.699999999953434,24.880000000121072,48.600000000093132,11.540000000037253,26.959999999962747,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),2003373.149999999906868,2053179.360000000102445,2004334.260000000009313,1985700.440000000176951,2001972.360000000102445,10048559.570000000298023
FS( 3 ),2003679.800000000046566,2055335.280000000260770,2004643.850000000093132,1891453.340000000083819,2003944.719999999972060,9959056.990000000223517
FS( 4 ),1985280.799999999813735,2008623.680000000167638,1996904.100000000093132,1914202.639999999897555,1985207.299999999813735,9890218.519999999552965
FS( 5 ),1987120.699999999953434,2002155.920000000158325,1999690.410000000149012,1925902.280000000027940,1998520.729999999981374,9913390.040000000968575
FS( 6 ),1992640.400000000139698,1953288.400000000139698,1993498.610000000102445,1920052.459999999962747,1999506.909999999916181,9858986.779999999329448
FS( 7 ),1971174.899999999906868,1943227.439999999944121,1978947.880000000121072,1908352.820000000065193,1984714.209999999962747,9786417.250000000000000
FS( 8 ),1980067.749999999767169,1932447.840000000083819,2001238.360000000102445,1920052.459999999962747,1999506.909999999916181,9833313.320000000298023
FS( 9 ),1973014.800000000046566,1945383.360000000102445,2000619.180000000167638,1916152.580000000074506,2029585.399999999906868,9864755.320000000298023
FS( 10 ),1960442.149999999906868,1931010.560000000288710,1996284.920000000158325,1896653.179999999934807,2016271.969999999972060,9800662.779999999329448
FS( 11 ),1950629.349999999860302,1926698.719999999972060,1986068.450000000186265,1894703.239999999990687,2024161.409999999916181,9782261.169999999925494
FS( 12 ),1953695.850000000093132,1922386.880000000121072,1969350.590000000083819,1909652.780000000027940,2015778.880000000121072,9770864.980000000447035
FS( 13 ),1948789.449999999953434,1874956.640000000130385,1941177.900000000139698,1868704.040000000037253,2039940.289999999804422,9673568.320000000298023
FS( 14 ),1942656.449999999953434,1894359.920000000158325,1925079.219999999972060,1830355.219999999972060,2047829.729999999981374,9640280.539999999105930
FS( 15 ),1946336.250000000000000,1926698.719999999972060,1941177.900000000139698,1888853.419999999925494,2038461.020000000018626,9741527.310000000521541
FS( 16 ),1947869.500000000000000,1948257.920000000158325,1944892.980000000214204,1923952.340000000083819,2040926.469999999972060,9805899.210000000894070
FS( 17 ),1947869.500000000000000,1948257.920000000158325,1944892.980000000214204,1923952.340000000083819,2040926.469999999972060,9805899.210000000894070
FS( 18 ),1934990.199999999953434,1931010.560000000288710,1956347.810000000055879,1946051.660000000149012,2040926.469999999972060,9809326.700000001117587
FS( 19 ),1916897.849999999860302,1954725.680000000167638,1938082.000000000232831,1939551.860000000102445,2043885.010000000009313,9793142.400000000372529
FS( 20 ),1919351.050000000046566,1992813.600000000093132,1946750.520000000251457,1954501.400000000139698,2058677.709999999962747,9872094.280000001192093
FS( 21 ),1907698.350000000093132,1951132.479999999981374,1916101.110000000102445,1909002.800000000046566,2042405.739999999990687,9726340.480000000447035
FS( 22 ),1914444.649999999906868,1943946.080000000074506,1934676.510000000242144,1871953.940000000176951,2053253.719999999972060,9718274.900000000372529
FS( 23 ),1894512.399999999906868,1879268.479999999981374,1875544.820000000065193,1823855.419999999925494,2023175.229999999981374,9496356.349999999627471
FS( 24 ),1911684.800000000046566,1881424.400000000139698,1869353.020000000251457,1855054.459999999962747,2038461.020000000018626,9555977.700000001117587
FS( 25 ),1907698.350000000093132,1895797.199999999953434,1882355.800000000046566,1849204.639999999897555,2031557.760000000009313,9566613.750000000000000
FS( 26 ),1925790.699999999953434,1923824.160000000149012,1908361.360000000102445,1890803.360000000102445,2059663.890000000130385,9708443.470000000670552
FS( 27 ),1925790.699999999953434,1928854.640000000130385,1916720.290000000037253,1897953.139999999897555,2053253.719999999972060,9722572.490000000223517
FS( 28 ),1931310.399999999906868,1951851.120000000111759,1923840.860000000102445,1894703.239999999990687,2092700.919999999925494,9794406.539999999105930
FS( 29 ),1904938.499999999767169,1931010.560000000288710,1905884.640000000130385,1890803.360000000102445,2098618.000000000000000,9731255.060000000521541
FS( 30 ),1934376.899999999906868,1933166.479999999981374,1917649.060000000055879,1903802.959999999962747,2117355.419999999925494,9806350.820000000298023
FS( 31 ),1976387.949999999953434,1836868.719999999972060,1908670.949999999953434,1867404.080000000074506,2119820.870000000111759,9709152.570000000298023
FS( 32 ),2007052.949999999953434,1797343.520000000251457,1954180.679999999934807,1892753.300000000046566,2157295.709999999962747,9808626.160000000149012
FS( 33 ),2024225.350000000093132,1828245.040000000270084,1963158.790000000037253,1923952.340000000083819,2147433.909999999683350,9887015.429999999701977
FS( 34 ),2033118.199999999953434,1821777.280000000260770,1952632.730000000214204,1951901.480000000214204,2160747.339999999850988,9920177.030000001192093
FS( 35 ),2045997.500000000000000,1824651.840000000083819,1964397.150000000139698,1972050.860000000102445,2156309.529999999795109,9963406.880000000819564
FS( 36 ),2054583.699999999953434,1818184.080000000074506,1976780.750000000232831,1992200.239999999990687,2135106.659999999683350,9976855.429999999701977
FS( 37 ),2035878.050000000046566,1772909.760000000242144,1937462.820000000065193,1941501.800000000046566,2136585.929999999701977,9824338.359999999403954
