代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14251725.910000000149012
真實報酬,4251725.910000000149012

夏普值報酬,0.416472591000000
夏普值風險,0.097523313385899
夏普值,4.270492629306197

二次趨勢線,9.576962860684844 x^2 + 13969.906193777424050 x + 10000000.000000000000000
二次平均預期報酬,16383.300834670006225
風險,158658.953173589718062
二次平均趨勢值,0.103261117680166
一次趨勢線,15776.353673491201334 x + 10000000.000000000000000
一次預期報酬,15776.353673491201334
一次風險,172535.594460279011400
一次趨勢值,0.091438254945841
找到最佳解世代,2073
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,7
AAPL[0](6),CAT[3](5),DIS[6](1),DD[7](2),INTC[11](4),MRK[17](8),MSFT[18](3),
Stock#,AAPL[0](6),CAT[3](5),DIS[6](1),DD[7](2),INTC[11](4),MRK[17](8),MSFT[18](3),
張數,20466,17313,23446,26792,64729,30259,44810,
分配資金,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,
剩餘資金,44.199999999953434,75.369999999878928,6.219999999972060,21.560000000055879,1.969999999972060,43.609999999869615,28.199999999953434,
FS( 1 ),1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,10000000.000000000000000
FS( 2 ),1458042.039999999804422,1446403.389999999897555,1432791.280000000027940,1441431.159999999916181,1465466.530000000027940,1442792.729999999748543,1398100.199999999953434,10085030.330000000074506
FS( 3 ),1448013.699999999953434,1436188.719999999972060,1437246.020000000018626,1465543.960000000195578,1462877.370000000111759,1437648.699999999720603,1399892.599999999860302,10087414.069999998435378
FS( 4 ),1456609.419999999925494,1443806.439999999944121,1439356.159999999916181,1471170.280000000027940,1467408.400000000139698,1437043.520000000018626,1395859.699999999953434,10111256.919999999925494
FS( 5 ),1479940.659999999916181,1481895.040000000037253,1444045.360000000102445,1480815.400000000139698,1482943.359999999869615,1444608.270000000018626,1418712.800000000046566,10232963.890000000596046
FS( 6 ),1446171.759999999776483,1499554.299999999813735,1473118.399999999906868,1525558.040000000037253,1488121.679999999934807,1451870.429999999701977,1451424.100000000093132,10335821.709999999031425
