代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13137767.419999999925494
真實報酬,3137767.419999999925494

夏普值報酬,0.305076742000000
夏普值風險,0.092860853188983
夏普值,3.285310564389632

二次趨勢線,80.416179267245795 x^2 + -8059.563613922610784 x + 10000000.000000000000000
二次平均預期報酬,12205.313561423328792
風險,194307.740000975521980
二次平均趨勢值,0.062814345745373
一次趨勢線,7108.878247941682275 x + 10000000.000000000000000
一次預期報酬,7108.878247941682275
一次風險,601494.499148339149542
一次趨勢值,0.011818692037928
找到最佳解世代,2159
找到最佳解實驗#,1
找到最佳解次數,40

stock[index](rank)
投資組合檔數,4
AAPL[0](1),HD[9](3),MSFT[18](4),NKE[19](7),
Stock#,AAPL[0](1),HD[9](3),MSFT[18](4),NKE[19](7),
張數,31746,31340,65019,63211,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,2.500000000000000,8.200000000186265,19.449999999720603,4.950000000186265,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2568253.900000000372529,2466779.600000000093132,2490897.339999999850988,2501264.220000000204891,10027195.060000000521541
FS( 3 ),2562222.159999999683350,2457064.200000000186265,2531859.309999999590218,2491150.459999999962747,10042296.129999998956919
FS( 4 ),2575555.479999999981374,2461451.800000000279397,2470741.449999999720603,2495575.229999999981374,10003323.960000000894070
FS( 5 ),2539682.500000000000000,2502193.800000000279397,2494148.289999999571592,2524020.180000000167638,10060044.769999999552965
FS( 6 ),2568888.819999999832362,2494672.200000000186265,2516904.939999999944121,2521491.740000000223517,10101957.699999999254942
FS( 7 ),2564761.840000000316650,2463645.600000000093132,2477893.539999999571592,2503792.660000000149012,10010093.640000000596046
FS( 8 ),2545714.239999999757856,2475868.200000000186265,2445384.039999999571592,2428571.570000000298023,9895538.049999998882413
FS( 9 ),2542222.180000000167638,2461138.400000000372529,2420026.629999999422580,2409608.270000000018626,9832995.479999998584390
FS( 10 ),2514285.700000000186265,2476181.600000000558794,2385566.559999999590218,2414665.150000000372529,9790699.010000001639128
FS( 11 ),2528253.939999999944121,2479002.200000000186265,2397920.169999999925494,2415929.370000000111759,9821105.679999999701977
FS( 12 ),2516825.379999999888241,2463959.000000000465661,2374513.330000000074506,2426043.130000000353903,9781340.840000001713634
FS( 13 ),2497777.780000000260770,2508775.200000000186265,2378414.469999999739230,2482933.030000000260770,9867900.480000000447035
FS( 14 ),2469206.379999999888241,2505641.200000000186265,2356958.199999999720603,2473451.380000000353903,9805257.160000000149012
FS( 15 ),2489841.280000000260770,2508461.800000000279397,2392718.649999999441206,2444374.320000000298023,9835396.050000000745058
FS( 16 ),2585396.739999999757856,2524758.600000000093132,2381015.229999999515712,2437421.110000000335276,9928591.679999999701977
FS( 17 ),2574603.099999999627471,2527265.800000000279397,2410923.969999999739230,2454488.080000000074506,9967280.949999999254942
FS( 18 ),2557460.260000000242144,2555785.200000000186265,2434330.809999999590218,2471555.050000000279397,10019131.320000000298023
FS( 19 ),2539999.959999999962747,2558605.800000000279397,2424577.959999999497086,2470290.830000000074506,9993474.549999998882413
FS( 20 ),2514920.620000000111759,2568007.800000000279397,2424577.959999999497086,2488622.020000000018626,9996128.399999998509884
FS( 21 ),2544444.400000000372529,2580543.800000000279397,2432380.239999999292195,2485461.470000000204891,10042829.910000000149012
FS( 22 ),2508571.419999999925494,2570515.000000000000000,2416125.489999999292195,2472819.270000000018626,9968031.179999999701977
FS( 23 ),2453333.379999999888241,2566440.800000000279397,2399870.739999999292195,2466498.170000000391155,9886143.089999999850988
FS( 24 ),2466666.700000000186265,2541682.200000000186265,2349155.919999999925494,2447534.870000000111759,9805039.690000001341105
FS( 25 ),2449206.400000000372529,2554218.200000000186265,2367361.239999999292195,2448799.090000000316650,9819584.929999999701977
FS( 26 ),2464761.939999999944121,2567694.400000000372529,2325098.889999999664724,2436789.000000000000000,9794344.230000000447035
FS( 27 ),2433333.400000000372529,2556412.000000000000000,2310144.520000000018626,2436789.000000000000000,9736678.919999999925494
FS( 28 ),2416825.479999999981374,2570201.600000000558794,2343304.209999999497086,2431100.010000000242144,9761431.299999998882413
