代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13985840.309999998658895
真實報酬,3985840.309999998658895

夏普值報酬,0.389884031000000
夏普值風險,0.106123610363531
夏普值,3.673867009089060

二次趨勢線,52.894735079689738 x^2 + 2766.198684065217094 x + 10000000.000000000000000
二次平均預期報酬,16148.566659226720731
風險,171460.010567375080427
二次平均趨勢值,0.094182699544866
一次趨勢線,12783.099861512857387 x + 10000000.000000000000000
一次預期報酬,12783.099861512857387
一次風險,414532.188014354615007
一次趨勢值,0.030837411981793
找到最佳解世代,2088
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](2),BA[2](1),MCD[15](6),MSFT[18](3),
Stock#,AAPL[0](2),BA[2](1),MCD[15](6),MSFT[18](3),
張數,25391,19776,20496,47303,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,2.140000000130385,115.839999999850988,102.879999999888241,36.449999999720603,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2481210.660000000149012,2508701.439999999944121,2483603.199999999720603,2482497.889999999664724,9956013.189999997615814
FS( 3 ),2486288.860000000335276,2519182.719999999739230,2487292.479999999981374,2449858.819999999832362,9942622.880000000819564
FS( 4 ),2504316.470000000204891,2608570.239999999757856,2500614.879999999888241,2465941.839999999850988,10079443.429999999701977
FS( 5 ),2514472.870000000111759,2609163.520000000018626,2498565.279999999795109,2464522.750000000000000,10086724.419999999925494
FS( 6 ),2512187.680000000167638,2630323.839999999850988,2502869.439999999944121,2461684.569999999832362,10107065.529999999329448
FS( 7 ),2530215.290000000502914,2632301.439999999944121,2516806.720000000204891,2441817.309999999590218,10121140.760000001639128
FS( 8 ),2509394.669999999925494,2593540.479999999515712,2507993.439999999944121,2435194.889999999664724,10046123.480000000447035
FS( 9 ),2471562.080000000074506,2569413.759999999776483,2520905.919999999925494,2371808.869999999646097,9933690.629999998956919
FS( 10 ),2474609.000000000000000,2580883.839999999850988,2511067.839999999850988,2357144.939999999478459,9923705.619999999180436
FS( 11 ),2466483.880000000353903,2574160.000000000000000,2505738.879999999888241,2350522.519999999552965,9896905.280000001192093
FS( 12 ),2476894.189999999944121,2558536.959999999962747,2510248.000000000000000,2383634.619999999646097,9929313.769999999552965
FS( 13 ),2420526.169999999925494,2567436.159999999683350,2506148.799999999813735,2371335.839999999850988,9865446.969999998807907
FS( 14 ),2414686.239999999757856,2625379.839999999850988,2529719.199999999720603,2368497.659999999683350,9938282.939999999478459
FS( 15 ),2435252.950000000186265,2601055.359999999869615,2513527.359999999869615,2421477.019999999552965,9971312.689999999478459
FS( 16 ),2426112.189999999944121,2605999.359999999869615,2472330.399999999906868,2412016.419999999925494,9916458.369999999180436
FS( 17 ),2440077.239999999757856,2641200.640000000130385,2484423.039999999571592,2455535.179999999701977,10021236.099999999627471
FS( 18 ),2371521.540000000502914,2502175.359999999869615,2448145.119999999646097,2357144.939999999478459,9678986.959999999031425
FS( 19 ),2336989.780000000260770,2426631.040000000037253,2383787.679999999701977,2290920.739999999757856,9438329.240000000223517
FS( 20 ),2376345.830000000074506,2450164.479999999981374,2428878.879999999888241,2338696.769999999552965,9594085.960000000894070
FS( 21 ),2396912.540000000502914,2511470.079999999608845,2449169.919999999925494,2390730.069999999832362,9748282.609999999403954
FS( 22 ),2427381.739999999757856,2568424.959999999962747,2466591.520000000018626,2420530.959999999962747,9882929.179999999701977
FS( 23 ),2434745.130000000353903,2564865.279999999795109,2467821.279999999795109,2420057.929999999701977,9887489.619999999180436
FS( 24 ),2411893.229999999981374,2511074.560000000055879,2475199.839999999850988,2420530.959999999962747,9818698.589999999850988
FS( 25 ),2425604.370000000111759,2510876.799999999813735,2472535.359999999869615,2430464.589999999850988,9839481.119999999180436
FS( 26 ),2436014.680000000167638,2515029.759999999776483,2478479.199999999720603,2430464.589999999850988,9859988.229999998584390
FS( 27 ),2454804.020000000484288,2572775.679999999701977,2486472.640000000130385,2473983.349999999627471,9988035.689999999478459
FS( 28 ),2462421.320000000298023,2611338.879999999888241,2500614.879999999888241,2487701.219999999739230,10062076.300000000745058
FS( 29 ),2473593.360000000335276,2587014.399999999906868,2505738.879999999888241,2517029.079999999608845,10083375.719999998807907
FS( 30 ),2459628.310000000055879,2573171.200000000186265,2517421.599999999627471,2531219.979999999515712,10081441.089999999850988
FS( 31 ),2508379.030000000260770,2601648.640000000130385,2540172.160000000149012,2542099.669999999925494,10192299.500000000000000
FS( 32 ),2508125.120000000111759,2618260.479999999515712,2533613.439999999944121,2540207.549999999813735,10200206.589999999850988
FS( 33 ),2534785.669999999925494,2638827.520000000018626,2537507.679999999701977,2552506.329999999608845,10263627.199999999254942
FS( 34 ),2535801.310000000055879,2663152.000000000000000,2592846.879999999888241,2511352.719999999739230,10303152.910000000149012
FS( 35 ),2538086.500000000000000,2664338.560000000055879,2583828.640000000130385,2644747.179999999701977,10431000.880000000819564
FS( 36 ),2524629.270000000484288,2640805.119999999646097,2606784.160000000149012,2639543.849999999627471,10411762.400000000372529
FS( 37 ),2505078.200000000186265,2639618.560000000055879,2628919.839999999850988,2675967.159999999683350,10449583.759999999776483
FS( 38 ),2471562.080000000074506,2629137.279999999795109,2611293.279999999795109,2683535.639999999664724,10395528.279999997466803
FS( 39 ),2454550.110000000335276,2666909.439999999944121,2494671.039999999571592,2684954.729999999515712,10301085.320000000298023
FS( 40 ),2614005.590000000316650,2688860.799999999813735,2448964.959999999962747,2657992.019999999552965,10409823.370000001043081
FS( 41 ),2649299.080000000074506,2630521.599999999627471,2447735.199999999720603,2658938.079999999608845,10386493.959999999031425
FS( 42 ),2645998.250000000000000,2643376.000000000000000,2411457.279999999795109,2681170.489999999757856,10382002.019999999552965
FS( 43 ),2692717.689999999944121,2634476.799999999813735,2418835.839999999850988,2676440.189999999478459,10422470.519999999552965
FS( 44 ),2652853.820000000298023,2602637.439999999944121,2412482.080000000074506,2676440.189999999478459,10344413.529999999329448
FS( 45 ),2686116.030000000260770,2607976.959999999962747,2408792.799999999813735,2694888.359999999869615,10397774.150000000372529
FS( 46 ),2688147.310000000055879,2594924.799999999813735,2424779.679999999701977,2714755.619999999646097,10422607.409999998286366
FS( 47 ),2729026.820000000298023,2605208.319999999832362,2443431.039999999571592,2741718.329999999608845,10519384.509999999776483
FS( 48 ),2751624.810000000055879,2614305.279999999795109,2424574.720000000204891,2746448.629999999888241,10536953.440000001341105
FS( 49 ),2762796.850000000093132,2622808.959999999962747,2424984.640000000130385,2753071.049999999813735,10563661.500000000000000
FS( 50 ),2742230.140000000130385,2616085.119999999646097,2435027.679999999701977,2744556.509999999776483,10537899.449999999254942
FS( 51 ),2740452.770000000484288,2630323.839999999850988,2446915.359999999869615,2757801.349999999627471,10575493.320000000298023
FS( 52 ),2746800.520000000484288,2632301.439999999944121,2449784.799999999813735,2740772.269999999552965,10569659.030000001192093
FS( 53 ),2779808.820000000298023,2663152.000000000000000,2429288.799999999813735,2749286.809999999590218,10621536.429999999701977
FS( 54 ),2777269.720000000204891,2669875.839999999850988,2417401.119999999646097,2717120.769999999552965,10581667.449999999254942
FS( 55 ),2773207.160000000149012,2664338.560000000055879,2400184.479999999981374,2722797.129999999888241,10560527.330000001937151
FS( 56 ),2769652.419999999925494,2669875.839999999850988,2400799.359999999869615,2724689.250000000000000,10565016.869999999180436
FS( 57 ),2776761.899999999906868,2658801.279999999795109,2357347.839999999850988,2725635.309999999590218,10518546.329999998211861
FS( 58 ),2755179.550000000279397,2669678.080000000074506,2365751.199999999720603,2728000.459999999962747,10518609.289999999105930
FS( 59 ),2763812.489999999757856,2652868.479999999515712,2361037.119999999646097,2738407.119999999646097,10516125.209999997168779
FS( 60 ),2742991.870000000111759,2636058.879999999888241,2354478.399999999906868,2741245.299999999813735,10474774.449999999254942
FS( 61 ),2731312.009999999776483,2629928.319999999832362,2365956.160000000149012,2751651.959999999962747,10478848.449999999254942
FS( 62 ),2715315.680000000167638,2615096.319999999832362,2345665.119999999646097,2745029.539999999571592,10421106.659999998286366
FS( 63 ),2712268.759999999776483,2628346.239999999757856,2365546.239999999757856,2748340.750000000000000,10454501.990000000223517
FS( 64 ),2691448.140000000130385,2587014.399999999906868,2364521.439999999944121,2738407.119999999646097,10381391.099999999627471
FS( 65 ),2693987.239999999757856,2560119.039999999571592,2370670.239999999757856,2718066.829999999608845,10342843.349999999627471
FS( 66 ),2709983.570000000298023,2569018.239999999757856,2365341.279999999795109,2724216.219999999739230,10368559.309999998658895
FS( 67 ),2735374.570000000298023,2593936.000000000000000,2374154.560000000055879,2728000.459999999962747,10431465.589999999850988
FS( 68 ),2734612.840000000316650,2630126.080000000074506,2403258.879999999888241,2725162.279999999795109,10493160.080000000074506
FS( 69 ),2751370.899999999906868,2623204.479999999515712,2396495.199999999720603,2727527.429999999701977,10498598.009999997913837
FS( 70 ),2679260.459999999962747,2628346.239999999757856,2381123.199999999720603,2716647.739999999757856,10405377.639999998733401
FS( 71 ),2618575.970000000204891,2541925.119999999646097,2348534.560000000055879,2658938.079999999608845,10167973.730000000447035
FS( 72 ),2677229.180000000167638,2573368.959999999962747,2376614.080000000074506,2698672.599999999627471,10325884.820000000298023
FS( 73 ),2740960.590000000316650,2546473.599999999627471,2351608.959999999962747,2674075.039999999571592,10313118.189999999478459
FS( 74 ),2837954.209999999962747,2524917.759999999776483,2360832.160000000149012,2661303.229999999515712,10385007.359999999403954
FS( 75 ),2934440.009999999776483,2526895.359999999869615,2380508.319999999832362,2705295.019999999552965,10547138.709999999031425
FS( 76 ),2917935.860000000335276,2505735.040000000037253,2362881.759999999776483,2708133.199999999720603,10494685.859999999403954
FS( 77 ),2883911.919999999925494,2521160.319999999832362,2361447.039999999571592,2692996.239999999757856,10459515.519999999552965
FS( 78 ),2883658.009999999776483,2527290.879999999888241,2386862.080000000074506,2687319.879999999888241,10485130.849999999627471
FS( 79 ),2883150.189999999944121,2582070.399999999906868,2396700.160000000149012,2732257.729999999515712,10594178.480000000447035
FS( 80 ),2910318.560000000055879,2607976.959999999962747,2405513.439999999944121,2735095.909999999683350,10658904.869999999180436
FS( 81 ),2861821.750000000000000,2606197.119999999646097,2401619.199999999720603,2716647.739999999757856,10586285.809999998658895
FS( 82 ),2866138.220000000204891,2582268.159999999683350,2388501.759999999776483,2691577.149999999441206,10528485.289999999105930
FS( 83 ),2871470.330000000074506,2597100.159999999683350,2395675.359999999869615,2741245.299999999813735,10605491.149999998509884
FS( 84 ),2893306.590000000316650,2615096.319999999832362,2360832.160000000149012,2745029.539999999571592,10614264.609999999403954
FS( 85 ),2848364.520000000484288,2591365.119999999646097,2352838.720000000204891,2715228.649999999441206,10507797.010000001639128
FS( 86 ),2870454.689999999944121,2605406.080000000074506,2364521.439999999944121,2724689.250000000000000,10565071.459999999031425
FS( 87 ),2856997.459999999962747,2618062.719999999739230,2349764.319999999832362,2716174.709999999962747,10540999.210000000894070
FS( 88 ),2869185.140000000130385,2615491.839999999850988,2326398.879999999888241,2707660.169999999925494,10518736.030000001192093
FS( 89 ),2870454.689999999944121,2663152.000000000000000,2324554.239999999757856,2726581.369999999646097,10584742.299999998882413
FS( 90 ),2891783.130000000353903,2658405.759999999776483,2335007.199999999720603,2731311.669999999925494,10616507.759999999776483
FS( 91 ),2896099.600000000093132,2647133.439999999944121,2325374.080000000074506,2734149.849999999627471,10602756.969999998807907
FS( 92 ),2946627.689999999944121,2686487.679999999701977,2351199.039999999571592,2745502.569999999832362,10729816.979999998584390
FS( 93 ),2952975.439999999944121,2644958.080000000074506,2330088.160000000149012,2705295.019999999552965,10633316.699999999254942
FS( 94 ),2979382.080000000074506,2633488.000000000000000,2351199.039999999571592,2701510.779999999795109,10665579.899999998509884
FS( 95 ),2970241.320000000298023,2637838.719999999739230,2365546.239999999757856,2692523.209999999962747,10666149.489999998360872
FS( 96 ),2986745.470000000204891,2640211.839999999850988,2338491.520000000018626,2716174.709999999962747,10681623.539999999105930
FS( 97 ),2984714.189999999944121,2650099.839999999850988,2304058.239999999757856,2706714.109999999869615,10645586.379999998956919
FS( 98 ),2982682.910000000149012,2671853.439999999944121,2280282.879999999888241,2727527.429999999701977,10662346.660000000149012
FS( 99 ),2973796.060000000055879,2693211.520000000018626,2280487.839999999850988,2721378.039999999571592,10668873.459999999031425
FS( 100 ),2972272.600000000093132,2686487.679999999701977,2266345.599999999627471,2708133.199999999720603,10633239.079999998211861
FS( 101 ),2960592.739999999757856,2682334.719999999739230,2335212.160000000149012,2822133.429999999701977,10800273.049999998882413
FS( 102 ),2987253.290000000502914,2718327.039999999571592,2327833.599999999627471,2885519.449999999720603,10918933.379999998956919
FS( 103 ),3002487.890000000130385,2749375.359999999869615,2310412.000000000000000,2885046.419999999925494,10947321.669999999925494
FS( 104 ),2934947.830000000074506,2878314.879999999888241,2297909.439999999944121,2868017.339999999850988,10979189.490000000223517
FS( 105 ),2906763.820000000298023,2834214.399999999906868,2297294.560000000055879,2842946.750000000000000,10881219.530000001192093
FS( 106 ),2887466.660000000149012,2828281.599999999627471,2297704.479999999981374,2832067.059999999590218,10845519.800000000745058
FS( 107 ),2882896.280000000260770,2816811.520000000018626,2307337.599999999627471,2834432.209999999962747,10841477.609999999403954
FS( 108 ),2830844.729999999981374,2816416.000000000000000,2300778.879999999888241,2828755.849999999627471,10776795.460000000894070
FS( 109 ),2833383.830000000074506,2783587.839999999850988,2303648.319999999832362,2811253.739999999757856,10731873.730000000447035
FS( 110 ),2788695.669999999925494,2769151.359999999869615,2289916.000000000000000,2800847.079999999608845,10648610.109999999403954
FS( 111 ),2763558.580000000074506,2759658.879999999888241,2275978.720000000204891,2777195.579999999608845,10576391.759999999776483
FS( 112 ),2803422.450000000186265,2828677.119999999646097,2312461.599999999627471,2858083.709999999962747,10802644.879999998956919
FS( 113 ),2819926.600000000093132,2812263.039999999571592,2338901.439999999944121,2860448.859999999869615,10831539.939999999478459
FS( 114 ),2815356.220000000204891,2869415.679999999701977,2356732.959999999962747,2846257.959999999962747,10887762.820000000298023
FS( 115 ),2736898.030000000260770,2920833.279999999795109,2347099.839999999850988,2776722.549999999813735,10781553.699999999254942
FS( 116 ),2753148.270000000484288,2937247.359999999869615,2341156.000000000000000,2791859.509999999776483,10823411.140000000596046
FS( 117 ),2684084.750000000000000,2966318.080000000074506,2415761.439999999944121,2749286.809999999590218,10815451.079999998211861
FS( 118 ),2719632.149999999906868,2929139.200000000186265,2425189.599999999627471,2784764.059999999590218,10858725.009999997913837
FS( 119 ),2792758.229999999981374,2896113.279999999795109,2443431.039999999571592,2821660.399999999441206,10953962.949999999254942
FS( 120 ),2791742.590000000316650,2874161.919999999925494,2448350.080000000074506,2868490.369999999646097,10982744.959999999031425
FS( 121 ),2794535.600000000093132,2894333.439999999944121,2459622.879999999888241,2854772.500000000000000,11003264.419999999925494
FS( 122 ),2836938.570000000298023,2907583.359999999869615,2449374.879999999888241,2878897.029999999795109,11072793.839999999850988
FS( 123 ),2838715.939999999944121,2957023.359999999869615,2453269.119999999646097,2891195.809999999590218,11140204.230000000447035
FS( 124 ),2824243.070000000298023,2961374.080000000074506,2462492.319999999832362,2857137.649999999441206,11105247.120000001043081
FS( 125 ),2838462.030000000260770,2967306.879999999888241,2473150.239999999757856,2863287.039999999571592,11142206.189999999478459
FS( 126 ),2832876.009999999776483,2961967.359999999869615,2496925.599999999627471,2867071.279999999795109,11158840.249999998137355
FS( 127 ),2830083.000000000000000,2998948.479999999515712,2473560.160000000149012,2889776.719999999739230,11192368.359999999403954
FS( 128 ),2806215.459999999962747,2977590.399999999906868,2444660.799999999813735,2850515.229999999515712,11078981.889999998733401
FS( 129 ),2780062.729999999981374,3013780.479999999515712,2428264.000000000000000,2800374.049999999813735,11022481.259999997913837
FS( 130 ),2790473.040000000502914,3011011.839999999850988,2423549.919999999925494,2802739.199999999720603,11027774.000000000000000
FS( 131 ),2770414.149999999906868,3009232.000000000000000,2445070.720000000204891,2848623.109999999869615,11073339.980000000447035
FS( 132 ),2791742.590000000316650,3010814.080000000074506,2444250.879999999888241,2835851.299999999813735,11082658.849999999627471
FS( 133 ),2819164.870000000111759,3048388.479999999515712,2457983.199999999720603,2903021.559999999590218,11228558.109999999403954
FS( 134 ),2846841.060000000055879,3073108.479999999515712,2468846.080000000074506,2885992.479999999515712,11274788.099999997764826
FS( 135 ),2893306.590000000316650,3094862.080000000074506,2485447.839999999850988,2931403.359999999869615,11405019.869999999180436
FS( 136 ),2876802.439999999944121,3108112.000000000000000,2495285.919999999925494,2940863.959999999962747,11421064.320000000298023
FS( 137 ),2924791.430000000167638,3098224.000000000000000,2514552.160000000149012,2979179.389999999664724,11516746.980000000447035
FS( 138 ),2924791.430000000167638,3054914.560000000055879,2517831.520000000018626,2964988.489999999757856,11462526.000000000000000
FS( 139 ),2940787.759999999776483,3041071.359999999869615,2507993.439999999944121,2960258.189999999478459,11450110.749999998137355
FS( 140 ),2944596.410000000149012,3055507.839999999850988,2526029.919999999925494,2947013.349999999627471,11473147.519999999552965
FS( 141 ),2961608.380000000353903,3088731.520000000018626,2520905.919999999925494,3009453.309999999590218,11580699.129999998956919
FS( 142 ),2969479.590000000316650,3092884.479999999515712,2527874.560000000055879,3005669.069999999832362,11595907.700000001117587
FS( 143 ),2972272.600000000093132,3114440.319999999832362,2524800.160000000149012,3005669.069999999832362,11617182.150000000372529
FS( 144 ),2952721.530000000260770,3114044.799999999813735,2535868.000000000000000,3006142.099999999627471,11608776.429999999701977
FS( 145 ),2958561.459999999962747,3120966.399999999906868,2523980.319999999832362,2991478.169999999925494,11594986.349999999627471
FS( 146 ),2977350.800000000279397,3114440.319999999832362,2522545.599999999627471,2993370.289999999571592,11607707.009999997913837
FS( 147 ),2964655.300000000279397,3087149.439999999944121,2514552.160000000149012,2979652.419999999925494,11546009.320000000298023
FS( 148 ),2963893.570000000298023,3079041.279999999795109,2516806.720000000204891,2975395.149999999441206,11535136.719999998807907
FS( 149 ),2940787.759999999776483,3078843.520000000018626,2494876.000000000000000,2939444.869999999646097,11453952.149999998509884
FS( 150 ),2949166.790000000502914,3104354.560000000055879,2451834.399999999906868,2960258.189999999478459,11465613.939999999478459
FS( 151 ),2945865.959999999962747,3136984.959999999962747,2448964.959999999962747,2947013.349999999627471,11478829.229999998584390
FS( 152 ),2960846.649999999906868,3138764.799999999813735,2453474.080000000074506,2947013.349999999627471,11500098.879999998956919
FS( 153 ),2993854.950000000186265,3146477.439999999944121,2475199.839999999850988,2972556.969999999739230,11588089.199999999254942
FS( 154 ),3021277.229999999981374,3131052.159999999683350,2468436.160000000149012,2963096.369999999646097,11583861.919999999925494
FS( 155 ),3024324.149999999906868,3145884.159999999683350,2464746.879999999888241,2962150.309999999590218,11597105.500000000000000
FS( 156 ),3040574.390000000130385,3152410.239999999757856,2477659.359999999869615,2989113.019999999552965,11659757.009999999776483
FS( 157 ),3027878.890000000130385,3130458.879999999888241,2502664.479999999981374,2961677.279999999795109,11622679.529999999329448
FS( 158 ),3022546.780000000260770,3141137.919999999925494,2490366.879999999888241,2965934.549999999813735,11619986.129999998956919
FS( 159 ),3046922.140000000130385,3118197.759999999776483,2515986.879999999888241,2957893.039999999571592,11638999.820000000298023
FS( 160 ),3046668.229999999981374,3131052.159999999683350,2515167.039999999571592,2956473.949999999720603,11649361.379999998956919
FS( 161 ),3041336.120000000111759,3144499.839999999850988,2504304.160000000149012,2947013.349999999627471,11637153.470000000670552
FS( 162 ),3046922.140000000130385,3154981.119999999646097,2505943.839999999850988,2967826.669999999925494,11675673.769999999552965
FS( 163 ),3048953.419999999925494,3121559.679999999701977,2487907.359999999869615,2978233.329999999608845,11636653.789999999105930
FS( 164 ),3046160.410000000149012,3175152.640000000130385,2481143.679999999701977,3004723.009999999776483,11707179.740000000223517
FS( 165 ),3094657.220000000204891,3309827.200000000186265,2496310.720000000204891,3012291.489999999757856,11913086.630000000819564
FS( 166 ),3096180.680000000167638,3344632.959999999962747,2498155.359999999869615,3040200.259999999310821,11979169.259999999776483
FS( 167 ),3096434.590000000316650,3316551.039999999571592,2518241.439999999944121,3111627.789999999571592,12042854.859999999403954
FS( 168 ),3088309.470000000204891,3274428.159999999683350,2521520.799999999813735,3080880.839999999385327,11965139.269999999552965
FS( 169 ),3081199.989999999757856,3231909.759999999776483,2512297.599999999627471,3058175.399999999906868,11883582.750000000000000
FS( 170 ),3269093.390000000130385,3242786.560000000055879,2509223.199999999720603,3007561.189999999478459,12028664.339999999850988
FS( 171 ),3263507.370000000111759,3208969.599999999627471,2525620.000000000000000,2988166.959999999962747,11986263.929999999701977
