代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13897735.480000000447035
真實報酬,3897735.480000000447035

夏普值報酬,0.381073548000000
夏普值風險,0.101925175041604
夏普值,3.738757847062336

二次趨勢線,14.724548930389290 x^2 + 12480.639868235717586 x + 10000000.000000000000000
二次平均預期報酬,16191.226198693815604
風險,245858.778279016551096
二次平均趨勢值,0.065855798650065
一次趨勢線,15258.046932683917476 x + 10000000.000000000000000
一次預期報酬,15258.046932683917476
一次風險,267040.621167601726484
一次趨勢值,0.057137550332118
找到最佳解世代,2349
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,1
PG[21](1),
FS( 192 ),13108589.149999998509884,13108589.149999998509884
FS( 193 ),13034920.609999999403954,13034920.609999999403954
FS( 194 ),12951206.359999999403954,12951206.359999999403954
FS( 195 ),13087381.539999999105930,13087381.539999999105930
FS( 196 ),12924417.799999998882413,12924417.799999998882413
FS( 197 ),13103008.199999999254942,13103008.199999999254942
FS( 198 ),13302806.209999999031425,13302806.209999999031425
FS( 199 ),13421122.349999997764826,13421122.349999997764826
FS( 200 ),13271552.890000000596046,13271552.890000000596046
FS( 201 ),13305038.589999999850988,13305038.589999999850988
FS( 202 ),13329594.769999999552965,13329594.769999999552965
FS( 203 ),13095194.869999999180436,13095194.869999999180436
FS( 204 ),13318432.869999999180436,13318432.869999999180436
FS( 205 ),13455724.239999998360872,13455724.239999998360872
FS( 206 ),13550600.390000000596046,13550600.390000000596046
FS( 207 ),13526044.209999999031425,13526044.209999999031425
FS( 208 ),13420006.160000000149012,13420006.160000000149012
FS( 209 ),13546135.629999998956919,13546135.629999998956919
FS( 210 ),13752630.779999999329448,13752630.779999999329448
FS( 211 ),13702402.230000000447035,13702402.230000000447035
FS( 212 ),13714680.320000000298023,13714680.320000000298023
FS( 213 ),13636547.019999999552965,13636547.019999999552965
FS( 214 ),13380939.509999997913837,13380939.509999997913837
FS( 215 ),13536089.919999998062849,13536089.919999998062849
FS( 216 ),13703518.419999998062849,13703518.419999998062849
FS( 217 ),13630966.070000000298023,13630966.070000000298023
FS( 218 ),13366429.039999999105930,13366429.039999999105930
FS( 219 ),13523811.829999998211861,13523811.829999998211861
FS( 220 ),13551716.579999998211861,13551716.579999998211861
FS( 221 ),13606409.890000000596046,13606409.890000000596046
FS( 222 ),13644360.349999997764826,13644360.349999997764826
FS( 223 ),13753746.969999998807907,13753746.969999998807907
FS( 224 ),13797278.379999998956919,13797278.379999998956919
FS( 225 ),13731423.169999998062849,13731423.169999998062849
FS( 226 ),13875411.679999999701977,13875411.679999999701977
FS( 227 ),13904432.619999999180436,13904432.619999999180436
FS( 228 ),13883225.009999997913837,13883225.009999997913837
FS( 229 ),13824066.939999997615814,13824066.939999997615814
FS( 230 ),13514882.309999998658895,13514882.309999998658895
FS( 231 ),13588550.849999997764826,13588550.849999997764826
FS( 232 ),13840809.789999999105930,13840809.789999999105930
FS( 233 ),13711331.750000000000000,13711331.750000000000000
FS( 234 ),13498139.459999999031425,13498139.459999999031425
FS( 235 ),13615339.410000000149012,13615339.410000000149012
FS( 236 ),13610874.649999998509884,13610874.649999998509884
FS( 237 ),13515998.500000000000000,13515998.500000000000000
FS( 238 ),13399914.739999998360872,13399914.739999998360872
FS( 239 ),13081800.589999999850988,13081800.589999999850988
FS( 240 ),13118634.859999999403954,13118634.859999999403954
FS( 241 ),13018177.759999997913837,13018177.759999997913837
FS( 242 ),13111937.719999998807907,13111937.719999998807907
FS( 243 ),13291644.309999998658895,13291644.309999998658895
FS( 244 ),13637663.209999999031425,13637663.209999999031425
FS( 245 ),13729190.789999999105930,13729190.789999999105930
FS( 246 ),13928988.799999998882413,13928988.799999998882413
FS( 247 ),13757095.539999999105930,13757095.539999999105930
FS( 248 ),13782767.910000000149012,13782767.910000000149012
FS( 249 ),13796162.189999997615814,13796162.189999997615814
FS( 250 ),13945731.649999998509884,13945731.649999998509884
FS( 251 ),13897735.480000000447035,13897735.480000000447035
