代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14950367.539999999105930
真實報酬,4950367.539999999105930

夏普值報酬,0.486336754000000
夏普值風險,0.102139042713444
夏普值,4.761516664733574

二次趨勢線,-27.603708268620593 x^2 + 25085.326988075146801 x + 10000000.000000000000000
二次平均預期報酬,18101.588796114130673
風險,199020.313569016609108
二次平均趨勢值,0.090953473399271
一次趨勢線,19857.895232508326444 x + 10000000.000000000000000
一次預期報酬,19857.895232508326444
一次風險,280001.121170822822023
一次趨勢值,0.070920770422178
找到最佳解世代,2389
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
BA[2](2),DD[7](1),MRK[17](14),UNH[23](7),
Stock#,BA[2](2),DD[7](1),MRK[17](14),UNH[23](7),
張數,32349,55187,58644,46711,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,69.279999999795109,28.900000000372529,6.279999999795109,27.279999999795109,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2493853.689999999944121,2508829.920000000391155,2541637.240000000223517,2490657.799999999813735,10034978.650000000372529
FS( 3 ),2544641.619999999646097,2530904.720000000204891,2536359.279999999795109,2499065.779999999795109,10110971.399999998509884
FS( 4 ),2558228.199999999720603,2570639.360000000335276,2561576.199999999720603,2504203.989999999757856,10194647.750000000000000
FS( 5 ),2621955.729999999515712,2554083.260000000242144,2537532.160000000149012,2513079.079999999608845,10226650.230000000447035
FS( 6 ),2627778.549999999813735,2575606.190000000409782,2519938.959999999497086,2513546.189999999944121,10236869.889999998733401
FS( 7 ),2683095.339999999850988,2592714.160000000149012,2560403.319999999366701,2532230.589999999850988,10368443.410000000149012
FS( 8 ),2722561.119999999646097,2612581.480000000447035,2641332.039999999571592,2561191.409999999683350,10537666.049999998882413
FS( 9 ),2741647.029999999795109,2609822.130000000353903,2614942.240000000223517,2544842.559999999590218,10511253.960000000894070
FS( 10 ),2737441.660000000149012,2646245.550000000745058,2596176.160000000149012,2556520.309999999590218,10536383.679999999701977
FS( 11 ),2795993.350000000093132,2657282.950000000186265,2585620.240000000223517,2556520.309999999590218,10595416.850000001490116
FS( 12 ),2755557.100000000093132,2614788.960000000428408,2558644.000000000000000,2569132.279999999795109,10498122.339999999850988
FS( 13 ),2766232.270000000018626,2608718.390000000596046,2562749.080000000074506,2577073.149999999906868,10514772.890000000596046
FS( 14 ),2761703.410000000149012,2628033.840000000316650,2587379.559999999590218,2563526.959999999962747,10540643.769999999552965
FS( 15 ),2728060.449999999720603,2552427.650000000372529,2568027.039999999571592,2571934.939999999944121,10420450.079999998211861
FS( 16 ),2743911.459999999497086,2576158.060000000521541,2574477.879999999888241,2543908.339999999850988,10438455.739999998360872
FS( 17 ),2744881.929999999701977,2537527.160000000149012,2562162.639999999664724,2562592.739999999757856,10407164.469999998807907
FS( 18 ),2802139.660000000149012,2514900.490000000223517,2603213.439999999944121,2599494.429999999701977,10519748.019999999552965
FS( 19 ),2788553.080000000074506,2497792.520000000484288,2586206.679999999701977,2644804.099999999627471,10517356.379999998956919
FS( 20 ),2777230.929999999701977,2502207.480000000447035,2592071.080000000074506,2672363.589999999850988,10543873.080000000074506
FS( 21 ),2757821.529999999795109,2465232.190000000409782,2600867.679999999701977,2754574.949999999720603,10578496.349999999627471
FS( 22 ),2720296.689999999944121,2432671.860000000335276,2633708.319999999366701,2883964.419999999925494,10670641.289999999105930
FS( 23 ),2729030.919999999925494,2436534.950000000186265,2660098.119999999646097,2880694.649999999906868,10706358.640000000596046
FS( 24 ),2748116.830000000074506,2470199.020000000484288,2657752.359999999869615,2897510.609999999869615,10773578.820000000298023
FS( 25 ),2787582.609999999869615,2428256.900000000372529,2646610.000000000000000,2900780.379999999888241,10763229.890000000596046
FS( 26 ),2806345.029999999795109,2411148.930000000167638,2667135.399999999441206,2890971.069999999832362,10775600.429999999701977
FS( 27 ),2821225.569999999366701,2470750.890000000596046,2668894.719999999739230,2904517.259999999776483,10865388.439999999478459
FS( 28 ),2840958.459999999497086,2501655.610000000335276,2746891.240000000223517,2915260.789999999571592,11004766.099999999627471
FS( 29 ),2863926.250000000000000,2503863.090000000316650,2768589.520000000018626,2941886.059999999590218,11078264.919999998062849
FS( 30 ),2875571.889999999664724,2495033.170000000391155,2762725.119999999646097,2944221.609999999869615,11077551.789999999105930
FS( 31 ),2806992.009999999776483,2371966.160000000149012,2724606.520000000018626,2876957.770000000018626,10780522.459999999031425
FS( 32 ),2810873.889999999664724,2379140.470000000204891,2753928.520000000018626,2933945.189999999944121,10877888.069999998435378
FS( 33 ),2804404.089999999850988,2381347.950000000186265,2742199.719999999739230,2897510.609999999869615,10825462.369999999180436
FS( 34 ),2785965.160000000149012,2371966.160000000149012,2730470.919999999925494,2788206.869999999646097,10676609.109999999403954
FS( 35 ),2845487.319999999366701,2401215.270000000484288,2785009.839999999850988,2804555.719999999739230,10836268.149999998509884
FS( 36 ),2812491.339999999850988,2435431.210000000428408,2810226.759999999776483,2766252.699999999720603,10824402.009999999776483
FS( 37 ),2852604.100000000093132,2488410.730000000447035,2851864.000000000000000,2734489.219999999739230,10927368.050000000745058
FS( 38 ),2938328.949999999720603,2528145.370000000577420,2811986.080000000074506,2746166.969999999739230,11024627.370000001043081
FS( 39 ),2965502.109999999869615,2669975.960000000428408,2776799.679999999701977,2771858.020000000018626,11184135.769999999552965
FS( 40 ),3003673.929999999701977,2626378.230000000447035,2807294.559999999590218,2778397.559999999590218,11215744.279999997466803
FS( 41 ),2972942.379999999888241,2661697.910000000149012,2804362.359999999869615,2803154.389999999664724,11242157.039999999105930
FS( 42 ),2957091.369999999646097,2665009.130000000353903,2756274.279999999795109,2799417.509999999776483,11177792.289999999105930
FS( 43 ),2949651.100000000093132,2605407.170000000391155,2679450.639999999664724,2789608.199999999720603,11024117.109999999403954
FS( 44 ),2982970.569999999366701,2603199.690000000409782,2681796.399999999441206,2778397.559999999590218,11046364.219999998807907
FS( 45 ),3032464.539999999571592,2668872.220000000204891,2678277.759999999776483,2752239.399999999906868,11131853.919999999925494
FS( 46 ),3047021.589999999850988,2672735.310000000521541,2637813.399999999441206,2812029.479999999981374,11169599.779999999329448
FS( 47 ),3066430.990000000223517,2714677.430000000167638,2654820.160000000149012,2826042.779999999795109,11261971.359999999403954
FS( 48 ),3042169.240000000223517,2712469.950000000186265,2638399.839999999850988,2919931.889999999664724,11312970.920000001788139
FS( 49 ),3060608.169999999925494,2744478.410000000149012,2667721.839999999850988,2896576.389999999664724,11369384.809999998658895
FS( 50 ),3048639.039999999571592,2708054.990000000223517,2694698.080000000074506,2938616.289999999571592,11390008.399999998509884
FS( 51 ),3065460.520000000018626,2699776.940000000409782,2707599.759999999776483,2914326.569999999832362,11387163.790000000968575
FS( 52 ),3109131.669999999925494,2745030.280000000260770,2735748.879999999888241,2883497.309999999590218,11473408.140000000596046
FS( 53 ),3138569.259999999776483,2777590.610000000335276,2740440.399999999441206,2877891.989999999757856,11534492.259999999776483
FS( 54 ),3124335.699999999720603,2758827.030000000260770,2719328.559999999590218,2902648.819999999832362,11505140.109999999403954
FS( 55 ),3200032.359999999869615,2815117.770000000484288,2697043.839999999850988,2935346.520000000018626,11647540.490000000223517
FS( 56 ),3193562.559999999590218,2798561.670000000391155,2651301.520000000018626,2922267.439999999944121,11565693.189999999478459
FS( 57 ),3194533.029999999795109,2811806.550000000745058,2775626.799999999813735,2936747.849999999627471,11718714.229999998584390
FS( 58 ),3168006.850000000093132,2759930.770000000484288,2739267.520000000018626,2909188.359999999869615,11576393.500000000000000
FS( 59 ),3226882.029999999795109,2758827.030000000260770,2775626.799999999813735,2912925.239999999757856,11674261.099999999627471
FS( 60 ),3234969.279999999795109,2757171.420000000391155,2765657.319999999366701,2898911.939999999944121,11656709.959999999031425
FS( 61 ),3238527.669999999925494,2753860.200000000186265,2792633.559999999590218,2958702.020000000018626,11743723.449999999254942
FS( 62 ),3205531.689999999944121,2746134.020000000484288,2748650.559999999590218,2959169.129999999888241,11659485.399999998509884
FS( 63 ),3252437.740000000223517,2735096.620000000577420,2760379.359999999869615,3020360.539999999571592,11768274.259999999776483
FS( 64 ),3203267.259999999776483,2708054.990000000223517,2738681.080000000074506,2925537.209999999962747,11575540.539999999105930
FS( 65 ),3258907.539999999571592,2698673.200000000186265,2841308.080000000074506,2933478.079999999608845,11732366.900000000372529
FS( 66 ),3222353.169999999925494,2720748.000000000000000,2899365.639999999664724,2912925.239999999757856,11755392.049999998882413
FS( 67 ),3186122.289999999571592,2645141.810000000521541,2857728.399999999441206,2884431.529999999795109,11573424.029999999329448
FS( 68 ),3227205.520000000018626,2663353.520000000484288,2850104.679999999701977,2892372.399999999906868,11633036.120000001043081
FS( 69 ),3315518.289999999571592,2699776.940000000409782,2826060.639999999664724,2922734.549999999813735,11764090.420000001788139
FS( 70 ),3307431.039999999571592,2698121.330000000540167,2841894.520000000018626,2974583.759999999776483,11822030.650000000372529
FS( 71 ),3291580.029999999795109,2672183.440000000409782,2789114.919999999925494,2986261.509999999776483,11739139.900000000372529
FS( 72 ),3263436.399999999441206,2655627.340000000316650,2770935.279999999795109,2981590.409999999683350,11671589.429999999701977
FS( 73 ),3304843.119999999646097,2722955.480000000447035,2809053.879999999888241,2996537.930000000167638,11833390.410000000149012
FS( 74 ),3294167.949999999720603,2672735.310000000521541,2811986.080000000074506,2980189.079999999608845,11759078.419999999925494
