代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13193807.890000000596046
真實報酬,3193807.890000000596046

夏普值報酬,0.310680789000000
夏普值風險,0.088609464168489
夏普值,3.506180653674283

二次趨勢線,-34.958774930700507 x^2 + 22270.667319452368247 x + 10000000.000000000000000
二次平均預期報酬,13461.056036915842924
風險,274486.309000344481319
二次平均趨勢值,0.049040901478620
一次趨勢線,15676.594460853919372 x + 10000000.000000000000000
一次預期報酬,15676.594460853919372
一次風險,369568.945659969816916
一次趨勢值,0.042418592376204
找到最佳解世代,1824
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
AAPL[0](1),MCD[15](2),MRK[17](15),
Stock#,AAPL[0](1),MCD[15](2),MRK[17](15),
張數,140173,60463,111037,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,19.060000000055879,7.810000000055879,2.260000000242144,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3315110.509999999776483,3326077.439999999944121,3313346.340000000316650,9954535.289999999105930
FS( 3 ),3306700.129999999888241,3330914.480000000447035,3287807.830000000074506,9925423.440000001341105
FS( 4 ),3282870.720000000204891,3315798.730000000447035,3260048.580000000074506,9858719.030000001192093
FS( 5 ),3313708.780000000260770,3337565.410000000149012,3342215.960000000428408,9993491.150000000372529
FS( 6 ),3298289.750000000000000,3402260.820000000298023,3397734.460000000428408,10098286.030000001192093
FS( 7 ),3260443.040000000502914,3387145.070000000298023,3367754.470000000204891,10015343.580000001937151
FS( 8 ),3310905.320000000298023,3401656.189999999944121,3413279.640000000130385,10125842.150000000372529
FS( 9 ),3372581.439999999944121,3372633.950000000186265,3439928.520000000484288,10185144.910000000149012
FS( 10 ),3340341.649999999906868,3341797.820000000298023,3439928.520000000484288,10122068.990000002086163
FS( 11 ),3195963.459999999962747,3295241.310000000055879,3428824.820000000298023,9920030.589999999850988
FS( 12 ),3284272.450000000186265,3341193.189999999944121,3409948.530000000260770,10035415.170000001788139
FS( 13 ),3295486.290000000502914,3364773.759999999776483,3495447.020000000484288,10155708.070000000298023
FS( 14 ),3330529.540000000502914,3394400.629999999888241,3479901.840000000316650,10204833.009999999776483
FS( 15 ),3388000.470000000204891,3402260.820000000298023,3615366.980000000447035,10405629.270000001415610
FS( 16 ),3385197.009999999776483,3380494.139999999664724,3608704.760000000242144,10374396.910000000149012
FS( 17 ),3392205.660000000149012,3413144.160000000149012,3658671.410000000614673,10464022.230000000447035
FS( 18 ),3352957.220000000204891,3446398.810000000055879,3628691.420000000391155,10428048.450000001117587
FS( 19 ),3393607.390000000130385,3456072.889999999664724,3649788.450000000186265,10499469.730000000447035
FS( 20 ),3404821.229999999981374,3390168.220000000204891,3588718.100000000093132,10383708.550000000745058
FS( 21 ),3368376.250000000000000,3400446.930000000167638,3600932.170000000391155,10369756.349999999627471
FS( 22 ),3309503.589999999850988,3364169.129999999888241,3529868.490000000223517,10203542.210000000894070
FS( 23 ),3308101.860000000335276,3347844.120000000111759,3421052.229999999981374,10076999.210000000894070
FS( 24 ),3334734.729999999981374,3359936.720000000204891,3357761.140000000130385,10052433.589999999850988
FS( 25 ),3410428.149999999906868,3394400.629999999888241,3408838.160000000149012,10213667.939999999478459
FS( 26 ),3462292.160000000149012,3399237.669999999925494,3438818.149999999906868,10300348.980000000447035
FS( 27 ),3427248.910000000149012,3330914.480000000447035,3503219.610000000335276,10261384.000000000000000
FS( 28 ),3455283.509999999776483,3316403.360000000335276,3548744.780000000260770,10320432.650000000372529
FS( 29 ),3446873.129999999888241,3288590.379999999888241,3613146.240000000223517,10348610.750000000000000
FS( 30 ),3479112.919999999925494,3278916.299999999813735,3652009.190000000409782,10410039.410000000149012
FS( 31 ),3507147.520000000018626,3324263.549999999813735,3630912.160000000614673,10462324.230000000447035
FS( 32 ),3641713.600000000093132,3414353.419999999925494,3572062.550000000279397,10628130.570000000298023
FS( 33 ),3694979.339999999850988,3413748.790000000037253,3554296.629999999888241,10663025.759999999776483
FS( 34 ),3704791.450000000186265,3446398.810000000055879,3539861.820000000298023,10691053.080000000074506
FS( 35 ),3685167.229999999981374,3394400.629999999888241,3533199.600000000093132,10612768.459999999031425
FS( 36 ),3693577.610000000335276,3374447.840000000316650,3478791.470000000204891,10546817.920000001788139
FS( 37 ),3714603.560000000055879,3358122.830000000074506,3478791.470000000204891,10551518.860000001266599
FS( 38 ),3680962.040000000502914,3393191.370000000111759,3443259.630000000353903,10517414.040000000968575
FS( 39 ),3651525.709999999962747,3443375.660000000149012,3469908.510000000242144,10564810.880000000819564
