代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13199702.980000000447035
真實報酬,3199702.980000000447035

夏普值報酬,0.311270298000000
夏普值風險,0.095602205315664
夏普值,3.255890352866172

二次趨勢線,28.395857005285354 x^2 + 8041.893000214216954 x + 10000000.000000000000000
二次平均預期報酬,15140.857251535557225
風險,195854.365719194058329
二次平均趨勢值,0.077306713056597
一次趨勢線,13355.446402756351745 x + 10000000.000000000000000
一次預期報酬,13355.446402756351745
一次風險,278376.269073968927842
一次趨勢值,0.047976238948758
找到最佳解世代,2079
找到最佳解實驗#,1
找到最佳解次數,47

stock[index](rank)
投資組合檔數,5
BA[2](1),DD[7](18),PG[21](14),UNH[23](5),V[25](3),
Stock#,BA[2](1),DD[7](18),PG[21](14),UNH[23](5),V[25](3),
張數,28220,49031,29673,36656,62247,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,48.599999999860302,25.510000000009313,39.799999999813735,48.639999999897555,3.889999999897555,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),2029631.000000000000000,1986761.630000000121072,1996735.969999999972060,1989736.319999999832362,1985683.189999999711290,9988548.109999999403954
FS( 3 ),2055028.999999999767169,2061779.059999999823049,2024925.319999999599531,2012096.479999999981374,2015561.750000000000000,10169391.609999999403954
FS( 4 ),2057004.399999999906868,2117674.399999999441206,2033233.759999999776483,2011729.919999999925494,2018674.099999999860302,10238316.579999998211861
FS( 5 ),2005926.199999999720603,2115713.160000000149012,2032937.030000000027940,1969942.080000000074506,2002489.879999999888241,10127008.349999999627471
FS( 6 ),2011287.999999999767169,2111300.370000000111759,2025518.780000000027940,1935485.439999999711290,2046062.779999999795109,10129655.369999999180436
FS( 7 ),2002539.799999999580905,2107377.889999999664724,2020771.099999999627471,1936218.559999999823049,2077186.279999999795109,10144093.629999998956919
FS( 8 ),2020036.199999999720603,2194653.070000000298023,2044806.229999999748543,1975440.479999999981374,2100217.669999999925494,10335153.649999998509884
FS( 9 ),2011570.199999999953434,2252019.339999999850988,2052224.479999999748543,1988636.639999999897555,2089013.209999999962747,10393463.869999999180436
FS( 10 ),1973191.000000000000000,2173569.740000000223517,2054895.049999999813735,1997067.519999999785796,2083410.979999999748543,10282134.289999999105930
FS( 11 ),1988147.599999999860302,2166215.089999999850988,2054004.859999999869615,2020893.919999999925494,2080298.629999999888241,10309560.099999997764826
FS( 12 ),1972626.600000000093132,2161802.299999999813735,2055191.780000000027940,2014295.840000000083819,2097727.790000000037253,10301644.309999998658895
FS( 13 ),1971215.599999999627471,2156408.889999999664724,2064093.679999999934807,2013929.279999999795109,2094615.439999999711290,10300262.889999998733401
FS( 14 ),1974601.999999999767169,2112771.299999999813735,2059939.459999999962747,2059382.719999999972060,2100840.139999999664724,10307535.619999999180436
FS( 15 ),1976295.199999999953434,2110319.750000000000000,2070028.280000000027940,2052051.519999999785796,2081543.569999999832362,10290238.320000000298023
FS( 16 ),1957952.199999999720603,2079920.530000000027940,2064983.869999999878928,2060115.840000000083819,2093992.969999999972060,10256965.410000000149012
FS( 17 ),1982503.599999999860302,2031870.149999999906868,2056378.699999999720603,2044720.319999999832362,2062247.000000000000000,10177719.769999999552965
FS( 18 ),1978270.599999999627471,2035302.319999999832362,2056378.699999999720603,2061582.080000000074506,2084033.449999999720603,10215567.149999998509884
FS( 19 ),1964160.599999999627471,2021573.639999999897555,2058159.079999999841675,2031157.599999999860302,2089635.679999999934807,10164686.599999999627471
FS( 20 ),1975730.800000000046566,2047069.760000000009313,2060829.649999999906868,2069646.399999999906868,2127606.349999999627471,10280882.959999999031425
FS( 21 ),1962185.199999999953434,2036282.940000000176951,2041245.469999999972060,2082109.439999999711290,2116401.889999999664724,10238224.939999999478459
FS( 22 ),1971497.799999999813735,2004903.100000000093132,2052521.209999999962747,2084308.799999999813735,2155617.500000000000000,10268848.410000000149012
FS( 23 ),1973755.399999999906868,2037753.870000000111759,2058752.539999999571592,2124996.959999999962747,2173669.129999999888241,10368927.899999998509884
FS( 24 ),2000564.399999999906868,2038734.489999999990687,2066170.789999999571592,2094205.919999999925494,2183006.179999999701977,10382681.779999999329448
FS( 25 ),1991533.999999999767169,2025005.809999999823049,2050444.099999999627471,2111434.240000000223517,2158729.849999999627471,10337148.000000000000000
FS( 26 ),1993509.399999999906868,1982839.149999999906868,2038574.899999999906868,2106668.959999999962747,2128228.819999999366701,10249821.229999998584390
FS( 27 ),1985043.399999999906868,1960775.200000000186265,2021958.019999999785796,2093472.799999999813735,2138188.339999999850988,10199437.759999999776483
FS( 28 ),1998871.199999999720603,1970581.399999999906868,2017803.799999999813735,2113633.599999999627471,2163709.609999999403954,10264599.609999999403954
FS( 29 ),2027655.599999999627471,1960775.200000000186265,2016023.419999999692664,2092006.559999999823049,2164954.549999999813735,10261415.329999998211861
FS( 30 ),2038943.599999999860302,1977445.739999999990687,2038871.629999999655411,2107402.080000000074506,2176781.479999999515712,10339444.529999999329448
FS( 31 ),2073654.199999999953434,2088255.800000000279397,2047476.799999999813735,2085041.919999999925494,2196700.519999999552965,10491129.239999998360872
FS( 32 ),2077887.199999999720603,2111300.370000000111759,2061423.109999999869615,2052418.080000000074506,2218486.969999999739230,10521515.730000000447035
FS( 33 ),2095665.800000000046566,2110319.750000000000000,2061423.109999999869615,2053151.199999999720603,2207904.979999999515712,10528464.839999999850988
FS( 34 ),2088610.800000000046566,2084823.630000000121072,2034717.409999999683350,2040321.599999999860302,2178026.419999999925494,10426499.859999999403954
FS( 35 ),2079862.599999999860302,2076488.360000000102445,2032640.299999999813735,2072578.879999999888241,2163087.139999999664724,10424657.279999999329448
FS( 36 ),2055028.999999999767169,1993625.969999999739230,2001186.919999999692664,2059382.719999999972060,2126361.410000000149012,10235586.019999999552965
FS( 37 ),2051924.799999999580905,2086294.559999999823049,2020177.639999999664724,2049852.159999999916181,2123871.529999999329448,10332120.689999997615814
FS( 38 ),2018907.400000000139698,2071094.950000000186265,2079226.909999999683350,2060482.399999999906868,2140678.219999999739230,10370389.879999998956919
FS( 39 ),2006772.799999999813735,2064720.919999999925494,2060532.919999999692664,2044720.319999999832362,2152505.149999999441206,10329252.109999999403954
FS( 40 ),1987865.399999999906868,2046089.139999999897555,2054598.319999999599531,2052784.639999999897555,2159352.319999999366701,10300689.819999998435378
FS( 41 ),1997742.400000000139698,2102474.790000000037253,2054895.049999999813735,2087607.840000000083819,2239028.479999999515712,10481748.559999998658895
FS( 42 ),1976859.599999999860302,2077468.979999999981374,2053114.669999999692664,2054617.439999999711290,2231558.839999999850988,10393619.529999999329448
FS( 43 ),1987018.799999999813735,2099042.620000000111759,2037684.709999999962747,2026392.319999999832362,2202302.750000000000000,10352441.199999999254942
FS( 44 ),2032452.999999999767169,2130912.770000000484288,2045399.689999999944121,2067080.479999999981374,2239028.479999999515712,10514874.420000001788139
FS( 45 ),1978552.799999999813735,2115222.849999999627471,2019584.179999999934807,1989003.199999999720603,2218486.969999999739230,10320850.000000000000000
FS( 46 ),2003104.199999999953434,2063249.989999999990687,1985460.229999999748543,1958945.279999999795109,2211017.330000000074506,10221777.029999999329448
FS( 47 ),2067163.599999999860302,2050011.620000000111759,1988427.530000000027940,1939151.039999999804422,2224089.199999999254942,10268842.989999998360872
