代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,17703234.549999997019768
真實報酬,7703234.549999997019768

夏普值報酬,0.761623455000000
夏普值風險,0.153234965628757
夏普值,4.970298077040644

二次趨勢線,-76.610023605327470 x^2 + 50915.191821035543398 x + 10000000.000000000000000
二次平均預期報酬,31609.465872493019560
風險,361864.369863399653696
二次平均趨勢值,0.087351694460622
一次趨勢線,36464.683233309311618 x + 10000000.000000000000000
一次預期報酬,36464.683233309311618
一次風險,651949.204206722904928
一次趨勢值,0.055931785786408
找到最佳解世代,2626
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,7
AAPL[0](1),BA[2](19),JNJ[12](7),MMM[16](2),MRK[17](13),MSFT[18](5),PG[21](12),
Stock#,AAPL[0](1),BA[2](19),JNJ[12](7),MMM[16](2),MRK[17](13),MSFT[18](5),PG[21](12),
張數,113739,48409,29811,33346,60945,90473,30479,
分配資金,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,
剩餘資金,9.159999999916181,21.409999999916181,27.879999999888241,28.359999999869615,20.199999999953434,2.330000000074506,20.270000000018626,
FS( 1 ),1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,10000000.000000000000000
FS( 2 ),1435395.339999999850988,1421309.649999999906868,1420223.919999999925494,1437907.879999999888241,1404802.449999999953434,1436713.570000000065193,1421256.040000000037253,9977611.850000001490116
FS( 3 ),1480890.939999999944121,1467298.199999999953434,1463747.979999999981374,1494596.079999999841675,1412115.850000000093132,1458427.090000000083819,1441981.760000000009313,10219060.899999998509884
FS( 4 ),1443357.069999999832362,1422761.919999999925494,1421118.250000000000000,1417566.819999999832362,1349342.500000000000000,1381525.040000000037253,1383766.869999999878928,9819441.470000000670552
FS( 5 ),1386487.569999999832362,1457132.310000000055879,1430061.549999999813735,1394891.539999999804422,1385909.499999999767169,1382429.770000000018626,1393215.360000000102445,9830130.599999999627471
FS( 6 ),1350091.089999999850988,1500700.409999999916181,1389220.479999999981374,1402894.579999999841675,1279255.749999999767169,1370668.280000000027940,1346582.489999999990687,9639416.080000000074506
FS( 7 ),1439944.899999999906868,1598002.499999999767169,1424397.459999999962747,1516937.899999999906868,1352999.199999999953434,1490997.370000000111759,1376756.700000000186265,10200039.030000001192093
FS( 8 ),1505913.520000000018626,1610588.840000000083819,1427974.779999999795109,1560621.159999999683350,1337153.500000000000000,1547995.360000000102445,1373708.800000000046566,10363958.960000000894070
FS( 9 ),1565057.799999999813735,1628016.080000000074506,1460766.879999999888241,1600636.359999999869615,1464528.550000000046566,1538948.060000000288710,1395348.890000000130385,10653305.619999999180436
FS( 10 ),1558233.459999999729916,1616882.009999999776483,1509656.919999999925494,1600636.359999999869615,1649801.349999999860302,1506377.780000000027940,1431009.320000000065193,10872600.199999999254942
FS( 11 ),1550271.729999999981374,1637697.879999999888241,1512339.909999999683350,1582962.979999999748543,1597388.649999999906868,1470188.580000000074506,1457526.050000000046566,10808378.779999999329448
FS( 12 ),1619652.520000000018626,1667227.369999999878928,1512041.799999999813735,1625979.319999999832362,1621766.649999999906868,1528996.030000000027940,1462402.689999999944121,11038069.379999998956919
FS( 13 ),1649224.659999999916181,1633825.159999999916181,1510253.139999999897555,1640651.560000000055879,1643097.399999999906868,1534424.410000000149012,1463621.850000000093132,11075101.179999999701977
FS( 14 ),1651499.439999999944121,1606716.119999999878928,1492366.540000000037253,1582962.979999999748543,1587028.000000000000000,1550709.550000000046566,1411502.760000000009313,10882788.389999998733401
FS( 15 ),1650362.049999999813735,1575734.359999999869615,1540362.250000000000000,1531610.139999999897555,1628470.599999999860302,1543471.709999999962747,1389557.880000000121072,10859571.990000000223517
FS( 16 ),1749314.979999999981374,1718540.909999999916181,1586867.409999999683350,1644653.079999999841675,1705261.300000000046566,1658372.419999999925494,1455087.729999999981374,11518100.830000000074506
FS( 17 ),1729979.350000000093132,1747586.310000000055879,1571067.580000000074506,1610640.159999999683350,1691243.949999999953434,1622183.219999999972060,1434666.800000000046566,11407370.370000001043081
FS( 18 ),1729979.350000000093132,1794058.949999999953434,1575837.339999999850988,1634649.280000000027940,1676007.699999999953434,1617659.570000000065193,1464841.010000000009313,11493036.199999999254942
FS( 19 ),1785711.459999999729916,1871513.349999999860302,1577029.779999999795109,1701674.739999999990687,1680883.299999999813735,1703608.919999999925494,1486176.310000000055879,11806600.859999999403954
FS( 20 ),1735666.299999999813735,1816811.179999999934807,1574943.009999999776483,1678332.539999999804422,1655286.399999999906868,1640277.820000000065193,1480385.300000000046566,11581705.550000000745058
FS( 21 ),1698132.429999999934807,1719509.090000000083819,1580308.989999999757856,1622311.259999999776483,1618109.949999999953434,1581470.370000000111759,1441067.390000000130385,11260912.480000000447035
FS( 22 ),1708368.939999999944121,1722413.629999999888241,1568086.479999999981374,1657991.479999999748543,1630298.949999999953434,1661991.340000000083819,1435276.380000000121072,11384430.200000001117587
FS( 23 ),1766375.829999999841675,1715636.369999999878928,1581203.319999999832362,1689003.259999999776483,1644925.749999999767169,1747035.959999999962747,1469412.860000000102445,11613596.349999997764826
FS( 24 ),1831207.060000000055879,1800836.209999999962747,1579116.549999999813735,1738355.339999999850988,1645535.199999999953434,1745226.500000000000000,1506292.450000000186265,11846572.309999998658895
FS( 25 ),1884664.389999999897555,1824556.619999999878928,1554671.529999999795109,1737688.419999999925494,1612624.899999999906868,1696371.080000000074506,1512693.040000000037253,11823272.980000000447035
FS( 26 ),1924473.040000000037253,1847308.849999999860302,1556162.080000000074506,1736688.039999999804422,1625423.350000000093132,1697275.810000000288710,1513302.619999999878928,11900636.789999999105930
FS( 27 ),1868740.929999999934807,1773727.169999999925494,1531120.839999999850988,1694005.159999999683350,1601045.349999999860302,1697275.810000000288710,1483737.989999999990687,11649656.250000000000000
FS( 28 ),1890351.340000000083819,1784861.239999999757856,1533803.830000000074506,1713345.839999999850988,1630908.400000000139698,1736179.200000000186265,1477337.399999999906868,11766790.250000001862645
FS( 29 ),1942671.279999999795109,1895233.759999999776483,1532611.389999999897555,1771701.339999999850988,1602873.699999999953434,1779606.240000000223517,1499282.280000000027940,12023982.989999998360872
FS( 30 ),1952907.790000000037253,1798415.759999999776483,1524860.529999999795109,1779037.459999999962747,1587637.449999999953434,1772368.400000000139698,1464231.429999999934807,11879461.820000000298023
FS( 31 ),1922198.259999999776483,1793090.769999999785796,1531418.949999999720603,1765365.599999999860302,1565087.800000000046566,1750654.880000000121072,1440153.020000000018626,11767972.279999999329448
FS( 32 ),1911961.749999999767169,1818747.540000000037253,1543343.350000000093132,1791708.939999999711290,1599826.449999999953434,1703608.919999999925494,1485871.520000000018626,11855071.469999998807907
FS( 33 ),1973380.810000000055879,1858442.919999999925494,1556162.080000000074506,1826055.319999999832362,1575448.449999999953434,1787748.810000000288710,1537076.239999999990687,12114317.630000000819564
FS( 34 ),2005227.729999999748543,1855054.290000000037253,1581501.429999999701977,1794376.619999999878928,1568135.050000000046566,1737083.929999999934807,1574565.409999999916181,12115947.459999999031425
FS( 35 ),1957457.350000000093132,1765981.729999999748543,1564211.049999999813735,1733019.979999999748543,1537053.099999999860302,1683704.860000000102445,1546219.939999999944121,11787651.009999997913837
FS( 36 ),1977930.369999999878928,1774211.259999999776483,1563912.939999999944121,1777036.699999999953434,1434665.500000000000000,1716275.139999999897555,1565726.500000000000000,11809761.410000000149012
FS( 37 ),1974518.199999999953434,1805677.109999999869615,1525754.859999999869615,1769367.119999999878928,1399926.849999999860302,1699085.270000000251457,1511778.670000000158325,11686111.080000000074506
FS( 38 ),2037074.649999999906868,1836174.779999999795109,1532313.279999999795109,1807715.019999999785796,1415772.550000000046566,1711751.490000000223517,1503244.550000000046566,11844049.320000000298023
FS( 39 ),2013189.459999999729916,1874417.889999999897555,1518004.000000000000000,1900750.359999999869615,1429180.449999999953434,1891792.760000000009313,1509035.560000000055879,12136373.479999998584390
FS( 40 ),2026838.139999999897555,1910724.639999999897555,1516215.339999999850988,1912421.459999999962747,1428571.000000000000000,1845651.530000000027940,1523055.899999999906868,12163481.009999997913837
FS( 41 ),2013189.459999999729916,1880711.060000000055879,1509955.029999999795109,1885744.659999999683350,1412115.850000000093132,1803129.219999999972060,1514521.780000000027940,12019370.059999998658895
FS( 42 ),2033662.479999999748543,1963006.359999999869615,1521283.209999999962747,1918090.280000000027940,1456605.699999999953434,1832080.580000000074506,1536771.450000000186265,12261503.059999998658895
FS( 43 ),2045036.379999999888241,1938801.859999999869615,1560931.839999999850988,1920757.959999999962747,1477326.999999999767169,1832985.310000000288710,1506902.030000000027940,12282745.379999998956919
FS( 44 ),2067784.179999999934807,1994956.300000000046566,1567788.369999999878928,1930094.839999999850988,1480983.699999999953434,1831175.849999999860302,1508730.770000000018626,12381517.009999997913837
FS( 45 ),2146264.089999999850988,2041913.029999999795109,1602667.239999999757856,1950102.439999999711290,1500486.100000000093132,1826652.200000000186265,1554144.479999999981374,12622232.579999998211861
FS( 46 ),2156500.599999999627471,2088869.759999999776483,1620553.839999999850988,1948435.139999999897555,1498657.750000000000000,1790463.000000000000000,1517569.679999999934807,12621052.769999999552965
FS( 47 ),2153088.429999999701977,2139699.209999999962747,1616082.189999999944121,1972110.799999999813735,1499876.649999999906868,1790463.000000000000000,1549572.630000000121072,12720895.910000000149012
FS( 48 ),2097356.320000000298023,2107265.179999999701977,1636353.669999999925494,1959772.780000000027940,1536443.649999999906868,1747940.690000000176951,1564812.130000000121072,12649947.419999999925494
FS( 49 ),2099631.099999999627471,2218605.879999999888241,1639036.659999999683350,2003789.500000000000000,1512675.099999999860302,1756987.990000000223517,1571822.300000000046566,12802551.529999999329448
FS( 50 ),2105318.049999999813735,2164871.889999999664724,1613101.089999999850988,1971110.419999999925494,1487078.199999999953434,1747940.690000000176951,1535247.500000000000000,12624670.839999997988343
FS( 51 ),2021151.189999999944121,2134858.309999999590218,1639632.879999999888241,1985115.739999999990687,1522426.300000000046566,1799510.300000000046566,1552620.530000000027940,12655318.250000000000000
FS( 52 ),1941533.889999999897555,2079187.959999999962747,1644104.529999999795109,1898749.599999999860302,1564478.350000000093132,1786844.080000000074506,1553230.110000000102445,12468131.519999997690320
FS( 53 ),1997265.999999999767169,2102908.370000000111759,1640229.100000000093132,1932095.599999999860302,1587637.449999999953434,1814890.709999999962747,1548353.469999999972060,12623383.700000001117587
FS( 54 ),1989304.269999999785796,2081608.409999999916181,1651855.389999999897555,1931428.679999999934807,1552289.349999999860302,1829366.389999999897555,1544391.200000000186265,12580246.690000001341105
FS( 55 ),2057547.669999999925494,2147928.740000000223517,1670934.429999999701977,1975111.939999999711290,1568744.499999999767169,1863746.130000000121072,1600777.350000000093132,12884793.759999999776483
FS( 56 ),2071196.350000000093132,2160030.990000000223517,1666164.669999999925494,1967442.359999999869615,1570572.849999999860302,1837508.959999999962747,1613883.320000000065193,12886802.500000000000000
FS( 57 ),2045036.379999999888241,2158094.629999999888241,1665568.449999999720603,1940765.560000000055879,1590075.250000000000000,1843842.070000000065193,1646495.850000000093132,12889881.189999999478459
FS( 58 ),2017739.019999999785796,2095647.019999999785796,1639334.770000000018626,1885744.659999999683350,1591903.600000000093132,1793177.190000000176951,1616016.850000000093132,12639566.109999997541308
FS( 59 ),1990441.659999999916181,2078703.869999999878928,1632776.350000000093132,1869738.579999999841675,1594950.850000000093132,1786844.080000000074506,1616321.640000000130385,12569780.030000001192093
FS( 60 ),2124653.679999999701977,2137762.849999999627471,1647383.739999999757856,1931095.219999999739230,1618719.399999999906868,1840223.150000000139698,1639180.890000000130385,12939021.929999999701977
FS( 61 ),2162187.549999999813735,2109201.540000000037253,1616380.299999999813735,1868738.199999999953434,1622985.549999999813735,1821223.820000000065193,1578222.890000000130385,12778942.850000001490116
FS( 62 ),2195171.860000000335276,2145508.290000000037253,1625621.709999999962747,1885744.659999999683350,1631517.849999999860302,1850175.179999999934807,1602910.880000000121072,12936653.429999999701977
FS( 63 ),2206545.759999999776483,2171165.059999999590218,1644402.639999999897555,1904084.959999999962747,1680883.299999999813735,1889983.300000000046566,1583099.530000000027940,13080167.549999998882413
FS( 64 ),2264552.650000000372529,2309130.709999999962747,1662885.459999999962747,1977112.699999999953434,1677836.050000000046566,1936124.530000000027940,1626379.709999999962747,13454024.809999998658895
FS( 65 ),2266827.429999999701977,2381744.209999999962747,1675704.189999999944121,1999454.519999999785796,1688196.699999999953434,1936124.530000000027940,1637047.360000000102445,13585101.939999997615814
FS( 66 ),2290712.620000000111759,2341564.740000000223517,1674213.639999999897555,1984115.359999999869615,1681492.750000000000000,1965980.620000000111759,1640095.260000000009313,13578177.990000000223517
FS( 67 ),2335070.830000000074506,2448064.540000000037253,1664674.119999999878928,1995786.459999999962747,1619938.299999999813735,1975027.919999999925494,1626074.920000000158325,13664640.089999999850988
FS( 68 ),2350994.290000000037253,2548755.259999999776483,1667357.109999999869615,2032133.599999999860302,1588856.349999999860302,2003074.550000000046566,1620893.489999999990687,13812067.650000000372529
FS( 69 ),2337345.610000000335276,2557468.879999999888241,1658413.810000000055879,2023797.099999999860302,1580324.050000000046566,1994931.980000000214204,1619674.330000000074506,13771958.760000001639128
FS( 70 ),2319147.370000000111759,2534232.559999999590218,1660500.580000000074506,2012126.000000000000000,1567525.599999999860302,1997646.169999999925494,1597424.659999999916181,13688605.939999999478459
FS( 71 ),2279338.719999999739230,2531812.109999999403954,1659308.139999999897555,2016127.519999999785796,1559602.750000000000000,2040168.480000000214204,1587366.589999999850988,13673727.309999998658895
FS( 72 ),2273651.769999999552965,2452421.349999999627471,1670934.429999999701977,2020129.039999999804422,1596169.750000000000000,2065500.919999999925494,1585233.060000000055879,13664043.319999998435378
FS( 73 ),2225881.389999999664724,2490180.370000000111759,1671232.540000000037253,2034134.359999999869615,1589465.799999999813735,2110737.419999999925494,1601691.719999999972060,13723326.600000001490116
FS( 74 ),2211095.320000000298023,2397235.089999999850988,1632180.129999999888241,1977779.619999999878928,1521207.399999999906868,2118879.990000000223517,1564507.339999999850988,13422887.890000000596046
FS( 75 ),2215644.879999999888241,2363832.879999999888241,1628304.699999999720603,1947768.219999999739230,1488906.550000000046566,2121594.180000000167638,1527018.170000000158325,13293072.579999998211861
FS( 76 ),2203133.589999999850988,2350278.359999999403954,1645595.080000000074506,1968776.199999999953434,1509627.849999999860302,2142402.970000000204891,1524275.060000000055879,13344092.110000001266599
FS( 77 ),2207683.150000000372529,2370126.049999999813735,1663183.569999999832362,1977779.619999999878928,1563259.449999999953434,2126117.830000000074506,1559630.700000000186265,13467783.370000001043081
FS( 78 ),2266827.429999999701977,2344953.370000000111759,1672126.869999999878928,1979780.379999999888241,1579105.149999999906868,2177687.439999999944121,1543476.830000000074506,13563960.469999998807907
FS( 79 ),2231568.339999999850988,2270403.509999999776483,1654240.270000000018626,1916422.979999999748543,1534615.300000000046566,2106213.770000000018626,1541038.510000000009313,13254505.679999997839332
