代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13085378.710000000894070
真實報酬,3085378.710000000894070

夏普值報酬,0.299837871000000
夏普值風險,0.096525300056491
夏普值,3.106313793632570

二次趨勢線,47.528935133447760 x^2 + 2410.950314198659726 x + 10000000.000000000000000
二次平均預期報酬,14435.770902960943204
風險,303094.551619367033709
二次平均趨勢值,0.047627945886305
一次趨勢線,11411.707111331628766 x + 10000000.000000000000000
一次預期報酬,11411.707111331628766
一次風險,454831.552629632526077
一次趨勢值,0.025089963625774
找到最佳解世代,2111
找到最佳解實驗#,2
找到最佳解次數,25

stock[index](rank)
投資組合檔數,3
AAPL[0](4),MRK[17](2),MSFT[18](1),
Stock#,AAPL[0](4),MRK[17](2),MSFT[18](1),
張數,19973,60233,40073,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,39.030000000260770,38.779999999795109,60.859999999869615,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3357700.060000000521541,3335139.989999999757856,3368196.509999999776483,10061037.560000000521541
FS( 3 ),3445381.530000000260770,3376700.759999999776483,3371803.080000000074506,10193886.370000001043081
FS( 4 ),3480334.280000000260770,3365858.819999999832362,3385027.169999999925494,10231221.269999999552965
FS( 5 ),3491519.160000000149012,3348391.250000000000000,3377012.569999999832362,10216923.980000000447035
FS( 6 ),3520080.550000000279397,3408021.919999999459833,3388633.739999999757856,10316737.209999999031425
FS( 7 ),3512890.270000000018626,3385735.709999999962747,3369799.430000000167638,10268426.410000000149012
FS( 8 ),3488722.939999999944121,3341765.619999999646097,3360983.370000000111759,10191472.929999999701977
FS( 9 ),3474741.840000000316650,3318877.080000000074506,3363387.750000000000000,10157007.669999999925494
FS( 10 ),3422212.850000000558794,3312251.449999999720603,3368196.509999999776483,10102661.810000000521541
FS( 11 ),3377073.870000000577420,3300807.179999999701977,3325318.399999999906868,10003200.450000001117587
FS( 12 ),3417419.330000000074506,3323093.390000000130385,3334134.459999999962747,10074648.179999999701977
FS( 13 ),3398444.980000000447035,3324900.379999999888241,3302076.060000000055879,10025422.419999999925494
FS( 14 ),3395049.569999999832362,3258644.080000000074506,3307285.549999999813735,9960980.199999999254942
FS( 15 ),3458164.250000000000000,3268883.689999999944121,3354972.419999999925494,10082021.359999999403954
FS( 16 ),3494515.110000000335276,3274906.989999999757856,3330527.889999999664724,10099950.989999998360872
FS( 17 ),3494714.840000000316650,3273702.330000000074506,3336538.839999999850988,10104957.009999999776483
FS( 18 ),3477138.600000000558794,3285748.929999999701977,3360983.370000000111759,10123871.900000000372529
FS( 19 ),3456766.140000000130385,3308637.469999999739230,3401457.099999999627471,10166861.709999999031425
FS( 20 ),3385063.069999999832362,3334537.659999999683350,3339744.680000000167638,10059346.410000000149012
FS( 21 ),3432399.080000000074506,3329116.689999999944121,3373005.270000000018626,10134522.039999999105930
FS( 22 ),3416420.680000000633299,3365256.489999999757856,3376611.839999999850988,10158290.009999999776483
FS( 23 ),3391454.430000000633299,3386338.039999999571592,3249179.699999999720603,10026973.169999999925494
FS( 24 ),3388258.750000000000000,3359233.189999999944121,3269616.930000000167638,10017109.869999999180436
FS( 25 ),3375675.760000000242144,3273702.330000000074506,3317303.799999999813735,9966682.890000000596046
FS( 26 ),3381867.390000000130385,3299000.189999999944121,3305682.629999999888241,9986551.210000000894070
FS( 27 ),3382866.040000000502914,3347186.589999999850988,3372604.539999999571592,10102658.169999999925494
FS( 28 ),3448776.939999999944121,3393566.000000000000000,3415482.649999999906868,10257826.589999999850988
FS( 29 ),3429403.129999999888241,3437536.089999999850988,3429508.199999999720603,10296448.419999999925494
FS( 30 ),3440787.740000000689179,3427898.809999999590218,3420291.409999999683350,10288978.960000000894070
FS( 31 ),3439789.090000000316650,3373689.109999999869615,3393843.229999999981374,10207322.429999999701977
FS( 32 ),3474741.840000000316650,3387542.699999999720603,3480400.909999999683350,10342686.449999999254942
