代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13671357.699999999254942
真實報酬,3671357.699999999254942

夏普值報酬,0.358435770000000
夏普值風險,0.085637460979165
夏普值,4.185502067689809

二次趨勢線,-7.465713393925220 x^2 + 15997.879580251252264 x + 10000000.000000000000000
二次平均預期報酬,14116.519804982095593
風險,164632.463207392749609
二次平均趨勢值,0.085745663582759
一次趨勢線,14589.664957211767614 x + 10000000.000000000000000
一次預期報酬,14589.664957211767614
一次風險,172906.745488133019535
一次趨勢值,0.084378807293051
找到最佳解世代,1970
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
HD[9](1),KO[14](11),TRV[22](4),V[25](2),WMT[28](7),
Stock#,HD[9](1),KO[14](11),TRV[22](4),V[25](2),WMT[28](7),
張數,50838,59844,36337,81833,34123,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,33.079999999841675,13.519999999785796,11.520000000018626,1.479999999981374,50.969999999972060,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),2030502.799999999813735,1986235.879999999655411,1970930.400000000139698,1988543.380000000121072,1982256.040000000037253,9958468.500000000000000
FS( 3 ),2045245.819999999599531,1984440.559999999590218,1986555.310000000055879,1965630.139999999897555,1990786.790000000037253,9972658.619999999180436
FS( 4 ),2049821.239999999757856,1995212.479999999981374,2011264.469999999972060,1950900.199999999953434,2005800.909999999916181,10012999.299999998882413
FS( 5 ),2070664.819999999599531,1998204.679999999934807,2031249.820000000065193,1986088.389999999897555,1996587.699999999953434,10082795.409999998286366
FS( 6 ),2028977.659999999683350,1997007.799999999580905,2017805.130000000121072,1959901.829999999841675,1978502.509999999776483,9982194.929999999701977
FS( 7 ),2045245.819999999599531,2021543.839999999850988,2035610.260000000242144,1988543.380000000121072,1990104.330000000074506,10081047.629999998956919
FS( 8 ),2036094.979999999748543,2001795.320000000065193,2028706.229999999981374,1982815.070000000065193,1982256.040000000037253,10031667.640000000596046
FS( 9 ),2008642.459999999729916,1989228.079999999841675,2032339.929999999934807,1962356.820000000065193,1965535.770000000018626,9958103.060000000521541
FS( 10 ),1989832.399999999906868,1982645.239999999990687,2033793.409999999916181,1971358.449999999953434,1967241.919999999925494,9944871.419999999925494
FS( 11 ),2004067.040000000037253,2001795.320000000065193,2064316.489999999990687,1960720.160000000149012,1977478.820000000065193,10008377.830000000074506
FS( 12 ),2054905.040000000037253,2017953.199999999720603,2081394.880000000121072,1993453.359999999869615,1988398.180000000167638,10136104.660000000149012
FS( 13 ),2043720.679999999934807,2016157.879999999655411,2060682.790000000037253,2017184.929999999934807,1971677.909999999916181,10109424.189999999478459
FS( 14 ),2132687.179999999701977,2046678.320000000065193,2113008.069999999832362,2073649.699999999953434,2019791.339999999850988,10385814.609999999403954
FS( 15 ),2135229.080000000074506,2081387.839999999850988,2147164.850000000093132,2060556.419999999925494,2026615.939999999944121,10450954.129999998956919
FS( 16 ),2131162.040000000037253,2070615.919999999925494,2150798.549999999813735,2057283.100000000093132,2019791.339999999850988,10429650.949999999254942
FS( 17 ),2139804.500000000000000,2092758.199999999720603,2156612.470000000204891,2096562.940000000176951,2047089.739999999990687,10532827.849999999627471
FS( 18 ),2146413.439999999478459,2090962.879999999655411,2163153.129999999888241,2085106.320000000065193,2041630.059999999823049,10527265.830000000074506
FS( 19 ),2111335.219999999739230,2080190.959999999729916,2138807.339999999850988,2060556.419999999925494,2038217.759999999776483,10429107.699999999254942
FS( 20 ),2135737.459999999962747,2099341.040000000037253,2168603.680000000167638,2110474.549999999813735,2047089.739999999990687,10561246.470000000670552
FS( 21 ),2137262.599999999627471,2093955.079999999841675,2150071.810000000055879,2076923.019999999785796,2039241.449999999953434,10497453.959999999031425
FS( 22 ),2142346.399999999441206,2098742.599999999627471,2143531.149999999906868,2107201.229999999981374,2058691.559999999823049,10550512.939999999478459
