代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14703812.509999999776483
真實報酬,4703812.509999999776483

夏普值報酬,0.461681251000000
夏普值風險,0.118555543640047
夏普值,3.894219003387450

二次趨勢線,30.804209814060268 x^2 + 10944.674243865030803 x + 10000000.000000000000000
二次平均預期報酬,18738.139326822285511
風險,211398.697476344008464
二次平均趨勢值,0.088638858945283
一次趨勢線,16778.198602989497886 x + 10000000.000000000000000
一次預期報酬,16778.198602989497886
一次風險,304955.364352298900485
一次趨勢值,0.055018538987255
找到最佳解世代,2032
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
BA[2](1),DD[7](9),MMM[16](2),NKE[19](3),UNH[23](11),
Stock#,BA[2](1),DD[7](9),MMM[16](2),NKE[19](3),UNH[23](11),
張數,28252,46641,22408,83892,35118,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,40.919999999925494,33.919999999925494,86.000000000000000,14.719999999972060,29.899999999906868,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),1979093.519999999785796,1976213.089999999850988,1993725.760000000009313,1983221.600000000093132,1968393.799999999813735,9900647.769999999552965
FS( 3 ),1989264.239999999757856,1996735.130000000121072,2007842.799999999813735,1998322.159999999916181,1941352.939999999944121,9933517.269999999552965
FS( 4 ),2034749.959999999729916,2027051.780000000027940,2036076.879999999888241,2015939.479999999981374,1980333.919999999925494,10094152.019999999552965
FS( 5 ),1980788.639999999897555,2012126.659999999916181,2002913.039999999804422,1984899.439999999944121,1905532.579999999841675,9886260.359999999403954
FS( 6 ),2005367.880000000121072,1962687.199999999953434,1984314.399999999906868,1927013.959999999962747,1876735.819999999832362,9756119.259999999776483
FS( 7 ),2069499.919999999925494,1950094.130000000121072,1990140.479999999981374,1936242.079999999841675,1857772.099999999860302,9803748.709999999031425
FS( 8 ),2081930.799999999813735,1912314.919999999925494,1998431.440000000176951,1935403.159999999916181,1833189.500000000000000,9761269.820000000298023
FS( 9 ),2072607.639999999897555,1915113.380000000121072,1996190.639999999897555,1918624.760000000009313,1832838.319999999832362,9735374.740000000223517
FS( 10 ),2014126.000000000000000,1878266.989999999990687,1956528.479999999981374,1900168.519999999785796,1799827.399999999906868,9548917.390000000596046
FS( 11 ),2007063.000000000000000,1852614.439999999944121,1972438.159999999916181,1905202.040000000037253,1799827.399999999906868,9537145.039999999105930
FS( 12 ),1999434.959999999729916,1842353.419999999925494,1983194.000000000000000,1942114.519999999785796,1822654.099999999860302,9589751.000000000000000
