代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12844765.609999997541308
真實報酬,2844765.609999997541308

夏普值報酬,0.275776561000000
夏普值風險,0.074137384144527
夏普值,3.719804309016167

二次趨勢線,6.320128725087857 x^2 + 9551.836429927470817 x + 10000000.000000000000000
二次平均預期報酬,11157.149126099786372
風險,196466.550417776510585
二次平均趨勢值,0.056789051888857
一次趨勢線,10753.446229133354791 x + 10000000.000000000000000
一次預期報酬,10753.446229133354791
一次風險,201655.752345201733988
一次趨勢值,0.053325759885715
找到最佳解世代,2002
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
JPM[13](1),MRK[17](6),PG[21](20),UNH[23](4),
Stock#,JPM[13](1),MRK[17](6),PG[21](20),UNH[23](4),
張數,42473,49261,30818,21572,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,39.220000000204891,4.250000000000000,43.839999999850988,20.919999999925494,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2422274.410000000149012,2483251.259999999776483,2472263.799999999813735,2456640.279999999795109,9834429.750000000000000
FS( 3 ),2438414.149999999906868,2465517.299999999813735,2499383.639999999664724,2432263.919999999925494,9835579.009999997913837
FS( 4 ),2480462.419999999925494,2393596.240000000223517,2487056.439999999944121,2463543.319999999832362,9824658.419999999925494
FS( 5 ),2452854.970000000204891,2432512.430000000167638,2502465.439999999944121,2410044.759999999776483,9797877.599999999627471
FS( 6 ),2401462.640000000130385,2405418.879999999888241,2546227.000000000000000,2373372.359999999869615,9726480.879999998956919
FS( 7 ),2387021.820000000298023,2421675.009999999776483,2546843.359999999869615,2397964.439999999944121,9753504.629999998956919
FS( 8 ),2358140.180000000167638,2439901.580000000074506,2515409.000000000000000,2432048.199999999720603,9745498.959999999031425
FS( 9 ),2254081.330000000074506,2406404.100000000093132,2462402.040000000037253,2386315.560000000055879,9509203.029999999329448
FS( 10 ),2441811.990000000223517,2415271.080000000074506,2495993.659999999683350,2412201.959999999962747,9765278.690000001341105
FS( 11 ),2478338.770000000484288,2452216.830000000074506,2510786.299999999813735,2484036.720000000204891,9925378.620000001043081
FS( 12 ),2496177.430000000167638,2492610.850000000093132,2540987.939999999944121,2551988.520000000018626,10081764.740000000223517
FS( 13 ),2455403.350000000093132,2478817.770000000018626,2526503.479999999981374,2533652.319999999832362,9994376.919999999925494
FS( 14 ),2455828.080000000074506,2468965.569999999832362,2520648.060000000055879,2538613.879999999888241,9984055.589999999850988
FS( 15 ),2487682.830000000074506,2500985.220000000204891,2531126.179999999701977,2616057.359999999869615,10135851.589999999850988
FS( 16 ),2383623.979999999981374,2489655.189999999944121,2521264.419999999925494,2613468.720000000204891,10008012.310000000521541
FS( 17 ),2384473.440000000409782,2490640.410000000149012,2513559.919999999925494,2592975.319999999832362,9981649.089999999850988
FS( 18 ),2421424.950000000186265,2512315.250000000000000,2537597.959999999962747,2614547.319999999832362,10085885.480000000447035
FS( 19 ),2443935.640000000130385,2494581.290000000037253,2499383.639999999664724,2617351.679999999701977,10055252.250000000000000
FS( 20 ),2391269.120000000111759,2473399.060000000055879,2474421.060000000055879,2569246.119999999646097,9908335.359999999403954
FS( 21 ),2514440.820000000298023,2549261.000000000000000,2503389.979999999981374,2624686.160000000149012,10191777.960000000894070
FS( 22 ),2538225.700000000186265,2574876.720000000204891,2544069.739999999757856,2616057.359999999869615,10273229.519999999552965
FS( 23 ),2546720.300000000279397,2566502.350000000093132,2553006.959999999962747,2627921.959999999962747,10294151.570000000298023
FS( 24 ),2550542.870000000111759,2565517.129999999888241,2573038.659999999683350,2627490.520000000018626,10316589.179999999701977
FS( 25 ),2545870.840000000316650,2593103.290000000037253,2561019.639999999664724,2626627.640000000130385,10326621.410000000149012
FS( 26 ),2496602.160000000149012,2583743.700000000186265,2559786.919999999925494,2624470.439999999944121,10264603.220000000670552
FS( 27 ),2511042.979999999981374,2579310.209999999962747,2556705.119999999646097,2612390.119999999646097,10259448.429999997839332
FS( 28 ),2489381.750000000000000,2612807.689999999944121,2535748.879999999888241,2633746.399999999906868,10271684.719999998807907
FS( 29 ),2520387.040000000502914,2620689.450000000186265,2519415.339999999850988,2698678.119999999646097,10359169.949999999254942
FS( 30 ),2511042.979999999981374,2614778.129999999888241,2501540.899999999906868,2701266.759999999776483,10328628.769999999552965
FS( 31 ),2514440.820000000298023,2582265.870000000111759,2505855.419999999925494,2693285.119999999646097,10295847.230000000447035
FS( 32 ),2502548.380000000353903,2558620.589999999850988,2506779.959999999962747,2694363.720000000204891,10262312.650000000372529
FS( 33 ),2495327.970000000204891,2538423.580000000074506,2550233.339999999850988,2686382.080000000074506,10270366.970000000670552
FS( 34 ),2568806.260000000242144,2573891.500000000000000,2562560.540000000037253,2733624.759999999776483,10438883.059999998658895
FS( 35 ),2567956.800000000279397,2600985.049999999813735,2567799.599999999627471,2734056.199999999720603,10470797.649999998509884
FS( 36 ),2558612.740000000223517,2612315.080000000074506,2549925.159999999683350,2761668.360000000335276,10482521.339999999850988
FS( 37 ),2545870.840000000316650,2614778.129999999888241,2552390.599999999627471,2799850.799999999813735,10512890.370000001043081
FS( 38 ),2526333.260000000242144,2614285.520000000018626,2554547.859999999869615,2773964.399999999906868,10469131.040000000968575
FS( 39 ),2522935.419999999925494,2602462.879999999888241,2546227.000000000000000,2781083.159999999683350,10452708.459999999031425
FS( 40 ),2507220.410000000149012,2626600.770000000018626,2551774.239999999757856,2800713.680000000167638,10486309.099999999627471
FS( 41 ),2536102.050000000279397,2621674.669999999925494,2548076.080000000074506,2797477.879999999888241,10503330.679999999701977
FS( 42 ),2515290.280000000260770,2606403.759999999776483,2536673.419999999925494,2780651.720000000204891,10439019.179999999701977
FS( 43 ),2542897.729999999981374,2645319.950000000186265,2574271.379999999888241,2802655.159999999683350,10565144.219999998807907
FS( 44 ),2514440.820000000298023,2679802.649999999906868,2564409.619999999646097,2793379.200000000186265,10552032.289999999105930
FS( 45 ),2478763.500000000000000,2671920.890000000130385,2562868.719999999739230,2740527.800000000279397,10454080.910000000149012
FS( 46 ),2497876.350000000093132,2740393.680000000167638,2582900.419999999925494,2761884.080000000074506,10583054.530000001192093
FS( 47 ),2434591.580000000074506,2730048.870000000111759,2565334.159999999683350,2736860.560000000055879,10466835.169999999925494
FS( 48 ),2452430.240000000223517,2727093.209999999962747,2564101.439999999944121,2711189.879999999888241,10454814.769999999552965
