代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13416719.969999998807907
真實報酬,3416719.969999998807907

夏普值報酬,0.332971997000000
夏普值風險,0.096159379559413
夏普值,3.462709498809416

二次趨勢線,41.298786487058891 x^2 + 4248.901424650136505 x + 10000000.000000000000000
二次平均預期報酬,14614.896832901917151
風險,209360.250839536543936
二次平均趨勢值,0.069807409832077
一次趨勢線,12007.880023641007938 x + 10000000.000000000000000
一次預期報酬,12007.880023641007938
一次風險,357695.146133629372343
一次趨勢值,0.033570150876901
找到最佳解世代,2318
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
MCD[15](2),PG[21](1),V[25](4),
Stock#,MCD[15](2),PG[21](1),V[25](4),
張數,20611,40306,22552,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,122.080000000074506,26.799999999813735,147.399999999906868,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3364661.720000000204891,3357113.540000000037253,3217641.239999999757856,9939417.500000000000000
FS( 3 ),3374967.220000000204891,3331317.700000000186265,3258911.399999999906868,9965197.320000000298023
FS( 4 ),3378264.979999999981374,3301491.259999999776483,3229593.799999999813735,9909351.039999999105930
FS( 5 ),3402379.850000000093132,3320435.079999999608845,3249439.560000000055879,9972255.490000000223517
FS( 6 ),3393104.900000000372529,3305521.859999999869615,3281237.879999999888241,9979865.640000000596046
FS( 7 ),3395578.220000000204891,3349858.459999999962747,3305594.039999999571592,10051031.719999998807907
FS( 8 ),3347348.479999999981374,3363562.500000000000000,3329499.159999999683350,10040411.140000000596046
FS( 9 ),3315195.320000000298023,3370011.459999999962747,3334235.080000000074506,10019442.859999999403954
FS( 10 ),3259545.619999999646097,3395807.299999999813735,3296798.760000000242144,9952152.679999999701977
FS( 11 ),3251919.550000000279397,3385730.799999999813735,3329499.159999999683350,9967150.509999999776483
FS( 12 ),3280981.060000000055879,3385730.799999999813735,3324763.239999999757856,9991476.099999999627471
FS( 13 ),3314164.770000000018626,3440546.959999999962747,3365807.879999999888241,10120520.609999999403954
FS( 14 ),3407120.380000000353903,3459087.719999999739230,3384075.000000000000000,10250284.099999999627471
FS( 15 ),3366104.490000000223517,3396613.419999999459833,3362876.120000000111759,10125595.030000001192093
FS( 16 ),3429998.589999999850988,3350261.520000000018626,3373475.560000000055879,10153736.669999999925494
FS( 17 ),3416601.439999999944121,3355904.359999999869615,3366484.439999999944121,10138991.240000000223517
FS( 18 ),3432471.910000000149012,3339781.959999999962747,3383398.439999999944121,10155653.310000000521541
FS( 19 ),3448136.270000000018626,3354695.180000000167638,3384977.080000000074506,10187809.530000001192093
FS( 20 ),3435357.449999999720603,3372429.819999999832362,3400763.479999999515712,10208551.750000000000000
FS( 21 ),3404647.060000000055879,3400240.959999999962747,3375505.239999999757856,10180394.259999999776483
FS( 22 ),3393929.339999999850988,3346633.979999999981374,3368739.640000000130385,10109303.960000000894070
FS( 23 ),3417425.880000000353903,3301894.319999999832362,3309878.919999999925494,10029200.120000001043081
FS( 24 ),3433296.350000000093132,3311164.700000000186265,3278306.120000000111759,10022768.170000001788139
FS( 25 ),3458029.550000000279397,3321241.200000000186265,3200050.679999999701977,9979322.429999999701977
FS( 26 ),3500488.210000000428408,3313180.000000000000000,3209522.520000000018626,10023191.730000000447035
FS( 27 ),3470396.150000000372529,3282547.439999999944121,3056394.439999999944121,9809339.029999999329448
FS( 28 ),3359096.750000000000000,3178961.020000000018626,3016026.359999999869615,9554085.129999998956919
FS( 29 ),3376616.100000000093132,3186619.159999999683350,3158780.520000000018626,9722016.779999999329448
FS( 30 ),3373524.449999999720603,3229746.579999999608845,3094958.359999999869615,9698230.389999998733401
FS( 31 ),3381768.850000000093132,3265215.859999999869615,3196667.879999999888241,9843653.589999999850988
FS( 32 ),3437418.550000000279397,3299475.959999999962747,3212679.799999999813735,9949575.309999998658895
FS( 33 ),3438242.990000000223517,3234180.239999999757856,3141415.479999999515712,9813839.710000000894070
FS( 34 ),3452258.470000000204891,3518740.599999999627471,3159231.560000000055879,10130231.630000000819564
FS( 35 ),3434533.009999999776483,3490526.399999999441206,3171860.679999999701977,10096921.089999999850988
FS( 36 ),3651360.729999999981374,3513097.759999999776483,3137581.640000000130385,10302041.130000000819564
FS( 37 ),3655482.930000000167638,3605801.559999999590218,3027978.919999999925494,10289264.410000000149012
FS( 38 ),3613436.490000000223517,3587260.799999999813735,3169154.439999999944121,10369852.730000000447035
FS( 39 ),3572832.820000000298023,3541311.959999999962747,3106459.879999999888241,10220605.660000000149012
FS( 40 ),3570565.609999999869615,3556628.239999999757856,3029557.560000000055879,10156752.410000000149012
FS( 41 ),3678979.470000000204891,3594918.939999999944121,2994150.919999999925494,10268050.330000000074506
FS( 42 ),3646207.979999999981374,3574362.879999999888241,3108940.599999999627471,10329512.459999999031425
FS( 43 ),3604573.759999999776483,3611041.339999999850988,3176145.560000000055879,10391761.660000000149012
FS( 44 ),3643116.330000000074506,3619908.659999999683350,3152465.959999999962747,10415491.949999999254942
FS( 45 ),3718140.369999999646097,3675934.000000000000000,3152917.000000000000000,10546992.369999999180436
FS( 46 ),3765957.890000000130385,3688428.859999999869615,3175243.479999999515712,10629631.230000000447035
FS( 47 ),3797698.830000000074506,3679561.540000000037253,3265225.959999999962747,10742487.330000000074506
FS( 48 ),3823050.359999999869615,3682382.959999999962747,3275374.359999999869615,10780808.679999999701977
FS( 49 ),3832531.419999999925494,3724704.259999999776483,3246056.760000000242144,10803293.439999999478459
FS( 50 ),3800172.150000000372529,3736393.000000000000000,3151112.839999999850988,10687678.990000000223517
FS( 51 ),3792752.189999999944121,3767428.619999999646097,3151112.839999999850988,10711294.649999998509884
FS( 52 ),3789454.430000000167638,3768234.739999999757856,3145925.879999999888241,10703616.050000000745058
FS( 53 ),3783477.240000000223517,3781938.779999999795109,3198923.080000000074506,10764340.099999999627471
FS( 54 ),3866539.570000000298023,3781535.719999999739230,3161486.760000000242144,10809563.050000000745058
FS( 55 ),3848608.000000000000000,3760173.540000000037253,3039254.919999999925494,10648037.460000000894070
FS( 56 ),3786568.890000000130385,3712209.399999999441206,3007907.640000000130385,10506686.929999999701977
FS( 57 ),3766164.000000000000000,3684398.259999999776483,3031587.239999999757856,10482150.500000000000000
FS( 58 ),3749881.310000000055879,3689638.040000000037253,2996631.640000000130385,10436151.990000000223517
FS( 59 ),3790278.869999999646097,3705760.439999999944121,3065866.279999999795109,10561906.589999999850988
FS( 60 ),3805531.009999999776483,3737199.119999999646097,3065189.719999999739230,10607920.849999997764826
