代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13354146.379999998956919
真實報酬,3354146.379999998956919

夏普值報酬,0.326714638000000
夏普值風險,0.086063966669749
夏普值,3.796183822826727

二次趨勢線,41.930107605703768 x^2 + 2553.318780980531301 x + 10000000.000000000000000
二次平均預期報酬,13161.636005223583197
風險,197041.191259600571357
二次平均趨勢值,0.066796368419653
一次趨勢線,10493.801772592169073 x + 10000000.000000000000000
一次預期報酬,10493.801772592169073
一次風險,358234.061462138139177
一次趨勢值,0.029293143510032
找到最佳解世代,2088
找到最佳解實驗#,1
找到最佳解次數,41

stock[index](rank)
投資組合檔數,7
AAPL[0](11),GS[8](2),INTC[11](13),JPM[13](1),PG[21](19),UNH[23](5),V[25](17),
Stock#,AAPL[0](11),GS[8](2),INTC[11](13),JPM[13](1),PG[21](19),UNH[23](5),V[25](17),
張數,14210,9237,47038,24131,17586,11741,19139,
分配資金,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,
剩餘資金,39.699999999953434,68.949999999953434,26.939999999944121,15.800000000046566,60.219999999972060,43.530000000027940,36.040000000037253,
FS( 1 ),1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,10000000.000000000000000
FS( 2 ),1431697.199999999953434,1424414.349999999860302,1436567.459999999962747,1442084.360000000102445,1451784.520000000018626,1423874.600000000093132,1422063.739999999990687,10032489.230000000447035
FS( 3 ),1442354.699999999953434,1434852.160000000149012,1438448.979999999748543,1446910.560000000055879,1456884.459999999962747,1430332.149999999906868,1414599.530000000027940,10064385.539999999105930
FS( 4 ),1463811.800000000046566,1448800.030000000027940,1440800.879999999888241,1449082.350000000093132,1468315.359999999869615,1430097.330000000074506,1414408.140000000130385,10115318.890000000596046
FS( 5 ),1447612.399999999906868,1435036.899999999906868,1455382.659999999916181,1446427.939999999944121,1461456.819999999832362,1429627.690000000176951,1376895.699999999953434,10052443.109999999403954
FS( 6 ),1435676.000000000000000,1400398.149999999906868,1437508.219999999972060,1418435.979999999981374,1460753.380000000121072,1428453.590000000083819,1351632.220000000204891,9932860.540000000968575
FS( 7 ),1436954.899999999906868,1384787.619999999878928,1452090.000000000000000,1426640.520000000018626,1458994.779999999795109,1421878.629999999888241,1352780.560000000055879,9934130.009999999776483
FS( 8 ),1437665.399999999906868,1395040.689999999944121,1469964.439999999944121,1414333.709999999962747,1447036.300000000046566,1433502.219999999972060,1343976.620000000111759,9941522.379999998956919
FS( 9 ),1453154.300000000046566,1422012.729999999981374,1493953.820000000065193,1431949.340000000083819,1437715.719999999972060,1468842.629999999888241,1370962.609999999869615,10078594.149999998509884
FS( 10 ),1456848.899999999906868,1417856.080000000074506,1478431.280000000027940,1426640.520000000018626,1427515.840000000083819,1470251.550000000046566,1368283.149999999906868,10045830.320000000298023
FS( 11 ),1486121.500000000000000,1404370.060000000055879,1488779.639999999897555,1428571.000000000000000,1429977.880000000121072,1465907.379999999888241,1376321.530000000027940,10080051.990000000223517
FS( 12 ),1505873.399999999906868,1390606.929999999934807,1490661.159999999916181,1421814.320000000065193,1430505.459999999962747,1466494.430000000167638,1385125.470000000204891,10091084.170000001788139
FS( 13 ),1503457.699999999953434,1412498.619999999878928,1504302.179999999934807,1417712.050000000046566,1455301.719999999972060,1462150.260000000009313,1399862.500000000000000,10155288.029999999329448
FS( 14 ),1505162.899999999906868,1455820.149999999906868,1537228.780000000027940,1459458.679999999934807,1462336.120000000111759,1487863.050000000046566,1412111.459999999962747,10319984.140000000596046
FS( 15 ),1505020.799999999813735,1443719.679999999934807,1521235.860000000102445,1458976.060000000055879,1465325.739999999757856,1488097.869999999878928,1411920.070000000065193,10294299.080000000074506
FS( 16 ),1516530.899999999906868,1424414.349999999860302,1520295.099999999860302,1453667.239999999990687,1455125.859999999869615,1503126.350000000093132,1396417.479999999981374,10269580.279999999329448
FS( 17 ),1508147.000000000000000,1423305.910000000149012,1505242.939999999944121,1446427.939999999944121,1456532.739999999757856,1523907.919999999925494,1414599.530000000027940,10278166.979999998584390
FS( 18 ),1501610.399999999906868,1413329.949999999953434,1499598.379999999888241,1435327.679999999934807,1457763.760000000009313,1509818.719999999972060,1419001.500000000000000,10236453.389999998733401
FS( 19 ),1494789.599999999860302,1421089.030000000027940,1500539.139999999897555,1433397.199999999953434,1453015.540000000037253,1513693.249999999767169,1417853.159999999916181,10234379.919999999925494
FS( 20 ),1530172.500000000000000,1432081.060000000055879,1523117.380000000121072,1424468.729999999981374,1456181.020000000018626,1524377.560000000288710,1442733.859999999869615,10333135.109999999403954
FS( 21 ),1556887.300000000046566,1445659.449999999953434,1538639.919999999925494,1440877.810000000055879,1454070.700000000186265,1522616.410000000149012,1469528.459999999962747,10428283.050000000745058
FS( 22 ),1548787.599999999860302,1450093.209999999962747,1521706.239999999990687,1429053.620000000111759,1447563.880000000121072,1513458.430000000167638,1463786.760000000009313,10374452.740000000223517
