代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12138519.780000001192093
真實報酬,2138519.780000001192093

夏普值報酬,0.205151978000000
夏普值風險,0.056863999972420
夏普值,3.607765512442008

二次趨勢線,-33.679973542296729 x^2 + 16141.068476708702292 x + 10000000.000000000000000
二次平均預期報酬,7586.355196965334471
風險,183757.474740956240566
二次平均趨勢值,0.041284607375345
一次趨勢線,9737.688418202551475 x + 10000000.000000000000000
一次預期報酬,9737.688418202551475
一次風險,304032.585905473330058
一次趨勢值,0.032028436653267
找到最佳解世代,2149
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
PG[21](3),UNH[23](2),WMT[28](1),
Stock#,PG[21](3),UNH[23](2),WMT[28](1),
張數,43894,28671,56506,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,22.640000000130385,42.540000000037253,44.060000000055879,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3326748.900000000372529,3372898.979999999981374,3297169.160000000149012,9996818.040000000968575
FS( 3 ),3324554.199999999720603,3297207.540000000037253,3336158.299999999813735,9957921.039999999105930
FS( 4 ),3416292.660000000149012,3375766.080000000074506,3371192.020000000018626,10163251.759999999776483
FS( 5 ),3439995.420000000391155,3323298.149999999906868,3418657.060000000055879,10181951.630000000819564
FS( 6 ),3412781.140000000130385,3322438.020000000018626,3368366.720000000204891,10103586.880000000819564
FS( 7 ),3410586.440000000409782,3298641.089999999850988,3341243.840000000316650,10050472.370000001043081
FS( 8 ),3414536.900000000372529,3331899.449999999720603,3365541.420000000391155,10111978.769999999552965
FS( 9 ),3414097.959999999962747,3325305.120000000111759,3354240.220000000204891,10093644.300000000745058
FS( 10 ),3436483.900000000372529,3321577.889999999664724,3412441.399999999906868,10170504.189999999478459
FS( 11 ),3497496.560000000521541,3372038.850000000093132,3370061.899999999906868,10239598.310000000521541
FS( 12 ),3554997.699999999720603,3407017.470000000204891,3407355.859999999869615,10369372.029999999329448
FS( 13 ),3524271.900000000372529,3418199.160000000149012,3332767.939999999944121,10275240.000000000000000
FS( 14 ),3429460.859999999869615,3320717.759999999776483,3325422.160000000149012,10075601.779999999329448
FS( 15 ),3465453.940000000409782,3366304.649999999906868,3364976.359999999869615,10196735.949999999254942
FS( 16 ),3493985.040000000037253,3367164.779999999795109,3420917.299999999813735,10282068.120000001043081
FS( 17 ),3508031.120000000111759,3403003.529999999795109,3451995.600000000093132,10363031.250000000000000
FS( 18 ),3502324.900000000372529,3392968.680000000167638,3437304.040000000037253,10332598.620000001043081
FS( 19 ),3508031.120000000111759,3392681.970000000204891,3432783.560000000055879,10333497.650000000372529
FS( 20 ),3527344.479999999981374,3435401.759999999776483,3481378.720000000204891,10444125.960000000894070
FS( 21 ),3514615.219999999739230,3409597.859999999869615,3485334.140000000130385,10409548.220000000670552
FS( 22 ),3485645.180000000167638,3372898.979999999981374,3463861.859999999869615,10322407.019999999552965
FS( 23 ),3439995.420000000391155,3339067.199999999720603,3472902.820000000298023,10251966.440000001341105
FS( 24 ),3450968.920000000391155,3345374.820000000298023,3555401.580000000074506,10351746.320000000298023
FS( 25 ),3417609.479999999981374,3311256.330000000074506,3591000.359999999869615,10319867.169999999925494
FS( 26 ),3387761.560000000521541,3213774.930000000167638,3674629.240000000223517,10276166.730000000447035
FS( 27 ),3334649.820000000298023,3158439.899999999906868,3590435.299999999813735,10083526.019999999552965
FS( 28 ),3365375.620000000111759,3141810.720000000204891,3628859.379999999888241,10136046.719999998807907
FS( 29 ),3358352.580000000540167,3218649.000000000000000,3594955.779999999795109,10171958.359999999403954
FS( 30 ),3329382.540000000037253,3131775.870000000111759,3498895.580000000074506,9960054.990000000223517
FS( 31 ),3342550.740000000223517,3175642.500000000000000,3563312.420000000391155,10081506.660000000149012
FS( 32 ),3291194.760000000242144,3132922.709999999962747,3499460.640000000130385,9923579.110000001266599
FS( 33 ),3368009.260000000242144,3227823.720000000204891,3535059.420000000391155,10130893.400000000372529
FS( 34 ),3328504.660000000149012,3291186.630000000353903,3437869.100000000093132,10057561.390000000596046
FS( 35 ),3367570.320000000298023,3254201.040000000037253,3496635.340000000316650,10118407.700000001117587
FS( 36 ),3395662.479999999981374,3277997.970000000204891,3542405.199999999720603,10216066.650000000372529
FS( 37 ),3373276.540000000037253,3250760.520000000018626,3585349.760000000242144,10209387.820000000298023
FS( 38 ),3459308.780000000260770,3267389.699999999720603,3616428.060000000055879,10343127.540000000968575
FS( 39 ),3458869.839999999850988,3220655.970000000204891,3613602.760000000242144,10293129.570000000298023
FS( 40 ),3503641.719999999739230,3193418.520000000018626,3628859.379999999888241,10325920.620000001043081
FS( 41 ),3585723.500000000000000,3301794.899999999906868,3749782.220000000204891,10637301.620000001043081
