代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14914106.800000000745058
真實報酬,4914106.800000000745058

夏普值報酬,0.482710680000000
夏普值風險,0.118962720132774
夏普值,4.057663438270801

二次趨勢線,-17.433206927716604 x^2 + 24893.742087401089520 x + 10000000.000000000000000
二次平均預期報酬,20465.707527761071105
風險,205721.994270461960696
二次平均趨勢值,0.099482350442583
一次趨勢線,21579.266514652765181 x + 10000000.000000000000000
一次預期報酬,21579.266514652765181
一次風險,240915.657144634926226
一次趨勢值,0.089571872456997
找到最佳解世代,1910
找到最佳解實驗#,1
找到最佳解次數,48

stock[index](rank)
投資組合檔數,5
CAT[3](2),KO[14](8),MCD[15](18),UNH[23](1),VZ[26](3),
Stock#,CAT[3](2),KO[14](8),MCD[15](18),UNH[23](1),VZ[26](3),
張數,33743,77972,30138,69013,78616,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,52.389999999897555,18.200000000186265,42.320000000065193,3.260000000009313,8.959999999962747,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),2053651.369999999878928,2043664.320000000298023,2042494.579999999841675,2064182.090000000083819,2027515.599999999860302,10231507.960000000894070
FS( 3 ),2062087.119999999878928,2056919.560000000055879,2044905.619999999878928,2102139.240000000223517,2031446.399999999906868,10297497.939999999478459
FS( 4 ),1949048.069999999832362,1999220.280000000260770,2010246.920000000158325,2093857.679999999934807,2000000.000000000000000,10052372.949999999254942
FS( 5 ),1883924.079999999841675,1980507.000000000000000,2011753.820000000065193,2102139.240000000223517,1990566.080000000074506,9968890.220000000670552
FS( 6 ),1910243.619999999878928,2010136.360000000335276,2060878.760000000009313,2131814.830000000074506,2034591.039999999804422,10147664.609999999403954
FS( 7 ),1916992.219999999972060,2002339.160000000149012,2057262.200000000186265,2106970.150000000372529,2041666.479999999981374,10125230.210000000894070
FS( 8 ),2022945.239999999990687,2045223.760000000242144,2090715.380000000121072,2118702.360000000335276,2083332.959999999962747,10360919.699999999254942
FS( 9 ),2032393.279999999795109,2014034.959999999962747,2095838.840000000316650,2116631.969999999739230,2099056.159999999683350,10357955.209999999031425
FS( 10 ),2058375.389999999897555,2008576.920000000391155,2088605.719999999972060,2111110.929999999701977,2104559.279999999795109,10371228.240000000223517
FS( 11 ),2141383.169999999925494,2034307.680000000167638,2121757.520000000484288,2152518.730000000447035,2139936.479999999981374,10589903.580000001937151
FS( 12 ),2172764.160000000149012,2042884.600000000093132,2118442.339999999850988,2166321.330000000074506,2144653.439999999944121,10645065.869999999180436
FS( 13 ),2191660.240000000223517,2041325.160000000149012,2111209.219999999739230,2173912.759999999776483,2138364.159999999683350,10656471.539999999105930
FS( 14 ),2222028.939999999478459,2039765.720000000204891,2106085.759999999776483,2162180.549999999813735,2140722.640000000130385,10670783.609999999403954
FS( 15 ),2229452.399999999441206,2046003.479999999981374,2107291.280000000260770,2149758.209999999962747,2136005.680000000167638,10668511.049999998882413
FS( 16 ),2163316.120000000111759,2045223.760000000242144,2068714.640000000130385,2114561.580000000074506,2136005.680000000167638,10527821.780000001192093
FS( 17 ),2170739.580000000074506,2036646.840000000316650,2068413.260000000009313,2084885.989999999990687,2155659.680000000167638,10516345.349999999627471
FS( 18 ),2138346.299999999813735,2019493.000000000000000,2041289.060000000288710,2053830.140000000130385,2128930.239999999757856,10381888.740000000223517
FS( 19 ),2183561.919999999925494,1959454.560000000055879,2031946.280000000027940,2062111.699999999953434,2098270.000000000000000,10335344.460000000894070
FS( 20 ),2173101.589999999850988,1991423.080000000074506,2029233.860000000102445,2014492.729999999981374,2110062.399999999906868,10318313.660000000149012
FS( 21 ),2053313.939999999944121,1962573.440000000409782,2003013.799999999813735,1975845.449999999953434,2103773.120000000111759,10098519.750000000000000
FS( 22 ),2026994.399999999906868,1953996.520000000018626,1985232.380000000121072,1959972.459999999962747,2059748.159999999916181,9985943.919999999925494
FS( 23 ),2023620.099999999860302,1950877.640000000130385,2010548.299999999813735,1922015.310000000055879,2067609.760000000009313,9974671.109999999403954
FS( 24 ),1996963.129999999888241,1951657.360000000335276,1993369.640000000130385,1953071.160000000149012,2107703.919999999925494,10002765.210000000894070
FS( 25 ),2018221.219999999972060,1966472.040000000037253,1992465.500000000000000,1993788.830000000074506,2091980.719999999972060,10062928.310000000521541
FS( 26 ),2098192.129999999888241,2007017.479999999981374,2028631.100000000093132,2015182.859999999869615,2084905.280000000027940,10233928.849999999627471
FS( 27 ),2131597.700000000186265,2043664.320000000298023,2080167.079999999841675,2048309.100000000093132,2105345.439999999944121,10409083.640000000596046
FS( 28 ),2183899.349999999627471,2042884.600000000093132,2086194.679999999934807,2068322.869999999878928,2095125.359999999869615,10476426.859999999403954
FS( 29 ),2169052.429999999701977,2045223.760000000242144,2107894.040000000037253,2073153.780000000027940,2082546.799999999813735,10477870.809999998658895
FS( 30 ),2253747.360000000335276,2055360.120000000111759,2135018.240000000223517,2080055.080000000074506,2113993.200000000186265,10638174.000000000000000
FS( 31 ),2250710.490000000223517,2059258.720000000204891,2136826.520000000484288,2092477.419999999925494,2110062.399999999906868,10649335.550000002607703
FS( 32 ),2244299.320000000298023,2060818.160000000149012,2149785.860000000335276,2131124.700000000186265,2106917.760000000242144,10692945.800000000745058
FS( 33 ),2157579.809999999590218,2042104.880000000353903,2107894.040000000037253,2093857.679999999934807,2098270.000000000000000,10499706.410000000149012
FS( 34 ),2186598.790000000037253,2038206.280000000260770,2106989.900000000372529,2126983.919999999925494,2100628.479999999981374,10559407.370000001043081
FS( 35 ),2241599.879999999888241,2075632.840000000316650,2135922.379999999888241,2127674.049999999813735,2096697.680000000167638,10677526.830000000074506
FS( 36 ),2256446.799999999813735,2108381.080000000074506,2113017.500000000000000,2118702.360000000335276,2084905.280000000027940,10681453.019999999552965
FS( 37 ),2294576.389999999664724,2115398.560000000055879,2151895.520000000484288,2139406.259999999776483,2122640.959999999962747,10823917.690000001341105
FS( 38 ),2338779.719999999739230,2134891.560000000055879,2106688.520000000484288,2133885.219999999739230,2202829.279999999795109,10917074.299999998882413
FS( 39 ),2361724.959999999962747,2141909.040000000037253,2135922.379999999888241,2171842.370000000111759,2223269.439999999944121,11034668.189999999478459
FS( 40 ),2334393.129999999888241,2146587.360000000335276,2121757.520000000484288,2124223.400000000372529,2247640.399999999906868,10974601.810000000521541
FS( 41 ),2352614.349999999627471,2139569.880000000353903,2102770.580000000074506,2093167.549999999813735,2272797.520000000018626,10960919.879999998956919
FS( 42 ),2341816.589999999850988,2144248.200000000186265,2091016.760000000009313,2100758.980000000447035,2270439.040000000037253,10948279.570000000298023
FS( 43 ),2353626.639999999664724,2148926.520000000018626,2101565.060000000521541,2101449.110000000335276,2284589.919999999925494,10990157.250000001862645
FS( 44 ),2397492.540000000037253,2199608.320000000298023,2117236.820000000298023,2169771.980000000447035,2323897.919999999925494,11208007.580000000074506
FS( 45 ),2374547.299999999813735,2198048.880000000353903,2123264.419999999925494,2237404.719999999739230,2322325.600000000093132,11255590.919999999925494
FS( 46 ),2399854.549999999813735,2205066.360000000335276,2130497.540000000037253,2271221.089999999850988,2311319.359999999869615,11317958.899999998509884
FS( 47 ),2428198.669999999925494,2198048.880000000353903,2123264.419999999925494,2306417.719999999739230,2323111.760000000242144,11379041.450000001117587
FS( 48 ),2414701.469999999739230,2212863.560000000055879,2162142.439999999478459,2308488.110000000335276,2323111.760000000242144,11421307.339999997988343
FS( 49 ),2431910.399999999441206,2226898.520000000018626,2197705.280000000260770,2311248.629999999888241,2347482.719999999739230,11515245.550000000745058
FS( 50 ),2409977.450000000186265,2221440.479999999981374,2195294.240000000223517,2300206.549999999813735,2360061.279999999795109,11486979.999999998137355
FS( 51 ),2318533.919999999925494,2184793.640000000130385,2157018.979999999515712,2207729.129999999888241,2323897.919999999925494,11191973.589999999850988
FS( 52 ),2277704.889999999664724,2171538.400000000372529,2171786.600000000558794,2217390.950000000186265,2383646.080000000074506,11222066.919999999925494
FS( 53 ),2294913.820000000298023,2173097.840000000316650,2166663.139999999664724,2210489.650000000372529,2360847.439999999944121,11206011.889999998733401
FS( 54 ),2311110.459999999962747,2178555.880000000353903,2163649.339999999850988,2201517.959999999962747,2355344.319999999832362,11210177.960000000894070
FS( 55 ),2353289.209999999962747,2187912.520000000018626,2206746.679999999701977,2232573.810000000521541,2371853.680000000167638,11352375.900000000372529
FS( 56 ),2353626.639999999664724,2176996.440000000409782,2207650.820000000298023,2245686.280000000260770,2370281.359999999869615,11354241.539999999105930
FS( 57 ),2338104.860000000335276,2155164.280000000260770,2199212.179999999701977,2193926.530000000260770,2328614.879999999888241,11215022.730000000447035
FS( 58 ),2323595.370000000111759,2155944.000000000000000,2202527.360000000335276,2181504.190000000409782,2308960.879999999888241,11172531.800000000745058
FS( 59 ),2255434.509999999776483,2167639.800000000279397,2210363.240000000223517,2173912.759999999776483,2312105.520000000018626,11119455.830000000074506
FS( 60 ),2194697.110000000335276,2169978.959999999962747,2191677.679999999701977,2142166.780000000260770,2316822.479999999981374,11015343.010000001639128
FS( 61 ),2183224.490000000223517,2159842.600000000093132,2205842.540000000037253,2205658.740000000223517,2331759.520000000018626,11086327.890000000596046
FS( 62 ),2157917.240000000223517,2150485.959999999962747,2204938.400000000372529,2198067.310000000521541,2319180.959999999962747,11030589.870000001043081
FS( 63 ),2223716.089999999850988,2189471.959999999962747,2229952.939999999478459,2233954.070000000298023,2345910.399999999906868,11223005.459999999031425
FS( 64 ),2175463.599999999627471,2166080.360000000335276,2192280.439999999478459,2202208.089999999850988,2314464.000000000000000,11050496.489999998360872
FS( 65 ),2198746.269999999552965,2178555.880000000353903,2201924.600000000558794,2189095.620000000111759,2321539.439999999944121,11089861.810000000521541
FS( 66 ),2299975.269999999552965,2234695.720000000204891,2246528.839999999850988,2249136.930000000633299,2378929.120000000111759,11409265.880000002682209
FS( 67 ),2312797.610000000335276,2237034.880000000353903,2260995.080000000074506,2267770.440000000409782,2367136.719999999739230,11445734.730000000447035
FS( 68 ),2364761.830000000074506,2244052.360000000335276,2263104.740000000223517,2340234.089999999850988,2374212.159999999683350,11586365.179999999701977
FS( 69 ),2351939.490000000223517,2247171.240000000223517,2284502.719999999739230,2331262.400000000372529,2375784.479999999981374,11590660.330000001937151
FS( 70 ),2387032.209999999962747,2254968.440000000409782,2292941.360000000335276,2336093.310000000521541,2394652.319999999832362,11665687.640000000596046
FS( 71 ),2383657.910000000149012,2272902.000000000000000,2241405.379999999888241,2347825.520000000484288,2424526.399999999906868,11670317.210000000894070
FS( 72 ),2404578.570000000298023,2281478.920000000391155,2260693.700000000186265,2380261.629999999888241,2422954.080000000074506,11749966.900000000372529
FS( 73 ),2437646.709999999962747,2262765.640000000130385,2247432.979999999515712,2396134.620000000111759,2429243.359999999869615,11773223.309999998658895
FS( 74 ),2423812.080000000074506,2245611.800000000279397,2228446.040000000037253,2388543.190000000409782,2430029.520000000018626,11716442.630000000819564
FS( 75 ),2433934.979999999515712,2238594.320000000298023,2251652.299999999813735,2365078.770000000484288,2452042.000000000000000,11741302.370000001043081
FS( 76 ),2429548.389999999664724,2242492.920000000391155,2254364.719999999739230,2363008.379999999888241,2470123.680000000167638,11759538.089999999850988
FS( 77 ),2469365.129999999888241,2244052.360000000335276,2239898.479999999515712,2355416.950000000186265,2490563.839999999850988,11799296.759999999776483
FS( 78 ),2522341.639999999664724,2260426.479999999981374,2263707.500000000000000,2410627.349999999627471,2522796.400000000372529,11979899.369999999180436
FS( 79 ),2577680.160000000149012,2265884.520000000018626,2275762.700000000186265,2433401.639999999664724,2540878.080000000074506,12093607.099999999627471
FS( 80 ),2570594.129999999888241,2270562.840000000316650,2264310.259999999776483,2462387.099999999627471,2546381.200000000186265,12114235.530000001192093
FS( 81 ),2573293.570000000298023,2256527.880000000353903,2249542.639999999664724,2445823.979999999515712,2529085.680000000167638,12054273.750000000000000
FS( 82 ),2690381.780000000260770,2285377.520000000018626,2263406.120000000111759,2465837.750000000000000,2566035.200000000186265,12271038.370000001043081
FS( 83 ),2683970.610000000335276,2284597.800000000279397,2253159.200000000186265,2439612.810000000521541,2583330.719999999739230,12244671.140000000596046
FS( 84 ),2688357.200000000186265,2304090.800000000279397,2249241.259999999776483,2418218.780000000260770,2572324.479999999981374,12232232.519999999552965
FS( 85 ),2699154.959999999962747,2290835.560000000055879,2243816.419999999925494,2429260.860000000335276,2567607.519999999552965,12230675.320000000298023
FS( 86 ),2654951.629999999888241,2281478.920000000391155,2245624.700000000186265,2423049.690000000409782,2562104.400000000372529,12167209.340000001713634
FS( 87 ),2639429.849999999627471,2304870.520000000018626,2257981.280000000260770,2445133.849999999627471,2585689.200000000186265,12233104.699999999254942
FS( 88 ),2607374.000000000000000,2295513.880000000353903,2258885.419999999925494,2383712.280000000260770,2596695.439999999944121,12142181.020000001415610
FS( 89 ),2679246.589999999850988,2325922.959999999962747,2285105.479999999515712,2420289.169999999925494,2639148.080000000074506,12349712.279999999329448
FS( 90 ),2661025.370000000111759,2329821.560000000055879,2272447.520000000484288,2349895.910000000149012,2613990.959999999962747,12227181.320000000298023
FS( 91 ),2656976.209999999962747,2317346.040000000037253,2286311.000000000000000,2369909.680000000633299,2588833.839999999850988,12219376.769999999552965
FS( 92 ),2711977.299999999813735,2316566.320000000298023,2293544.120000000111759,2370599.810000000521541,2580972.239999999757856,12273659.790000000968575
FS( 93 ),2698817.530000000260770,2322024.360000000335276,2278173.740000000223517,2391303.709999999962747,2596695.439999999944121,12287014.779999999329448
FS( 94 ),2677222.009999999776483,2323583.800000000279397,2277872.360000000335276,2416838.520000000484288,2558173.600000000093132,12253690.290000000968575
FS( 95 ),2709277.860000000335276,2336839.040000000037253,2282995.820000000298023,2437542.419999999925494,2532230.319999999832362,12298885.460000000894070
FS( 96 ),2696455.519999999552965,2336059.320000000298023,2321873.839999999850988,2469288.400000000372529,2550312.000000000000000,12373989.080000000074506
FS( 97 ),2691056.639999999664724,2336839.040000000037253,2335134.560000000521541,2483091.000000000000000,2549525.839999999850988,12395647.080000000074506
FS( 98 ),2707590.709999999962747,2339178.200000000186265,2330312.479999999515712,2501724.509999999776483,2562104.400000000372529,12440910.299999998882413
FS( 99 ),2650565.040000000037253,2352433.440000000409782,2320366.939999999478459,2436162.160000000149012,2528299.519999999552965,12287827.099999999627471
FS( 100 ),2710290.149999999441206,2384401.959999999962747,2333024.900000000372529,2534850.750000000000000,2566035.200000000186265,12528602.960000000894070
FS( 101 ),2662037.660000000149012,2396877.479999999981374,2364067.040000000037253,2518287.629999999888241,2556601.280000000260770,12497871.089999999850988
FS( 102 ),2643141.580000000074506,2402335.520000000018626,2367382.219999999739230,2571427.639999999664724,2522796.400000000372529,12507083.359999999403954
FS( 103 ),2667436.540000000037253,2378943.920000000391155,2371902.919999999925494,2592131.540000000037253,2543236.560000000055879,12553651.480000002309680
FS( 104 ),2653939.339999999850988,2387520.840000000316650,2373711.200000000186265,2592821.669999999925494,2555028.959999999962747,12563022.010000001639128
FS( 105 ),2639429.849999999627471,2385961.400000000372529,2335134.560000000521541,2479640.349999999627471,2555815.119999999646097,12395981.279999999329448
FS( 106 ),2623233.209999999962747,2386741.120000000111759,2335134.560000000521541,2501724.509999999776483,2547953.519999999552965,12394786.919999999925494
FS( 107 ),2652252.189999999478459,2390639.720000000204891,2343874.580000000074506,2487921.910000000149012,2553456.639999999664724,12428145.039999999105930
FS( 108 ),2674860.000000000000000,2406234.120000000111759,2347189.759999999776483,2492062.690000000409782,2547167.359999999869615,12467513.929999999701977
FS( 109 ),2691056.639999999664724,2411692.160000000149012,2362861.520000000484288,2553484.259999999776483,2578613.759999999776483,12597708.339999999850988
FS( 110 ),2695443.229999999515712,2415590.760000000242144,2365875.320000000298023,2530019.839999999850988,2593550.800000000279397,12600479.950000001117587
FS( 111 ),2806795.129999999888241,2435083.760000000242144,2386369.160000000149012,2539681.660000000149012,2635217.280000000260770,12803146.990000002086163
FS( 112 ),2818942.610000000335276,2439762.080000000074506,2389985.719999999739230,2543822.440000000409782,2628141.839999999850988,12820654.690000001341105
FS( 113 ),2804770.549999999813735,2435083.760000000242144,2390287.100000000558794,2561765.820000000298023,2607701.680000000167638,12799608.910000000149012
FS( 114 ),2763941.519999999552965,2442101.240000000223517,2383958.120000000111759,2552104.000000000000000,2595123.119999999646097,12737227.999999998137355
FS( 115 ),2782500.169999999925494,2438982.360000000335276,2396013.320000000298023,2564526.339999999850988,2582544.560000000055879,12764566.750000001862645
FS( 116 ),2781825.309999999590218,2448339.000000000000000,2402040.919999999925494,2585920.370000000111759,2565249.040000000037253,12783374.640000000596046
FS( 117 ),2734585.110000000335276,2453017.320000000298023,2376423.620000000111759,2530709.969999999739230,2559745.919999999925494,12654481.939999999478459
FS( 118 ),2760904.649999999441206,2454576.760000000242144,2383053.979999999515712,2447894.370000000111759,2576255.280000000260770,12622685.039999999105930
FS( 119 ),2711977.299999999813735,2420269.080000000074506,2333326.280000000260770,2416148.389999999664724,2530658.000000000000000,12412379.050000000745058
FS( 120 ),2738971.700000000186265,2437422.920000000391155,2361957.379999999888241,2438232.549999999813735,2542450.400000000372529,12519034.950000001117587
FS( 121 ),2804433.120000000111759,2488884.440000000409782,2381547.080000000074506,2458936.450000000186265,2566821.359999999869615,12700622.449999999254942
FS( 122 ),2833452.099999999627471,2507597.719999999739230,2400232.639999999664724,2484471.259999999776483,2562104.400000000372529,12787858.119999999180436
FS( 123 ),2834464.389999999664724,2506038.280000000260770,2396616.080000000074506,2516217.240000000223517,2555028.959999999962747,12808364.949999999254942
FS( 124 ),2788236.479999999515712,2480307.520000000018626,2381245.700000000186265,2487921.910000000149012,2546381.200000000186265,12684092.809999998658895
FS( 125 ),2857747.059999999590218,2519293.520000000484288,2395410.560000000521541,2496893.599999999627471,2543236.560000000055879,12812581.300000000745058
FS( 126 ),2838850.979999999515712,2499800.520000000484288,2367080.839999999850988,2476189.700000000186265,2532230.319999999832362,12714152.359999999403954
FS( 127 ),2823329.200000000186265,2471730.600000000093132,2358642.200000000186265,2525188.930000000633299,2507859.359999999869615,12686750.290000000968575
FS( 128 ),2854710.189999999478459,2463153.680000000167638,2359847.719999999739230,2520358.020000000484288,2516507.119999999646097,12714576.729999998584390
FS( 129 ),2950877.740000000223517,2522412.400000000372529,2389684.339999999850988,2599722.969999999739230,2543236.560000000055879,13005934.009999999776483
FS( 130 ),2990357.049999999813735,2530209.600000000558794,2392396.759999999776483,2625947.910000000149012,2573896.800000000279397,13112808.120000001043081
FS( 131 ),3016001.729999999515712,2514615.200000000186265,2403849.200000000186265,2610074.919999999925494,2586475.359999999869615,13131016.410000000149012
FS( 132 ),3009927.990000000223517,2495122.200000000186265,2398424.360000000335276,2573498.030000000260770,2585689.200000000186265,13062661.780000001192093
FS( 133 ),3048732.439999999478459,2500580.240000000223517,2421329.240000000223517,2537611.270000000484288,2590406.160000000149012,13098659.350000001490116
FS( 134 ),3024100.049999999813735,2510716.600000000558794,2373108.439999999478459,2542442.180000000633299,2592764.639999999664724,13043131.910000000149012
FS( 135 ),3025787.200000000186265,2527870.440000000409782,2339052.500000000000000,2529329.709999999962747,2638361.919999999925494,13060401.770000001415610
FS( 136 ),3034897.809999999590218,2520852.959999999962747,2337545.600000000558794,2530709.969999999739230,2676097.600000000093132,13100103.939999999478459
FS( 137 ),3091923.479999999515712,2527870.440000000409782,2323983.500000000000000,2546582.959999999962747,2681600.719999999739230,13171961.099999997764826
FS( 138 ),3107445.259999999776483,2491223.600000000093132,2323983.500000000000000,2518977.759999999776483,2725625.680000000167638,13167255.799999998882413
FS( 139 ),3142200.549999999813735,2523971.839999999850988,2320065.560000000521541,2446514.110000000335276,2722481.040000000037253,13155233.100000001490116
FS( 140 ),3144899.990000000223517,2547363.440000000409782,2311928.299999999813735,2457556.190000000409782,2732701.119999999646097,13194449.040000000968575
FS( 141 ),3124316.759999999776483,2561398.400000000372529,2314942.100000000558794,2418908.910000000149012,2723267.200000000186265,13142833.370000001043081
FS( 142 ),3148274.290000000037253,2546583.719999999739230,2318257.280000000260770,2427880.599999999627471,2731128.800000000279397,13172124.690000001341105
FS( 143 ),3193152.479999999515712,2552821.480000000447035,2316449.000000000000000,2438232.549999999813735,2746852.000000000000000,13247507.509999999776483
FS( 144 ),3191127.899999999441206,2557499.799999999813735,2320969.700000000186265,2473429.180000000633299,2765719.839999999850988,13308746.419999999925494
FS( 145 ),3187078.740000000223517,2556720.080000000074506,2319462.799999999813735,2468598.270000000484288,2786160.000000000000000,13318019.890000000596046
FS( 146 ),3174256.399999999441206,2536447.360000000335276,2303489.660000000149012,2452725.280000000260770,2790876.959999999962747,13257795.660000000149012
FS( 147 ),3161434.059999999590218,2548143.160000000149012,2303489.660000000149012,2465147.620000000111759,2800310.879999999888241,13278525.379999998956919
FS( 148 ),3164470.929999999701977,2552041.759999999776483,2320366.939999999478459,2478260.089999999850988,2797166.239999999757856,13312305.959999999031425
FS( 149 ),3167507.799999999813735,2553601.200000000186265,2313435.200000000186265,2480330.479999999515712,2795593.919999999925494,13310468.599999999627471
