代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13422080.029999999329448
真實報酬,3422080.029999999329448

夏普值報酬,0.333508003000000
夏普值風險,0.092230941639869
夏普值,3.616009953603597

二次趨勢線,-38.693141772619327 x^2 + 24258.379546862179268 x + 10000000.000000000000000
二次平均預期報酬,14469.014678389490655
風險,245219.914084007468773
二次平均趨勢值,0.059004240061159
一次趨勢線,16930.894556203445973 x + 10000000.000000000000000
一次預期報酬,16930.894556203445973
一次風險,369260.102772844897117
一次趨勢值,0.045850863467421
找到最佳解世代,1805
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
HD[9](4),NKE[19](3),UNH[23](1),
Stock#,HD[9](4),NKE[19](3),UNH[23](1),
張數,36569,84090,38584,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,68.649999999906868,5.399999999906868,61.239999999757856,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3254709.649999999906868,3313992.299999999813735,3348766.600000000093132,9917469.549999998882413
FS( 3 ),3288718.820000000298023,3360241.799999999813735,3359184.279999999795109,10008145.900000000372529
FS( 4 ),3350154.739999999757856,3449377.200000000186265,3385807.239999999757856,10185340.179999999701977
FS( 5 ),3321265.229999999515712,3464513.400000000372529,3391980.679999999701977,10177760.309999998658895
FS( 6 ),3252149.820000000298023,3440968.200000000186265,3417060.279999999795109,10110179.300000000745058
FS( 7 ),3263851.899999999906868,3467877.000000000000000,3366515.239999999757856,10098245.140000000596046
FS( 8 ),3262754.830000000074506,3440127.299999999813735,3359955.959999999497086,10062839.089999999850988
FS( 9 ),3248858.609999999869615,3440968.200000000186265,3325230.359999999869615,10015058.169999999925494
FS( 10 ),3268605.869999999646097,3431718.300000000279397,3319442.759999999776483,10019767.929999999701977
FS( 11 ),3301152.279999999795109,3414059.399999999906868,3363042.679999999701977,10078255.359999999403954
FS( 12 ),3335892.830000000074506,3427513.799999999813735,3356483.399999999441206,10119891.029999999329448
FS( 13 ),3367707.859999999869615,3446854.500000000000000,3381177.159999999683350,10195740.519999999552965
FS( 14 ),3376850.109999999869615,3440127.299999999813735,3387736.439999999478459,10204714.849999999627471
FS( 15 ),3360394.060000000055879,3393036.899999999906868,3386578.919999999459833,10140010.879999998956919
FS( 16 ),3345766.459999999497086,3368650.800000000279397,3341049.799999999813735,10055468.059999998658895
FS( 17 ),3401717.029999999795109,3398923.200000000186265,3403555.879999999422580,10204197.109999999403954
FS( 18 ),3360759.750000000000000,3353514.600000000093132,3325230.359999999869615,10039505.709999999031425
FS( 19 ),3395134.609999999869615,3763032.899999999906868,3341435.639999999664724,10499604.149999998509884
FS( 20 ),3396597.369999999646097,3747055.800000000279397,3337963.080000000074506,10481617.250000000000000
FS( 21 ),3354908.709999999497086,3750419.399999999906868,3327931.239999999757856,10433260.349999999627471
FS( 22 ),3328579.029999999795109,3687351.899999999906868,3275071.159999999683350,10291003.089999999850988
FS( 23 ),3373193.209999999497086,3754623.899999999906868,3275842.839999999850988,10403660.949999999254942
FS( 24 ),3420732.910000000149012,3796668.899999999906868,3319056.919999999459833,10536459.730000000447035
FS( 25 ),3410493.590000000316650,3751260.299999999813735,3283173.799999999813735,10444928.690000001341105
FS( 26 ),3381604.080000000074506,3703329.000000000000000,3248448.199999999720603,10333382.279999999329448
FS( 27 ),3440845.859999999869615,3735283.200000000186265,3342207.319999999832362,10518337.380000000819564
FS( 28 ),3403545.479999999515712,3668011.199999999720603,3277386.199999999720603,10348943.879999998956919
FS( 29 ),3384529.599999999627471,3666329.399999999906868,3294749.000000000000000,10345609.000000000000000
FS( 30 ),3313220.049999999813735,3590648.400000000372529,3239188.040000000037253,10143057.490000000223517
FS( 31 ),3294935.549999999813735,3578034.899999999441206,3195588.119999999646097,10068559.569999998435378
FS( 32 ),3212655.299999999813735,3581398.500000000000000,3170122.679999999701977,9964177.480000000447035
FS( 33 ),3250321.369999999646097,3659602.200000000186265,3294749.000000000000000,10204673.570000000298023
FS( 34 ),3300055.209999999497086,3665488.500000000000000,3402398.359999999869615,10367943.069999998435378
FS( 35 ),3358931.299999999813735,3737805.900000000372529,3416288.600000000093132,10513026.800000000745058
FS( 36 ),3444868.450000000186265,3810964.199999999720603,3509276.040000000037253,10765109.690000001341105
FS( 37 ),3413419.109999999869615,3778169.100000000093132,3463746.919999999459833,10655336.129999998956919
FS( 38 ),3466809.849999999627471,3800032.499999999534339,3498086.679999999701977,10764930.029999999329448
FS( 39 ),3473757.959999999497086,3821895.900000000372529,3535899.000000000000000,10831553.859999999403954
FS( 40 ),3491311.080000000074506,3853009.199999999720603,3554805.159999999683350,10899126.439999999478459
