代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12282990.679999999701977
真實報酬,2282990.679999999701977

夏普值報酬,0.219599068000000
夏普值風險,0.062566412090695
夏普值,3.509855538490416

二次趨勢線,29.969570575888909 x^2 + 1338.471178532354088 x + 10000000.000000000000000
二次平均預期報酬,8920.772534232246471
風險,242870.281644070899347
二次平均趨勢值,0.036730605629658
一次趨勢線,7013.936351709705377 x + 10000000.000000000000000
一次預期報酬,7013.936351709705377
一次風險,323592.298950981115922
一次趨勢值,0.021675226432914
找到最佳解世代,2216
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
MCD[15](1),UNH[23](10),
Stock#,MCD[15](1),UNH[23](10),
張數,51124,44169,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,72.799999999813735,69.200000000186265,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),4914622.919999999925494,5060069.839999999850988,9974692.759999999776483
FS( 3 ),4914622.919999999925494,5007508.730000000447035,9922131.650000000372529
FS( 4 ),4927915.160000000149012,5012809.009999999776483,9940724.169999999925494
FS( 5 ),4947853.519999999552965,5068903.640000000596046,10016757.160000000149012
FS( 6 ),5021983.320000000298023,5109539.120000000111759,10131522.440000001341105
FS( 7 ),4985174.040000000037253,5069345.330000000074506,10054519.370000001043081
FS( 8 ),5007668.599999999627471,5063603.360000000335276,10071271.960000000894070
FS( 9 ),4976994.199999999254942,5117489.540000000037253,10094483.739999998360872
FS( 10 ),4995398.839999999850988,5235420.770000000484288,10230819.609999999403954
FS( 11 ),5012269.759999999776483,5270755.969999999739230,10283025.730000000447035
FS( 12 ),5011247.279999999329448,5291515.400000000372529,10302762.679999999701977
FS( 13 ),5147237.120000000111759,5324642.150000000372529,10471879.269999999552965
FS( 14 ),5118096.439999999478459,5355118.759999999776483,10473215.199999999254942
FS( 15 ),5075663.519999999552965,5320666.939999999478459,10396330.459999999031425
FS( 16 ),5060837.559999999590218,5282239.910000000149012,10343077.469999998807907
FS( 17 ),5033741.839999999850988,5222611.759999999776483,10256353.599999999627471
FS( 18 ),5043966.639999999664724,5276056.250000000000000,10320022.890000000596046
FS( 19 ),4932516.320000000298023,5283564.980000000447035,10216081.300000000745058
FS( 20 ),4904398.120000000111759,5309624.689999999478459,10214022.809999998658895
FS( 21 ),4919224.080000000074506,5294165.540000000037253,10213389.620000001043081
FS( 22 ),4922802.759999999776483,5200968.950000000186265,10123771.710000000894070
FS( 23 ),4934561.279999999329448,5227470.349999999627471,10162031.629999998956919
FS( 24 ),4923825.240000000223517,5152383.050000000745058,10076208.290000000968575
