代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11407665.010000001639128
真實報酬,1407665.010000001639128

夏普值報酬,0.132066501000000
夏普值風險,0.043361689234914
夏普值,3.045695482123054

二次趨勢線,3.022784716171772 x^2 + 12301.338849244739322 x + 10000000.000000000000000
二次平均預期報酬,12682.209723482383197
風險,75102.309145708772121
二次平均趨勢值,0.168865776135820
一次趨勢線,12585.853944541837336 x + 10000000.000000000000000
一次預期報酬,12585.853944541837336
一次風險,75291.432799290210824
一次趨勢值,0.167161833380072
找到最佳解世代,2799
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
DIS[6](21),KO[14](7),MCD[15](1),MMM[16](3),V[25](2),
Stock#,DIS[6](21),KO[14](7),MCD[15](1),MMM[16](3),V[25](2),
張數,18853,47846,16719,11232,25157,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,73.760000000009313,37.200000000186265,73.219999999972060,142.399999999906868,18.500000000000000,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),2025640.080000000074506,1992823.100000000093132,1997659.340000000083819,2003032.639999999897555,2016352.050000000046566,10035507.210000000894070
FS( 3 ),2024508.899999999906868,1997607.700000000186265,2001337.520000000018626,1996181.120000000111759,2039999.630000000121072,10059634.870000001043081
FS( 4 ),2054673.700000000186265,1997129.240000000223517,2019059.660000000149012,2002021.759999999776483,2068175.469999999739230,10141059.830000000074506
FS( 5 ),2042984.840000000083819,1977033.920000000158325,2013542.390000000130385,1991239.040000000037253,2056603.250000000000000,10081403.440000001341105
FS( 6 ),2043361.899999999906868,1963637.040000000037253,2010532.969999999972060,1983488.959999999962747,2045534.170000000158325,10046555.040000000968575
FS( 7 ),2063346.080000000074506,1964115.500000000000000,2021065.939999999944121,1998202.879999999655411,2057861.099999999860302,10104591.500000000000000
FS( 8 ),2027336.850000000093132,1959330.900000000372529,2041463.119999999878928,1993148.479999999981374,2047043.590000000083819,10068322.939999999478459
FS( 9 ),2037328.939999999944121,1955981.680000000400469,2031431.719999999972060,1992586.879999999655411,2042012.189999999944121,10059341.410000000149012
FS( 10 ),2035632.169999999925494,1972249.320000000065193,2052330.469999999972060,1991126.719999999739230,2044276.320000000065193,10095615.000000000000000
FS( 11 ),2039214.239999999990687,1975598.540000000037253,2051661.709999999962747,2004942.080000000074506,2052578.130000000121072,10123994.700000001117587
FS( 12 ),2022623.600000000093132,1968421.640000000130385,2042800.640000000130385,2007076.159999999916181,2056100.110000000102445,10097022.150000000372529
FS( 13 ),2029787.739999999990687,1977033.920000000158325,2044138.160000000149012,2004942.080000000074506,2058867.380000000121072,10114769.280000001192093
FS( 14 ),2019607.120000000111759,1982296.980000000214204,2029425.439999999944121,2005166.719999999739230,2066666.050000000046566,10103162.310000000521541
FS( 15 ),2034312.460000000195578,2004784.600000000093132,2023908.169999999925494,1976637.439999999944121,2093835.610000000102445,10133478.279999999329448
FS( 16 ),2036951.880000000121072,2015310.719999999972060,2036280.229999999981374,1985173.759999999776483,2110690.800000000279397,10184407.390000000596046
FS( 17 ),2037328.939999999944121,2000478.460000000195578,2037784.939999999944121,1986184.639999999897555,2094087.179999999934807,10155864.160000000149012
FS( 18 ),2060706.659999999916181,1983253.900000000372529,2054169.560000000055879,1993597.759999999776483,2107420.390000000130385,10199148.270000001415610
FS( 19 ),2091625.580000000074506,1979904.680000000400469,2056844.599999999860302,1970459.839999999850988,2105659.399999999906868,10204494.099999999627471
FS( 20 ),2086158.210000000195578,1988995.420000000158325,2049321.049999999813735,1963720.639999999897555,2080753.969999999739230,10168949.289999999105930
FS( 21 ),2098412.660000000149012,1974163.160000000149012,2046813.199999999953434,1967651.839999999850988,2073961.579999999841675,10161002.439999999478459
FS( 22 ),2085404.090000000083819,1980861.600000000093132,2060188.399999999906868,1956532.159999999916181,2070439.599999999860302,10153425.849999999627471
FS( 23 ),2079559.659999999916181,1987560.040000000037253,2077241.779999999795109,1966191.679999999701977,2165533.060000000055879,10276086.220000000670552
FS( 24 ),2065796.969999999972060,1988516.960000000195578,2080752.770000000018626,1966865.599999999860302,2159243.810000000055879,10261176.109999999403954
FS( 25 ),2055050.760000000009313,2004784.600000000093132,2083093.429999999934807,1974278.719999999739230,2157985.959999999962747,10275193.469999998807907
FS( 26 ),2055050.760000000009313,2010526.120000000344589,2084430.949999999953434,1988992.639999999897555,2140627.629999999888241,10279628.099999999627471
FS( 27 ),2064288.729999999981374,1973684.700000000186265,2081254.340000000083819,2001460.159999999916181,2152954.560000000055879,10273642.490000000223517
FS( 28 ),2059952.540000000037253,1941627.880000000121072,2103657.799999999813735,2010670.399999999906868,2161004.800000000279397,10276913.419999999925494
FS( 29 ),2067305.210000000195578,1943541.719999999972060,2098976.480000000447035,2033359.040000000037253,2174589.580000000074506,10317772.030000001192093
FS( 30 ),2080125.250000000000000,1939235.580000000307336,2103490.610000000335276,2039873.599999999860302,2184903.949999999720603,10347628.990000000223517
FS( 31 ),2077297.300000000046566,1934929.440000000176951,2114692.339999999850988,2040996.799999999813735,2202262.280000000260770,10370178.160000000149012
FS( 32 ),2087289.389999999897555,1971292.400000000372529,2118370.520000000484288,2060203.519999999785796,2198991.870000000111759,10436147.699999999254942
FS( 33 ),2075034.939999999944121,1972727.780000000027940,2136761.419999999925494,2055036.799999999813735,2200249.719999999739230,10439810.660000000149012
FS( 34 ),2074092.290000000037253,1983732.360000000335276,2140773.979999999515712,2059754.239999999990687,2211821.939999999944121,10470174.810000000521541
FS( 35 ),2076166.120000000111759,1990430.800000000279397,2137597.370000000111759,2089743.679999999701977,2208803.100000000093132,10502741.070000000298023
FS( 36 ),2068813.450000000186265,1993301.560000000055879,2144619.350000000558794,2102660.479999999981374,2218362.760000000242144,10527757.600000001490116
FS( 37 ),2079936.719999999972060,1999043.080000000307336,2150972.570000000298023,2105131.520000000018626,2224652.010000000242144,10559735.900000000372529
FS( 38 ),2078239.950000000186265,1993780.020000000251457,2123219.030000000260770,2099515.520000000018626,2213834.500000000000000,10508589.020000001415610
FS( 39 ),2075600.530000000027940,2007655.360000000335276,2134253.570000000298023,2093225.599999999860302,2212325.080000000074506,10523060.140000000596046
FS( 40 ),2093510.880000000121072,2017224.560000000055879,2157660.169999999925494,2132649.919999999925494,2238739.929999999701977,10639785.460000000894070
FS( 41 ),2085027.030000000027940,2032056.820000000065193,2143950.589999999850988,2132986.879999999888241,2227167.709999999962747,10621189.030000001192093
FS( 42 ),2097281.479999999515712,2032535.280000000027940,2138433.320000000298023,2126472.319999999832362,2233708.530000000260770,10628430.929999999701977
FS( 43 ),2086535.270000000018626,2018181.480000000214204,2140606.790000000037253,2121867.200000000186265,2237482.080000000074506,10604672.820000000298023
FS( 44 ),2090117.340000000083819,2009090.740000000223517,2141275.549999999813735,2124001.279999999795109,2240500.919999999925494,10604985.830000000074506
FS( 45 ),2089740.280000000027940,2009090.740000000223517,2141609.929999999701977,2128718.719999999739230,2237985.219999999739230,10607144.890000000596046
FS( 46 ),2093322.350000000093132,2011004.580000000307336,2142445.879999999888241,2133099.200000000186265,2241758.770000000018626,10621630.780000001192093
FS( 47 ),2091248.520000000018626,2023444.540000000037253,2139770.839999999850988,2147813.120000000111759,2257356.109999999869615,10659633.129999998956919
FS( 48 ),2102560.320000000298023,2011004.580000000307336,2133584.809999999590218,2151295.040000000037253,2266915.770000000018626,10665360.519999999552965
FS( 49 ),2117454.190000000409782,2008133.820000000065193,2136761.419999999925494,2137928.959999999962747,2252827.850000000093132,10653106.240000000223517
FS( 50 ),2109158.870000000111759,2015310.719999999972060,2138098.939999999478459,2147700.799999999813735,2262135.939999999944121,10672405.269999997690320
FS( 51 ),2106142.389999999664724,2021530.700000000186265,2139770.839999999850988,2137704.319999999832362,2265154.780000000260770,10670303.030000001192093
FS( 52 ),2107085.040000000037253,2011004.580000000307336,2150805.379999999888241,2160729.919999999925494,2270186.179999999701977,10699811.099999999627471
FS( 53 ),2124995.389999999664724,2018181.480000000214204,2153146.040000000037253,2168030.719999999739230,2243519.760000000242144,10707873.389999998733401
FS( 54 ),2106896.509999999776483,2033492.200000000186265,2148799.100000000558794,2158146.560000000055879,2215343.919999999925494,10662678.290000000968575
FS( 55 ),2113118.000000000000000,2027750.680000000400469,2158496.120000000111759,2159157.439999999944121,2226916.140000000130385,10685438.380000000819564
FS( 56 ),2116134.479999999515712,2017703.020000000251457,2156824.219999999739230,2158258.879999999888241,2235469.520000000018626,10684390.119999999180436
FS( 57 ),2114249.179999999701977,2015310.719999999972060,2162508.679999999701977,2151182.719999999739230,2243771.330000000074506,10687022.629999998956919
FS( 58 ),2118773.900000000372529,2024879.920000000158325,2165016.530000000260770,2139052.160000000149012,2237733.649999999906868,10685456.160000002011657
FS( 59 ),2131405.410000000149012,2030142.980000000214204,2164347.769999999552965,2145342.080000000074506,2242010.340000000316650,10713248.580000000074506
FS( 60 ),2121601.849999999627471,2029664.520000000251457,2154149.179999999701977,2141860.160000000149012,2243519.760000000242144,10690795.470000000670552
FS( 61 ),2133856.299999999813735,2038276.800000000279397,2162174.299999999813735,2148599.359999999869615,2239243.070000000298023,10722149.830000000074506
FS( 62 ),2137815.429999999701977,2030621.440000000176951,2167022.810000000521541,2149160.959999999962747,2235721.090000000316650,10720341.730000000447035
FS( 63 ),2134233.360000000335276,2029186.060000000055879,2167022.810000000521541,2142309.439999999944121,2248048.020000000018626,10720799.689999999478459
FS( 64 ),2131216.879999999888241,2042104.480000000214204,2161672.729999999515712,2136356.479999999981374,2233456.959999999962747,10704807.530000001192093
FS( 65 ),2130462.759999999776483,2036841.420000000158325,2180398.009999999776483,2136918.080000000074506,2239746.209999999962747,10724366.480000000447035
FS( 66 ),2131405.410000000149012,2041626.020000000251457,2176051.070000000298023,2132986.879999999888241,2241255.629999999888241,10723325.010000001639128
FS( 67 ),2122544.500000000000000,2038755.260000000242144,2172874.459999999962747,2134110.080000000074506,2232450.679999999701977,10700734.980000000447035
FS( 68 ),2119716.549999999813735,2042582.940000000176951,2173208.839999999850988,2130965.120000000111759,2235469.520000000018626,10701942.969999998807907
FS( 69 ),2131782.469999999739230,2041147.560000000055879,2193606.019999999552965,2135008.639999999664724,2235217.949999999720603,10736762.639999996870756
FS( 70 ),2131216.879999999888241,2054544.440000000176951,2194609.160000000149012,2130852.799999999813735,2230941.260000000242144,10742164.540000000968575
FS( 71 ),2134233.360000000335276,2047367.540000000037253,2186249.660000000149012,2119059.200000000186265,2235721.090000000316650,10722630.850000001490116
FS( 72 ),2145168.099999999627471,2060764.420000000158325,2196113.870000000111759,2138265.919999999925494,2259368.669999999925494,10799680.979999998584390
FS( 73 ),2152897.830000000074506,2080381.280000000027940,2211996.919999999925494,2136693.439999999944121,2257356.109999999869615,10839325.580000000074506
FS( 74 ),2144225.450000000186265,2068419.780000000027940,2217681.379999999888241,2132312.959999999962747,2257859.250000000000000,10820498.820000000298023
FS( 75 ),2164209.629999999888241,2061721.340000000316650,2228214.350000000558794,2147251.520000000018626,2293079.050000000279397,10894475.890000002458692
FS( 76 ),2157611.080000000074506,2060764.420000000158325,2230555.009999999776483,2151070.399999999906868,2293079.050000000279397,10893079.960000000894070
FS( 77 ),2143659.860000000335276,2070812.080000000307336,2244264.589999999850988,2181733.759999999776483,2310688.949999999720603,10951159.239999998360872
FS( 78 ),2171562.299999999813735,2062678.260000000242144,2369155.519999999552965,2191842.560000000055879,2317229.770000000018626,11112468.410000000149012
FS( 79 ),2179103.500000000000000,2068898.240000000223517,2354777.179999999701977,2190382.399999999906868,2309934.239999999757856,11103095.560000000521541
FS( 80 ),2184005.280000000260770,2057893.660000000149012,2355278.750000000000000,2202849.919999999925494,2304399.699999999720603,11104427.309999998658895
FS( 81 ),2179480.559999999590218,2064592.100000000093132,2339562.889999999664724,2199704.959999999962747,2294840.040000000037253,11078180.550000000745058
FS( 82 ),2163078.450000000186265,2067941.320000000065193,2359960.070000000298023,2188248.319999999832362,2295846.320000000298023,11075074.480000000447035
FS( 83 ),2156291.370000000111759,2076075.140000000130385,2361297.589999999850988,2207567.359999999869615,2328047.280000000260770,11129278.739999998360872
FS( 84 ),2104445.620000000111759,2072725.920000000158325,2384537.000000000000000,2219922.560000000055879,2325531.580000000074506,11107162.679999999701977
FS( 85 ),2095961.770000000018626,2088993.560000000055879,2398413.769999999552965,2241038.719999999739230,2330059.840000000316650,11154467.660000000149012
FS( 86 ),2111421.229999999515712,2090428.940000000176951,2406940.459999999962747,2239803.200000000186265,2316726.629999999888241,11165320.460000000894070
FS( 87 ),2100675.020000000484288,2099998.140000000130385,2411621.780000000260770,2231379.200000000186265,2312449.939999999944121,11156124.080000000074506
FS( 88 ),2112929.469999999739230,2081816.660000000149012,2413628.060000000521541,2223629.120000000111759,2314462.500000000000000,11146465.810000000521541
FS( 89 ),2067493.739999999990687,2084687.420000000158325,2416303.100000000558794,2208802.879999999888241,2320751.750000000000000,11098038.890000000596046
FS( 90 ),2065985.500000000000000,2089472.020000000251457,2411120.209999999962747,2210038.399999999906868,2316978.199999999720603,11093594.330000000074506
FS( 91 ),2068059.330000000074506,2085644.340000000316650,2430347.060000000521541,2208016.639999999664724,2332827.109999999869615,11124894.480000000447035
FS( 92 ),2057501.649999999906868,2092342.780000000027940,2445728.540000000037253,2219922.560000000055879,2345405.609999999869615,11160901.139999998733401
FS( 93 ),2035820.700000000186265,2098084.300000000279397,2462614.729999999515712,2223067.520000000018626,2343393.050000000279397,11162980.300000000745058
FS( 94 ),2004336.189999999944121,2101911.979999999981374,2447902.009999999776483,2188585.279999999795109,2308424.820000000298023,11051160.279999999329448
FS( 95 ),2011311.800000000046566,2095692.000000000000000,2457933.410000000149012,2193078.080000000074506,2307166.969999999739230,11065182.259999997913837
FS( 96 ),2027148.319999999832362,2100476.600000000093132,2476993.070000000298023,2199368.000000000000000,2326537.859999999869615,11130523.849999999627471
FS( 97 ),2029222.149999999906868,2113873.479999999981374,2477661.830000000074506,2229806.719999999739230,2347418.169999999925494,11197982.349999999627471
FS( 98 ),2017721.819999999832362,2123921.140000000130385,2471475.799999999813735,2221045.759999999776483,2361254.520000000018626,11195419.039999999105930
FS( 99 ),2030730.389999999897555,2154542.580000000074506,2499563.719999999739230,2218350.080000000074506,2385153.669999999925494,11288340.439999999478459
FS( 100 ),2022435.069999999832362,2172724.060000000055879,2504245.040000000037253,2241375.679999999701977,2390939.780000000260770,11331719.629999998956919
FS( 101 ),2043927.489999999990687,2171767.140000000130385,2505582.560000000521541,2254067.839999999850988,2381631.689999999944121,11356976.720000000670552
FS( 102 ),2042607.780000000027940,2173680.979999999981374,2506752.889999999664724,2273948.479999999981374,2382889.540000000037253,11379879.669999998062849
FS( 103 ),2035066.580000000074506,2175594.820000000298023,2522803.129999999888241,2296749.439999999944121,2395719.609999999869615,11425933.580000000074506
FS( 104 ),2040156.889999999897555,2190905.540000000037253,2547881.629999999888241,2295401.599999999627471,2399996.300000000279397,11474341.960000000894070
FS( 105 ),2020738.300000000046566,2195690.140000000130385,2570452.280000000260770,2321796.799999999813735,2418864.050000000279397,11527541.570000000298023
FS( 106 ),2008295.319999999832362,2200474.740000000223517,2554569.229999999515712,2316405.439999999944121,2428926.850000000093132,11508671.580000000074506
FS( 107 ),1989065.260000000009313,2199996.280000000260770,2528487.589999999850988,2307307.520000000018626,2409807.530000000260770,11434664.179999999701977
