代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11884780.699999999254942
真實報酬,1884780.699999999254942

夏普值報酬,0.179778070000000
夏普值風險,0.056705702485551
夏普值,3.170370211810832

二次趨勢線,1.049822147625509 x^2 + 16611.439426612105308 x + 10000000.000000000000000
二次平均預期報酬,16742.667195065303531
風險,118962.301181205373723
二次平均趨勢值,0.140739268060750
一次趨勢線,16709.464988589195855 x + 10000000.000000000000000
一次預期報酬,16709.464988589195855
一次風險,118976.266257960931398
一次趨勢值,0.140443682711981
找到最佳解世代,1888
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,9
AXP[1](3),BA[2](2),CSCO[4](17),JNJ[12](1),MCD[15](16),MMM[16](4),MRK[17](14),PG[21](18),UNH[23](15),
Stock#,AXP[1](3),BA[2](2),CSCO[4](17),JNJ[12](1),MCD[15](16),MMM[16](4),MRK[17](14),PG[21](18),UNH[23](15),
張數,18912,14416,54626,15684,12329,11723,26877,16012,20372,
分配資金,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,
剩餘資金,31.000000000000000,69.880000000121072,18.159999999916181,56.439999999944121,21.520000000018626,5.060000000055879,15.819999999832362,38.320000000065193,22.120000000111759,
FS( 1 ),1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,10000000.000000000000000
FS( 2 ),1115839.000000000000000,1116877.400000000139698,1117119.859999999869615,1109542.599999999860302,1117398.790000000037253,1109821.469999999972060,1137719.229999999748543,1104065.720000000204891,1059162.400000000139698,9987547.470000000670552
FS( 3 ),1127375.320000000065193,1120048.920000000158325,1118758.639999999897555,1122246.639999999897555,1107782.169999999925494,1118027.570000000065193,1128043.509999999776483,1106307.400000000139698,1061199.600000000093132,10009790.769999999552965
FS( 4 ),1132103.320000000065193,1097559.959999999962747,1108379.699999999953434,1119894.040000000037253,1120850.909999999916181,1119434.330000000074506,1132075.059999999823049,1098781.760000000242144,1061199.600000000093132,9990279.679999999701977
FS( 5 ),1138533.400000000139698,1068727.959999999962747,1109472.219999999739230,1120050.879999999888241,1121220.780000000027940,1119551.560000000055879,1133687.679999999934807,1097020.440000000176951,1047142.920000000041910,9955408.839999999850988
FS( 6 ),1139668.119999999878928,1106642.040000000270084,1108925.959999999962747,1125069.760000000009313,1119618.010000000009313,1130219.489999999990687,1144707.250000000000000,1102944.879999999888241,1066903.760000000009313,10044700.269999999552965
FS( 7 ),1149691.479999999981374,1111399.320000000065193,1116573.600000000093132,1132284.399999999906868,1126892.120000000111759,1135846.530000000027940,1149813.879999999888241,1109189.560000000055879,1081979.040000000037253,10113670.929999999701977
FS( 8 ),1158201.880000000121072,1083576.440000000176951,1118758.639999999897555,1134793.839999999850988,1130960.690000000176951,1128695.500000000000000,1161908.529999999795109,1108388.959999999962747,1076071.160000000149012,10101356.640000000596046
FS( 9 ),1157634.520000000018626,1103614.680000000167638,1145525.379999999888241,1138087.479999999981374,1128494.890000000130385,1138073.900000000139698,1164865.000000000000000,1114953.879999999888241,1087072.040000000037253,10178322.769999999552965
FS( 10 ),1149124.119999999878928,1109236.920000000158325,1146071.639999999897555,1135107.520000000018626,1128248.310000000055879,1140535.730000000214204,1152232.809999999823049,1118956.879999999888241,1092368.760000000009313,10171883.689999999478459
FS( 11 ),1146476.439999999944121,1071755.320000000065193,1148802.939999999944121,1138401.159999999916181,1123193.419999999925494,1144169.860000000102445,1143363.399999999906868,1110310.400000000139698,1093183.640000000130385,10119657.580000000074506
FS( 12 ),1148745.880000000121072,1085018.040000000270084,1144432.859999999869615,1143420.040000000037253,1131330.560000000055879,1149796.900000000139698,1149007.569999999832362,1115594.360000000102445,1108258.920000000158325,10175606.130000000819564
FS( 13 ),1130590.360000000102445,1081846.520000000251457,1148256.679999999934807,1148595.760000000009313,1137495.060000000055879,1157534.080000000074506,1155189.279999999795109,1119917.600000000093132,1111518.440000000176951,10190944.779999999329448
FS( 14 ),1123403.800000000046566,1069160.440000000176951,1140062.780000000027940,1140126.399999999906868,1146002.070000000065193,1164450.650000000139698,1161102.219999999972060,1120077.720000000204891,1141261.560000000288710,10205648.640000000596046
FS( 15 ),1114515.159999999916181,1071034.520000000251457,1126406.280000000027940,1142635.839999999850988,1152536.440000000176951,1166326.330000000074506,1150888.959999999729916,1131926.600000000093132,1139020.640000000130385,10195291.770000001415610
FS( 16 ),1121512.599999999860302,1085883.000000000000000,1148256.679999999934807,1146556.839999999850988,1150440.510000000009313,1168436.469999999972060,1155726.819999999832362,1127603.360000000102445,1145335.960000000195578,10249753.239999998360872
FS( 17 ),1125295.000000000000000,1081702.360000000102445,1155358.059999999823049,1159417.719999999972060,1155495.399999999906868,1179221.630000000121072,1168090.239999999757856,1172917.320000000065193,1141669.000000000000000,10339167.729999998584390
FS( 18 ),1117162.840000000083819,1066853.880000000121072,1150441.719999999739230,1154712.520000000018626,1163385.959999999962747,1179925.010000000009313,1153845.429999999934807,1181243.560000000055879,1136983.440000000176951,10304555.359999999403954
FS( 19 ),1124349.400000000139698,1061808.280000000260770,1135146.439999999944121,1167102.879999999888241,1170290.199999999953434,1193523.690000000176951,1173465.639999999664724,1200938.320000000065193,1146558.280000000027940,10373184.129999998956919
FS( 20 ),1122079.959999999962747,1075359.320000000065193,1124221.239999999757856,1162084.000000000000000,1167207.949999999953434,1181683.459999999962747,1169165.319999999832362,1202219.280000000027940,1142483.880000000121072,10346505.410000000149012
FS( 21 ),1112245.719999999972060,1064979.800000000279397,1123674.979999999981374,1159417.719999999972060,1174851.930000000167638,1178752.709999999962747,1162446.069999999832362,1203500.239999999990687,1124760.240000000223517,10304630.410000000149012
FS( 22 ),1133048.919999999925494,1079395.800000000279397,1137877.739999999757856,1163495.560000000055879,1182989.070000000065193,1190592.940000000176951,1124280.729999999748543,1215669.360000000102445,1136168.560000000288710,10363519.679999999701977
FS( 23 ),1123592.919999999925494,1084297.239999999990687,1137331.479999999981374,1162397.679999999934807,1166344.919999999925494,1181331.770000000018626,1097941.269999999785796,1204941.320000000065193,1135761.120000000111759,10293940.719999998807907
FS( 24 ),1147232.919999999925494,1094100.120000000111759,1151534.239999999757856,1171023.879999999888241,1170166.909999999916181,1189772.330000000074506,1113529.929999999934807,1212146.720000000204891,1176912.560000000288710,10426420.610000001266599
FS( 25 ),1145341.719999999972060,1099866.520000000251457,1157543.100000000093132,1182473.199999999953434,1172139.550000000046566,1203839.929999999934807,1104391.750000000000000,1219352.120000000111759,1168967.480000000214204,10453916.370000001043081
FS( 26 ),1175222.679999999934807,1116300.760000000242144,1152626.760000000009313,1177297.479999999981374,1166714.790000000037253,1198330.120000000111759,1101972.819999999832362,1219352.120000000111759,1162244.719999999972060,10470063.250000001862645
FS( 27 ),1168792.599999999860302,1103758.840000000083819,1155904.319999999832362,1183884.760000000009313,1169673.750000000000000,1203488.239999999990687,1106810.679999999934807,1212947.320000000065193,1176301.400000000139698,10481562.910000000149012
FS( 28 ),1172196.760000000009313,1093811.800000000279397,1161913.179999999934807,1182786.879999999888241,1173372.449999999953434,1203019.320000000065193,1112186.079999999841675,1213908.040000000037253,1163670.760000000009313,10476866.270000001415610
FS( 29 ),1176357.400000000139698,1095541.719999999972060,1145525.379999999888241,1188903.639999999897555,1172509.419999999925494,1212866.639999999897555,1114067.469999999972060,1216630.080000000074506,1161429.840000000083819,10483832.589999999850988
FS( 30 ),1174466.199999999953434,1078098.360000000102445,1154811.800000000046566,1186707.879999999888241,1158947.520000000018626,1205832.840000000083819,1106004.369999999878928,1225917.040000000037253,1165911.679999999934807,10456698.689999999478459
FS( 31 ),1179005.080000000074506,1080260.760000000242144,1146617.899999999906868,1189060.479999999981374,1153522.760000000009313,1204895.000000000000000,1107079.449999999720603,1229439.680000000167638,1162244.719999999972060,10452126.830000000074506
FS( 32 ),1166712.280000000027940,1081702.360000000102445,1146617.899999999906868,1194549.879999999888241,1157714.620000000111759,1210170.350000000093132,1113261.159999999916181,1225596.800000000279397,1167745.160000000149012,10464071.510000001639128
FS( 33 ),1177870.360000000102445,1076224.280000000260770,1172292.119999999878928,1207097.079999999841675,1157098.169999999925494,1221307.200000000186265,1134762.759999999776483,1239046.879999999888241,1154299.640000000130385,10539999.490000002086163
FS( 34 ),1170872.919999999925494,1078098.360000000102445,1153173.019999999785796,1202235.040000000037253,1157837.909999999916181,1209232.510000000009313,1146588.639999999664724,1234243.280000000027940,1124760.240000000223517,10477042.919999999925494
FS( 35 ),1163875.479999999981374,1095830.040000000270084,1134053.919999999925494,1205685.520000000018626,1160673.580000000074506,1204191.620000000111759,1142288.319999999832362,1233602.800000000279397,1125371.400000000139698,10465573.680000001564622
FS( 36 ),1183354.840000000083819,1105200.440000000176951,1141701.559999999823049,1195961.439999999944121,1174358.770000000018626,1213804.480000000214204,1154920.509999999776483,1232802.199999999953434,1109684.960000000195578,10511790.199999999254942
FS( 37 ),1172953.239999999990687,1081702.360000000102445,1128591.319999999832362,1185296.319999999832362,1185331.580000000074506,1192820.310000000055879,1142825.859999999869615,1215669.360000000102445,1085849.719999999972060,10391041.070000000298023
FS( 38 ),1171062.040000000037253,1090640.280000000260770,1125860.019999999785796,1188119.439999999944121,1186317.899999999906868,1199385.190000000176951,1140138.159999999916181,1218231.280000000027940,1080756.719999999972060,10400512.030000001192093
FS( 39 ),1182031.000000000000000,1115291.640000000130385,1141155.300000000046566,1197059.319999999832362,1180276.690000000176951,1214156.169999999925494,1154920.509999999776483,1228959.320000000065193,1097461.760000000009313,10511312.709999999031425
FS( 40 ),1175411.800000000046566,1108660.280000000260770,1139516.519999999785796,1193765.679999999934807,1182372.620000000111759,1219197.060000000055879,1148470.029999999795109,1219832.480000000214204,1088905.520000000251457,10476132.989999998360872
FS( 41 ),1179572.439999999944121,1114138.360000000102445,1137877.739999999757856,1203019.239999999990687,1179660.239999999990687,1216500.770000000018626,1145782.329999999841675,1224796.199999999953434,1090331.560000000288710,10491679.879999998956919
FS( 42 ),1189406.679999999934807,1111399.320000000065193,1132961.399999999906868,1210861.239999999990687,1172139.550000000046566,1210756.500000000000000,1164865.000000000000000,1227838.480000000214204,1086257.160000000149012,10506486.330000000074506
FS( 43 ),1212668.440000000176951,1134032.440000000176951,1159181.879999999888241,1218075.879999999888241,1181263.010000000009313,1224472.410000000149012,1162446.069999999832362,1233762.919999999925494,1089924.120000000111759,10615828.170000001788139
FS( 44 ),1222691.800000000046566,1140087.160000000149012,1186494.879999999888241,1213841.199999999953434,1193592.010000000009313,1226934.239999999990687,1174003.179999999934807,1236164.720000000204891,1092165.040000000037253,10685975.230000000447035
FS( 45 ),1220989.719999999972060,1168486.680000000167638,1190864.959999999962747,1219487.439999999944121,1197044.130000000121072,1225527.480000000214204,1162983.609999999869615,1231361.120000000111759,1096035.719999999972060,10712781.860000001266599
FS( 46 ),1223637.400000000139698,1171081.560000000288710,1192503.739999999757856,1226388.399999999906868,1217017.109999999869615,1239243.389999999897555,1154920.509999999776483,1235844.480000000214204,1096239.440000000176951,10756877.029999999329448
FS( 47 ),1238767.000000000000000,1195732.920000000158325,1195235.039999999804422,1230309.399999999906868,1219236.330000000074506,1240415.690000000176951,1173465.639999999664724,1238566.520000000018626,1104388.240000000223517,10836117.779999999329448
FS( 48 ),1234795.480000000214204,1213320.440000000176951,1185402.359999999869615,1232191.479999999981374,1217633.560000000055879,1232444.050000000046566,1210555.899999999906868,1235684.360000000102445,1117018.880000000121072,10879047.509999999776483
FS( 49 ),1234984.599999999860302,1221825.880000000121072,1178847.239999999757856,1232034.639999999897555,1225277.540000000037253,1231975.130000000121072,1198461.250000000000000,1229759.919999999925494,1109888.679999999934807,10863055.879999998956919
FS( 50 ),1236497.559999999823049,1219951.800000000279397,1179393.500000000000000,1240660.839999999850988,1224414.510000000009313,1242877.520000000018626,1189860.609999999869615,1239207.000000000000000,1114981.679999999934807,10887846.019999999552965
FS( 51 ),1249925.080000000074506,1246044.760000000242144,1197966.339999999850988,1242072.399999999906868,1228852.949999999953434,1247332.260000000009313,1185022.750000000000000,1222394.400000000139698,1114981.679999999934807,10934593.619999999180436
FS( 52 ),1244062.360000000102445,1228024.760000000242144,1183763.580000000074506,1236112.479999999981374,1215291.050000000046566,1235726.489999999990687,1172659.329999999841675,1219512.239999999990687,1120482.120000000111759,10855635.410000000149012
FS( 53 ),1231769.559999999823049,1232782.040000000270084,1175569.679999999934807,1236896.679999999934807,1213195.120000000111759,1233030.200000000186265,1174540.719999999972060,1234723.640000000130385,1123945.360000000102445,10856454.000000000000000
FS( 54 ),1248223.000000000000000,1230763.800000000279397,1183763.580000000074506,1246150.239999999990687,1217756.849999999860302,1238657.239999999990687,1185829.059999999823049,1242249.280000000027940,1118037.480000000214204,10911431.529999999329448
FS( 55 ),1237064.919999999925494,1215771.160000000149012,1138424.000000000000000,1239249.280000000027940,1214797.890000000130385,1230216.679999999934807,1176959.649999999906868,1236324.839999999850988,1121704.440000000176951,10810513.859999999403954
FS( 56 ),1252383.639999999897555,1222835.000000000000000,1133507.659999999916181,1250698.599999999860302,1223921.349999999860302,1247566.719999999972060,1179916.119999999878928,1237285.560000000055879,1109481.240000000223517,10857596.889999998733401
FS( 57 ),1250114.199999999953434,1223267.479999999981374,1138970.260000000009313,1249757.560000000055879,1211222.479999999981374,1232912.969999999972060,1174271.949999999720603,1227838.480000000214204,1117630.040000000037253,10825986.420000001788139
FS( 58 ),1270350.040000000037253,1248783.800000000279397,1138970.260000000009313,1268107.839999999850988,1214428.020000000018626,1243463.669999999925494,1193085.849999999860302,1239367.120000000111759,1133723.920000000158325,10950281.520000001415610
FS( 59 ),1269971.800000000046566,1242729.080000000074506,1137877.739999999757856,1274695.119999999878928,1219359.620000000111759,1234319.730000000214204,1185291.519999999785796,1233923.040000000037253,1153484.760000000009313,10951653.409999998286366
FS( 60 ),1275834.519999999785796,1237683.479999999981374,1141701.559999999823049,1278772.959999999962747,1229099.530000000027940,1246277.190000000176951,1187979.219999999972060,1233923.040000000037253,1165504.240000000223517,10996776.740000000223517
FS( 61 ),1272052.120000000111759,1229033.880000000121072,1137877.739999999757856,1285046.560000000055879,1221208.969999999972060,1238540.010000000009313,1192010.769999999785796,1244170.720000000204891,1201358.960000000195578,11021300.730000000447035
