代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12018200.239999998360872
真實報酬,2018200.239999998360872

夏普值報酬,0.193120024000000
夏普值風險,0.050087169864683
夏普值,3.855678500536925

二次趨勢線,-14.472146333089174 x^2 + 15813.575565468330751 x + 10000000.000000000000000
二次平均預期報酬,13990.085127499094597
風險,127048.796092432909063
二次平均趨勢值,0.110115841769337
一次趨勢線,14451.406413598942891 x + 10000000.000000000000000
一次預期報酬,14451.406413598942891
一次風險,129589.219356104673352
一次趨勢值,0.111517041968493
找到最佳解世代,2086
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
JNJ[12](1),WMT[28](4),XOM[29](2),
Stock#,JNJ[12](1),WMT[28](4),XOM[29](2),
張數,33174,54235,43032,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,9.479999999981374,49.899999999906868,74.280000000260770,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3347266.080000000074506,3412516.100000000093132,3361734.120000000577420,10121517.300000000745058
FS( 3 ),3330347.339999999850988,3446684.149999999906868,3333763.320000000298023,10110795.810000000521541
FS( 4 ),3291533.759999999776483,3526951.950000000186265,3280403.640000000596046,10098890.350000001490116
FS( 5 ),3256369.319999999832362,3446141.799999999813735,3214134.360000000335276,9916646.480000000447035
FS( 6 ),3236796.659999999683350,3483021.599999999627471,3171102.360000000335276,9890921.620000001043081
FS( 7 ),3259023.239999999757856,3450480.599999999627471,3236080.680000000167638,9945585.519999999552965
FS( 8 ),3218550.959999999962747,3358281.100000000093132,3255445.080000000540167,9832278.140000000596046
FS( 9 ),3280586.339999999850988,3420109.000000000000000,3404766.120000000577420,10105462.460000000894070
FS( 10 ),3217887.479999999981374,3358823.449999999720603,3338496.840000000316650,9915208.769999999552965
FS( 11 ),3234474.479999999981374,3392991.500000000000000,3287719.080000000540167,9915186.060000000521541
FS( 12 ),3176419.979999999981374,3299707.300000000279397,3149156.040000000502914,9625284.320000000298023
FS( 13 ),3182723.040000000037253,3356111.700000000186265,3188745.479999999981374,9727581.220000000670552
FS( 14 ),3209593.979999999981374,3400042.049999999813735,3295034.520000000018626,9904671.549999998882413
FS( 15 ),3197983.080000000074506,3441260.649999999906868,3183581.640000000596046,9822826.370000001043081
FS( 16 ),3356554.800000000279397,3471089.899999999906868,3300628.680000000167638,10128274.380000000819564
FS( 17 ),3389065.319999999832362,3468378.149999999906868,3239953.560000000521541,10097398.030000001192093
FS( 18 ),3392714.459999999962747,3483021.599999999627471,3313107.959999999962747,10188845.019999999552965
FS( 19 ),3464702.040000000037253,3599084.500000000000000,3350115.479999999981374,10413903.019999999552965
FS( 20 ),3462379.860000000335276,3660912.399999999906868,3282985.560000000521541,10406278.820000000298023
FS( 21 ),3430532.819999999832362,3626202.000000000000000,3209831.160000000614673,10266566.980000000447035
FS( 22 ),3454749.839999999850988,3594203.349999999627471,3377225.640000000596046,10426179.830000000074506
FS( 23 ),3446788.080000000074506,3602338.600000000093132,3435318.840000000316650,10484446.519999999552965
FS( 24 ),3335323.440000000409782,3633794.899999999906868,3446076.840000000316650,10415196.179999999701977
FS( 25 ),3383757.479999999981374,3628371.400000000372529,3492551.399999999906868,10504681.280000001192093
FS( 26 ),3382762.259999999776483,3569255.250000000000000,3446076.840000000316650,10398095.349999999627471
FS( 27 ),3374800.500000000000000,3568170.550000000279397,3414663.479999999981374,10357635.530000001192093
FS( 28 ),3373805.280000000260770,3542680.099999999627471,3425421.479999999981374,10341907.859999999403954
FS( 29 ),3377786.159999999683350,3589322.200000000186265,3486957.240000000223517,10454066.599999999627471
FS( 30 ),3394373.159999999683350,3574136.400000000372529,3495133.320000000298023,10463643.880000000819564
FS( 31 ),3400344.479999999981374,3585525.750000000000000,3528698.280000000260770,10514569.510000001639128
FS( 32 ),3458067.239999999757856,3477598.100000000093132,3548062.680000000167638,10483729.019999999552965
FS( 33 ),3455413.319999999832362,3506884.999999999534339,3550214.280000000260770,10512513.599999999627471
FS( 34 ),3474985.979999999981374,3559492.949999999720603,3545480.760000000242144,10579960.689999999478459
FS( 35 ),3452759.399999999906868,3605592.700000000186265,3495563.640000000596046,10553916.740000000223517
FS( 36 ),3481952.519999999552965,3640303.100000000093132,3508042.919999999925494,10630299.539999999105930
FS( 37 ),3529059.599999999627471,3690199.300000000279397,3529128.600000000558794,10748388.500000000000000
FS( 38 ),3509155.200000000186265,3607219.750000000000000,3517940.280000000260770,10634316.230000000447035
FS( 39 ),3490246.019999999552965,3597999.800000000279397,3449089.080000000540167,10537335.900000000372529
FS( 40 ),3556925.759999999776483,3604507.999999999534339,3497715.240000000223517,10659150.000000000000000
FS( 41 ),3550954.440000000409782,3590949.249999999534339,3558820.680000000167638,10700725.369999999180436
FS( 42 ),3538016.580000000074506,3587152.799999999813735,3545911.080000000540167,10671081.460000000894070
FS( 43 ),3533040.479999999981374,3621863.200000000186265,3541177.560000000521541,10696082.240000000223517
FS( 44 ),3541002.239999999757856,3682064.049999999813735,3634557.000000000000000,10857624.289999999105930
FS( 45 ),3523751.759999999776483,3690199.300000000279397,3555808.439999999944121,10769760.500000000000000
FS( 46 ),3544319.640000000130385,3662539.450000000186265,3545911.080000000540167,10752771.169999999925494
FS( 47 ),3554271.839999999850988,3656031.249999999534339,3536444.040000000502914,10746748.130000000819564
FS( 48 ),3573181.019999999552965,3643014.850000000093132,3536874.360000000335276,10753071.230000000447035
FS( 49 ),3571522.319999999832362,3653319.500000000000000,3546341.399999999906868,10771184.220000000670552
FS( 50 ),3574839.720000000204891,3692911.050000000279397,3563984.520000000018626,10831736.290000000968575
FS( 51 ),3563228.819999999832362,3687487.549999999813735,3566136.120000000577420,10816853.490000000223517
FS( 52 ),3541002.239999999757856,3658200.649999999906868,3619065.479999999981374,10818269.369999999180436
FS( 53 ),3566214.479999999981374,3631083.149999999906868,3623368.680000000167638,10820667.310000000521541
FS( 54 ),3558916.200000000186265,3686402.849999999627471,3598410.120000000577420,10843730.169999999925494
FS( 55 ),3562233.599999999627471,3680979.350000000093132,3619926.120000000577420,10863140.070000000298023
FS( 56 ),3599388.479999999981374,3658742.999999999534339,3604004.280000000260770,10862136.759999999776483
FS( 57 ),3593085.419999999925494,3688029.899999999906868,3613901.640000000596046,10895017.960000000894070
FS( 58 ),3590431.500000000000000,3694538.100000000093132,3624229.320000000298023,10909199.919999999925494
FS( 59 ),3620619.839999999850988,3689656.950000000186265,3637569.240000000223517,10947847.030000001192093
FS( 60 ),3615312.000000000000000,3731417.899999999906868,3637138.919999999925494,10983869.820000000298023
FS( 61 ),3589436.280000000260770,3714605.049999999813735,3597119.160000000614673,10901161.490000000223517
FS( 62 ),3622278.540000000037253,3745519.000000000000000,3570009.000000000000000,10937807.539999999105930
FS( 63 ),3602374.140000000130385,3747688.399999999441206,3578615.399999999906868,10928678.939999999478459
FS( 64 ),3614316.780000000260770,3722740.299999999813735,3537735.000000000000000,10874793.080000000074506
FS( 65 ),3629908.560000000055879,3744434.300000000279397,3585070.200000000186265,10959414.060000000521541
FS( 66 ),3624932.459999999962747,3699961.599999999627471,3544620.120000000577420,10869515.179999999701977
FS( 67 ),3619292.879999999888241,3691284.000000000000000,3580767.000000000000000,10891344.879999998956919
FS( 68 ),3614980.259999999776483,3655488.900000000372529,3585500.520000000018626,10855970.679999999701977
FS( 69 ),3635879.879999999888241,3731417.899999999906868,3629823.479999999981374,10997122.259999999776483
FS( 70 ),3644836.860000000335276,3750400.150000000372529,3650478.840000000316650,11045716.850000001490116
FS( 71 ),3643841.640000000130385,3731417.899999999906868,3676298.040000000502914,11051558.580000000074506
FS( 72 ),3655120.800000000279397,3745519.000000000000000,3656503.320000000298023,11057144.120000001043081
FS( 73 ),3680001.300000000279397,3788907.000000000000000,3691359.240000000223517,11160268.540000000968575
FS( 74 ),3738055.800000000279397,3784025.849999999627471,3709863.000000000000000,11231945.650000000372529
FS( 75 ),3767912.399999999906868,3753654.249999999534339,3735251.880000000353903,11256819.529999999329448
FS( 76 ),3767580.659999999683350,3713520.349999999627471,3734821.560000000521541,11215923.570000000298023
FS( 77 ),3759287.159999999683350,3727079.099999999627471,3766665.240000000223517,11253032.500000000000000
FS( 78 ),3765590.220000000204891,3767755.349999999627471,3758058.840000000316650,11291405.410000000149012
FS( 79 ),3745685.819999999832362,3758535.399999999906868,3770968.439999999944121,11275190.660000000149012
FS( 80 ),3741041.459999999962747,3765043.600000000093132,3806685.000000000000000,11312771.060000000521541
FS( 81 ),3731421.000000000000000,3737383.749999999534339,3788181.240000000223517,11256986.990000000223517
FS( 82 ),3718151.399999999906868,3626744.350000000093132,3804103.080000000540167,11148999.830000000074506
FS( 83 ),3740377.979999999981374,3665793.550000000279397,3835516.439999999944121,11241688.970000000670552
FS( 84 ),3738387.540000000037253,3633794.899999999906868,3791623.800000000279397,11163807.240000000223517
FS( 85 ),3722795.759999999776483,3644099.549999999813735,3784308.360000000335276,11151204.669999999925494
FS( 86 ),3744690.599999999627471,3645184.249999999534339,3788611.560000000521541,11178487.410000000149012
FS( 87 ),3740046.239999999757856,3701588.649999999906868,3808836.600000000558794,11250472.490000000223517
FS( 88 ),3772556.759999999776483,3739553.149999999906868,3811418.520000000018626,11323529.429999999701977
FS( 89 ),3804072.060000000055879,3730875.550000000279397,3872523.959999999962747,11407472.570000000298023
FS( 90 ),3794119.860000000335276,3601796.249999999534339,3821746.200000000186265,11217663.309999998658895
FS( 91 ),3789475.500000000000000,3625659.649999999441206,3858753.720000000204891,11273889.869999999180436
FS( 92 ),3767248.919999999925494,3522070.799999999813735,3815291.399999999906868,11104612.119999999180436
FS( 93 ),3796442.040000000037253,3580644.599999999627471,3854450.520000000018626,11231538.160000000149012
FS( 94 ),3776205.899999999906868,3530748.399999999441206,3852729.240000000223517,11159684.539999999105930
FS( 95 ),3768244.140000000130385,3424990.149999999906868,3844983.479999999981374,11038218.769999999552965
FS( 96 ),3743695.379999999888241,3753111.899999999906868,3877687.800000000279397,11374496.080000000074506
FS( 97 ),3736728.839999999850988,3788907.000000000000000,3861765.959999999962747,11387402.800000000745058
FS( 98 ),3720805.319999999832362,3769382.399999999906868,3855741.479999999981374,11345930.199999999254942
FS( 99 ),3738387.540000000037253,3809516.299999999813735,3858753.720000000204891,11406658.560000000521541
FS( 100 ),3760282.379999999888241,3822532.700000000186265,3884142.600000000558794,11466958.679999999701977
FS( 101 ),3745354.080000000074506,3842599.649999999441206,3864347.880000000353903,11452302.609999999403954
FS( 102 ),3750661.919999999925494,3837176.149999999906868,3873384.600000000558794,11461223.670000001788139
FS( 103 ),3738387.540000000037253,3838803.200000000186265,3830782.919999999925494,11407974.660000000149012
FS( 104 ),3741373.200000000186265,3823617.399999999906868,3840249.959999999962747,11405241.559999998658895
FS( 105 ),3798100.739999999757856,3848023.149999999906868,3809697.240000000223517,11455822.129999998956919
FS( 106 ),3807057.720000000204891,3843684.350000000093132,3802812.120000000577420,11453555.190000001341105
FS( 107 ),3840563.459999999962747,3853446.649999999906868,3844553.160000000614673,11538564.269999999552965
FS( 108 ),3839236.500000000000000,3852361.950000000186265,3903507.000000000000000,11595106.449999999254942
FS( 109 ),3841558.679999999701977,3865920.700000000186265,3906949.560000000521541,11614429.940000001341105
FS( 110 ),3881367.479999999981374,3855616.050000000279397,3901785.720000000204891,11638770.250000000000000
FS( 111 ),3881699.220000000204891,3858327.799999999813735,3872093.640000000596046,11612121.660000000149012
FS( 112 ),3874400.940000000409782,3825244.450000000186265,3898343.160000000614673,11597989.550000000745058
FS( 113 ),3885348.360000000335276,3848023.149999999906868,3891458.040000000502914,11624830.550000000745058
FS( 114 ),3861794.819999999832362,3857243.100000000093132,3879839.399999999906868,11598878.320000000298023
FS( 115 ),3869424.839999999850988,3867005.399999999906868,3925453.320000000298023,11661884.560000000521541
FS( 116 ),3830943.000000000000000,3848023.149999999906868,3903937.320000000298023,11582904.470000000670552
FS( 117 ),3866107.440000000409782,3856158.399999999441206,3921150.120000000577420,11643416.960000000894070
FS( 118 ),3854164.800000000279397,3875682.999999999534339,3938793.240000000223517,11668642.039999999105930
FS( 119 ),3863453.519999999552965,3891411.149999999906868,3923301.720000000204891,11678167.390000000596046
FS( 120 ),3893973.599999999627471,3910393.399999999441206,3950411.880000000353903,11754779.879999998956919
FS( 121 ),3835919.099999999627471,3902800.499999999534339,3846704.760000000242144,11585425.359999999403954
FS( 122 ),3866439.179999999701977,3877852.399999999906868,3823897.800000000279397,11568190.380000000819564
FS( 123 ),3922171.500000000000000,3878394.750000000000000,3912113.399999999906868,11712680.650000000372529
FS( 124 ),3958662.899999999906868,3929917.999999999534339,3978813.000000000000000,11867394.899999998509884
FS( 125 ),4024015.679999999701977,3960289.599999999627471,4033893.959999999962747,12018200.239999998360872
